linha=1 | nome=Felipe | acao=executou o benchmark | valor=1523
linha=720 | nome=Igor | acao=analisou os resultados | valor=4471
linha=721 | nome=Helena | acao=executou o benchmark | valor=3288
linha=722 | nome=Joao | acao=otimizou o algoritmo | valor=1627
linha=723 | nome=Eduarda | acao=participou da aula | valor=3906
linha=724 | nome=Vitor | acao=escreveu o relatorio | valor=4238
linha=725 | nome=Eduarda | acao=otimizou o algoritmo | valor=6379
linha=726 | nome=Bruno | acao=comparou as metricas | valor=8663
linha=727 | nome=Vitor | acao=escreveu o relatorio | valor=2775
linha=728 | nome=Lucas | acao=escreveu o relatorio | valor=3588
linha=729 | nome=Gabriela | acao=fez um experimento | valor=4720
linha=730 | nome=Felipe | acao=fez um experimento | valor=1178
linha=731 | nome=Mariana | acao=fez um experimento | valor=5037
linha=732 | nome=Carlos | acao=participou da aula | valor=9088
linha=733 | nome=Helena | acao=escreveu o relatorio | valor=6900
linha=734 | nome=Eduarda | acao=participou da aula | valor=7947
linha=735 | nome=Mariana | acao=fez um experimento | valor=8480
linha=736 | nome=Igor | acao=otimizou o algoritmo | valor=9139
linha=737 | nome=Karen | acao=fez um experimento | valor=2771
linha=738 | nome=Carlos | acao=escreveu o relatorio | valor=2239
linha=739 | nome=Tiago | acao=escreveu o relatorio | valor=7212
linha=740 | nome=Helena | acao=participou da aula | valor=4258
linha=741 | nome=Vitor | acao=fez um experimento | valor=6654
linha=742 | nome=Gabriela | acao=otimizou o algoritmo | valor=7695
linha=743 | nome=Joao | acao=estudou computacao | valor=2444
linha=744 | nome=Felipe | acao=otimizou o algoritmo | valor=3871
linha=745 | nome=Tiago | acao=executou o benchmark | valor=4703
linha=746 | nome=Felipe | acao=escreveu o relatorio | valor=4804
linha=747 | nome=Helena | acao=analisou os resultados | valor=6734
linha=748 | nome=Felipe | acao=analisou os resultados | valor=3509
linha=749 | nome=Daniela | acao=comparou as metricas | valor=1291
linha=750 | nome=Igor | acao=analisou os resultados | valor=1320
linha=751 | nome=Otavio | acao=analisou os resultados | valor=3295
linha=752 | nome=Eduarda | acao=fez um experimento | valor=2715
linha=753 | nome=Carlos | acao=fez um experimento | valor=8238
linha=754 | nome=Vitor | acao=analisou os resultados | valor=8151
linha=755 | nome=Karen | acao=participou da aula | valor=6490
linha=756 | nome=Otavio | acao=comparou as metricas | valor=4851
linha=757 | nome=Gabriela | acao=executou o benchmark | valor=1053
linha=758 | nome=Otavio | acao=participou da aula | valor=7287
linha=759 | nome=Igor | acao=participou da aula | valor=4517
linha=760 | nome=Lucas | acao=otimizou o algoritmo | valor=8089
linha=761 | nome=Gabriela | acao=otimizou o algoritmo | valor=4533
linha=762 | nome=Karen | acao=analisou os resultados | valor=9818
linha=763 | nome=Felipe | acao=estudou computacao | valor=9567
linha=764 | nome=Tiago | acao=otimizou o algoritmo | valor=9863
linha=765 | nome=Tiago | acao=otimizou o algoritmo | valor=7444
linha=766 | nome=Vitor | acao=participou da aula | valor=7311
linha=767 | nome=Vitor | acao=estudou computacao | valor=1977
linha=768 | nome=Vitor | acao=participou da aula | valor=5838
linha=769 | nome=Ana | acao=escreveu o relatorio | valor=1281
linha=770 | nome=Igor | acao=escreveu o relatorio | valor=5471
linha=771 | nome=Mariana | acao=analisou os resultados | valor=6224
linha=772 | nome=Joao | acao=analisou os resultados | valor=4447
linha=773 | nome=Natalia | acao=estudou computacao | valor=5522
linha=774 | nome=Joao | acao=estudou computacao | valor=7668
linha=775 | nome=Mariana | acao=executou o benchmark | valor=8742
linha=776 | nome=Paulo | acao=otimizou o algoritmo | valor=6315
linha=777 | nome=Otavio | acao=participou da aula | valor=3936
linha=778 | nome=Otavio | acao=comparou as metricas | valor=8520
linha=779 | nome=Joao | acao=analisou os resultados | valor=6955
linha=780 | nome=Paulo | acao=comparou as metricas | valor=4971
linha=781 | nome=Felipe | acao=otimizou o algoritmo | valor=8889
linha=782 | nome=Vitor | acao=otimizou o algoritmo | valor=3834
linha=783 | nome=Eduarda | acao=participou da aula | valor=6965
linha=784 | nome=Tiago | acao=estudou computacao | valor=9034
linha=785 | nome=Mariana | acao=escreveu o relatorio | valor=4349
linha=786 | nome=Helena | acao=escreveu o relatorio | valor=1050
linha=787 | nome=Carlos | acao=otimizou o algoritmo | valor=5887
linha=788 | nome=Sofia | acao=escreveu o relatorio | valor=2905
linha=789 | nome=Otavio | acao=otimizou o algoritmo | valor=1975
linha=790 | nome=Karen | acao=participou da aula | valor=7339
linha=791 | nome=Joao | acao=escreveu o relatorio | valor=1712
linha=792 | nome=Eduarda | acao=estudou computacao | valor=7225
linha=793 | nome=Vitor | acao=analisou os resultados | valor=9735
linha=794 | nome=Mariana | acao=escreveu o relatorio | valor=2082
linha=795 | nome=Joao | acao=executou o benchmark | valor=3872
linha=796 | nome=Tiago | acao=estudou computacao | valor=1809
linha=797 | nome=Bruno | acao=comparou as metricas | valor=2701
linha=798 | nome=Karen | acao=analisou os resultados | valor=3886
linha=799 | nome=Otavio | acao=otimizou o algoritmo | valor=9593
linha=800 | nome=Vitor | acao=escreveu o relatorio | valor=2608
linha=801 | nome=Otavio | acao=participou da aula | valor=4013
linha=802 | nome=Joao | acao=otimizou o algoritmo | valor=9122
linha=803 | nome=Carlos | acao=executou o benchmark | valor=4791
linha=804 | nome=Joao | acao=comparou as metricas | valor=2981
linha=805 | nome=Eduarda | acao=comparou as metricas | valor=4049
linha=806 | nome=Ana | acao=executou o benchmark | valor=3525
linha=807 | nome=Natalia | acao=participou da aula | valor=3138
linha=808 | nome=Natalia | acao=fez um experimento | valor=5183
linha=809 | nome=Igor | acao=fez um experimento | valor=2861
linha=810 | nome=Vitor | acao=executou o benchmark | valor=5473
linha=811 | nome=Mariana | acao=comparou as metricas | valor=5217
linha=812 | nome=Mariana | acao=participou da aula | valor=4168
linha=813 | nome=Vitor | acao=otimizou o algoritmo | valor=6435
linha=814 | nome=Renata | acao=escreveu o relatorio | valor=8013
linha=815 | nome=Otavio | acao=estudou computacao | valor=2270
linha=816 | nome=Paulo | acao=analisou os resultados | valor=9689
linha=817 | nome=Ana | acao=fez um experimento | valor=9519
linha=818 | nome=Carlos | acao=executou o benchmark | valor=3299
linha=819 | nome=Gabriela | acao=fez um experimento | valor=7139
linha=820 | nome=Felipe | acao=estudou computacao | valor=5750
linha=821 | nome=Karen | acao=analisou os resultados | valor=7179
linha=822 | nome=Mariana | acao=executou o benchmark | valor=1448
linha=823 | nome=Otavio | acao=fez um experimento | valor=5134
linha=824 | nome=Natalia | acao=escreveu o relatorio | valor=8553
linha=825 | nome=Bruno | acao=fez um experimento | valor=3933
linha=826 | nome=Gabriela | acao=executou o benchmark | valor=7002
linha=827 | nome=Carlos | acao=estudou computacao | valor=8459
linha=828 | nome=Ana | acao=fez um experimento | valor=9039
linha=829 | nome=Gabriela | acao=otimizou o algoritmo | valor=8049
linha=830 | nome=Tiago | acao=fez um experimento | valor=6520
linha=831 | nome=Joao | acao=comparou as metricas | valor=3808
linha=832 | nome=Ana | acao=fez um experimento | valor=1003
linha=833 | nome=Helena | acao=analisou os resultados | valor=2242
linha=834 | nome=Daniela | acao=participou da aula | valor=2151
linha=835 | nome=Lucas | acao=analisou os resultados | valor=6781
linha=836 | nome=Sofia | acao=fez um experimento | valor=9351
linha=837 | nome=Joao | acao=otimizou o algoritmo | valor=6967
linha=838 | nome=Felipe | acao=comparou as metricas | valor=5082
linha=839 | nome=Gabriela | acao=comparou as metricas | valor=4162
linha=840 | nome=Otavio | acao=executou o benchmark | valor=2037
linha=841 | nome=Carlos | acao=participou da aula | valor=8132
linha=842 | nome=Gabriela | acao=executou o benchmark | valor=9945
linha=843 | nome=Igor | acao=executou o benchmark | valor=9234
linha=844 | nome=Sofia | acao=analisou os resultados | valor=6698
linha=845 | nome=Mariana | acao=executou o benchmark | valor=9715
linha=846 | nome=Karen | acao=fez um experimento | valor=2579
linha=847 | nome=Joao | acao=participou da aula | valor=2612
linha=848 | nome=Sofia | acao=participou da aula | valor=6994
linha=849 | nome=Sofia | acao=participou da aula | valor=8002
linha=850 | nome=Joao | acao=estudou computacao | valor=4980
linha=851 | nome=Joao | acao=escreveu o relatorio | valor=6934
linha=852 | nome=Sofia | acao=fez um experimento | valor=9186
linha=853 | nome=Tiago | acao=executou o benchmark | valor=7869
linha=854 | nome=Vitor | acao=analisou os resultados | valor=9658
linha=855 | nome=Paulo | acao=fez um experimento | valor=9920
linha=856 | nome=Daniela | acao=otimizou o algoritmo | valor=7128
linha=857 | nome=Karen | acao=estudou computacao | valor=2414
linha=858 | nome=Karen | acao=fez um experimento | valor=2458
linha=859 | nome=Sofia | acao=fez um experimento | valor=3134
linha=860 | nome=Igor | acao=analisou os resultados | valor=2269
linha=861 | nome=Paulo | acao=escreveu o relatorio | valor=3223
linha=862 | nome=Karen | acao=escreveu o relatorio | valor=4777
linha=863 | nome=Eduarda | acao=participou da aula | valor=9340
linha=864 | nome=Carlos | acao=executou o benchmark | valor=8198
linha=865 | nome=Helena | acao=estudou computacao | valor=3790
linha=866 | nome=Mariana | acao=analisou os resultados | valor=1516
linha=867 | nome=Gabriela | acao=comparou as metricas | valor=1092
linha=868 | nome=Igor | acao=otimizou o algoritmo | valor=7608
linha=869 | nome=Mariana | acao=analisou os resultados | valor=8847
linha=870 | nome=Carlos | acao=executou o benchmark | valor=5697
linha=871 | nome=Eduarda | acao=comparou as metricas | valor=4237
linha=872 | nome=Vitor | acao=analisou os resultados | valor=6811
linha=873 | nome=Karen | acao=escreveu o relatorio | valor=4427
linha=874 | nome=Lucas | acao=fez um experimento | valor=4746
linha=875 | nome=Joao | acao=estudou computacao | valor=3478
linha=876 | nome=Mariana | acao=analisou os resultados | valor=5832
linha=877 | nome=Mariana | acao=escreveu o relatorio | valor=1957
linha=878 | nome=Felipe | acao=comparou as metricas | valor=8873
linha=879 | nome=Otavio | acao=estudou computacao | valor=2688
linha=880 | nome=Ana | acao=participou da aula | valor=7472
linha=881 | nome=Natalia | acao=otimizou o algoritmo | valor=4419
linha=882 | nome=Felipe | acao=fez um experimento | valor=9044
linha=883 | nome=Karen | acao=analisou os resultados | valor=4691
linha=884 | nome=Daniela | acao=analisou os resultados | valor=1458
linha=885 | nome=Lucas | acao=participou da aula | valor=5530
linha=886 | nome=Daniela | acao=analisou os resultados | valor=1318
linha=887 | nome=Felipe | acao=analisou os resultados | valor=6223
linha=888 | nome=Otavio | acao=analisou os resultados | valor=3800
linha=889 | nome=Joao | acao=participou da aula | valor=2387
linha=890 | nome=Renata | acao=escreveu o relatorio | valor=7407
linha=891 | nome=Ana | acao=escreveu o relatorio | valor=5628
linha=892 | nome=Daniela | acao=comparou as metricas | valor=2206
linha=893 | nome=Otavio | acao=estudou computacao | valor=6275
linha=894 | nome=Tiago | acao=estudou computacao | valor=7729
linha=895 | nome=Daniela | acao=estudou computacao | valor=6108
linha=896 | nome=Helena | acao=executou o benchmark | valor=8040
linha=897 | nome=Lucas | acao=participou da aula | valor=3695
linha=898 | nome=Eduarda | acao=estudou computacao | valor=2264
linha=899 | nome=Tiago | acao=fez um experimento | valor=9876
linha=900 | nome=Mariana | acao=otimizou o algoritmo | valor=8568
linha=901 | nome=Tiago | acao=estudou computacao | valor=3077
linha=902 | nome=Sofia | acao=participou da aula | valor=1707
linha=903 | nome=Otavio | acao=otimizou o algoritmo | valor=9469
linha=904 | nome=Natalia | acao=analisou os resultados | valor=9841
linha=905 | nome=Vitor | acao=escreveu o relatorio | valor=8966
linha=906 | nome=Lucas | acao=otimizou o algoritmo | valor=5520
linha=907 | nome=Lucas | acao=executou o benchmark | valor=1211
linha=908 | nome=Renata | acao=participou da aula | valor=8541
linha=909 | nome=Bruno | acao=executou o benchmark | valor=4210
linha=910 | nome=Karen | acao=analisou os resultados | valor=7162
linha=911 | nome=Vitor | acao=comparou as metricas | valor=1875
linha=912 | nome=Joao | acao=estudou computacao | valor=8899
linha=913 | nome=Ana | acao=estudou computacao | valor=2469
linha=914 | nome=Eduarda | acao=fez um experimento | valor=9065
linha=915 | nome=Otavio | acao=executou o benchmark | valor=4223
linha=916 | nome=Otavio | acao=analisou os resultados | valor=6668
linha=917 | nome=Gabriela | acao=participou da aula | valor=3013
linha=918 | nome=Daniela | acao=estudou computacao | valor=5416
linha=919 | nome=Daniela | acao=comparou as metricas | valor=7977
linha=920 | nome=Helena | acao=otimizou o algoritmo | valor=2164
linha=921 | nome=Paulo | acao=estudou computacao | valor=1323
linha=922 | nome=Renata | acao=fez um experimento | valor=6175
linha=923 | nome=Paulo | acao=estudou computacao | valor=1946
linha=924 | nome=Felipe | acao=comparou as metricas | valor=1156
linha=925 | nome=Joao | acao=executou o benchmark | valor=1759
linha=926 | nome=Eduarda | acao=analisou os resultados | valor=3350
linha=927 | nome=Otavio | acao=estudou computacao | valor=4344
linha=928 | nome=Natalia | acao=participou da aula | valor=8712
linha=929 | nome=Sofia | acao=analisou os resultados | valor=2526
linha=930 | nome=Daniela | acao=participou da aula | valor=3317
linha=931 | nome=Carlos | acao=otimizou o algoritmo | valor=1132
linha=932 | nome=Natalia | acao=fez um experimento | valor=2397
linha=933 | nome=Natalia | acao=otimizou o algoritmo | valor=4954
linha=934 | nome=Joao | acao=participou da aula | valor=2031
linha=935 | nome=Renata | acao=otimizou o algoritmo | valor=3517
linha=936 | nome=Mariana | acao=comparou as metricas | valor=4220
linha=937 | nome=Lucas | acao=participou da aula | valor=1473
linha=938 | nome=Vitor | acao=fez um experimento | valor=9336
linha=939 | nome=Eduarda | acao=analisou os resultados | valor=5039
linha=940 | nome=Renata | acao=comparou as metricas | valor=8635
linha=941 | nome=Helena | acao=participou da aula | valor=2306
linha=942 | nome=Gabriela | acao=comparou as metricas | valor=5256
linha=943 | nome=Mariana | acao=estudou computacao | valor=6817
linha=944 | nome=Natalia | acao=comparou as metricas | valor=4615
linha=945 | nome=Gabriela | acao=participou da aula | valor=4728
linha=946 | nome=Felipe | acao=analisou os resultados | valor=5951
linha=947 | nome=Bruno | acao=otimizou o algoritmo | valor=2676
linha=948 | nome=Vitor | acao=executou o benchmark | valor=4096
linha=949 | nome=Felipe | acao=executou o benchmark | valor=5477
linha=950 | nome=Vitor | acao=fez um experimento | valor=3197
linha=951 | nome=Otavio | acao=participou da aula | valor=9210
linha=952 | nome=Carlos | acao=estudou computacao | valor=2819
linha=953 | nome=Helena | acao=participou da aula | valor=3986
linha=954 | nome=Bruno | acao=executou o benchmark | valor=1605
linha=955 | nome=Otavio | acao=participou da aula | valor=4294
linha=956 | nome=Igor | acao=estudou computacao | valor=3891
linha=957 | nome=Mariana | acao=escreveu o relatorio | valor=6546
linha=958 | nome=Vitor | acao=executou o benchmark | valor=9952
linha=959 | nome=Bruno | acao=executou o benchmark | valor=5530
linha=960 | nome=Gabriela | acao=escreveu o relatorio | valor=3704
linha=961 | nome=Mariana | acao=comparou as metricas | valor=3494
linha=962 | nome=Sofia | acao=estudou computacao | valor=2662
linha=963 | nome=Eduarda | acao=participou da aula | valor=4580
linha=964 | nome=Felipe | acao=escreveu o relatorio | valor=4369
linha=965 | nome=Carlos | acao=escreveu o relatorio | valor=6637
linha=966 | nome=Mariana | acao=otimizou o algoritmo | valor=1076
linha=967 | nome=Vitor | acao=comparou as metricas | valor=4057
linha=968 | nome=Gabriela | acao=otimizou o algoritmo | valor=1573
linha=969 | nome=Vitor | acao=estudou computacao | valor=8714
linha=970 | nome=Gabriela | acao=analisou os resultados | valor=8710
linha=971 | nome=Carlos | acao=estudou computacao | valor=5471
linha=972 | nome=Carlos | acao=participou da aula | valor=3627
linha=973 | nome=Gabriela | acao=participou da aula | valor=1236
linha=974 | nome=Paulo | acao=fez um experimento | valor=6190
linha=975 | nome=Vitor | acao=escreveu o relatorio | valor=1232
linha=976 | nome=Igor | acao=executou o benchmark | valor=5330
linha=977 | nome=Bruno | acao=analisou os resultados | valor=7048
linha=978 | nome=Daniela | acao=participou da aula | valor=7341
linha=979 | nome=Tiago | acao=executou o benchmark | valor=9785
linha=980 | nome=Vitor | acao=analisou os resultados | valor=3234
linha=981 | nome=Renata | acao=escreveu o relatorio | valor=1171
linha=982 | nome=Tiago | acao=estudou computacao | valor=5010
linha=983 | nome=Bruno | acao=participou da aula | valor=6801
linha=984 | nome=Lucas | acao=otimizou o algoritmo | valor=3945
linha=985 | nome=Ana | acao=comparou as metricas | valor=8636
linha=986 | nome=Daniela | acao=participou da aula | valor=8373
linha=987 | nome=Bruno | acao=analisou os resultados | valor=8549
linha=988 | nome=Igor | acao=escreveu o relatorio | valor=5450
linha=989 | nome=Joao | acao=fez um experimento | valor=6942
linha=990 | nome=Mariana | acao=estudou computacao | valor=5120
linha=991 | nome=Carlos | acao=participou da aula | valor=8762
linha=992 | nome=Eduarda | acao=comparou as metricas | valor=7864
linha=993 | nome=Sofia | acao=estudou computacao | valor=3695
linha=994 | nome=Natalia | acao=participou da aula | valor=7698
linha=995 | nome=Daniela | acao=otimizou o algoritmo | valor=6761
linha=996 | nome=Paulo | acao=escreveu o relatorio | valor=8557
linha=997 | nome=Otavio | acao=escreveu o relatorio | valor=8686
linha=998 | nome=Bruno | acao=escreveu o relatorio | valor=2146
linha=999 | nome=Igor | acao=analisou os resultados | valor=4923
linha=1000 | nome=Helena | acao=otimizou o algoritmo | valor=8723
linha=1001 | nome=Vitor | acao=fez um experimento | valor=6330
linha=1002 | nome=Sofia | acao=participou da aula | valor=7316
linha=1003 | nome=Gabriela | acao=analisou os resultados | valor=3292
linha=1004 | nome=Otavio | acao=fez um experimento | valor=2733
linha=1005 | nome=Joao | acao=analisou os resultados | valor=8558
linha=1006 | nome=Joao | acao=estudou computacao | valor=1786
linha=1007 | nome=Igor | acao=fez um experimento | valor=4308
linha=1008 | nome=Felipe | acao=analisou os resultados | valor=5635
linha=1009 | nome=Felipe | acao=estudou computacao | valor=5529
linha=1010 | nome=Bruno | acao=participou da aula | valor=9426
linha=1011 | nome=Ana | acao=participou da aula | valor=8001
linha=1012 | nome=Otavio | acao=fez um experimento | valor=3008
linha=1013 | nome=Carlos | acao=executou o benchmark | valor=1106
linha=1014 | nome=Ana | acao=otimizou o algoritmo | valor=3911
linha=1015 | nome=Otavio | acao=escreveu o relatorio | valor=3649
linha=1016 | nome=Carlos | acao=escreveu o relatorio | valor=2642
linha=1017 | nome=Ana | acao=fez um experimento | valor=8585
linha=1018 | nome=Mariana | acao=executou o benchmark | valor=1071
linha=1019 | nome=Gabriela | acao=fez um experimento | valor=2365
linha=1020 | nome=Bruno | acao=participou da aula | valor=1581
linha=1021 | nome=Eduarda | acao=estudou computacao | valor=6377
linha=1022 | nome=Karen | acao=otimizou o algoritmo | valor=2896
linha=1023 | nome=Felipe | acao=analisou os resultados | valor=4032
linha=1024 | nome=Lucas | acao=otimizou o algoritmo | valor=5060
linha=1025 | nome=Paulo | acao=escreveu o relatorio | valor=2115
linha=1026 | nome=Natalia | acao=fez um experimento | valor=7711
linha=1027 | nome=Eduarda | acao=analisou os resultados | valor=1958
linha=1028 | nome=Renata | acao=estudou computacao | valor=8621
linha=1029 | nome=Carlos | acao=participou da aula | valor=9701
linha=1030 | nome=Vitor | acao=comparou as metricas | valor=6399
linha=1031 | nome=Natalia | acao=analisou os resultados | valor=2224
linha=1032 | nome=Renata | acao=estudou computacao | valor=5903
linha=1033 | nome=Renata | acao=executou o benchmark | valor=7272
linha=1034 | nome=Eduarda | acao=estudou computacao | valor=8346
linha=1035 | nome=Ana | acao=analisou os resultados | valor=5035
linha=1036 | nome=Felipe | acao=otimizou o algoritmo | valor=7754
linha=1037 | nome=Lucas | acao=estudou computacao | valor=7032
linha=1038 | nome=Renata | acao=otimizou o algoritmo | valor=7007
linha=1039 | nome=Daniela | acao=comparou as metricas | valor=7089
linha=1040 | nome=Paulo | acao=comparou as metricas | valor=3211
linha=1041 | nome=Tiago | acao=executou o benchmark | valor=7421
linha=1042 | nome=Paulo | acao=estudou computacao | valor=7903
linha=1043 | nome=Otavio | acao=participou da aula | valor=2616
linha=1044 | nome=Helena | acao=participou da aula | valor=2235
linha=1045 | nome=Igor | acao=analisou os resultados | valor=5494
linha=1046 | nome=Helena | acao=comparou as metricas | valor=8054
linha=1047 | nome=Sofia | acao=escreveu o relatorio | valor=8328
linha=1048 | nome=Mariana | acao=otimizou o algoritmo | valor=1047
linha=1049 | nome=Carlos | acao=estudou computacao | valor=9597
linha=1050 | nome=Igor | acao=escreveu o relatorio | valor=8310
linha=1051 | nome=Renata | acao=executou o benchmark | valor=1023
linha=1052 | nome=Eduarda | acao=fez um experimento | valor=5683
linha=1053 | nome=Gabriela | acao=participou da aula | valor=6015
linha=1054 | nome=Paulo | acao=escreveu o relatorio | valor=6955
linha=1055 | nome=Felipe | acao=fez um experimento | valor=3290
linha=1056 | nome=Lucas | acao=analisou os resultados | valor=8946
linha=1057 | nome=Ana | acao=participou da aula | valor=4656
linha=1058 | nome=Natalia | acao=fez um experimento | valor=1653
linha=1059 | nome=Vitor | acao=otimizou o algoritmo | valor=9873
linha=1060 | nome=Otavio | acao=fez um experimento | valor=4587
linha=1061 | nome=Otavio | acao=escreveu o relatorio | valor=1914
linha=1062 | nome=Karen | acao=fez um experimento | valor=9881
linha=1063 | nome=Joao | acao=estudou computacao | valor=5547
linha=1064 | nome=Daniela | acao=escreveu o relatorio | valor=7441
linha=1065 | nome=Mariana | acao=estudou computacao | valor=2926
linha=1066 | nome=Bruno | acao=comparou as metricas | valor=2682
linha=1067 | nome=Paulo | acao=otimizou o algoritmo | valor=5306
linha=1068 | nome=Lucas | acao=analisou os resultados | valor=4114
linha=1069 | nome=Mariana | acao=otimizou o algoritmo | valor=8893
linha=1070 | nome=Joao | acao=comparou as metricas | valor=3591
linha=1071 | nome=Ana | acao=estudou computacao | valor=5655
linha=1072 | nome=Mariana | acao=participou da aula | valor=3186
linha=1073 | nome=Felipe | acao=executou o benchmark | valor=3481
linha=1074 | nome=Vitor | acao=comparou as metricas | valor=9774
linha=1075 | nome=Carlos | acao=otimizou o algoritmo | valor=4233
linha=1076 | nome=Helena | acao=estudou computacao | valor=6389
linha=1077 | nome=Ana | acao=executou o benchmark | valor=2319
linha=1078 | nome=Igor | acao=escreveu o relatorio | valor=7856
linha=1079 | nome=Joao | acao=comparou as metricas | valor=9511
linha=1080 | nome=Lucas | acao=participou da aula | valor=9422
linha=1081 | nome=Igor | acao=otimizou o algoritmo | valor=5728
linha=1082 | nome=Joao | acao=analisou os resultados | valor=2662
linha=1083 | nome=Gabriela | acao=fez um experimento | valor=8438
linha=1084 | nome=Tiago | acao=estudou computacao | valor=3039
linha=1085 | nome=Joao | acao=comparou as metricas | valor=1684
linha=1086 | nome=Eduarda | acao=escreveu o relatorio | valor=5713
linha=1087 | nome=Natalia | acao=participou da aula | valor=6867
linha=1088 | nome=Felipe | acao=comparou as metricas | valor=4711
linha=1089 | nome=Paulo | acao=otimizou o algoritmo | valor=1730
linha=1090 | nome=Daniela | acao=otimizou o algoritmo | valor=8360
linha=1091 | nome=Vitor | acao=executou o benchmark | valor=5018
linha=1092 | nome=Ana | acao=fez um experimento | valor=9335
linha=1093 | nome=Daniela | acao=escreveu o relatorio | valor=4340
linha=1094 | nome=Igor | acao=executou o benchmark | valor=1789
linha=1095 | nome=Lucas | acao=participou da aula | valor=4262
linha=1096 | nome=Joao | acao=otimizou o algoritmo | valor=2320
linha=1097 | nome=Felipe | acao=executou o benchmark | valor=9656
linha=1098 | nome=Sofia | acao=escreveu o relatorio | valor=8349
linha=1099 | nome=Helena | acao=escreveu o relatorio | valor=9538
linha=1100 | nome=Mariana | acao=analisou os resultados | valor=3956
linha=1101 | nome=Renata | acao=fez um experimento | valor=1258
linha=1102 | nome=Helena | acao=analisou os resultados | valor=3665
linha=1103 | nome=Gabriela | acao=otimizou o algoritmo | valor=8381
linha=1104 | nome=Ana | acao=otimizou o algoritmo | valor=1503
linha=1105 | nome=Tiago | acao=participou da aula | valor=5678
linha=1106 | nome=Igor | acao=otimizou o algoritmo | valor=1102
linha=1107 | nome=Renata | acao=otimizou o algoritmo | valor=6891
linha=1108 | nome=Bruno | acao=analisou os resultados | valor=5426
linha=1109 | nome=Mariana | acao=analisou os resultados | valor=2858
linha=1110 | nome=Tiago | acao=comparou as metricas | valor=4053
linha=1111 | nome=Joao | acao=participou da aula | valor=5519
linha=1112 | nome=Sofia | acao=fez um experimento | valor=1348
linha=1113 | nome=Carlos | acao=estudou computacao | valor=6129
linha=1114 | nome=Renata | acao=participou da aula | valor=2447
linha=1115 | nome=Eduarda | acao=escreveu o relatorio | valor=9373
linha=1116 | nome=Sofia | acao=participou da aula | valor=9341
linha=1117 | nome=Sofia | acao=otimizou o algoritmo | valor=9826
linha=1118 | nome=Eduarda | acao=comparou as metricas | valor=5449
linha=1119 | nome=Igor | acao=escreveu o relatorio | valor=2461
linha=1120 | nome=Tiago | acao=otimizou o algoritmo | valor=2144
linha=1121 | nome=Sofia | acao=executou o benchmark | valor=7880
linha=1122 | nome=Otavio | acao=analisou os resultados | valor=2456
linha=1123 | nome=Karen | acao=analisou os resultados | valor=2538
linha=1124 | nome=Sofia | acao=analisou os resultados | valor=5508
linha=1125 | nome=Felipe | acao=analisou os resultados | valor=3411
linha=1126 | nome=Bruno | acao=analisou os resultados | valor=1449
linha=1127 | nome=Karen | acao=otimizou o algoritmo | valor=7033
linha=1128 | nome=Mariana | acao=escreveu o relatorio | valor=8014
linha=1129 | nome=Otavio | acao=fez um experimento | valor=8620
linha=1130 | nome=Paulo | acao=estudou computacao | valor=1974
linha=1131 | nome=Joao | acao=analisou os resultados | valor=5894
linha=1132 | nome=Karen | acao=estudou computacao | valor=2799
linha=1133 | nome=Igor | acao=estudou computacao | valor=1319
linha=1134 | nome=Vitor | acao=escreveu o relatorio | valor=6385
linha=1135 | nome=Lucas | acao=escreveu o relatorio | valor=4392
linha=1136 | nome=Otavio | acao=escreveu o relatorio | valor=3653
linha=1137 | nome=Tiago | acao=executou o benchmark | valor=2497
linha=1138 | nome=Vitor | acao=comparou as metricas | valor=6238
linha=1139 | nome=Natalia | acao=analisou os resultados | valor=3814
linha=1140 | nome=Eduarda | acao=otimizou o algoritmo | valor=4392
linha=1141 | nome=Natalia | acao=estudou computacao | valor=3354
linha=1142 | nome=Helena | acao=estudou computacao | valor=9512
linha=1143 | nome=Karen | acao=participou da aula | valor=7274
linha=1144 | nome=Gabriela | acao=comparou as metricas | valor=5484
linha=1145 | nome=Daniela | acao=comparou as metricas | valor=2900
linha=1146 | nome=Otavio | acao=participou da aula | valor=1539
linha=1147 | nome=Tiago | acao=fez um experimento | valor=6090
linha=1148 | nome=Lucas | acao=otimizou o algoritmo | valor=4309
linha=1149 | nome=Otavio | acao=participou da aula | valor=6346
linha=1150 | nome=Ana | acao=analisou os resultados | valor=8808
linha=1151 | nome=Mariana | acao=executou o benchmark | valor=6591
linha=1152 | nome=Felipe | acao=executou o benchmark | valor=2677
linha=1153 | nome=Renata | acao=otimizou o algoritmo | valor=7238
linha=1154 | nome=Felipe | acao=otimizou o algoritmo | valor=1516
linha=1155 | nome=Vitor | acao=analisou os resultados | valor=6646
linha=1156 | nome=Paulo | acao=fez um experimento | valor=9583
linha=1157 | nome=Gabriela | acao=comparou as metricas | valor=4079
linha=1158 | nome=Joao | acao=fez um experimento | valor=6224
linha=1159 | nome=Gabriela | acao=executou o benchmark | valor=1314
linha=1160 | nome=Gabriela | acao=analisou os resultados | valor=4334
linha=1161 | nome=Otavio | acao=otimizou o algoritmo | valor=9272
linha=1162 | nome=Tiago | acao=fez um experimento | valor=2408
linha=1163 | nome=Joao | acao=executou o benchmark | valor=6513
linha=1164 | nome=Igor | acao=estudou computacao | valor=9466
linha=1165 | nome=Helena | acao=executou o benchmark | valor=3851
