linha=1 | nome=Karen | acao=escreveu o relatorio | valor=9539
linha=1040 | nome=Mariana | acao=analisou os resultados | valor=7578
linha=1041 | nome=Igor | acao=escreveu o relatorio | valor=7112
linha=1042 | nome=Eduarda | acao=estudou computacao | valor=5441
linha=1043 | nome=Sofia | acao=participou da aula | valor=4710
linha=1044 | nome=Igor | acao=executou o benchmark | valor=4802
linha=1045 | nome=Eduarda | acao=executou o benchmark | valor=4190
linha=1046 | nome=Sofia | acao=comparou as metricas | valor=9104
linha=1047 | nome=Natalia | acao=escreveu o relatorio | valor=5222
linha=1048 | nome=Igor | acao=otimizou o algoritmo | valor=7716
linha=1049 | nome=Vitor | acao=comparou as metricas | valor=3632
linha=1050 | nome=Natalia | acao=otimizou o algoritmo | valor=6124
linha=1051 | nome=Gabriela | acao=fez um experimento | valor=6146
linha=1052 | nome=Felipe | acao=analisou os resultados | valor=3175
linha=1053 | nome=Gabriela | acao=estudou computacao | valor=2117
linha=1054 | nome=Bruno | acao=otimizou o algoritmo | valor=6641
linha=1055 | nome=Gabriela | acao=estudou computacao | valor=5285
linha=1056 | nome=Karen | acao=analisou os resultados | valor=1564
linha=1057 | nome=Mariana | acao=analisou os resultados | valor=7781
linha=1058 | nome=Igor | acao=executou o benchmark | valor=2658
linha=1059 | nome=Tiago | acao=otimizou o algoritmo | valor=6215
linha=1060 | nome=Tiago | acao=participou da aula | valor=3024
linha=1061 | nome=Helena | acao=estudou computacao | valor=2435
linha=1062 | nome=Paulo | acao=otimizou o algoritmo | valor=6598
linha=1063 | nome=Mariana | acao=analisou os resultados | valor=4750
linha=1064 | nome=Carlos | acao=fez um experimento | valor=4223
linha=1065 | nome=Otavio | acao=participou da aula | valor=8883
linha=1066 | nome=Gabriela | acao=escreveu o relatorio | valor=4244
linha=1067 | nome=Eduarda | acao=estudou computacao | valor=1583
linha=1068 | nome=Lucas | acao=otimizou o algoritmo | valor=7321
linha=1069 | nome=Gabriela | acao=fez um experimento | valor=6427
linha=1070 | nome=Karen | acao=escreveu o relatorio | valor=4153
linha=1071 | nome=Gabriela | acao=escreveu o relatorio | valor=7541
linha=1072 | nome=Igor | acao=fez um experimento | valor=1207
linha=1073 | nome=Tiago | acao=fez um experimento | valor=6484
linha=1074 | nome=Helena | acao=executou o benchmark | valor=5078
linha=1075 | nome=Joao | acao=escreveu o relatorio | valor=3480
linha=1076 | nome=Mariana | acao=estudou computacao | valor=9094
linha=1077 | nome=Joao | acao=analisou os resultados | valor=2509
linha=1078 | nome=Bruno | acao=estudou computacao | valor=7636
linha=1079 | nome=Helena | acao=executou o benchmark | valor=4882
linha=1080 | nome=Igor | acao=executou o benchmark | valor=6610
linha=1081 | nome=Lucas | acao=otimizou o algoritmo | valor=7696
linha=1082 | nome=Helena | acao=escreveu o relatorio | valor=3968
linha=1083 | nome=Vitor | acao=estudou computacao | valor=7730
linha=1084 | nome=Mariana | acao=fez um experimento | valor=1131
linha=1085 | nome=Ana | acao=estudou computacao | valor=7661
linha=1086 | nome=Karen | acao=estudou computacao | valor=8109
linha=1087 | nome=Joao | acao=participou da aula | valor=3324
linha=1088 | nome=Otavio | acao=fez um experimento | valor=2296
linha=1089 | nome=Sofia | acao=participou da aula | valor=6136
linha=1090 | nome=Karen | acao=otimizou o algoritmo | valor=9145
linha=1091 | nome=Gabriela | acao=comparou as metricas | valor=5367
linha=1092 | nome=Joao | acao=participou da aula | valor=3113
linha=1093 | nome=Joao | acao=comparou as metricas | valor=9146
linha=1094 | nome=Tiago | acao=comparou as metricas | valor=5694
linha=1095 | nome=Eduarda | acao=escreveu o relatorio | valor=8757
linha=1096 | nome=Vitor | acao=comparou as metricas | valor=4655
linha=1097 | nome=Ana | acao=executou o benchmark | valor=3041
linha=1098 | nome=Ana | acao=otimizou o algoritmo | valor=1975
linha=1099 | nome=Vitor | acao=participou da aula | valor=8467
linha=1100 | nome=Joao | acao=otimizou o algoritmo | valor=6107
linha=1101 | nome=Mariana | acao=analisou os resultados | valor=1349
linha=1102 | nome=Felipe | acao=fez um experimento | valor=5372
linha=1103 | nome=Vitor | acao=fez um experimento | valor=8995
linha=1104 | nome=Renata | acao=estudou computacao | valor=9039
linha=1105 | nome=Felipe | acao=otimizou o algoritmo | valor=2727
linha=1106 | nome=Joao | acao=analisou os resultados | valor=5972
linha=1107 | nome=Mariana | acao=otimizou o algoritmo | valor=9427
linha=1108 | nome=Helena | acao=analisou os resultados | valor=8954
linha=1109 | nome=Igor | acao=executou o benchmark | valor=2574
linha=1110 | nome=Mariana | acao=fez um experimento | valor=3085
linha=1111 | nome=Otavio | acao=analisou os resultados | valor=6992
linha=1112 | nome=Otavio | acao=estudou computacao | valor=1355
linha=1113 | nome=Daniela | acao=analisou os resultados | valor=4427
linha=1114 | nome=Joao | acao=fez um experimento | valor=5194
linha=1115 | nome=Joao | acao=executou o benchmark | valor=6279
linha=1116 | nome=Ana | acao=executou o benchmark | valor=3569
linha=1117 | nome=Mariana | acao=escreveu o relatorio | valor=1393
linha=1118 | nome=Daniela | acao=fez um experimento | valor=6090
linha=1119 | nome=Joao | acao=otimizou o algoritmo | valor=8048
linha=1120 | nome=Paulo | acao=otimizou o algoritmo | valor=2307
linha=1121 | nome=Mariana | acao=comparou as metricas | valor=4758
linha=1122 | nome=Bruno | acao=fez um experimento | valor=7245
linha=1123 | nome=Vitor | acao=escreveu o relatorio | valor=7646
linha=1124 | nome=Joao | acao=otimizou o algoritmo | valor=5075
linha=1125 | nome=Felipe | acao=fez um experimento | valor=7701
linha=1126 | nome=Otavio | acao=executou o benchmark | valor=8854
linha=1127 | nome=Karen | acao=analisou os resultados | valor=5074
linha=1128 | nome=Carlos | acao=comparou as metricas | valor=6322
linha=1129 | nome=Gabriela | acao=estudou computacao | valor=9450
linha=1130 | nome=Sofia | acao=executou o benchmark | valor=2123
linha=1131 | nome=Igor | acao=estudou computacao | valor=3809
linha=1132 | nome=Ana | acao=executou o benchmark | valor=9519
linha=1133 | nome=Otavio | acao=participou da aula | valor=9247
linha=1134 | nome=Paulo | acao=escreveu o relatorio | valor=8030
linha=1135 | nome=Eduarda | acao=escreveu o relatorio | valor=6556
linha=1136 | nome=Bruno | acao=otimizou o algoritmo | valor=9959
linha=1137 | nome=Mariana | acao=otimizou o algoritmo | valor=3337
linha=1138 | nome=Eduarda | acao=escreveu o relatorio | valor=8900
linha=1139 | nome=Natalia | acao=fez um experimento | valor=4107
linha=1140 | nome=Otavio | acao=analisou os resultados | valor=3800
linha=1141 | nome=Joao | acao=escreveu o relatorio | valor=4226
linha=1142 | nome=Bruno | acao=comparou as metricas | valor=2994
linha=1143 | nome=Karen | acao=comparou as metricas | valor=8667
linha=1144 | nome=Renata | acao=executou o benchmark | valor=9332
linha=1145 | nome=Mariana | acao=escreveu o relatorio | valor=9435
linha=1146 | nome=Natalia | acao=escreveu o relatorio | valor=7705
linha=1147 | nome=Paulo | acao=comparou as metricas | valor=3898
linha=1148 | nome=Otavio | acao=fez um experimento | valor=2190
linha=1149 | nome=Otavio | acao=participou da aula | valor=9192
linha=1150 | nome=Renata | acao=otimizou o algoritmo | valor=7237
linha=1151 | nome=Mariana | acao=participou da aula | valor=9453
linha=1152 | nome=Eduarda | acao=executou o benchmark | valor=5237
linha=1153 | nome=Carlos | acao=otimizou o algoritmo | valor=3288
linha=1154 | nome=Paulo | acao=otimizou o algoritmo | valor=4076
linha=1155 | nome=Karen | acao=participou da aula | valor=8575
linha=1156 | nome=Paulo | acao=escreveu o relatorio | valor=4477
linha=1157 | nome=Igor | acao=executou o benchmark | valor=9187
linha=1158 | nome=Otavio | acao=estudou computacao | valor=2566
linha=1159 | nome=Carlos | acao=analisou os resultados | valor=5000
linha=1160 | nome=Felipe | acao=fez um experimento | valor=3101
linha=1161 | nome=Natalia | acao=fez um experimento | valor=8250
linha=1162 | nome=Helena | acao=fez um experimento | valor=4985
linha=1163 | nome=Otavio | acao=participou da aula | valor=5065
linha=1164 | nome=Paulo | acao=participou da aula | valor=2615
linha=1165 | nome=Karen | acao=estudou computacao | valor=8516
linha=1166 | nome=Otavio | acao=participou da aula | valor=9884
linha=1167 | nome=Gabriela | acao=estudou computacao | valor=1344
linha=1168 | nome=Mariana | acao=estudou computacao | valor=3115
linha=1169 | nome=Joao | acao=analisou os resultados | valor=2615
linha=1170 | nome=Igor | acao=analisou os resultados | valor=3663
linha=1171 | nome=Vitor | acao=otimizou o algoritmo | valor=5716
linha=1172 | nome=Ana | acao=estudou computacao | valor=2196
linha=1173 | nome=Karen | acao=analisou os resultados | valor=6306
linha=1174 | nome=Otavio | acao=comparou as metricas | valor=6788
linha=1175 | nome=Karen | acao=escreveu o relatorio | valor=7053
linha=1176 | nome=Sofia | acao=executou o benchmark | valor=2781
linha=1177 | nome=Mariana | acao=otimizou o algoritmo | valor=8183
linha=1178 | nome=Ana | acao=escreveu o relatorio | valor=2050
linha=1179 | nome=Mariana | acao=analisou os resultados | valor=9933
linha=1180 | nome=Daniela | acao=otimizou o algoritmo | valor=5226
linha=1181 | nome=Vitor | acao=otimizou o algoritmo | valor=3107
linha=1182 | nome=Ana | acao=executou o benchmark | valor=1126
linha=1183 | nome=Helena | acao=estudou computacao | valor=2423
linha=1184 | nome=Vitor | acao=participou da aula | valor=1555
linha=1185 | nome=Paulo | acao=otimizou o algoritmo | valor=3435
linha=1186 | nome=Carlos | acao=executou o benchmark | valor=4931
linha=1187 | nome=Lucas | acao=analisou os resultados | valor=7514
linha=1188 | nome=Daniela | acao=analisou os resultados | valor=2340
linha=1189 | nome=Vitor | acao=escreveu o relatorio | valor=2756
linha=1190 | nome=Lucas | acao=escreveu o relatorio | valor=4449
linha=1191 | nome=Lucas | acao=estudou computacao | valor=3089
linha=1192 | nome=Ana | acao=participou da aula | valor=9665
linha=1193 | nome=Joao | acao=comparou as metricas | valor=1279
linha=1194 | nome=Natalia | acao=estudou computacao | valor=2674
linha=1195 | nome=Gabriela | acao=fez um experimento | valor=6706
linha=1196 | nome=Otavio | acao=fez um experimento | valor=3350
linha=1197 | nome=Daniela | acao=executou o benchmark | valor=4526
linha=1198 | nome=Joao | acao=fez um experimento | valor=8496
linha=1199 | nome=Sofia | acao=escreveu o relatorio | valor=8344
linha=1200 | nome=Tiago | acao=participou da aula | valor=9323
linha=1201 | nome=Ana | acao=escreveu o relatorio | valor=5480
linha=1202 | nome=Bruno | acao=participou da aula | valor=8771
linha=1203 | nome=Felipe | acao=escreveu o relatorio | valor=6952
linha=1204 | nome=Vitor | acao=escreveu o relatorio | valor=9013
linha=1205 | nome=Felipe | acao=participou da aula | valor=8589
linha=1206 | nome=Karen | acao=executou o benchmark | valor=1711
linha=1207 | nome=Helena | acao=estudou computacao | valor=2669
linha=1208 | nome=Mariana | acao=participou da aula | valor=8748
linha=1209 | nome=Sofia | acao=participou da aula | valor=7128
linha=1210 | nome=Renata | acao=estudou computacao | valor=5749
linha=1211 | nome=Gabriela | acao=otimizou o algoritmo | valor=1110
linha=1212 | nome=Karen | acao=participou da aula | valor=2646
linha=1213 | nome=Mariana | acao=executou o benchmark | valor=7656
linha=1214 | nome=Ana | acao=estudou computacao | valor=7136
linha=1215 | nome=Helena | acao=fez um experimento | valor=2925
linha=1216 | nome=Bruno | acao=otimizou o algoritmo | valor=9618
linha=1217 | nome=Bruno | acao=analisou os resultados | valor=7040
linha=1218 | nome=Gabriela | acao=participou da aula | valor=3230
linha=1219 | nome=Carlos | acao=analisou os resultados | valor=1240
linha=1220 | nome=Vitor | acao=otimizou o algoritmo | valor=1864
linha=1221 | nome=Joao | acao=comparou as metricas | valor=1806
linha=1222 | nome=Renata | acao=escreveu o relatorio | valor=2871
linha=1223 | nome=Mariana | acao=analisou os resultados | valor=9257
linha=1224 | nome=Lucas | acao=executou o benchmark | valor=7727
linha=1225 | nome=Vitor | acao=fez um experimento | valor=6670
linha=1226 | nome=Igor | acao=estudou computacao | valor=5200
linha=1227 | nome=Gabriela | acao=fez um experimento | valor=9855
linha=1228 | nome=Felipe | acao=participou da aula | valor=7611
linha=1229 | nome=Eduarda | acao=participou da aula | valor=5256
linha=1230 | nome=Mariana | acao=estudou computacao | valor=9064
linha=1231 | nome=Helena | acao=analisou os resultados | valor=1447
linha=1232 | nome=Daniela | acao=otimizou o algoritmo | valor=7255
linha=1233 | nome=Gabriela | acao=otimizou o algoritmo | valor=2872
linha=1234 | nome=Gabriela | acao=fez um experimento | valor=3532
linha=1235 | nome=Lucas | acao=comparou as metricas | valor=7828
linha=1236 | nome=Carlos | acao=fez um experimento | valor=3408
linha=1237 | nome=Eduarda | acao=escreveu o relatorio | valor=9441
linha=1238 | nome=Carlos | acao=escreveu o relatorio | valor=2963
linha=1239 | nome=Mariana | acao=fez um experimento | valor=9363
linha=1240 | nome=Joao | acao=estudou computacao | valor=4047
linha=1241 | nome=Igor | acao=analisou os resultados | valor=1790
linha=1242 | nome=Vitor | acao=escreveu o relatorio | valor=5636
linha=1243 | nome=Carlos | acao=otimizou o algoritmo | valor=3692
linha=1244 | nome=Mariana | acao=executou o benchmark | valor=6329
linha=1245 | nome=Natalia | acao=escreveu o relatorio | valor=7037
linha=1246 | nome=Paulo | acao=fez um experimento | valor=5366
linha=1247 | nome=Bruno | acao=analisou os resultados | valor=4144
linha=1248 | nome=Mariana | acao=participou da aula | valor=6995
linha=1249 | nome=Vitor | acao=escreveu o relatorio | valor=9671
linha=1250 | nome=Eduarda | acao=analisou os resultados | valor=8034
linha=1251 | nome=Ana | acao=otimizou o algoritmo | valor=1094
linha=1252 | nome=Vitor | acao=escreveu o relatorio | valor=1202
linha=1253 | nome=Daniela | acao=executou o benchmark | valor=6424
linha=1254 | nome=Tiago | acao=analisou os resultados | valor=2320
linha=1255 | nome=Eduarda | acao=estudou computacao | valor=4286
linha=1256 | nome=Ana | acao=estudou computacao | valor=6367
linha=1257 | nome=Otavio | acao=analisou os resultados | valor=5554
linha=1258 | nome=Joao | acao=executou o benchmark | valor=4548
linha=1259 | nome=Tiago | acao=otimizou o algoritmo | valor=3811
linha=1260 | nome=Helena | acao=otimizou o algoritmo | valor=2617
linha=1261 | nome=Lucas | acao=executou o benchmark | valor=9523
linha=1262 | nome=Paulo | acao=escreveu o relatorio | valor=6077
linha=1263 | nome=Gabriela | acao=analisou os resultados | valor=5329
linha=1264 | nome=Bruno | acao=participou da aula | valor=6036
linha=1265 | nome=Paulo | acao=fez um experimento | valor=9485
linha=1266 | nome=Sofia | acao=participou da aula | valor=3898
linha=1267 | nome=Joao | acao=otimizou o algoritmo | valor=1281
linha=1268 | nome=Bruno | acao=executou o benchmark | valor=3943
linha=1269 | nome=Daniela | acao=otimizou o algoritmo | valor=6617
linha=1270 | nome=Renata | acao=estudou computacao | valor=2939
linha=1271 | nome=Tiago | acao=comparou as metricas | valor=2804
linha=1272 | nome=Mariana | acao=analisou os resultados | valor=9185
linha=1273 | nome=Otavio | acao=executou o benchmark | valor=7638
linha=1274 | nome=Joao | acao=estudou computacao | valor=7454
linha=1275 | nome=Joao | acao=executou o benchmark | valor=3733
linha=1276 | nome=Bruno | acao=executou o benchmark | valor=7199
linha=1277 | nome=Vitor | acao=participou da aula | valor=5294
linha=1278 | nome=Natalia | acao=participou da aula | valor=7650
linha=1279 | nome=Helena | acao=comparou as metricas | valor=4888
linha=1280 | nome=Renata | acao=escreveu o relatorio | valor=5252
linha=1281 | nome=Igor | acao=escreveu o relatorio | valor=3376
linha=1282 | nome=Joao | acao=escreveu o relatorio | valor=7907
linha=1283 | nome=Gabriela | acao=otimizou o algoritmo | valor=9639
linha=1284 | nome=Karen | acao=otimizou o algoritmo | valor=9700
linha=1285 | nome=Renata | acao=executou o benchmark | valor=6424
linha=1286 | nome=Daniela | acao=executou o benchmark | valor=9906
linha=1287 | nome=Joao | acao=analisou os resultados | valor=3587
linha=1288 | nome=Gabriela | acao=analisou os resultados | valor=3783
linha=1289 | nome=Paulo | acao=fez um experimento | valor=3715
linha=1290 | nome=Vitor | acao=escreveu o relatorio | valor=4127
linha=1291 | nome=Karen | acao=executou o benchmark | valor=1376
linha=1292 | nome=Lucas | acao=escreveu o relatorio | valor=1567
linha=1293 | nome=Helena | acao=estudou computacao | valor=9896
linha=1294 | nome=Renata | acao=fez um experimento | valor=7342
linha=1295 | nome=Paulo | acao=otimizou o algoritmo | valor=2051
linha=1296 | nome=Otavio | acao=fez um experimento | valor=4998
linha=1297 | nome=Mariana | acao=fez um experimento | valor=7289
linha=1298 | nome=Mariana | acao=estudou computacao | valor=6612
linha=1299 | nome=Lucas | acao=estudou computacao | valor=5029
linha=1300 | nome=Eduarda | acao=otimizou o algoritmo | valor=4317
linha=1301 | nome=Helena | acao=comparou as metricas | valor=2329
linha=1302 | nome=Natalia | acao=estudou computacao | valor=3574
linha=1303 | nome=Bruno | acao=executou o benchmark | valor=6693
linha=1304 | nome=Renata | acao=otimizou o algoritmo | valor=9535
linha=1305 | nome=Mariana | acao=comparou as metricas | valor=5241
linha=1306 | nome=Mariana | acao=escreveu o relatorio | valor=8359
linha=1307 | nome=Karen | acao=executou o benchmark | valor=6110
linha=1308 | nome=Otavio | acao=analisou os resultados | valor=3792
linha=1309 | nome=Renata | acao=otimizou o algoritmo | valor=2093
linha=1310 | nome=Gabriela | acao=otimizou o algoritmo | valor=9807
linha=1311 | nome=Natalia | acao=estudou computacao | valor=6826
linha=1312 | nome=Daniela | acao=participou da aula | valor=9459
linha=1313 | nome=Eduarda | acao=analisou os resultados | valor=8177
linha=1314 | nome=Otavio | acao=estudou computacao | valor=1890
linha=1315 | nome=Sofia | acao=estudou computacao | valor=8988
linha=1316 | nome=Sofia | acao=analisou os resultados | valor=9311
linha=1317 | nome=Paulo | acao=otimizou o algoritmo | valor=2379
linha=1318 | nome=Karen | acao=comparou as metricas | valor=4208
linha=1319 | nome=Bruno | acao=participou da aula | valor=9649
linha=1320 | nome=Igor | acao=escreveu o relatorio | valor=6739
linha=1321 | nome=Lucas | acao=executou o benchmark | valor=4037
linha=1322 | nome=Helena | acao=otimizou o algoritmo | valor=2078
linha=1323 | nome=Igor | acao=executou o benchmark | valor=1734
linha=1324 | nome=Renata | acao=executou o benchmark | valor=4874
linha=1325 | nome=Mariana | acao=analisou os resultados | valor=7821
linha=1326 | nome=Natalia | acao=estudou computacao | valor=2802
linha=1327 | nome=Igor | acao=otimizou o algoritmo | valor=5385
linha=1328 | nome=Igor | acao=escreveu o relatorio | valor=6075
linha=1329 | nome=Tiago | acao=estudou computacao | valor=5890
linha=1330 | nome=Daniela | acao=comparou as metricas | valor=4183
linha=1331 | nome=Mariana | acao=fez um experimento | valor=9158
linha=1332 | nome=Natalia | acao=analisou os resultados | valor=9116
linha=1333 | nome=Karen | acao=analisou os resultados | valor=4842
linha=1334 | nome=Igor | acao=escreveu o relatorio | valor=6266
linha=1335 | nome=Ana | acao=escreveu o relatorio | valor=5478
linha=1336 | nome=Eduarda | acao=participou da aula | valor=3984
linha=1337 | nome=Igor | acao=analisou os resultados | valor=7655
linha=1338 | nome=Tiago | acao=escreveu o relatorio | valor=8383
linha=1339 | nome=Lucas | acao=otimizou o algoritmo | valor=2146
linha=1340 | nome=Ana | acao=escreveu o relatorio | valor=1097
linha=1341 | nome=Mariana | acao=fez um experimento | valor=4025
linha=1342 | nome=Sofia | acao=executou o benchmark | valor=6414
linha=1343 | nome=Ana | acao=escreveu o relatorio | valor=4202
linha=1344 | nome=Tiago | acao=estudou computacao | valor=1521
linha=1345 | nome=Ana | acao=estudou computacao | valor=9435
linha=1346 | nome=Natalia | acao=otimizou o algoritmo | valor=6104
linha=1347 | nome=Karen | acao=escreveu o relatorio | valor=6793
linha=1348 | nome=Paulo | acao=otimizou o algoritmo | valor=5460
linha=1349 | nome=Gabriela | acao=otimizou o algoritmo | valor=3051
linha=1350 | nome=Mariana | acao=analisou os resultados | valor=9527
linha=1351 | nome=Carlos | acao=analisou os resultados | valor=2537
linha=1352 | nome=Paulo | acao=estudou computacao | valor=7041
linha=1353 | nome=Bruno | acao=escreveu o relatorio | valor=2714
linha=1354 | nome=Otavio | acao=fez um experimento | valor=4440
linha=1355 | nome=Otavio | acao=otimizou o algoritmo | valor=2741
linha=1356 | nome=Otavio | acao=otimizou o algoritmo | valor=8204
linha=1357 | nome=Daniela | acao=otimizou o algoritmo | valor=8320
linha=1358 | nome=Bruno | acao=participou da aula | valor=5398
linha=1359 | nome=Felipe | acao=comparou as metricas | valor=4035
linha=1360 | nome=Paulo | acao=comparou as metricas | valor=7497
linha=1361 | nome=Mariana | acao=comparou as metricas | valor=5664
linha=1362 | nome=Eduarda | acao=executou o benchmark | valor=9132
linha=1363 | nome=Lucas | acao=estudou computacao | valor=5729
linha=1364 | nome=Renata | acao=participou da aula | valor=6402
linha=1365 | nome=Natalia | acao=fez um experimento | valor=4738
linha=1366 | nome=Ana | acao=participou da aula | valor=6915
linha=1367 | nome=Felipe | acao=comparou as metricas | valor=5625
linha=1368 | nome=Otavio | acao=estudou computacao | valor=7263
linha=1369 | nome=Joao | acao=participou da aula | valor=7179
linha=1370 | nome=Sofia | acao=participou da aula | valor=3187
linha=1371 | nome=Mariana | acao=escreveu o relatorio | valor=2214
linha=1372 | nome=Gabriela | acao=comparou as metricas | valor=8717
linha=1373 | nome=Joao | acao=escreveu o relatorio | valor=6153
linha=1374 | nome=Natalia | acao=participou da aula | valor=7471
linha=1375 | nome=Sofia | acao=otimizou o algoritmo | valor=5476
linha=1376 | nome=Lucas | acao=executou o benchmark | valor=7475
linha=1377 | nome=Mariana | acao=analisou os resultados | valor=9012
linha=1378 | nome=Joao | acao=participou da aula | valor=7386
linha=1379 | nome=Carlos | acao=participou da aula | valor=6992
linha=1380 | nome=Renata | acao=escreveu o relatorio | valor=8239
linha=1381 | nome=Bruno | acao=participou da aula | valor=6429
linha=1382 | nome=Tiago | acao=executou o benchmark | valor=8401
linha=1383 | nome=Bruno | acao=otimizou o algoritmo | valor=4397
linha=1384 | nome=Daniela | acao=executou o benchmark | valor=4056
linha=1385 | nome=Igor | acao=estudou computacao | valor=1594
linha=1386 | nome=Otavio | acao=fez um experimento | valor=1750
linha=1387 | nome=Daniela | acao=estudou computacao | valor=6425
linha=1388 | nome=Mariana | acao=executou o benchmark | valor=7900
linha=1389 | nome=Ana | acao=executou o benchmark | valor=7967
linha=1390 | nome=Vitor | acao=comparou as metricas | valor=8604
linha=1391 | nome=Otavio | acao=participou da aula | valor=7285
linha=1392 | nome=Sofia | acao=participou da aula | valor=3412
linha=1393 | nome=Felipe | acao=analisou os resultados | valor=6812
linha=1394 | nome=Carlos | acao=fez um experimento | valor=6048
linha=1395 | nome=Ana | acao=executou o benchmark | valor=7686
linha=1396 | nome=Karen | acao=analisou os resultados | valor=6662
linha=1397 | nome=Daniela | acao=executou o benchmark | valor=1481
linha=1398 | nome=Renata | acao=fez um experimento | valor=6855
linha=1399 | nome=Renata | acao=comparou as metricas | valor=4119
linha=1400 | nome=Paulo | acao=escreveu o relatorio | valor=8103
linha=1401 | nome=Renata | acao=estudou computacao | valor=2869
linha=1402 | nome=Sofia | acao=executou o benchmark | valor=7572
linha=1403 | nome=Tiago | acao=otimizou o algoritmo | valor=5946
linha=1404 | nome=Vitor | acao=fez um experimento | valor=7692
linha=1405 | nome=Ana | acao=executou o benchmark | valor=6062
linha=1406 | nome=Carlos | acao=executou o benchmark | valor=2717
linha=1407 | nome=Bruno | acao=estudou computacao | valor=5090
linha=1408 | nome=Paulo | acao=comparou as metricas | valor=6206
linha=1409 | nome=Carlos | acao=estudou computacao | valor=3638
linha=1410 | nome=Eduarda | acao=otimizou o algoritmo | valor=3750
linha=1411 | nome=Joao | acao=participou da aula | valor=5096
linha=1412 | nome=Natalia | acao=analisou os resultados | valor=5740
linha=1413 | nome=Vitor | acao=estudou computacao | valor=6282
linha=1414 | nome=Helena | acao=comparou as metricas | valor=9038
linha=1415 | nome=Bruno | acao=estudou computacao | valor=2176
linha=1416 | nome=Joao | acao=otimizou o algoritmo | valor=9467
linha=1417 | nome=Helena | acao=escreveu o relatorio | valor=9312
linha=1418 | nome=Sofia | acao=estudou computacao | valor=6831
linha=1419 | nome=Lucas | acao=fez um experimento | valor=3711
linha=1420 | nome=Mariana | acao=executou o benchmark | valor=5260
linha=1421 | nome=Vitor | acao=escreveu o relatorio | valor=2099
linha=1422 | nome=Felipe | acao=analisou os resultados | valor=1192
linha=1423 | nome=Vitor | acao=escreveu o relatorio | valor=9135
linha=1424 | nome=Karen | acao=otimizou o algoritmo | valor=3503
linha=1425 | nome=Paulo | acao=estudou computacao | valor=5278
linha=1426 | nome=Paulo | acao=executou o benchmark | valor=5648
linha=1427 | nome=Paulo | acao=fez um experimento | valor=8375
linha=1428 | nome=Paulo | acao=comparou as metricas | valor=3316
linha=1429 | nome=Mariana | acao=analisou os resultados | valor=4579
linha=1430 | nome=Mariana | acao=escreveu o relatorio | valor=7188
linha=1431 | nome=Mariana | acao=escreveu o relatorio | valor=2596
linha=1432 | nome=Otavio | acao=comparou as metricas | valor=5836
linha=1433 | nome=Lucas | acao=escreveu o relatorio | valor=6516
linha=1434 | nome=Felipe | acao=analisou os resultados | valor=3126
linha=1435 | nome=Karen | acao=fez um experimento | valor=4365
linha=1436 | nome=Bruno | acao=participou da aula | valor=9167
linha=1437 | nome=Karen | acao=participou da aula | valor=1870
linha=1438 | nome=Sofia | acao=participou da aula | valor=6425
linha=1439 | nome=Daniela | acao=estudou computacao | valor=1322
linha=1440 | nome=Vitor | acao=escreveu o relatorio | valor=3459
linha=1441 | nome=Tiago | acao=analisou os resultados | valor=8121
linha=1442 | nome=Otavio | acao=otimizou o algoritmo | valor=8695
linha=1443 | nome=Daniela | acao=analisou os resultados | valor=9591
linha=1444 | nome=Tiago | acao=escreveu o relatorio | valor=3298
linha=1445 | nome=Sofia | acao=analisou os resultados | valor=2223
linha=1446 | nome=Gabriela | acao=estudou computacao | valor=2354
linha=1447 | nome=Carlos | acao=executou o benchmark | valor=6522
linha=1448 | nome=Paulo | acao=otimizou o algoritmo | valor=5781
linha=1449 | nome=Daniela | acao=fez um experimento | valor=9177
linha=1450 | nome=Sofia | acao=fez um experimento | valor=6825
linha=1451 | nome=Eduarda | acao=analisou os resultados | valor=9819
linha=1452 | nome=Lucas | acao=comparou as metricas | valor=7990
linha=1453 | nome=Natalia | acao=participou da aula | valor=3261
linha=1454 | nome=Vitor | acao=executou o benchmark | valor=9981
linha=1455 | nome=Carlos | acao=executou o benchmark | valor=4205
linha=1456 | nome=Eduarda | acao=comparou as metricas | valor=5550
linha=1457 | nome=Natalia | acao=executou o benchmark | valor=9824
linha=1458 | nome=Mariana | acao=escreveu o relatorio | valor=3920
linha=1459 | nome=Otavio | acao=analisou os resultados | valor=3350
linha=1460 | nome=Tiago | acao=estudou computacao | valor=7589
linha=1461 | nome=Lucas | acao=escreveu o relatorio | valor=2156
linha=1462 | nome=Ana | acao=executou o benchmark | valor=2488
linha=1463 | nome=Joao | acao=executou o benchmark | valor=1103
linha=1464 | nome=Gabriela | acao=estudou computacao | valor=9313
linha=1465 | nome=Sofia | acao=escreveu o relatorio | valor=7310
linha=1466 | nome=Paulo | acao=participou da aula | valor=7848
linha=1467 | nome=Joao | acao=fez um experimento | valor=6861
linha=1468 | nome=Daniela | acao=participou da aula | valor=2288
linha=1469 | nome=Paulo | acao=participou da aula | valor=2351
linha=1470 | nome=Tiago | acao=otimizou o algoritmo | valor=5910
linha=1471 | nome=Helena | acao=estudou computacao | valor=7924
linha=1472 | nome=Bruno | acao=fez um experimento | valor=4355
linha=1473 | nome=Eduarda | acao=executou o benchmark | valor=1346
linha=1474 | nome=Joao | acao=participou da aula | valor=3830
linha=1475 | nome=Karen | acao=comparou as metricas | valor=5137
