linha=1 | nome=Ana | acao=estudou computacao | valor=3240
linha=970 | nome=Eduarda | acao=otimizou o algoritmo | valor=1739
linha=971 | nome=Sofia | acao=participou da aula | valor=1063
linha=972 | nome=Otavio | acao=participou da aula | valor=7259
linha=973 | nome=Sofia | acao=participou da aula | valor=6649
linha=974 | nome=Karen | acao=escreveu o relatorio | valor=2467
linha=975 | nome=Ana | acao=estudou computacao | valor=1090
linha=976 | nome=Gabriela | acao=executou o benchmark | valor=3148
linha=977 | nome=Paulo | acao=analisou os resultados | valor=9609
linha=978 | nome=Otavio | acao=otimizou o algoritmo | valor=9094
linha=979 | nome=Karen | acao=estudou computacao | valor=9600
linha=980 | nome=Bruno | acao=executou o benchmark | valor=9449
linha=981 | nome=Gabriela | acao=otimizou o algoritmo | valor=5394
linha=982 | nome=Felipe | acao=escreveu o relatorio | valor=7131
linha=983 | nome=Sofia | acao=estudou computacao | valor=8136
linha=984 | nome=Tiago | acao=comparou as metricas | valor=2237
linha=985 | nome=Mariana | acao=escreveu o relatorio | valor=1716
linha=986 | nome=Sofia | acao=estudou computacao | valor=5863
linha=987 | nome=Joao | acao=executou o benchmark | valor=5945
linha=988 | nome=Karen | acao=participou da aula | valor=2647
linha=989 | nome=Ana | acao=participou da aula | valor=2475
linha=990 | nome=Mariana | acao=estudou computacao | valor=4804
linha=991 | nome=Otavio | acao=otimizou o algoritmo | valor=5005
linha=992 | nome=Ana | acao=otimizou o algoritmo | valor=9315
linha=993 | nome=Renata | acao=comparou as metricas | valor=8533
linha=994 | nome=Otavio | acao=comparou as metricas | valor=7611
linha=995 | nome=Vitor | acao=fez um experimento | valor=1791
linha=996 | nome=Daniela | acao=participou da aula | valor=4250
linha=997 | nome=Carlos | acao=estudou computacao | valor=5928
linha=998 | nome=Helena | acao=otimizou o algoritmo | valor=4787
linha=999 | nome=Eduarda | acao=fez um experimento | valor=3231
linha=1000 | nome=Gabriela | acao=participou da aula | valor=5843
linha=1001 | nome=Otavio | acao=otimizou o algoritmo | valor=9645
linha=1002 | nome=Gabriela | acao=participou da aula | valor=2387
linha=1003 | nome=Daniela | acao=fez um experimento | valor=3268
linha=1004 | nome=Otavio | acao=comparou as metricas | valor=8680
linha=1005 | nome=Ana | acao=comparou as metricas | valor=5168
linha=1006 | nome=Joao | acao=fez um experimento | valor=1485
linha=1007 | nome=Mariana | acao=estudou computacao | valor=6068
linha=1008 | nome=Mariana | acao=estudou computacao | valor=2130
linha=1009 | nome=Ana | acao=executou o benchmark | valor=3341
linha=1010 | nome=Felipe | acao=estudou computacao | valor=1263
linha=1011 | nome=Daniela | acao=escreveu o relatorio | valor=4644
linha=1012 | nome=Lucas | acao=executou o benchmark | valor=2433
linha=1013 | nome=Mariana | acao=comparou as metricas | valor=4472
linha=1014 | nome=Igor | acao=estudou computacao | valor=3985
linha=1015 | nome=Daniela | acao=executou o benchmark | valor=2678
linha=1016 | nome=Sofia | acao=comparou as metricas | valor=9430
linha=1017 | nome=Eduarda | acao=participou da aula | valor=5490
linha=1018 | nome=Karen | acao=estudou computacao | valor=5320
linha=1019 | nome=Gabriela | acao=analisou os resultados | valor=5735
linha=1020 | nome=Tiago | acao=fez um experimento | valor=4187
linha=1021 | nome=Carlos | acao=comparou as metricas | valor=3651
linha=1022 | nome=Natalia | acao=estudou computacao | valor=5202
linha=1023 | nome=Gabriela | acao=executou o benchmark | valor=3255
linha=1024 | nome=Helena | acao=escreveu o relatorio | valor=8381
linha=1025 | nome=Tiago | acao=executou o benchmark | valor=8638
linha=1026 | nome=Gabriela | acao=otimizou o algoritmo | valor=1757
linha=1027 | nome=Mariana | acao=otimizou o algoritmo | valor=7179
linha=1028 | nome=Paulo | acao=fez um experimento | valor=9382
linha=1029 | nome=Sofia | acao=analisou os resultados | valor=2547
linha=1030 | nome=Daniela | acao=comparou as metricas | valor=7986
linha=1031 | nome=Igor | acao=comparou as metricas | valor=7592
linha=1032 | nome=Mariana | acao=comparou as metricas | valor=9063
linha=1033 | nome=Paulo | acao=participou da aula | valor=4493
linha=1034 | nome=Otavio | acao=participou da aula | valor=2510
linha=1035 | nome=Renata | acao=otimizou o algoritmo | valor=7904
linha=1036 | nome=Renata | acao=participou da aula | valor=6837
linha=1037 | nome=Eduarda | acao=estudou computacao | valor=8843
linha=1038 | nome=Karen | acao=estudou computacao | valor=6389
linha=1039 | nome=Igor | acao=participou da aula | valor=8684
linha=1040 | nome=Igor | acao=fez um experimento | valor=5081
linha=1041 | nome=Lucas | acao=participou da aula | valor=2424
linha=1042 | nome=Mariana | acao=otimizou o algoritmo | valor=6027
linha=1043 | nome=Sofia | acao=executou o benchmark | valor=2062
linha=1044 | nome=Sofia | acao=escreveu o relatorio | valor=1712
linha=1045 | nome=Igor | acao=comparou as metricas | valor=2845
linha=1046 | nome=Mariana | acao=estudou computacao | valor=4317
linha=1047 | nome=Eduarda | acao=fez um experimento | valor=9345
linha=1048 | nome=Felipe | acao=comparou as metricas | valor=6712
linha=1049 | nome=Natalia | acao=analisou os resultados | valor=5131
linha=1050 | nome=Helena | acao=estudou computacao | valor=7624
linha=1051 | nome=Otavio | acao=escreveu o relatorio | valor=5813
linha=1052 | nome=Daniela | acao=analisou os resultados | valor=2383
linha=1053 | nome=Sofia | acao=fez um experimento | valor=2752
linha=1054 | nome=Helena | acao=executou o benchmark | valor=3314
linha=1055 | nome=Karen | acao=participou da aula | valor=1112
linha=1056 | nome=Tiago | acao=participou da aula | valor=9064
linha=1057 | nome=Vitor | acao=executou o benchmark | valor=8556
linha=1058 | nome=Vitor | acao=comparou as metricas | valor=1699
linha=1059 | nome=Karen | acao=executou o benchmark | valor=5581
linha=1060 | nome=Renata | acao=comparou as metricas | valor=8509
linha=1061 | nome=Bruno | acao=fez um experimento | valor=1446
linha=1062 | nome=Karen | acao=estudou computacao | valor=6099
linha=1063 | nome=Otavio | acao=fez um experimento | valor=2037
linha=1064 | nome=Igor | acao=estudou computacao | valor=9743
linha=1065 | nome=Igor | acao=estudou computacao | valor=8501
linha=1066 | nome=Lucas | acao=estudou computacao | valor=4246
linha=1067 | nome=Natalia | acao=executou o benchmark | valor=4658
linha=1068 | nome=Igor | acao=comparou as metricas | valor=7861
linha=1069 | nome=Otavio | acao=otimizou o algoritmo | valor=4737
linha=1070 | nome=Lucas | acao=comparou as metricas | valor=2493
linha=1071 | nome=Paulo | acao=participou da aula | valor=2763
linha=1072 | nome=Gabriela | acao=estudou computacao | valor=7491
linha=1073 | nome=Igor | acao=escreveu o relatorio | valor=7921
linha=1074 | nome=Tiago | acao=estudou computacao | valor=1186
linha=1075 | nome=Natalia | acao=escreveu o relatorio | valor=3922
linha=1076 | nome=Sofia | acao=estudou computacao | valor=6432
linha=1077 | nome=Ana | acao=participou da aula | valor=3438
linha=1078 | nome=Paulo | acao=escreveu o relatorio | valor=9215
linha=1079 | nome=Igor | acao=otimizou o algoritmo | valor=8850
linha=1080 | nome=Daniela | acao=estudou computacao | valor=5451
linha=1081 | nome=Karen | acao=estudou computacao | valor=8973
linha=1082 | nome=Joao | acao=comparou as metricas | valor=3603
linha=1083 | nome=Eduarda | acao=estudou computacao | valor=2340
linha=1084 | nome=Paulo | acao=executou o benchmark | valor=4242
linha=1085 | nome=Mariana | acao=analisou os resultados | valor=1451
linha=1086 | nome=Igor | acao=estudou computacao | valor=6626
linha=1087 | nome=Sofia | acao=comparou as metricas | valor=1090
linha=1088 | nome=Natalia | acao=estudou computacao | valor=4328
linha=1089 | nome=Daniela | acao=escreveu o relatorio | valor=5114
linha=1090 | nome=Sofia | acao=estudou computacao | valor=1768
linha=1091 | nome=Eduarda | acao=executou o benchmark | valor=5252
linha=1092 | nome=Joao | acao=escreveu o relatorio | valor=4987
linha=1093 | nome=Tiago | acao=participou da aula | valor=3776
linha=1094 | nome=Vitor | acao=estudou computacao | valor=7337
linha=1095 | nome=Sofia | acao=comparou as metricas | valor=3718
linha=1096 | nome=Mariana | acao=analisou os resultados | valor=1568
linha=1097 | nome=Daniela | acao=executou o benchmark | valor=7487
linha=1098 | nome=Otavio | acao=analisou os resultados | valor=7848
linha=1099 | nome=Bruno | acao=participou da aula | valor=4843
linha=1100 | nome=Bruno | acao=estudou computacao | valor=9835
linha=1101 | nome=Eduarda | acao=executou o benchmark | valor=7408
linha=1102 | nome=Tiago | acao=estudou computacao | valor=1234
linha=1103 | nome=Paulo | acao=comparou as metricas | valor=2924
linha=1104 | nome=Bruno | acao=estudou computacao | valor=5678
linha=1105 | nome=Igor | acao=comparou as metricas | valor=3578
linha=1106 | nome=Bruno | acao=escreveu o relatorio | valor=8853
linha=1107 | nome=Helena | acao=analisou os resultados | valor=1793
linha=1108 | nome=Paulo | acao=fez um experimento | valor=1437
linha=1109 | nome=Joao | acao=analisou os resultados | valor=2631
linha=1110 | nome=Carlos | acao=escreveu o relatorio | valor=4418
linha=1111 | nome=Otavio | acao=comparou as metricas | valor=4569
linha=1112 | nome=Helena | acao=estudou computacao | valor=9819
linha=1113 | nome=Ana | acao=otimizou o algoritmo | valor=8910
linha=1114 | nome=Tiago | acao=escreveu o relatorio | valor=1724
linha=1115 | nome=Karen | acao=analisou os resultados | valor=6925
linha=1116 | nome=Natalia | acao=fez um experimento | valor=2261
linha=1117 | nome=Joao | acao=participou da aula | valor=7307
linha=1118 | nome=Felipe | acao=escreveu o relatorio | valor=4900
linha=1119 | nome=Otavio | acao=participou da aula | valor=9615
linha=1120 | nome=Daniela | acao=participou da aula | valor=8112
linha=1121 | nome=Mariana | acao=estudou computacao | valor=6251
linha=1122 | nome=Daniela | acao=executou o benchmark | valor=9083
linha=1123 | nome=Igor | acao=comparou as metricas | valor=8473
linha=1124 | nome=Natalia | acao=analisou os resultados | valor=7433
linha=1125 | nome=Natalia | acao=fez um experimento | valor=2629
linha=1126 | nome=Mariana | acao=escreveu o relatorio | valor=1091
linha=1127 | nome=Lucas | acao=fez um experimento | valor=6048
linha=1128 | nome=Bruno | acao=fez um experimento | valor=1849
linha=1129 | nome=Vitor | acao=analisou os resultados | valor=3683
linha=1130 | nome=Helena | acao=fez um experimento | valor=1793
linha=1131 | nome=Helena | acao=escreveu o relatorio | valor=3896
linha=1132 | nome=Tiago | acao=fez um experimento | valor=4051
linha=1133 | nome=Joao | acao=estudou computacao | valor=4847
linha=1134 | nome=Otavio | acao=fez um experimento | valor=5323
linha=1135 | nome=Paulo | acao=escreveu o relatorio | valor=9354
linha=1136 | nome=Igor | acao=comparou as metricas | valor=3483
linha=1137 | nome=Paulo | acao=escreveu o relatorio | valor=6617
linha=1138 | nome=Gabriela | acao=otimizou o algoritmo | valor=2281
linha=1139 | nome=Bruno | acao=participou da aula | valor=3137
linha=1140 | nome=Otavio | acao=otimizou o algoritmo | valor=2012
linha=1141 | nome=Renata | acao=otimizou o algoritmo | valor=2796
linha=1142 | nome=Daniela | acao=fez um experimento | valor=5867
linha=1143 | nome=Joao | acao=participou da aula | valor=9819
linha=1144 | nome=Joao | acao=participou da aula | valor=3854
linha=1145 | nome=Renata | acao=fez um experimento | valor=2297
linha=1146 | nome=Mariana | acao=otimizou o algoritmo | valor=1478
linha=1147 | nome=Eduarda | acao=escreveu o relatorio | valor=8829
linha=1148 | nome=Tiago | acao=escreveu o relatorio | valor=8008
linha=1149 | nome=Natalia | acao=analisou os resultados | valor=2849
linha=1150 | nome=Vitor | acao=escreveu o relatorio | valor=4787
linha=1151 | nome=Eduarda | acao=participou da aula | valor=3577
linha=1152 | nome=Eduarda | acao=comparou as metricas | valor=7821
linha=1153 | nome=Mariana | acao=executou o benchmark | valor=1026
linha=1154 | nome=Bruno | acao=executou o benchmark | valor=5758
linha=1155 | nome=Paulo | acao=fez um experimento | valor=6275
linha=1156 | nome=Natalia | acao=fez um experimento | valor=2042
linha=1157 | nome=Eduarda | acao=analisou os resultados | valor=9349
linha=1158 | nome=Igor | acao=escreveu o relatorio | valor=1785
linha=1159 | nome=Daniela | acao=comparou as metricas | valor=8485
linha=1160 | nome=Helena | acao=otimizou o algoritmo | valor=4236
linha=1161 | nome=Ana | acao=comparou as metricas | valor=4796
linha=1162 | nome=Eduarda | acao=participou da aula | valor=3242
linha=1163 | nome=Daniela | acao=otimizou o algoritmo | valor=8864
linha=1164 | nome=Eduarda | acao=otimizou o algoritmo | valor=1360
linha=1165 | nome=Ana | acao=estudou computacao | valor=3334
linha=1166 | nome=Gabriela | acao=estudou computacao | valor=7009
linha=1167 | nome=Sofia | acao=executou o benchmark | valor=3020
linha=1168 | nome=Paulo | acao=comparou as metricas | valor=3476
linha=1169 | nome=Lucas | acao=escreveu o relatorio | valor=8212
linha=1170 | nome=Joao | acao=otimizou o algoritmo | valor=4017
linha=1171 | nome=Ana | acao=estudou computacao | valor=4561
linha=1172 | nome=Daniela | acao=comparou as metricas | valor=9638
linha=1173 | nome=Igor | acao=analisou os resultados | valor=7576
linha=1174 | nome=Joao | acao=otimizou o algoritmo | valor=9878
linha=1175 | nome=Lucas | acao=participou da aula | valor=1533
linha=1176 | nome=Natalia | acao=fez um experimento | valor=8550
linha=1177 | nome=Lucas | acao=estudou computacao | valor=8026
linha=1178 | nome=Mariana | acao=executou o benchmark | valor=5357
linha=1179 | nome=Renata | acao=fez um experimento | valor=6418
linha=1180 | nome=Felipe | acao=participou da aula | valor=7712
linha=1181 | nome=Renata | acao=executou o benchmark | valor=3655
linha=1182 | nome=Carlos | acao=otimizou o algoritmo | valor=7794
linha=1183 | nome=Paulo | acao=analisou os resultados | valor=5931
linha=1184 | nome=Ana | acao=analisou os resultados | valor=6162
linha=1185 | nome=Renata | acao=executou o benchmark | valor=3312
linha=1186 | nome=Paulo | acao=executou o benchmark | valor=7420
linha=1187 | nome=Helena | acao=executou o benchmark | valor=4426
linha=1188 | nome=Lucas | acao=fez um experimento | valor=3540
linha=1189 | nome=Felipe | acao=estudou computacao | valor=2709
linha=1190 | nome=Mariana | acao=estudou computacao | valor=5043
linha=1191 | nome=Ana | acao=estudou computacao | valor=2081
linha=1192 | nome=Daniela | acao=estudou computacao | valor=7974
linha=1193 | nome=Bruno | acao=escreveu o relatorio | valor=7724
linha=1194 | nome=Karen | acao=estudou computacao | valor=8138
linha=1195 | nome=Felipe | acao=otimizou o algoritmo | valor=5379
linha=1196 | nome=Joao | acao=analisou os resultados | valor=7028
linha=1197 | nome=Gabriela | acao=participou da aula | valor=3537
linha=1198 | nome=Mariana | acao=executou o benchmark | valor=2721
linha=1199 | nome=Igor | acao=escreveu o relatorio | valor=9803
linha=1200 | nome=Eduarda | acao=otimizou o algoritmo | valor=3622
linha=1201 | nome=Tiago | acao=otimizou o algoritmo | valor=8836
linha=1202 | nome=Joao | acao=participou da aula | valor=9549
linha=1203 | nome=Gabriela | acao=fez um experimento | valor=4179
linha=1204 | nome=Gabriela | acao=participou da aula | valor=1594
linha=1205 | nome=Bruno | acao=fez um experimento | valor=9732
linha=1206 | nome=Helena | acao=analisou os resultados | valor=9719
linha=1207 | nome=Natalia | acao=executou o benchmark | valor=6635
linha=1208 | nome=Bruno | acao=escreveu o relatorio | valor=4352
linha=1209 | nome=Igor | acao=fez um experimento | valor=9800
linha=1210 | nome=Felipe | acao=analisou os resultados | valor=2435
linha=1211 | nome=Karen | acao=fez um experimento | valor=1284
linha=1212 | nome=Lucas | acao=analisou os resultados | valor=1281
linha=1213 | nome=Vitor | acao=participou da aula | valor=9427
linha=1214 | nome=Paulo | acao=executou o benchmark | valor=3611
linha=1215 | nome=Gabriela | acao=estudou computacao | valor=3404
linha=1216 | nome=Mariana | acao=comparou as metricas | valor=4853
linha=1217 | nome=Eduarda | acao=executou o benchmark | valor=9967
linha=1218 | nome=Mariana | acao=comparou as metricas | valor=7495
linha=1219 | nome=Mariana | acao=participou da aula | valor=5403
linha=1220 | nome=Sofia | acao=fez um experimento | valor=1262
linha=1221 | nome=Carlos | acao=escreveu o relatorio | valor=1573
linha=1222 | nome=Karen | acao=estudou computacao | valor=2374
linha=1223 | nome=Vitor | acao=participou da aula | valor=8984
linha=1224 | nome=Helena | acao=otimizou o algoritmo | valor=8152
linha=1225 | nome=Igor | acao=estudou computacao | valor=4790
linha=1226 | nome=Karen | acao=estudou computacao | valor=9341
linha=1227 | nome=Karen | acao=escreveu o relatorio | valor=8426
linha=1228 | nome=Felipe | acao=fez um experimento | valor=8170
linha=1229 | nome=Mariana | acao=comparou as metricas | valor=3528
linha=1230 | nome=Otavio | acao=executou o benchmark | valor=9394
linha=1231 | nome=Gabriela | acao=participou da aula | valor=8832
linha=1232 | nome=Carlos | acao=participou da aula | valor=7922
linha=1233 | nome=Gabriela | acao=estudou computacao | valor=6059
linha=1234 | nome=Igor | acao=otimizou o algoritmo | valor=5432
linha=1235 | nome=Joao | acao=fez um experimento | valor=1034
linha=1236 | nome=Eduarda | acao=otimizou o algoritmo | valor=2822
linha=1237 | nome=Joao | acao=escreveu o relatorio | valor=3238
linha=1238 | nome=Gabriela | acao=estudou computacao | valor=1866
linha=1239 | nome=Helena | acao=analisou os resultados | valor=7977
linha=1240 | nome=Mariana | acao=executou o benchmark | valor=5002
linha=1241 | nome=Joao | acao=escreveu o relatorio | valor=9259
linha=1242 | nome=Eduarda | acao=estudou computacao | valor=3465
linha=1243 | nome=Carlos | acao=executou o benchmark | valor=5173
linha=1244 | nome=Paulo | acao=comparou as metricas | valor=6889
linha=1245 | nome=Helena | acao=comparou as metricas | valor=6240
linha=1246 | nome=Bruno | acao=escreveu o relatorio | valor=8756
linha=1247 | nome=Tiago | acao=comparou as metricas | valor=1215
linha=1248 | nome=Gabriela | acao=executou o benchmark | valor=1593
linha=1249 | nome=Joao | acao=comparou as metricas | valor=2509
linha=1250 | nome=Vitor | acao=escreveu o relatorio | valor=1526
linha=1251 | nome=Otavio | acao=otimizou o algoritmo | valor=7232
linha=1252 | nome=Gabriela | acao=analisou os resultados | valor=3194
linha=1253 | nome=Helena | acao=otimizou o algoritmo | valor=3168
linha=1254 | nome=Helena | acao=fez um experimento | valor=5682
linha=1255 | nome=Helena | acao=participou da aula | valor=9907
linha=1256 | nome=Karen | acao=otimizou o algoritmo | valor=3455
linha=1257 | nome=Tiago | acao=otimizou o algoritmo | valor=4375
linha=1258 | nome=Sofia | acao=escreveu o relatorio | valor=2211
linha=1259 | nome=Mariana | acao=otimizou o algoritmo | valor=6018
linha=1260 | nome=Tiago | acao=executou o benchmark | valor=4593
linha=1261 | nome=Felipe | acao=estudou computacao | valor=2153
linha=1262 | nome=Natalia | acao=comparou as metricas | valor=7191
linha=1263 | nome=Paulo | acao=analisou os resultados | valor=6330
linha=1264 | nome=Vitor | acao=fez um experimento | valor=7381
linha=1265 | nome=Natalia | acao=participou da aula | valor=6577
linha=1266 | nome=Otavio | acao=escreveu o relatorio | valor=4651
linha=1267 | nome=Mariana | acao=comparou as metricas | valor=3835
linha=1268 | nome=Mariana | acao=estudou computacao | valor=5274
linha=1269 | nome=Vitor | acao=escreveu o relatorio | valor=7135
linha=1270 | nome=Bruno | acao=executou o benchmark | valor=7184
linha=1271 | nome=Mariana | acao=participou da aula | valor=5472
linha=1272 | nome=Paulo | acao=fez um experimento | valor=9245
linha=1273 | nome=Sofia | acao=executou o benchmark | valor=8532
linha=1274 | nome=Daniela | acao=fez um experimento | valor=7443
linha=1275 | nome=Paulo | acao=executou o benchmark | valor=1774
linha=1276 | nome=Renata | acao=executou o benchmark | valor=7361
linha=1277 | nome=Mariana | acao=fez um experimento | valor=1882
linha=1278 | nome=Renata | acao=comparou as metricas | valor=5251
linha=1279 | nome=Lucas | acao=estudou computacao | valor=9893
linha=1280 | nome=Sofia | acao=executou o benchmark | valor=7886
linha=1281 | nome=Gabriela | acao=comparou as metricas | valor=6014
linha=1282 | nome=Vitor | acao=estudou computacao | valor=8988
linha=1283 | nome=Daniela | acao=estudou computacao | valor=5552
linha=1284 | nome=Mariana | acao=estudou computacao | valor=9031
linha=1285 | nome=Tiago | acao=analisou os resultados | valor=6695
linha=1286 | nome=Mariana | acao=participou da aula | valor=4403
linha=1287 | nome=Bruno | acao=participou da aula | valor=5661
linha=1288 | nome=Felipe | acao=executou o benchmark | valor=1463
linha=1289 | nome=Tiago | acao=estudou computacao | valor=2817
linha=1290 | nome=Ana | acao=analisou os resultados | valor=4348
linha=1291 | nome=Lucas | acao=fez um experimento | valor=6240
linha=1292 | nome=Karen | acao=escreveu o relatorio | valor=9282
linha=1293 | nome=Helena | acao=analisou os resultados | valor=7240
linha=1294 | nome=Eduarda | acao=fez um experimento | valor=3800
linha=1295 | nome=Igor | acao=otimizou o algoritmo | valor=4456
linha=1296 | nome=Karen | acao=otimizou o algoritmo | valor=3257
linha=1297 | nome=Otavio | acao=participou da aula | valor=3533
linha=1298 | nome=Daniela | acao=fez um experimento | valor=8701
linha=1299 | nome=Carlos | acao=escreveu o relatorio | valor=9259
linha=1300 | nome=Renata | acao=analisou os resultados | valor=3876
linha=1301 | nome=Paulo | acao=comparou as metricas | valor=9776
linha=1302 | nome=Helena | acao=escreveu o relatorio | valor=5276
linha=1303 | nome=Carlos | acao=estudou computacao | valor=5974
linha=1304 | nome=Paulo | acao=escreveu o relatorio | valor=4646
linha=1305 | nome=Bruno | acao=participou da aula | valor=9700
linha=1306 | nome=Sofia | acao=participou da aula | valor=2088
linha=1307 | nome=Carlos | acao=estudou computacao | valor=9226
linha=1308 | nome=Vitor | acao=escreveu o relatorio | valor=1847
linha=1309 | nome=Sofia | acao=analisou os resultados | valor=1691
linha=1310 | nome=Igor | acao=analisou os resultados | valor=2164
linha=1311 | nome=Renata | acao=otimizou o algoritmo | valor=4582
linha=1312 | nome=Bruno | acao=participou da aula | valor=2871
linha=1313 | nome=Lucas | acao=estudou computacao | valor=3610
linha=1314 | nome=Otavio | acao=escreveu o relatorio | valor=3459
linha=1315 | nome=Otavio | acao=fez um experimento | valor=4514
linha=1316 | nome=Mariana | acao=participou da aula | valor=6774
linha=1317 | nome=Natalia | acao=comparou as metricas | valor=6105
linha=1318 | nome=Felipe | acao=otimizou o algoritmo | valor=1786
linha=1319 | nome=Mariana | acao=analisou os resultados | valor=6149
linha=1320 | nome=Vitor | acao=fez um experimento | valor=9344
linha=1321 | nome=Renata | acao=fez um experimento | valor=2744
linha=1322 | nome=Otavio | acao=escreveu o relatorio | valor=2168
linha=1323 | nome=Mariana | acao=estudou computacao | valor=8691
linha=1324 | nome=Tiago | acao=estudou computacao | valor=6765
linha=1325 | nome=Bruno | acao=otimizou o algoritmo | valor=9361
linha=1326 | nome=Felipe | acao=fez um experimento | valor=8430
linha=1327 | nome=Ana | acao=participou da aula | valor=2734
linha=1328 | nome=Lucas | acao=analisou os resultados | valor=2372
linha=1329 | nome=Igor | acao=estudou computacao | valor=8366
linha=1330 | nome=Tiago | acao=estudou computacao | valor=7411
linha=1331 | nome=Otavio | acao=participou da aula | valor=7087
linha=1332 | nome=Tiago | acao=escreveu o relatorio | valor=3640
linha=1333 | nome=Renata | acao=otimizou o algoritmo | valor=3287
linha=1334 | nome=Mariana | acao=fez um experimento | valor=4718
linha=1335 | nome=Joao | acao=executou o benchmark | valor=9833
linha=1336 | nome=Carlos | acao=escreveu o relatorio | valor=9789
linha=1337 | nome=Felipe | acao=escreveu o relatorio | valor=8352
linha=1338 | nome=Joao | acao=escreveu o relatorio | valor=2834
linha=1339 | nome=Vitor | acao=executou o benchmark | valor=2190
linha=1340 | nome=Mariana | acao=executou o benchmark | valor=4736
linha=1341 | nome=Tiago | acao=escreveu o relatorio | valor=7646
linha=1342 | nome=Bruno | acao=participou da aula | valor=2979
linha=1343 | nome=Natalia | acao=escreveu o relatorio | valor=2413
linha=1344 | nome=Natalia | acao=escreveu o relatorio | valor=7234
linha=1345 | nome=Helena | acao=executou o benchmark | valor=5515
linha=1346 | nome=Bruno | acao=estudou computacao | valor=2519
linha=1347 | nome=Gabriela | acao=fez um experimento | valor=2423
linha=1348 | nome=Renata | acao=escreveu o relatorio | valor=8529
linha=1349 | nome=Carlos | acao=estudou computacao | valor=9078
linha=1350 | nome=Helena | acao=fez um experimento | valor=9270
linha=1351 | nome=Igor | acao=escreveu o relatorio | valor=3952
linha=1352 | nome=Daniela | acao=estudou computacao | valor=4039
linha=1353 | nome=Daniela | acao=otimizou o algoritmo | valor=7710
linha=1354 | nome=Mariana | acao=escreveu o relatorio | valor=8290
linha=1355 | nome=Joao | acao=otimizou o algoritmo | valor=1672
linha=1356 | nome=Carlos | acao=fez um experimento | valor=9403
linha=1357 | nome=Helena | acao=analisou os resultados | valor=9224
linha=1358 | nome=Lucas | acao=otimizou o algoritmo | valor=8703
linha=1359 | nome=Eduarda | acao=executou o benchmark | valor=5434
linha=1360 | nome=Eduarda | acao=fez um experimento | valor=9386
linha=1361 | nome=Joao | acao=estudou computacao | valor=7698
linha=1362 | nome=Bruno | acao=estudou computacao | valor=8391
linha=1363 | nome=Otavio | acao=otimizou o algoritmo | valor=7868
linha=1364 | nome=Eduarda | acao=escreveu o relatorio | valor=8346
linha=1365 | nome=Vitor | acao=participou da aula | valor=8451
linha=1366 | nome=Daniela | acao=analisou os resultados | valor=1100
linha=1367 | nome=Karen | acao=fez um experimento | valor=8836
linha=1368 | nome=Otavio | acao=estudou computacao | valor=3229
linha=1369 | nome=Otavio | acao=otimizou o algoritmo | valor=6617
linha=1370 | nome=Joao | acao=otimizou o algoritmo | valor=3644
linha=1371 | nome=Daniela | acao=participou da aula | valor=9554
linha=1372 | nome=Natalia | acao=fez um experimento | valor=2782
linha=1373 | nome=Mariana | acao=fez um experimento | valor=9483
linha=1374 | nome=Igor | acao=estudou computacao | valor=6279
linha=1375 | nome=Eduarda | acao=comparou as metricas | valor=1511
linha=1376 | nome=Daniela | acao=fez um experimento | valor=1812
linha=1377 | nome=Tiago | acao=participou da aula | valor=4717
linha=1378 | nome=Igor | acao=estudou computacao | valor=7203
linha=1379 | nome=Paulo | acao=participou da aula | valor=9682
linha=1380 | nome=Mariana | acao=fez um experimento | valor=4036
linha=1381 | nome=Helena | acao=executou o benchmark | valor=2007
linha=1382 | nome=Paulo | acao=fez um experimento | valor=6985
linha=1383 | nome=Bruno | acao=otimizou o algoritmo | valor=8474
linha=1384 | nome=Paulo | acao=executou o benchmark | valor=9940
linha=1385 | nome=Igor | acao=participou da aula | valor=9516
linha=1386 | nome=Bruno | acao=executou o benchmark | valor=8211
linha=1387 | nome=Paulo | acao=executou o benchmark | valor=8814
linha=1388 | nome=Natalia | acao=otimizou o algoritmo | valor=4049
linha=1389 | nome=Igor | acao=analisou os resultados | valor=4215
linha=1390 | nome=Joao | acao=estudou computacao | valor=3900
linha=1391 | nome=Natalia | acao=estudou computacao | valor=8817
linha=1392 | nome=Otavio | acao=fez um experimento | valor=5766
linha=1393 | nome=Eduarda | acao=otimizou o algoritmo | valor=8152
linha=1394 | nome=Bruno | acao=escreveu o relatorio | valor=7580
linha=1395 | nome=Vitor | acao=escreveu o relatorio | valor=1522
linha=1396 | nome=Natalia | acao=otimizou o algoritmo | valor=3999
linha=1397 | nome=Helena | acao=fez um experimento | valor=8668
linha=1398 | nome=Natalia | acao=otimizou o algoritmo | valor=6422
linha=1399 | nome=Carlos | acao=otimizou o algoritmo | valor=4393
linha=1400 | nome=Daniela | acao=executou o benchmark | valor=2025
linha=1401 | nome=Natalia | acao=escreveu o relatorio | valor=6363
linha=1402 | nome=Paulo | acao=executou o benchmark | valor=6496
linha=1403 | nome=Sofia | acao=executou o benchmark | valor=3732
linha=1404 | nome=Joao | acao=analisou os resultados | valor=8912
linha=1405 | nome=Karen | acao=escreveu o relatorio | valor=6821
linha=1406 | nome=Ana | acao=participou da aula | valor=6558
linha=1407 | nome=Igor | acao=fez um experimento | valor=4608
linha=1408 | nome=Natalia | acao=escreveu o relatorio | valor=8332
