linha=1 | nome=Igor | acao=fez um experimento | valor=2511
linha=1325 | nome=Lucas | acao=executou o benchmark | valor=4091
linha=1326 | nome=Bruno | acao=participou da aula | valor=7291
linha=1327 | nome=Renata | acao=comparou as metricas | valor=6558
linha=1328 | nome=Paulo | acao=otimizou o algoritmo | valor=7260
linha=1329 | nome=Karen | acao=analisou os resultados | valor=5631
linha=1330 | nome=Sofia | acao=executou o benchmark | valor=6935
linha=1331 | nome=Carlos | acao=analisou os resultados | valor=2651
linha=1332 | nome=Carlos | acao=participou da aula | valor=7287
linha=1333 | nome=Igor | acao=comparou as metricas | valor=3368
linha=1334 | nome=Karen | acao=estudou computacao | valor=4522
linha=1335 | nome=Igor | acao=comparou as metricas | valor=6281
linha=1336 | nome=Natalia | acao=comparou as metricas | valor=2816
linha=1337 | nome=Ana | acao=executou o benchmark | valor=1162
linha=1338 | nome=Lucas | acao=otimizou o algoritmo | valor=8227
linha=1339 | nome=Felipe | acao=analisou os resultados | valor=2207
linha=1340 | nome=Eduarda | acao=escreveu o relatorio | valor=5234
linha=1341 | nome=Sofia | acao=estudou computacao | valor=6944
linha=1342 | nome=Karen | acao=executou o benchmark | valor=1690
linha=1343 | nome=Vitor | acao=executou o benchmark | valor=6260
linha=1344 | nome=Karen | acao=estudou computacao | valor=5256
linha=1345 | nome=Igor | acao=analisou os resultados | valor=1799
linha=1346 | nome=Tiago | acao=fez um experimento | valor=2620
linha=1347 | nome=Daniela | acao=escreveu o relatorio | valor=4424
linha=1348 | nome=Vitor | acao=otimizou o algoritmo | valor=9294
linha=1349 | nome=Joao | acao=executou o benchmark | valor=7518
linha=1350 | nome=Lucas | acao=executou o benchmark | valor=2670
linha=1351 | nome=Vitor | acao=otimizou o algoritmo | valor=2463
linha=1352 | nome=Ana | acao=comparou as metricas | valor=3380
linha=1353 | nome=Vitor | acao=comparou as metricas | valor=6634
linha=1354 | nome=Helena | acao=analisou os resultados | valor=3483
linha=1355 | nome=Renata | acao=estudou computacao | valor=9590
linha=1356 | nome=Natalia | acao=otimizou o algoritmo | valor=2256
linha=1357 | nome=Karen | acao=participou da aula | valor=9775
linha=1358 | nome=Paulo | acao=estudou computacao | valor=4659
linha=1359 | nome=Daniela | acao=participou da aula | valor=6007
linha=1360 | nome=Gabriela | acao=fez um experimento | valor=7718
linha=1361 | nome=Daniela | acao=otimizou o algoritmo | valor=5425
linha=1362 | nome=Renata | acao=fez um experimento | valor=7210
linha=1363 | nome=Sofia | acao=fez um experimento | valor=3576
linha=1364 | nome=Otavio | acao=escreveu o relatorio | valor=8494
linha=1365 | nome=Bruno | acao=comparou as metricas | valor=8265
linha=1366 | nome=Sofia | acao=participou da aula | valor=4554
linha=1367 | nome=Otavio | acao=otimizou o algoritmo | valor=9297
linha=1368 | nome=Natalia | acao=escreveu o relatorio | valor=9851
linha=1369 | nome=Renata | acao=analisou os resultados | valor=8420
linha=1370 | nome=Gabriela | acao=escreveu o relatorio | valor=8039
linha=1371 | nome=Tiago | acao=escreveu o relatorio | valor=1522
linha=1372 | nome=Bruno | acao=comparou as metricas | valor=4419
linha=1373 | nome=Igor | acao=analisou os resultados | valor=3086
linha=1374 | nome=Carlos | acao=executou o benchmark | valor=4260
linha=1375 | nome=Bruno | acao=analisou os resultados | valor=6755
linha=1376 | nome=Otavio | acao=estudou computacao | valor=3736
linha=1377 | nome=Igor | acao=fez um experimento | valor=9844
linha=1378 | nome=Natalia | acao=escreveu o relatorio | valor=3310
linha=1379 | nome=Carlos | acao=escreveu o relatorio | valor=2390
linha=1380 | nome=Mariana | acao=otimizou o algoritmo | valor=4593
linha=1381 | nome=Helena | acao=fez um experimento | valor=4192
linha=1382 | nome=Natalia | acao=otimizou o algoritmo | valor=8189
linha=1383 | nome=Lucas | acao=fez um experimento | valor=8512
linha=1384 | nome=Sofia | acao=estudou computacao | valor=7781
linha=1385 | nome=Renata | acao=participou da aula | valor=8454
linha=1386 | nome=Helena | acao=otimizou o algoritmo | valor=3746
linha=1387 | nome=Paulo | acao=analisou os resultados | valor=4781
linha=1388 | nome=Helena | acao=otimizou o algoritmo | valor=1389
linha=1389 | nome=Felipe | acao=escreveu o relatorio | valor=7012
linha=1390 | nome=Gabriela | acao=participou da aula | valor=3433
linha=1391 | nome=Igor | acao=executou o benchmark | valor=2442
linha=1392 | nome=Vitor | acao=analisou os resultados | valor=2181
linha=1393 | nome=Vitor | acao=otimizou o algoritmo | valor=7031
linha=1394 | nome=Sofia | acao=fez um experimento | valor=6772
linha=1395 | nome=Mariana | acao=analisou os resultados | valor=8760
linha=1396 | nome=Eduarda | acao=fez um experimento | valor=1484
linha=1397 | nome=Gabriela | acao=fez um experimento | valor=7703
linha=1398 | nome=Felipe | acao=comparou as metricas | valor=3199
linha=1399 | nome=Joao | acao=fez um experimento | valor=5601
linha=1400 | nome=Renata | acao=otimizou o algoritmo | valor=2342
linha=1401 | nome=Gabriela | acao=comparou as metricas | valor=8777
linha=1402 | nome=Lucas | acao=analisou os resultados | valor=5514
linha=1403 | nome=Lucas | acao=fez um experimento | valor=4641
linha=1404 | nome=Carlos | acao=estudou computacao | valor=5825
linha=1405 | nome=Gabriela | acao=comparou as metricas | valor=8316
linha=1406 | nome=Joao | acao=otimizou o algoritmo | valor=6607
linha=1407 | nome=Natalia | acao=estudou computacao | valor=9267
linha=1408 | nome=Eduarda | acao=participou da aula | valor=4278
linha=1409 | nome=Felipe | acao=comparou as metricas | valor=5790
linha=1410 | nome=Helena | acao=executou o benchmark | valor=5879
linha=1411 | nome=Vitor | acao=fez um experimento | valor=2353
linha=1412 | nome=Ana | acao=participou da aula | valor=9897
linha=1413 | nome=Vitor | acao=executou o benchmark | valor=4591
linha=1414 | nome=Helena | acao=fez um experimento | valor=2346
linha=1415 | nome=Natalia | acao=executou o benchmark | valor=1187
linha=1416 | nome=Carlos | acao=escreveu o relatorio | valor=8292
linha=1417 | nome=Bruno | acao=escreveu o relatorio | valor=3927
linha=1418 | nome=Sofia | acao=participou da aula | valor=9441
linha=1419 | nome=Eduarda | acao=otimizou o algoritmo | valor=3080
linha=1420 | nome=Mariana | acao=escreveu o relatorio | valor=2419
linha=1421 | nome=Helena | acao=otimizou o algoritmo | valor=1573
linha=1422 | nome=Natalia | acao=executou o benchmark | valor=9051
linha=1423 | nome=Sofia | acao=fez um experimento | valor=4583
linha=1424 | nome=Lucas | acao=comparou as metricas | valor=2698
linha=1425 | nome=Carlos | acao=fez um experimento | valor=6033
linha=1426 | nome=Natalia | acao=fez um experimento | valor=8516
linha=1427 | nome=Carlos | acao=participou da aula | valor=5002
linha=1428 | nome=Bruno | acao=comparou as metricas | valor=8362
linha=1429 | nome=Otavio | acao=executou o benchmark | valor=8254
linha=1430 | nome=Karen | acao=estudou computacao | valor=2813
linha=1431 | nome=Vitor | acao=executou o benchmark | valor=9104
linha=1432 | nome=Natalia | acao=estudou computacao | valor=7481
linha=1433 | nome=Igor | acao=estudou computacao | valor=8703
linha=1434 | nome=Tiago | acao=comparou as metricas | valor=2093
linha=1435 | nome=Natalia | acao=fez um experimento | valor=6005
linha=1436 | nome=Lucas | acao=otimizou o algoritmo | valor=8279
linha=1437 | nome=Eduarda | acao=analisou os resultados | valor=2029
linha=1438 | nome=Igor | acao=otimizou o algoritmo | valor=6302
linha=1439 | nome=Daniela | acao=analisou os resultados | valor=3776
linha=1440 | nome=Paulo | acao=analisou os resultados | valor=4630
linha=1441 | nome=Carlos | acao=estudou computacao | valor=6522
linha=1442 | nome=Daniela | acao=participou da aula | valor=2291
linha=1443 | nome=Karen | acao=fez um experimento | valor=4424
linha=1444 | nome=Bruno | acao=estudou computacao | valor=1602
linha=1445 | nome=Daniela | acao=fez um experimento | valor=7652
linha=1446 | nome=Bruno | acao=analisou os resultados | valor=8677
linha=1447 | nome=Lucas | acao=estudou computacao | valor=6100
linha=1448 | nome=Mariana | acao=executou o benchmark | valor=5271
linha=1449 | nome=Renata | acao=estudou computacao | valor=3433
linha=1450 | nome=Mariana | acao=analisou os resultados | valor=8422
linha=1451 | nome=Mariana | acao=otimizou o algoritmo | valor=5045
linha=1452 | nome=Joao | acao=executou o benchmark | valor=5376
linha=1453 | nome=Carlos | acao=estudou computacao | valor=9779
linha=1454 | nome=Helena | acao=otimizou o algoritmo | valor=8534
linha=1455 | nome=Daniela | acao=comparou as metricas | valor=1107
linha=1456 | nome=Lucas | acao=participou da aula | valor=6988
linha=1457 | nome=Igor | acao=analisou os resultados | valor=9544
linha=1458 | nome=Helena | acao=otimizou o algoritmo | valor=6353
linha=1459 | nome=Ana | acao=participou da aula | valor=7336
linha=1460 | nome=Daniela | acao=comparou as metricas | valor=2140
linha=1461 | nome=Gabriela | acao=analisou os resultados | valor=8178
linha=1462 | nome=Karen | acao=estudou computacao | valor=8618
linha=1463 | nome=Bruno | acao=escreveu o relatorio | valor=9676
linha=1464 | nome=Tiago | acao=comparou as metricas | valor=3224
linha=1465 | nome=Mariana | acao=comparou as metricas | valor=1965
linha=1466 | nome=Sofia | acao=analisou os resultados | valor=1745
linha=1467 | nome=Natalia | acao=fez um experimento | valor=6806
linha=1468 | nome=Vitor | acao=otimizou o algoritmo | valor=5704
linha=1469 | nome=Eduarda | acao=otimizou o algoritmo | valor=4385
linha=1470 | nome=Tiago | acao=estudou computacao | valor=4585
linha=1471 | nome=Karen | acao=analisou os resultados | valor=3731
linha=1472 | nome=Renata | acao=escreveu o relatorio | valor=9183
linha=1473 | nome=Carlos | acao=escreveu o relatorio | valor=2086
linha=1474 | nome=Igor | acao=analisou os resultados | valor=5230
linha=1475 | nome=Ana | acao=estudou computacao | valor=9246
linha=1476 | nome=Tiago | acao=executou o benchmark | valor=8962
linha=1477 | nome=Otavio | acao=participou da aula | valor=2335
linha=1478 | nome=Helena | acao=analisou os resultados | valor=8106
linha=1479 | nome=Paulo | acao=otimizou o algoritmo | valor=4476
linha=1480 | nome=Eduarda | acao=participou da aula | valor=7519
linha=1481 | nome=Carlos | acao=escreveu o relatorio | valor=3429
linha=1482 | nome=Igor | acao=fez um experimento | valor=7278
linha=1483 | nome=Mariana | acao=fez um experimento | valor=4803
linha=1484 | nome=Bruno | acao=fez um experimento | valor=3929
linha=1485 | nome=Natalia | acao=otimizou o algoritmo | valor=2512
linha=1486 | nome=Carlos | acao=fez um experimento | valor=8174
linha=1487 | nome=Renata | acao=escreveu o relatorio | valor=2454
linha=1488 | nome=Karen | acao=comparou as metricas | valor=1320
linha=1489 | nome=Vitor | acao=fez um experimento | valor=5467
linha=1490 | nome=Ana | acao=executou o benchmark | valor=6927
linha=1491 | nome=Gabriela | acao=executou o benchmark | valor=7431
linha=1492 | nome=Vitor | acao=estudou computacao | valor=5039
linha=1493 | nome=Renata | acao=comparou as metricas | valor=1117
linha=1494 | nome=Vitor | acao=otimizou o algoritmo | valor=7514
linha=1495 | nome=Mariana | acao=participou da aula | valor=5697
linha=1496 | nome=Karen | acao=executou o benchmark | valor=4742
linha=1497 | nome=Karen | acao=comparou as metricas | valor=2447
linha=1498 | nome=Mariana | acao=otimizou o algoritmo | valor=7611
linha=1499 | nome=Gabriela | acao=otimizou o algoritmo | valor=5112
linha=1500 | nome=Natalia | acao=fez um experimento | valor=3438
linha=1501 | nome=Eduarda | acao=executou o benchmark | valor=6703
linha=1502 | nome=Lucas | acao=otimizou o algoritmo | valor=1556
linha=1503 | nome=Vitor | acao=executou o benchmark | valor=9263
linha=1504 | nome=Carlos | acao=analisou os resultados | valor=3772
linha=1505 | nome=Felipe | acao=analisou os resultados | valor=6992
linha=1506 | nome=Mariana | acao=participou da aula | valor=1995
linha=1507 | nome=Helena | acao=estudou computacao | valor=3440
linha=1508 | nome=Sofia | acao=analisou os resultados | valor=7515
linha=1509 | nome=Mariana | acao=participou da aula | valor=3372
linha=1510 | nome=Karen | acao=otimizou o algoritmo | valor=3144
linha=1511 | nome=Ana | acao=otimizou o algoritmo | valor=8126
linha=1512 | nome=Sofia | acao=estudou computacao | valor=4991
linha=1513 | nome=Natalia | acao=escreveu o relatorio | valor=9581
linha=1514 | nome=Otavio | acao=estudou computacao | valor=2655
linha=1515 | nome=Joao | acao=escreveu o relatorio | valor=6559
linha=1516 | nome=Felipe | acao=analisou os resultados | valor=3430
linha=1517 | nome=Carlos | acao=analisou os resultados | valor=5181
linha=1518 | nome=Joao | acao=executou o benchmark | valor=3994
linha=1519 | nome=Gabriela | acao=comparou as metricas | valor=9921
linha=1520 | nome=Gabriela | acao=otimizou o algoritmo | valor=4920
linha=1521 | nome=Sofia | acao=participou da aula | valor=2891
linha=1522 | nome=Natalia | acao=comparou as metricas | valor=3517
linha=1523 | nome=Renata | acao=executou o benchmark | valor=3780
linha=1524 | nome=Gabriela | acao=participou da aula | valor=1096
linha=1525 | nome=Eduarda | acao=executou o benchmark | valor=8496
linha=1526 | nome=Karen | acao=otimizou o algoritmo | valor=5910
linha=1527 | nome=Daniela | acao=fez um experimento | valor=5720
linha=1528 | nome=Renata | acao=otimizou o algoritmo | valor=6311
linha=1529 | nome=Natalia | acao=participou da aula | valor=1794
linha=1530 | nome=Helena | acao=participou da aula | valor=9412
linha=1531 | nome=Eduarda | acao=comparou as metricas | valor=9716
linha=1532 | nome=Paulo | acao=estudou computacao | valor=5334
linha=1533 | nome=Natalia | acao=participou da aula | valor=8205
linha=1534 | nome=Joao | acao=otimizou o algoritmo | valor=7082
linha=1535 | nome=Vitor | acao=comparou as metricas | valor=6637
linha=1536 | nome=Igor | acao=analisou os resultados | valor=8133
linha=1537 | nome=Carlos | acao=analisou os resultados | valor=2270
linha=1538 | nome=Paulo | acao=comparou as metricas | valor=1506
linha=1539 | nome=Otavio | acao=fez um experimento | valor=1797
linha=1540 | nome=Lucas | acao=executou o benchmark | valor=5041
linha=1541 | nome=Natalia | acao=fez um experimento | valor=8822
linha=1542 | nome=Helena | acao=comparou as metricas | valor=7086
linha=1543 | nome=Bruno | acao=fez um experimento | valor=6367
linha=1544 | nome=Joao | acao=executou o benchmark | valor=5323
linha=1545 | nome=Eduarda | acao=otimizou o algoritmo | valor=3839
linha=1546 | nome=Natalia | acao=escreveu o relatorio | valor=7969
linha=1547 | nome=Igor | acao=estudou computacao | valor=4205
linha=1548 | nome=Sofia | acao=analisou os resultados | valor=7980
linha=1549 | nome=Igor | acao=escreveu o relatorio | valor=3325
linha=1550 | nome=Karen | acao=fez um experimento | valor=5178
linha=1551 | nome=Carlos | acao=escreveu o relatorio | valor=5166
linha=1552 | nome=Otavio | acao=comparou as metricas | valor=1061
linha=1553 | nome=Helena | acao=fez um experimento | valor=2228
linha=1554 | nome=Helena | acao=analisou os resultados | valor=7489
linha=1555 | nome=Mariana | acao=executou o benchmark | valor=7766
linha=1556 | nome=Bruno | acao=otimizou o algoritmo | valor=6328
linha=1557 | nome=Helena | acao=estudou computacao | valor=3788
linha=1558 | nome=Felipe | acao=fez um experimento | valor=9057
linha=1559 | nome=Renata | acao=comparou as metricas | valor=9969
linha=1560 | nome=Bruno | acao=estudou computacao | valor=4181
linha=1561 | nome=Mariana | acao=participou da aula | valor=1876
linha=1562 | nome=Igor | acao=otimizou o algoritmo | valor=9922
linha=1563 | nome=Helena | acao=analisou os resultados | valor=7064
linha=1564 | nome=Felipe | acao=analisou os resultados | valor=5155
linha=1565 | nome=Ana | acao=comparou as metricas | valor=4156
linha=1566 | nome=Mariana | acao=escreveu o relatorio | valor=9303
linha=1567 | nome=Otavio | acao=escreveu o relatorio | valor=5333
linha=1568 | nome=Tiago | acao=otimizou o algoritmo | valor=3728
linha=1569 | nome=Karen | acao=escreveu o relatorio | valor=4650
linha=1570 | nome=Paulo | acao=comparou as metricas | valor=2351
linha=1571 | nome=Bruno | acao=executou o benchmark | valor=5743
linha=1572 | nome=Lucas | acao=comparou as metricas | valor=1555
linha=1573 | nome=Paulo | acao=comparou as metricas | valor=4130
linha=1574 | nome=Felipe | acao=comparou as metricas | valor=9383
linha=1575 | nome=Felipe | acao=analisou os resultados | valor=5992
linha=1576 | nome=Sofia | acao=estudou computacao | valor=3147
linha=1577 | nome=Tiago | acao=escreveu o relatorio | valor=6776
linha=1578 | nome=Eduarda | acao=participou da aula | valor=5099
linha=1579 | nome=Joao | acao=fez um experimento | valor=4496
linha=1580 | nome=Helena | acao=escreveu o relatorio | valor=6156
linha=1581 | nome=Daniela | acao=otimizou o algoritmo | valor=2695
linha=1582 | nome=Karen | acao=executou o benchmark | valor=2270
linha=1583 | nome=Ana | acao=otimizou o algoritmo | valor=1833
linha=1584 | nome=Helena | acao=participou da aula | valor=1616
linha=1585 | nome=Daniela | acao=estudou computacao | valor=6575
linha=1586 | nome=Helena | acao=escreveu o relatorio | valor=1926
linha=1587 | nome=Paulo | acao=analisou os resultados | valor=9945
linha=1588 | nome=Joao | acao=participou da aula | valor=6965
linha=1589 | nome=Felipe | acao=escreveu o relatorio | valor=5371
linha=1590 | nome=Paulo | acao=comparou as metricas | valor=1584
linha=1591 | nome=Joao | acao=analisou os resultados | valor=7399
linha=1592 | nome=Igor | acao=comparou as metricas | valor=4648
linha=1593 | nome=Renata | acao=otimizou o algoritmo | valor=6312
linha=1594 | nome=Daniela | acao=escreveu o relatorio | valor=5478
linha=1595 | nome=Carlos | acao=participou da aula | valor=2822
linha=1596 | nome=Ana | acao=fez um experimento | valor=1422
linha=1597 | nome=Igor | acao=otimizou o algoritmo | valor=8675
linha=1598 | nome=Lucas | acao=fez um experimento | valor=3465
linha=1599 | nome=Karen | acao=comparou as metricas | valor=5621
linha=1600 | nome=Felipe | acao=estudou computacao | valor=8107
linha=1601 | nome=Mariana | acao=executou o benchmark | valor=7163
linha=1602 | nome=Natalia | acao=fez um experimento | valor=3302
linha=1603 | nome=Mariana | acao=fez um experimento | valor=7817
linha=1604 | nome=Eduarda | acao=comparou as metricas | valor=4689
linha=1605 | nome=Gabriela | acao=estudou computacao | valor=3328
linha=1606 | nome=Tiago | acao=analisou os resultados | valor=9398
linha=1607 | nome=Felipe | acao=analisou os resultados | valor=8744
linha=1608 | nome=Gabriela | acao=otimizou o algoritmo | valor=4752
linha=1609 | nome=Carlos | acao=escreveu o relatorio | valor=1826
linha=1610 | nome=Natalia | acao=estudou computacao | valor=8506
linha=1611 | nome=Sofia | acao=participou da aula | valor=8056
linha=1612 | nome=Helena | acao=estudou computacao | valor=8153
linha=1613 | nome=Karen | acao=analisou os resultados | valor=8537
linha=1614 | nome=Paulo | acao=comparou as metricas | valor=5973
linha=1615 | nome=Gabriela | acao=escreveu o relatorio | valor=3792
linha=1616 | nome=Mariana | acao=analisou os resultados | valor=9489
linha=1617 | nome=Igor | acao=fez um experimento | valor=8064
linha=1618 | nome=Eduarda | acao=fez um experimento | valor=4382
linha=1619 | nome=Paulo | acao=executou o benchmark | valor=5994
linha=1620 | nome=Mariana | acao=participou da aula | valor=7926
linha=1621 | nome=Otavio | acao=otimizou o algoritmo | valor=5923
linha=1622 | nome=Paulo | acao=participou da aula | valor=7573
linha=1623 | nome=Bruno | acao=fez um experimento | valor=7482
linha=1624 | nome=Tiago | acao=fez um experimento | valor=6365
linha=1625 | nome=Otavio | acao=fez um experimento | valor=7623
linha=1626 | nome=Natalia | acao=analisou os resultados | valor=8298
linha=1627 | nome=Eduarda | acao=comparou as metricas | valor=4562
linha=1628 | nome=Bruno | acao=executou o benchmark | valor=8040
linha=1629 | nome=Eduarda | acao=otimizou o algoritmo | valor=1521
linha=1630 | nome=Renata | acao=estudou computacao | valor=4068
linha=1631 | nome=Natalia | acao=estudou computacao | valor=8505
linha=1632 | nome=Carlos | acao=escreveu o relatorio | valor=4605
linha=1633 | nome=Igor | acao=executou o benchmark | valor=8210
linha=1634 | nome=Natalia | acao=estudou computacao | valor=5283
linha=1635 | nome=Sofia | acao=comparou as metricas | valor=1153
linha=1636 | nome=Renata | acao=estudou computacao | valor=8664
linha=1637 | nome=Karen | acao=estudou computacao | valor=5972
linha=1638 | nome=Daniela | acao=escreveu o relatorio | valor=2917
linha=1639 | nome=Bruno | acao=otimizou o algoritmo | valor=4354
linha=1640 | nome=Daniela | acao=participou da aula | valor=4631
linha=1641 | nome=Eduarda | acao=comparou as metricas | valor=7049
linha=1642 | nome=Natalia | acao=escreveu o relatorio | valor=2147
linha=1643 | nome=Carlos | acao=estudou computacao | valor=4530
linha=1644 | nome=Tiago | acao=comparou as metricas | valor=7080
linha=1645 | nome=Igor | acao=comparou as metricas | valor=1883
linha=1646 | nome=Igor | acao=executou o benchmark | valor=2031
linha=1647 | nome=Mariana | acao=analisou os resultados | valor=1034
linha=1648 | nome=Carlos | acao=executou o benchmark | valor=7123
linha=1649 | nome=Karen | acao=escreveu o relatorio | valor=9776
linha=1650 | nome=Helena | acao=escreveu o relatorio | valor=1352
linha=1651 | nome=Eduarda | acao=executou o benchmark | valor=8670
linha=1652 | nome=Eduarda | acao=comparou as metricas | valor=4274
linha=1653 | nome=Eduarda | acao=otimizou o algoritmo | valor=8238
linha=1654 | nome=Lucas | acao=executou o benchmark | valor=2583
linha=1655 | nome=Daniela | acao=otimizou o algoritmo | valor=2734
linha=1656 | nome=Eduarda | acao=estudou computacao | valor=4697
linha=1657 | nome=Renata | acao=estudou computacao | valor=4196
linha=1658 | nome=Otavio | acao=executou o benchmark | valor=5108
linha=1659 | nome=Joao | acao=estudou computacao | valor=3333
linha=1660 | nome=Helena | acao=executou o benchmark | valor=3874
linha=1661 | nome=Mariana | acao=participou da aula | valor=6095
linha=1662 | nome=Sofia | acao=analisou os resultados | valor=5613
linha=1663 | nome=Karen | acao=comparou as metricas | valor=9250
linha=1664 | nome=Renata | acao=executou o benchmark | valor=7472
linha=1665 | nome=Bruno | acao=analisou os resultados | valor=3349
linha=1666 | nome=Mariana | acao=participou da aula | valor=4501
linha=1667 | nome=Mariana | acao=executou o benchmark | valor=2590
linha=1668 | nome=Lucas | acao=estudou computacao | valor=8195
linha=1669 | nome=Mariana | acao=estudou computacao | valor=2540
linha=1670 | nome=Bruno | acao=participou da aula | valor=2471
linha=1671 | nome=Lucas | acao=estudou computacao | valor=3137
linha=1672 | nome=Sofia | acao=participou da aula | valor=6895
linha=1673 | nome=Gabriela | acao=escreveu o relatorio | valor=3896
linha=1674 | nome=Karen | acao=fez um experimento | valor=5671
linha=1675 | nome=Gabriela | acao=escreveu o relatorio | valor=2620
linha=1676 | nome=Felipe | acao=participou da aula | valor=4557
linha=1677 | nome=Tiago | acao=estudou computacao | valor=9936
linha=1678 | nome=Paulo | acao=otimizou o algoritmo | valor=9682
linha=1679 | nome=Karen | acao=executou o benchmark | valor=9740
linha=1680 | nome=Helena | acao=estudou computacao | valor=6926
linha=1681 | nome=Otavio | acao=estudou computacao | valor=6543
linha=1682 | nome=Ana | acao=escreveu o relatorio | valor=4208
linha=1683 | nome=Natalia | acao=otimizou o algoritmo | valor=9545
linha=1684 | nome=Sofia | acao=fez um experimento | valor=1762
linha=1685 | nome=Eduarda | acao=otimizou o algoritmo | valor=9174
linha=1686 | nome=Tiago | acao=executou o benchmark | valor=4715
linha=1687 | nome=Karen | acao=estudou computacao | valor=8087
linha=1688 | nome=Natalia | acao=comparou as metricas | valor=3156
linha=1689 | nome=Ana | acao=estudou computacao | valor=5516
linha=1690 | nome=Eduarda | acao=comparou as metricas | valor=6545
linha=1691 | nome=Renata | acao=participou da aula | valor=6362
linha=1692 | nome=Otavio | acao=fez um experimento | valor=2267
linha=1693 | nome=Mariana | acao=escreveu o relatorio | valor=8455
linha=1694 | nome=Carlos | acao=comparou as metricas | valor=5297
linha=1695 | nome=Karen | acao=participou da aula | valor=5890
linha=1696 | nome=Igor | acao=escreveu o relatorio | valor=1579
linha=1697 | nome=Daniela | acao=analisou os resultados | valor=5644
linha=1698 | nome=Lucas | acao=estudou computacao | valor=1637
linha=1699 | nome=Eduarda | acao=comparou as metricas | valor=7091
linha=1700 | nome=Renata | acao=otimizou o algoritmo | valor=5613
linha=1701 | nome=Vitor | acao=fez um experimento | valor=9727
linha=1702 | nome=Mariana | acao=analisou os resultados | valor=9803
linha=1703 | nome=Felipe | acao=participou da aula | valor=8687
linha=1704 | nome=Carlos | acao=executou o benchmark | valor=9412
linha=1705 | nome=Mariana | acao=executou o benchmark | valor=1668
linha=1706 | nome=Lucas | acao=analisou os resultados | valor=9706
linha=1707 | nome=Ana | acao=escreveu o relatorio | valor=9674
linha=1708 | nome=Felipe | acao=fez um experimento | valor=3525
linha=1709 | nome=Lucas | acao=otimizou o algoritmo | valor=9046
linha=1710 | nome=Felipe | acao=analisou os resultados | valor=6506
linha=1711 | nome=Igor | acao=analisou os resultados | valor=8651
linha=1712 | nome=Mariana | acao=otimizou o algoritmo | valor=5004
linha=1713 | nome=Sofia | acao=estudou computacao | valor=1777
linha=1714 | nome=Helena | acao=escreveu o relatorio | valor=3878
linha=1715 | nome=Bruno | acao=participou da aula | valor=1551
linha=1716 | nome=Carlos | acao=executou o benchmark | valor=3204
linha=1717 | nome=Karen | acao=executou o benchmark | valor=6361
linha=1718 | nome=Joao | acao=fez um experimento | valor=8290
linha=1719 | nome=Daniela | acao=fez um experimento | valor=2616
linha=1720 | nome=Natalia | acao=executou o benchmark | valor=4889
linha=1721 | nome=Helena | acao=otimizou o algoritmo | valor=8915
linha=1722 | nome=Sofia | acao=executou o benchmark | valor=3372
linha=1723 | nome=Eduarda | acao=escreveu o relatorio | valor=6859
linha=1724 | nome=Paulo | acao=participou da aula | valor=5827
linha=1725 | nome=Ana | acao=comparou as metricas | valor=4064
linha=1726 | nome=Felipe | acao=fez um experimento | valor=7732
linha=1727 | nome=Bruno | acao=participou da aula | valor=2944
linha=1728 | nome=Karen | acao=participou da aula | valor=3931
linha=1729 | nome=Carlos | acao=executou o benchmark | valor=3909
linha=1730 | nome=Renata | acao=fez um experimento | valor=5230
linha=1731 | nome=Carlos | acao=fez um experimento | valor=2269
linha=1732 | nome=Igor | acao=participou da aula | valor=4871
linha=1733 | nome=Tiago | acao=estudou computacao | valor=6821
linha=1734 | nome=Karen | acao=comparou as metricas | valor=2455
linha=1735 | nome=Paulo | acao=executou o benchmark | valor=2792
linha=1736 | nome=Mariana | acao=escreveu o relatorio | valor=1089
linha=1737 | nome=Igor | acao=analisou os resultados | valor=6658
linha=1738 | nome=Otavio | acao=fez um experimento | valor=2773
linha=1739 | nome=Felipe | acao=fez um experimento | valor=5110
linha=1740 | nome=Vitor | acao=comparou as metricas | valor=1262
linha=1741 | nome=Carlos | acao=escreveu o relatorio | valor=7288
linha=1742 | nome=Joao | acao=comparou as metricas | valor=8221
linha=1743 | nome=Eduarda | acao=fez um experimento | valor=6462
linha=1744 | nome=Helena | acao=estudou computacao | valor=8135
linha=1745 | nome=Igor | acao=executou o benchmark | valor=5278
linha=1746 | nome=Joao | acao=otimizou o algoritmo | valor=1656
linha=1747 | nome=Daniela | acao=executou o benchmark | valor=3988
linha=1748 | nome=Karen | acao=analisou os resultados | valor=7666
linha=1749 | nome=Mariana | acao=executou o benchmark | valor=6057
linha=1750 | nome=Renata | acao=participou da aula | valor=4045
linha=1751 | nome=Daniela | acao=escreveu o relatorio | valor=2544
linha=1752 | nome=Mariana | acao=otimizou o algoritmo | valor=2313
linha=1753 | nome=Carlos | acao=participou da aula | valor=2264
linha=1754 | nome=Daniela | acao=escreveu o relatorio | valor=9380
linha=1755 | nome=Mariana | acao=comparou as metricas | valor=6393
linha=1756 | nome=Paulo | acao=comparou as metricas | valor=2992
linha=1757 | nome=Natalia | acao=comparou as metricas | valor=5505
linha=1758 | nome=Otavio | acao=comparou as metricas | valor=1318
linha=1759 | nome=Sofia | acao=participou da aula | valor=3518
linha=1760 | nome=Helena | acao=participou da aula | valor=1824
linha=1761 | nome=Karen | acao=fez um experimento | valor=5593
