linha=1 | nome=Vitor | acao=escreveu o relatorio | valor=1160
linha=797 | nome=Ana | acao=estudou computacao | valor=3609
linha=798 | nome=Helena | acao=analisou os resultados | valor=1965
linha=799 | nome=Karen | acao=analisou os resultados | valor=1274
linha=800 | nome=Felipe | acao=escreveu o relatorio | valor=8115
linha=801 | nome=Lucas | acao=otimizou o algoritmo | valor=9726
linha=802 | nome=Eduarda | acao=participou da aula | valor=7826
linha=803 | nome=Paulo | acao=executou o benchmark | valor=7396
linha=804 | nome=Eduarda | acao=fez um experimento | valor=1724
linha=805 | nome=Daniela | acao=analisou os resultados | valor=8792
linha=806 | nome=Igor | acao=estudou computacao | valor=7163
linha=807 | nome=Mariana | acao=fez um experimento | valor=5280
linha=808 | nome=Lucas | acao=comparou as metricas | valor=4864
linha=809 | nome=Bruno | acao=participou da aula | valor=8128
linha=810 | nome=Tiago | acao=participou da aula | valor=2098
linha=811 | nome=Gabriela | acao=escreveu o relatorio | valor=2298
linha=812 | nome=Igor | acao=participou da aula | valor=2622
linha=813 | nome=Eduarda | acao=fez um experimento | valor=5147
linha=814 | nome=Natalia | acao=analisou os resultados | valor=5464
linha=815 | nome=Mariana | acao=estudou computacao | valor=3183
linha=816 | nome=Bruno | acao=analisou os resultados | valor=1898
linha=817 | nome=Otavio | acao=escreveu o relatorio | valor=9500
linha=818 | nome=Helena | acao=analisou os resultados | valor=3318
linha=819 | nome=Paulo | acao=comparou as metricas | valor=8399
linha=820 | nome=Mariana | acao=fez um experimento | valor=4193
linha=821 | nome=Gabriela | acao=analisou os resultados | valor=2676
linha=822 | nome=Bruno | acao=comparou as metricas | valor=6597
linha=823 | nome=Igor | acao=analisou os resultados | valor=4476
linha=824 | nome=Vitor | acao=fez um experimento | valor=6470
linha=825 | nome=Renata | acao=otimizou o algoritmo | valor=7944
linha=826 | nome=Renata | acao=estudou computacao | valor=5786
linha=827 | nome=Sofia | acao=otimizou o algoritmo | valor=8517
linha=828 | nome=Otavio | acao=estudou computacao | valor=9811
linha=829 | nome=Sofia | acao=otimizou o algoritmo | valor=1055
linha=830 | nome=Joao | acao=fez um experimento | valor=7285
linha=831 | nome=Vitor | acao=participou da aula | valor=1647
linha=832 | nome=Tiago | acao=participou da aula | valor=5588
linha=833 | nome=Mariana | acao=comparou as metricas | valor=5487
linha=834 | nome=Daniela | acao=estudou computacao | valor=6682
linha=835 | nome=Helena | acao=estudou computacao | valor=3244
linha=836 | nome=Karen | acao=participou da aula | valor=1868
linha=837 | nome=Tiago | acao=participou da aula | valor=8395
linha=838 | nome=Mariana | acao=escreveu o relatorio | valor=5268
linha=839 | nome=Daniela | acao=otimizou o algoritmo | valor=9117
linha=840 | nome=Sofia | acao=comparou as metricas | valor=9183
linha=841 | nome=Felipe | acao=analisou os resultados | valor=1228
linha=842 | nome=Karen | acao=executou o benchmark | valor=7804
linha=843 | nome=Tiago | acao=participou da aula | valor=2438
linha=844 | nome=Mariana | acao=fez um experimento | valor=7776
linha=845 | nome=Karen | acao=escreveu o relatorio | valor=9883
linha=846 | nome=Gabriela | acao=fez um experimento | valor=3264
linha=847 | nome=Paulo | acao=escreveu o relatorio | valor=7825
linha=848 | nome=Otavio | acao=estudou computacao | valor=6013
linha=849 | nome=Helena | acao=fez um experimento | valor=7793
linha=850 | nome=Vitor | acao=participou da aula | valor=3683
linha=851 | nome=Natalia | acao=analisou os resultados | valor=5965
linha=852 | nome=Karen | acao=otimizou o algoritmo | valor=2207
linha=853 | nome=Otavio | acao=participou da aula | valor=6766
linha=854 | nome=Igor | acao=otimizou o algoritmo | valor=8196
linha=855 | nome=Felipe | acao=otimizou o algoritmo | valor=8027
linha=856 | nome=Paulo | acao=executou o benchmark | valor=2455
linha=857 | nome=Joao | acao=escreveu o relatorio | valor=8850
linha=858 | nome=Otavio | acao=participou da aula | valor=6258
linha=859 | nome=Joao | acao=fez um experimento | valor=4012
linha=860 | nome=Lucas | acao=participou da aula | valor=2067
linha=861 | nome=Daniela | acao=comparou as metricas | valor=3315
linha=862 | nome=Tiago | acao=fez um experimento | valor=9867
linha=863 | nome=Bruno | acao=participou da aula | valor=6226
linha=864 | nome=Vitor | acao=fez um experimento | valor=4942
linha=865 | nome=Paulo | acao=fez um experimento | valor=6595
linha=866 | nome=Otavio | acao=executou o benchmark | valor=8484
linha=867 | nome=Sofia | acao=estudou computacao | valor=4241
linha=868 | nome=Igor | acao=otimizou o algoritmo | valor=9766
linha=869 | nome=Daniela | acao=analisou os resultados | valor=2900
linha=870 | nome=Igor | acao=comparou as metricas | valor=1019
linha=871 | nome=Karen | acao=estudou computacao | valor=3954
linha=872 | nome=Otavio | acao=fez um experimento | valor=2999
linha=873 | nome=Ana | acao=participou da aula | valor=4050
linha=874 | nome=Karen | acao=otimizou o algoritmo | valor=4617
linha=875 | nome=Gabriela | acao=escreveu o relatorio | valor=5028
linha=876 | nome=Lucas | acao=participou da aula | valor=9238
linha=877 | nome=Karen | acao=fez um experimento | valor=9766
linha=878 | nome=Bruno | acao=executou o benchmark | valor=9757
linha=879 | nome=Daniela | acao=comparou as metricas | valor=4664
linha=880 | nome=Otavio | acao=executou o benchmark | valor=6673
linha=881 | nome=Eduarda | acao=analisou os resultados | valor=9499
linha=882 | nome=Paulo | acao=executou o benchmark | valor=3530
linha=883 | nome=Paulo | acao=executou o benchmark | valor=7039
linha=884 | nome=Natalia | acao=otimizou o algoritmo | valor=2562
linha=885 | nome=Gabriela | acao=fez um experimento | valor=7406
linha=886 | nome=Sofia | acao=executou o benchmark | valor=9545
linha=887 | nome=Vitor | acao=comparou as metricas | valor=2841
linha=888 | nome=Otavio | acao=analisou os resultados | valor=9939
linha=889 | nome=Vitor | acao=comparou as metricas | valor=2478
linha=890 | nome=Tiago | acao=estudou computacao | valor=3722
linha=891 | nome=Felipe | acao=executou o benchmark | valor=7947
linha=892 | nome=Joao | acao=escreveu o relatorio | valor=4331
linha=893 | nome=Joao | acao=analisou os resultados | valor=5837
linha=894 | nome=Ana | acao=fez um experimento | valor=6756
linha=895 | nome=Mariana | acao=executou o benchmark | valor=4198
linha=896 | nome=Mariana | acao=escreveu o relatorio | valor=9728
linha=897 | nome=Daniela | acao=otimizou o algoritmo | valor=5331
linha=898 | nome=Sofia | acao=otimizou o algoritmo | valor=6060
linha=899 | nome=Helena | acao=fez um experimento | valor=5385
linha=900 | nome=Natalia | acao=escreveu o relatorio | valor=5053
linha=901 | nome=Lucas | acao=analisou os resultados | valor=2221
linha=902 | nome=Gabriela | acao=analisou os resultados | valor=7019
linha=903 | nome=Paulo | acao=escreveu o relatorio | valor=5178
linha=904 | nome=Natalia | acao=escreveu o relatorio | valor=5708
linha=905 | nome=Tiago | acao=estudou computacao | valor=2942
linha=906 | nome=Eduarda | acao=executou o benchmark | valor=7881
linha=907 | nome=Lucas | acao=comparou as metricas | valor=1390
linha=908 | nome=Bruno | acao=escreveu o relatorio | valor=1278
linha=909 | nome=Joao | acao=fez um experimento | valor=5658
linha=910 | nome=Ana | acao=estudou computacao | valor=9014
linha=911 | nome=Natalia | acao=fez um experimento | valor=1489
linha=912 | nome=Joao | acao=analisou os resultados | valor=5637
linha=913 | nome=Natalia | acao=estudou computacao | valor=1698
linha=914 | nome=Sofia | acao=estudou computacao | valor=9289
linha=915 | nome=Eduarda | acao=comparou as metricas | valor=2204
linha=916 | nome=Joao | acao=estudou computacao | valor=5228
linha=917 | nome=Vitor | acao=estudou computacao | valor=2305
linha=918 | nome=Tiago | acao=analisou os resultados | valor=4400
linha=919 | nome=Ana | acao=escreveu o relatorio | valor=7179
linha=920 | nome=Eduarda | acao=escreveu o relatorio | valor=9541
linha=921 | nome=Carlos | acao=estudou computacao | valor=7938
linha=922 | nome=Otavio | acao=fez um experimento | valor=5182
linha=923 | nome=Natalia | acao=analisou os resultados | valor=4719
linha=924 | nome=Natalia | acao=comparou as metricas | valor=8208
linha=925 | nome=Karen | acao=fez um experimento | valor=3844
linha=926 | nome=Renata | acao=analisou os resultados | valor=9131
linha=927 | nome=Lucas | acao=estudou computacao | valor=9942
linha=928 | nome=Karen | acao=fez um experimento | valor=4812
linha=929 | nome=Otavio | acao=otimizou o algoritmo | valor=9099
linha=930 | nome=Vitor | acao=otimizou o algoritmo | valor=3558
linha=931 | nome=Helena | acao=participou da aula | valor=2941
linha=932 | nome=Igor | acao=executou o benchmark | valor=3095
linha=933 | nome=Tiago | acao=escreveu o relatorio | valor=2339
linha=934 | nome=Vitor | acao=fez um experimento | valor=2030
linha=935 | nome=Sofia | acao=analisou os resultados | valor=9559
linha=936 | nome=Igor | acao=escreveu o relatorio | valor=7784
linha=937 | nome=Otavio | acao=analisou os resultados | valor=3531
linha=938 | nome=Helena | acao=estudou computacao | valor=6687
linha=939 | nome=Lucas | acao=analisou os resultados | valor=4773
linha=940 | nome=Paulo | acao=fez um experimento | valor=9789
linha=941 | nome=Ana | acao=fez um experimento | valor=1516
linha=942 | nome=Paulo | acao=analisou os resultados | valor=1633
linha=943 | nome=Vitor | acao=analisou os resultados | valor=2026
linha=944 | nome=Felipe | acao=escreveu o relatorio | valor=8351
linha=945 | nome=Gabriela | acao=estudou computacao | valor=9820
linha=946 | nome=Karen | acao=participou da aula | valor=4243
linha=947 | nome=Vitor | acao=executou o benchmark | valor=9585
linha=948 | nome=Sofia | acao=fez um experimento | valor=6401
linha=949 | nome=Renata | acao=executou o benchmark | valor=9659
linha=950 | nome=Lucas | acao=otimizou o algoritmo | valor=8701
linha=951 | nome=Renata | acao=analisou os resultados | valor=4444
linha=952 | nome=Carlos | acao=analisou os resultados | valor=8001
linha=953 | nome=Joao | acao=escreveu o relatorio | valor=2889
linha=954 | nome=Otavio | acao=comparou as metricas | valor=2315
linha=955 | nome=Otavio | acao=escreveu o relatorio | valor=8236
linha=956 | nome=Otavio | acao=participou da aula | valor=6174
linha=957 | nome=Ana | acao=fez um experimento | valor=7330
linha=958 | nome=Lucas | acao=analisou os resultados | valor=2230
linha=959 | nome=Igor | acao=otimizou o algoritmo | valor=6272
linha=960 | nome=Helena | acao=comparou as metricas | valor=5856
linha=961 | nome=Otavio | acao=comparou as metricas | valor=4711
linha=962 | nome=Paulo | acao=estudou computacao | valor=2845
linha=963 | nome=Igor | acao=estudou computacao | valor=4299
linha=964 | nome=Tiago | acao=fez um experimento | valor=1422
linha=965 | nome=Karen | acao=participou da aula | valor=2842
linha=966 | nome=Mariana | acao=fez um experimento | valor=4489
linha=967 | nome=Sofia | acao=estudou computacao | valor=2137
linha=968 | nome=Lucas | acao=estudou computacao | valor=7149
linha=969 | nome=Vitor | acao=escreveu o relatorio | valor=8028
linha=970 | nome=Sofia | acao=executou o benchmark | valor=3051
linha=971 | nome=Daniela | acao=executou o benchmark | valor=9172
linha=972 | nome=Vitor | acao=fez um experimento | valor=8436
linha=973 | nome=Paulo | acao=executou o benchmark | valor=9957
linha=974 | nome=Joao | acao=comparou as metricas | valor=3442
linha=975 | nome=Vitor | acao=otimizou o algoritmo | valor=1284
linha=976 | nome=Bruno | acao=analisou os resultados | valor=8112
linha=977 | nome=Carlos | acao=escreveu o relatorio | valor=8428
linha=978 | nome=Paulo | acao=fez um experimento | valor=3127
linha=979 | nome=Felipe | acao=participou da aula | valor=5764
linha=980 | nome=Natalia | acao=otimizou o algoritmo | valor=6457
linha=981 | nome=Renata | acao=fez um experimento | valor=8317
linha=982 | nome=Mariana | acao=otimizou o algoritmo | valor=9058
linha=983 | nome=Felipe | acao=executou o benchmark | valor=8868
linha=984 | nome=Lucas | acao=fez um experimento | valor=8026
linha=985 | nome=Gabriela | acao=estudou computacao | valor=3374
linha=986 | nome=Eduarda | acao=participou da aula | valor=8948
linha=987 | nome=Mariana | acao=executou o benchmark | valor=1374
linha=988 | nome=Otavio | acao=analisou os resultados | valor=9381
linha=989 | nome=Eduarda | acao=comparou as metricas | valor=9819
linha=990 | nome=Natalia | acao=comparou as metricas | valor=4734
linha=991 | nome=Carlos | acao=comparou as metricas | valor=9704
linha=992 | nome=Ana | acao=fez um experimento | valor=9060
linha=993 | nome=Felipe | acao=escreveu o relatorio | valor=4797
linha=994 | nome=Mariana | acao=escreveu o relatorio | valor=6270
linha=995 | nome=Sofia | acao=comparou as metricas | valor=8107
linha=996 | nome=Sofia | acao=comparou as metricas | valor=8302
linha=997 | nome=Mariana | acao=otimizou o algoritmo | valor=2726
linha=998 | nome=Vitor | acao=escreveu o relatorio | valor=6837
linha=999 | nome=Joao | acao=otimizou o algoritmo | valor=1255
linha=1000 | nome=Tiago | acao=escreveu o relatorio | valor=4834
linha=1001 | nome=Natalia | acao=executou o benchmark | valor=4849
linha=1002 | nome=Renata | acao=analisou os resultados | valor=5289
linha=1003 | nome=Igor | acao=estudou computacao | valor=4877
linha=1004 | nome=Bruno | acao=estudou computacao | valor=8298
linha=1005 | nome=Carlos | acao=analisou os resultados | valor=4811
linha=1006 | nome=Natalia | acao=executou o benchmark | valor=2556
linha=1007 | nome=Karen | acao=escreveu o relatorio | valor=3941
linha=1008 | nome=Carlos | acao=estudou computacao | valor=3093
linha=1009 | nome=Sofia | acao=analisou os resultados | valor=7368
linha=1010 | nome=Helena | acao=comparou as metricas | valor=7654
linha=1011 | nome=Carlos | acao=participou da aula | valor=2537
linha=1012 | nome=Igor | acao=analisou os resultados | valor=6619
linha=1013 | nome=Paulo | acao=escreveu o relatorio | valor=6855
linha=1014 | nome=Otavio | acao=fez um experimento | valor=1349
linha=1015 | nome=Natalia | acao=otimizou o algoritmo | valor=7132
linha=1016 | nome=Daniela | acao=fez um experimento | valor=9761
linha=1017 | nome=Natalia | acao=otimizou o algoritmo | valor=7035
linha=1018 | nome=Karen | acao=executou o benchmark | valor=6750
linha=1019 | nome=Joao | acao=fez um experimento | valor=4963
linha=1020 | nome=Igor | acao=escreveu o relatorio | valor=6550
linha=1021 | nome=Karen | acao=executou o benchmark | valor=2760
linha=1022 | nome=Bruno | acao=escreveu o relatorio | valor=5748
linha=1023 | nome=Carlos | acao=executou o benchmark | valor=1870
linha=1024 | nome=Helena | acao=fez um experimento | valor=9749
linha=1025 | nome=Bruno | acao=escreveu o relatorio | valor=5533
linha=1026 | nome=Daniela | acao=comparou as metricas | valor=5726
linha=1027 | nome=Daniela | acao=analisou os resultados | valor=3058
linha=1028 | nome=Sofia | acao=fez um experimento | valor=7537
linha=1029 | nome=Eduarda | acao=fez um experimento | valor=5171
linha=1030 | nome=Ana | acao=participou da aula | valor=2318
linha=1031 | nome=Ana | acao=analisou os resultados | valor=5398
linha=1032 | nome=Joao | acao=analisou os resultados | valor=4240
linha=1033 | nome=Sofia | acao=estudou computacao | valor=8538
linha=1034 | nome=Carlos | acao=analisou os resultados | valor=3252
linha=1035 | nome=Renata | acao=otimizou o algoritmo | valor=6247
linha=1036 | nome=Joao | acao=escreveu o relatorio | valor=8751
linha=1037 | nome=Joao | acao=comparou as metricas | valor=6604
linha=1038 | nome=Natalia | acao=comparou as metricas | valor=2106
linha=1039 | nome=Natalia | acao=fez um experimento | valor=9795
linha=1040 | nome=Karen | acao=comparou as metricas | valor=4004
linha=1041 | nome=Helena | acao=estudou computacao | valor=3625
linha=1042 | nome=Renata | acao=comparou as metricas | valor=9937
linha=1043 | nome=Mariana | acao=estudou computacao | valor=2501
linha=1044 | nome=Mariana | acao=analisou os resultados | valor=1536
linha=1045 | nome=Tiago | acao=analisou os resultados | valor=5985
linha=1046 | nome=Felipe | acao=estudou computacao | valor=3786
linha=1047 | nome=Igor | acao=fez um experimento | valor=9292
linha=1048 | nome=Felipe | acao=executou o benchmark | valor=2646
linha=1049 | nome=Helena | acao=comparou as metricas | valor=9438
linha=1050 | nome=Felipe | acao=otimizou o algoritmo | valor=9756
linha=1051 | nome=Joao | acao=escreveu o relatorio | valor=3237
linha=1052 | nome=Vitor | acao=analisou os resultados | valor=7888
linha=1053 | nome=Joao | acao=otimizou o algoritmo | valor=9629
linha=1054 | nome=Carlos | acao=fez um experimento | valor=8718
linha=1055 | nome=Renata | acao=otimizou o algoritmo | valor=4739
linha=1056 | nome=Karen | acao=participou da aula | valor=1541
linha=1057 | nome=Igor | acao=participou da aula | valor=6440
linha=1058 | nome=Natalia | acao=comparou as metricas | valor=1074
linha=1059 | nome=Mariana | acao=escreveu o relatorio | valor=8624
linha=1060 | nome=Otavio | acao=participou da aula | valor=8251
linha=1061 | nome=Daniela | acao=fez um experimento | valor=5905
linha=1062 | nome=Gabriela | acao=participou da aula | valor=1495
linha=1063 | nome=Natalia | acao=estudou computacao | valor=2971
linha=1064 | nome=Mariana | acao=estudou computacao | valor=2121
linha=1065 | nome=Sofia | acao=analisou os resultados | valor=2776
linha=1066 | nome=Tiago | acao=estudou computacao | valor=2312
linha=1067 | nome=Tiago | acao=participou da aula | valor=9291
linha=1068 | nome=Ana | acao=comparou as metricas | valor=8107
linha=1069 | nome=Bruno | acao=analisou os resultados | valor=8845
linha=1070 | nome=Igor | acao=analisou os resultados | valor=9694
linha=1071 | nome=Carlos | acao=escreveu o relatorio | valor=7552
linha=1072 | nome=Bruno | acao=otimizou o algoritmo | valor=2386
linha=1073 | nome=Vitor | acao=otimizou o algoritmo | valor=9980
linha=1074 | nome=Natalia | acao=comparou as metricas | valor=7447
linha=1075 | nome=Carlos | acao=comparou as metricas | valor=3490
linha=1076 | nome=Helena | acao=escreveu o relatorio | valor=3396
linha=1077 | nome=Vitor | acao=executou o benchmark | valor=2927
linha=1078 | nome=Felipe | acao=analisou os resultados | valor=1058
linha=1079 | nome=Karen | acao=otimizou o algoritmo | valor=2026
linha=1080 | nome=Lucas | acao=estudou computacao | valor=8879
linha=1081 | nome=Bruno | acao=executou o benchmark | valor=1222
linha=1082 | nome=Sofia | acao=escreveu o relatorio | valor=2440
linha=1083 | nome=Eduarda | acao=comparou as metricas | valor=9013
linha=1084 | nome=Joao | acao=participou da aula | valor=2285
linha=1085 | nome=Otavio | acao=executou o benchmark | valor=2114
linha=1086 | nome=Helena | acao=fez um experimento | valor=8832
linha=1087 | nome=Vitor | acao=otimizou o algoritmo | valor=7976
linha=1088 | nome=Lucas | acao=fez um experimento | valor=4540
linha=1089 | nome=Sofia | acao=executou o benchmark | valor=3688
linha=1090 | nome=Tiago | acao=otimizou o algoritmo | valor=5423
linha=1091 | nome=Tiago | acao=otimizou o algoritmo | valor=1925
linha=1092 | nome=Otavio | acao=escreveu o relatorio | valor=1533
linha=1093 | nome=Natalia | acao=fez um experimento | valor=5177
linha=1094 | nome=Daniela | acao=escreveu o relatorio | valor=1945
linha=1095 | nome=Sofia | acao=escreveu o relatorio | valor=1421
linha=1096 | nome=Lucas | acao=executou o benchmark | valor=9423
linha=1097 | nome=Helena | acao=executou o benchmark | valor=2151
linha=1098 | nome=Joao | acao=analisou os resultados | valor=9072
linha=1099 | nome=Eduarda | acao=escreveu o relatorio | valor=1918
linha=1100 | nome=Mariana | acao=executou o benchmark | valor=6023
linha=1101 | nome=Karen | acao=otimizou o algoritmo | valor=5147
linha=1102 | nome=Tiago | acao=comparou as metricas | valor=5488
linha=1103 | nome=Gabriela | acao=analisou os resultados | valor=6804
linha=1104 | nome=Eduarda | acao=fez um experimento | valor=6725
linha=1105 | nome=Lucas | acao=estudou computacao | valor=3906
linha=1106 | nome=Otavio | acao=participou da aula | valor=6124
linha=1107 | nome=Karen | acao=escreveu o relatorio | valor=4413
linha=1108 | nome=Igor | acao=otimizou o algoritmo | valor=5206
linha=1109 | nome=Igor | acao=comparou as metricas | valor=4894
linha=1110 | nome=Renata | acao=escreveu o relatorio | valor=6305
linha=1111 | nome=Joao | acao=executou o benchmark | valor=6237
linha=1112 | nome=Renata | acao=comparou as metricas | valor=2033
linha=1113 | nome=Mariana | acao=escreveu o relatorio | valor=3850
linha=1114 | nome=Lucas | acao=executou o benchmark | valor=8037
linha=1115 | nome=Eduarda | acao=fez um experimento | valor=2729
linha=1116 | nome=Renata | acao=executou o benchmark | valor=2657
linha=1117 | nome=Renata | acao=otimizou o algoritmo | valor=1102
linha=1118 | nome=Eduarda | acao=analisou os resultados | valor=2051
linha=1119 | nome=Bruno | acao=participou da aula | valor=8327
linha=1120 | nome=Natalia | acao=participou da aula | valor=6494
linha=1121 | nome=Bruno | acao=analisou os resultados | valor=2945
linha=1122 | nome=Helena | acao=executou o benchmark | valor=7901
linha=1123 | nome=Joao | acao=fez um experimento | valor=6043
linha=1124 | nome=Helena | acao=comparou as metricas | valor=8143
linha=1125 | nome=Natalia | acao=fez um experimento | valor=7957
linha=1126 | nome=Natalia | acao=analisou os resultados | valor=8309
linha=1127 | nome=Felipe | acao=estudou computacao | valor=2806
linha=1128 | nome=Igor | acao=participou da aula | valor=9584
linha=1129 | nome=Karen | acao=fez um experimento | valor=9860
linha=1130 | nome=Sofia | acao=analisou os resultados | valor=2594
linha=1131 | nome=Carlos | acao=escreveu o relatorio | valor=4327
linha=1132 | nome=Karen | acao=participou da aula | valor=6411
linha=1133 | nome=Gabriela | acao=escreveu o relatorio | valor=8329
linha=1134 | nome=Bruno | acao=otimizou o algoritmo | valor=8836
linha=1135 | nome=Lucas | acao=fez um experimento | valor=4020
linha=1136 | nome=Tiago | acao=estudou computacao | valor=7142
linha=1137 | nome=Joao | acao=participou da aula | valor=5786
linha=1138 | nome=Igor | acao=estudou computacao | valor=1212
linha=1139 | nome=Sofia | acao=participou da aula | valor=5731
linha=1140 | nome=Karen | acao=comparou as metricas | valor=6153
linha=1141 | nome=Eduarda | acao=fez um experimento | valor=1283
linha=1142 | nome=Otavio | acao=escreveu o relatorio | valor=2467
linha=1143 | nome=Tiago | acao=analisou os resultados | valor=2137
linha=1144 | nome=Joao | acao=executou o benchmark | valor=9338
linha=1145 | nome=Gabriela | acao=otimizou o algoritmo | valor=6365
linha=1146 | nome=Joao | acao=participou da aula | valor=3964
linha=1147 | nome=Mariana | acao=comparou as metricas | valor=7028
linha=1148 | nome=Carlos | acao=executou o benchmark | valor=1703
linha=1149 | nome=Carlos | acao=otimizou o algoritmo | valor=8275
linha=1150 | nome=Ana | acao=otimizou o algoritmo | valor=2905
linha=1151 | nome=Gabriela | acao=otimizou o algoritmo | valor=9717
linha=1152 | nome=Daniela | acao=executou o benchmark | valor=2719
linha=1153 | nome=Bruno | acao=fez um experimento | valor=1382
linha=1154 | nome=Mariana | acao=escreveu o relatorio | valor=6965
linha=1155 | nome=Igor | acao=participou da aula | valor=3826
linha=1156 | nome=Eduarda | acao=otimizou o algoritmo | valor=3647
linha=1157 | nome=Mariana | acao=comparou as metricas | valor=4595
linha=1158 | nome=Felipe | acao=otimizou o algoritmo | valor=7347
linha=1159 | nome=Otavio | acao=otimizou o algoritmo | valor=4964
linha=1160 | nome=Natalia | acao=analisou os resultados | valor=8778
linha=1161 | nome=Mariana | acao=analisou os resultados | valor=6728
linha=1162 | nome=Felipe | acao=executou o benchmark | valor=7718
linha=1163 | nome=Joao | acao=estudou computacao | valor=6778
linha=1164 | nome=Otavio | acao=executou o benchmark | valor=5822
linha=1165 | nome=Joao | acao=participou da aula | valor=2444
linha=1166 | nome=Natalia | acao=estudou computacao | valor=7983
linha=1167 | nome=Mariana | acao=executou o benchmark | valor=8961
linha=1168 | nome=Otavio | acao=participou da aula | valor=7294
linha=1169 | nome=Helena | acao=estudou computacao | valor=4568
linha=1170 | nome=Vitor | acao=estudou computacao | valor=3085
linha=1171 | nome=Karen | acao=estudou computacao | valor=1476
linha=1172 | nome=Helena | acao=executou o benchmark | valor=8107
linha=1173 | nome=Felipe | acao=estudou computacao | valor=6788
linha=1174 | nome=Paulo | acao=analisou os resultados | valor=3411
linha=1175 | nome=Gabriela | acao=otimizou o algoritmo | valor=9105
linha=1176 | nome=Daniela | acao=estudou computacao | valor=9055
linha=1177 | nome=Mariana | acao=comparou as metricas | valor=7495
linha=1178 | nome=Mariana | acao=escreveu o relatorio | valor=3060
linha=1179 | nome=Sofia | acao=comparou as metricas | valor=2540
linha=1180 | nome=Gabriela | acao=otimizou o algoritmo | valor=6040
linha=1181 | nome=Helena | acao=participou da aula | valor=6443
linha=1182 | nome=Helena | acao=comparou as metricas | valor=4164
linha=1183 | nome=Daniela | acao=comparou as metricas | valor=9703
linha=1184 | nome=Mariana | acao=fez um experimento | valor=5901
linha=1185 | nome=Paulo | acao=fez um experimento | valor=5027
linha=1186 | nome=Eduarda | acao=escreveu o relatorio | valor=4811
linha=1187 | nome=Otavio | acao=escreveu o relatorio | valor=8153
linha=1188 | nome=Lucas | acao=participou da aula | valor=5306
linha=1189 | nome=Mariana | acao=fez um experimento | valor=5938
linha=1190 | nome=Paulo | acao=estudou computacao | valor=6174
linha=1191 | nome=Joao | acao=analisou os resultados | valor=2461
linha=1192 | nome=Sofia | acao=otimizou o algoritmo | valor=1140
linha=1193 | nome=Lucas | acao=analisou os resultados | valor=4516
linha=1194 | nome=Natalia | acao=otimizou o algoritmo | valor=2337
linha=1195 | nome=Karen | acao=otimizou o algoritmo | valor=3512
linha=1196 | nome=Gabriela | acao=participou da aula | valor=9619
linha=1197 | nome=Lucas | acao=analisou os resultados | valor=2602
linha=1198 | nome=Bruno | acao=participou da aula | valor=8832
linha=1199 | nome=Otavio | acao=participou da aula | valor=9697
linha=1200 | nome=Bruno | acao=otimizou o algoritmo | valor=7986
linha=1201 | nome=Igor | acao=estudou computacao | valor=2842
linha=1202 | nome=Karen | acao=analisou os resultados | valor=2957
linha=1203 | nome=Joao | acao=comparou as metricas | valor=1062
linha=1204 | nome=Igor | acao=estudou computacao | valor=1999
linha=1205 | nome=Eduarda | acao=participou da aula | valor=6729
linha=1206 | nome=Felipe | acao=comparou as metricas | valor=1990
linha=1207 | nome=Karen | acao=otimizou o algoritmo | valor=9837
linha=1208 | nome=Tiago | acao=fez um experimento | valor=1084
linha=1209 | nome=Joao | acao=participou da aula | valor=7996
linha=1210 | nome=Felipe | acao=analisou os resultados | valor=3669
linha=1211 | nome=Gabriela | acao=otimizou o algoritmo | valor=2532
linha=1212 | nome=Helena | acao=participou da aula | valor=4815
linha=1213 | nome=Helena | acao=otimizou o algoritmo | valor=1946
linha=1214 | nome=Daniela | acao=escreveu o relatorio | valor=4496
linha=1215 | nome=Daniela | acao=comparou as metricas | valor=6870
linha=1216 | nome=Ana | acao=comparou as metricas | valor=4907
linha=1217 | nome=Carlos | acao=escreveu o relatorio | valor=9144
linha=1218 | nome=Mariana | acao=estudou computacao | valor=4302
linha=1219 | nome=Natalia | acao=otimizou o algoritmo | valor=6547
linha=1220 | nome=Otavio | acao=analisou os resultados | valor=5870
linha=1221 | nome=Carlos | acao=otimizou o algoritmo | valor=6646
linha=1222 | nome=Sofia | acao=executou o benchmark | valor=3223
linha=1223 | nome=Karen | acao=otimizou o algoritmo | valor=3975
linha=1224 | nome=Daniela | acao=analisou os resultados | valor=9071
linha=1225 | nome=Tiago | acao=fez um experimento | valor=4494
linha=1226 | nome=Paulo | acao=analisou os resultados | valor=9542
linha=1227 | nome=Gabriela | acao=estudou computacao | valor=4539
linha=1228 | nome=Bruno | acao=otimizou o algoritmo | valor=7234
linha=1229 | nome=Felipe | acao=estudou computacao | valor=5635
linha=1230 | nome=Felipe | acao=otimizou o algoritmo | valor=7109
linha=1231 | nome=Felipe | acao=executou o benchmark | valor=8209
linha=1232 | nome=Helena | acao=estudou computacao | valor=3539
linha=1233 | nome=Helena | acao=estudou computacao | valor=5702
linha=1234 | nome=Eduarda | acao=escreveu o relatorio | valor=1637
linha=1235 | nome=Bruno | acao=escreveu o relatorio | valor=1537
linha=1236 | nome=Felipe | acao=executou o benchmark | valor=8989
linha=1237 | nome=Natalia | acao=analisou os resultados | valor=2021
linha=1238 | nome=Joao | acao=fez um experimento | valor=6376
linha=1239 | nome=Mariana | acao=comparou as metricas | valor=6834
