linha=1 | nome=Carlos | acao=escreveu o relatorio | valor=8227
linha=938 | nome=Sofia | acao=fez um experimento | valor=6604
linha=939 | nome=Helena | acao=fez um experimento | valor=3191
linha=940 | nome=Lucas | acao=fez um experimento | valor=6984
linha=941 | nome=Tiago | acao=executou o benchmark | valor=1360
linha=942 | nome=Felipe | acao=analisou os resultados | valor=4532
linha=943 | nome=Ana | acao=escreveu o relatorio | valor=1944
linha=944 | nome=Ana | acao=executou o benchmark | valor=7453
linha=945 | nome=Karen | acao=analisou os resultados | valor=3103
linha=946 | nome=Daniela | acao=escreveu o relatorio | valor=7959
linha=947 | nome=Carlos | acao=executou o benchmark | valor=9226
linha=948 | nome=Bruno | acao=fez um experimento | valor=8429
linha=949 | nome=Paulo | acao=otimizou o algoritmo | valor=8446
linha=950 | nome=Karen | acao=fez um experimento | valor=6316
linha=951 | nome=Vitor | acao=fez um experimento | valor=5390
linha=952 | nome=Felipe | acao=estudou computacao | valor=2388
linha=953 | nome=Renata | acao=executou o benchmark | valor=5668
linha=954 | nome=Sofia | acao=otimizou o algoritmo | valor=7010
linha=955 | nome=Sofia | acao=fez um experimento | valor=3153
linha=956 | nome=Felipe | acao=participou da aula | valor=8813
linha=957 | nome=Bruno | acao=participou da aula | valor=2552
linha=958 | nome=Vitor | acao=fez um experimento | valor=4753
linha=959 | nome=Helena | acao=otimizou o algoritmo | valor=3109
linha=960 | nome=Felipe | acao=fez um experimento | valor=7984
linha=961 | nome=Natalia | acao=estudou computacao | valor=2053
linha=962 | nome=Paulo | acao=participou da aula | valor=1806
linha=963 | nome=Eduarda | acao=estudou computacao | valor=6564
linha=964 | nome=Eduarda | acao=participou da aula | valor=6234
linha=965 | nome=Otavio | acao=estudou computacao | valor=9296
linha=966 | nome=Natalia | acao=otimizou o algoritmo | valor=3252
linha=967 | nome=Karen | acao=executou o benchmark | valor=8170
linha=968 | nome=Helena | acao=participou da aula | valor=3527
linha=969 | nome=Mariana | acao=analisou os resultados | valor=9160
linha=970 | nome=Felipe | acao=fez um experimento | valor=7342
linha=971 | nome=Lucas | acao=escreveu o relatorio | valor=5566
linha=972 | nome=Felipe | acao=comparou as metricas | valor=7348
linha=973 | nome=Otavio | acao=fez um experimento | valor=5601
linha=974 | nome=Bruno | acao=escreveu o relatorio | valor=9385
linha=975 | nome=Eduarda | acao=escreveu o relatorio | valor=7148
linha=976 | nome=Felipe | acao=estudou computacao | valor=7952
linha=977 | nome=Tiago | acao=participou da aula | valor=6844
linha=978 | nome=Carlos | acao=participou da aula | valor=8391
linha=979 | nome=Igor | acao=analisou os resultados | valor=1953
linha=980 | nome=Otavio | acao=estudou computacao | valor=1233
linha=981 | nome=Paulo | acao=analisou os resultados | valor=3054
linha=982 | nome=Ana | acao=comparou as metricas | valor=7824
linha=983 | nome=Joao | acao=estudou computacao | valor=3348
linha=984 | nome=Joao | acao=fez um experimento | valor=7795
linha=985 | nome=Joao | acao=analisou os resultados | valor=6932
linha=986 | nome=Daniela | acao=otimizou o algoritmo | valor=3802
linha=987 | nome=Natalia | acao=analisou os resultados | valor=9117
linha=988 | nome=Otavio | acao=estudou computacao | valor=3588
linha=989 | nome=Bruno | acao=otimizou o algoritmo | valor=1087
linha=990 | nome=Vitor | acao=executou o benchmark | valor=1912
linha=991 | nome=Felipe | acao=fez um experimento | valor=9798
linha=992 | nome=Mariana | acao=fez um experimento | valor=9563
linha=993 | nome=Renata | acao=analisou os resultados | valor=7481
linha=994 | nome=Eduarda | acao=estudou computacao | valor=4807
linha=995 | nome=Mariana | acao=estudou computacao | valor=2211
linha=996 | nome=Felipe | acao=otimizou o algoritmo | valor=9271
linha=997 | nome=Mariana | acao=comparou as metricas | valor=4258
linha=998 | nome=Ana | acao=participou da aula | valor=1222
linha=999 | nome=Natalia | acao=comparou as metricas | valor=1519
linha=1000 | nome=Sofia | acao=otimizou o algoritmo | valor=9530
linha=1001 | nome=Igor | acao=estudou computacao | valor=9404
linha=1002 | nome=Felipe | acao=executou o benchmark | valor=6427
linha=1003 | nome=Bruno | acao=analisou os resultados | valor=3050
linha=1004 | nome=Renata | acao=otimizou o algoritmo | valor=4639
linha=1005 | nome=Natalia | acao=fez um experimento | valor=5025
linha=1006 | nome=Felipe | acao=executou o benchmark | valor=6542
linha=1007 | nome=Tiago | acao=otimizou o algoritmo | valor=1205
linha=1008 | nome=Sofia | acao=otimizou o algoritmo | valor=9150
linha=1009 | nome=Joao | acao=participou da aula | valor=9066
linha=1010 | nome=Carlos | acao=otimizou o algoritmo | valor=4725
linha=1011 | nome=Natalia | acao=comparou as metricas | valor=7142
linha=1012 | nome=Lucas | acao=fez um experimento | valor=6947
linha=1013 | nome=Daniela | acao=escreveu o relatorio | valor=5870
linha=1014 | nome=Paulo | acao=otimizou o algoritmo | valor=7109
linha=1015 | nome=Lucas | acao=escreveu o relatorio | valor=1666
linha=1016 | nome=Sofia | acao=escreveu o relatorio | valor=8283
linha=1017 | nome=Sofia | acao=participou da aula | valor=7556
linha=1018 | nome=Karen | acao=executou o benchmark | valor=4289
linha=1019 | nome=Lucas | acao=estudou computacao | valor=3538
linha=1020 | nome=Otavio | acao=executou o benchmark | valor=2955
linha=1021 | nome=Vitor | acao=fez um experimento | valor=9240
linha=1022 | nome=Carlos | acao=estudou computacao | valor=9674
linha=1023 | nome=Vitor | acao=executou o benchmark | valor=1042
linha=1024 | nome=Eduarda | acao=estudou computacao | valor=6333
linha=1025 | nome=Eduarda | acao=executou o benchmark | valor=5202
linha=1026 | nome=Joao | acao=participou da aula | valor=3434
linha=1027 | nome=Daniela | acao=comparou as metricas | valor=5973
linha=1028 | nome=Renata | acao=executou o benchmark | valor=7816
linha=1029 | nome=Joao | acao=otimizou o algoritmo | valor=6025
linha=1030 | nome=Carlos | acao=analisou os resultados | valor=8198
linha=1031 | nome=Otavio | acao=comparou as metricas | valor=8029
linha=1032 | nome=Felipe | acao=executou o benchmark | valor=5170
linha=1033 | nome=Tiago | acao=estudou computacao | valor=9549
linha=1034 | nome=Igor | acao=escreveu o relatorio | valor=6567
linha=1035 | nome=Daniela | acao=comparou as metricas | valor=9839
linha=1036 | nome=Tiago | acao=participou da aula | valor=9036
linha=1037 | nome=Joao | acao=comparou as metricas | valor=8514
linha=1038 | nome=Eduarda | acao=comparou as metricas | valor=2077
linha=1039 | nome=Igor | acao=fez um experimento | valor=2988
linha=1040 | nome=Joao | acao=analisou os resultados | valor=5746
linha=1041 | nome=Mariana | acao=executou o benchmark | valor=6249
linha=1042 | nome=Joao | acao=executou o benchmark | valor=6625
linha=1043 | nome=Vitor | acao=analisou os resultados | valor=7866
linha=1044 | nome=Gabriela | acao=estudou computacao | valor=8646
linha=1045 | nome=Lucas | acao=analisou os resultados | valor=5882
linha=1046 | nome=Otavio | acao=escreveu o relatorio | valor=7406
linha=1047 | nome=Sofia | acao=analisou os resultados | valor=4482
linha=1048 | nome=Sofia | acao=fez um experimento | valor=6128
linha=1049 | nome=Carlos | acao=participou da aula | valor=3228
linha=1050 | nome=Eduarda | acao=executou o benchmark | valor=8858
linha=1051 | nome=Vitor | acao=estudou computacao | valor=1011
linha=1052 | nome=Eduarda | acao=otimizou o algoritmo | valor=8275
linha=1053 | nome=Igor | acao=estudou computacao | valor=8062
linha=1054 | nome=Tiago | acao=analisou os resultados | valor=9886
linha=1055 | nome=Sofia | acao=escreveu o relatorio | valor=4429
linha=1056 | nome=Felipe | acao=participou da aula | valor=4823
linha=1057 | nome=Paulo | acao=otimizou o algoritmo | valor=2182
linha=1058 | nome=Lucas | acao=otimizou o algoritmo | valor=5976
linha=1059 | nome=Gabriela | acao=fez um experimento | valor=9193
linha=1060 | nome=Eduarda | acao=estudou computacao | valor=6974
linha=1061 | nome=Natalia | acao=estudou computacao | valor=8903
linha=1062 | nome=Igor | acao=executou o benchmark | valor=9465
linha=1063 | nome=Lucas | acao=escreveu o relatorio | valor=9547
linha=1064 | nome=Joao | acao=estudou computacao | valor=5757
linha=1065 | nome=Bruno | acao=participou da aula | valor=4761
linha=1066 | nome=Mariana | acao=analisou os resultados | valor=7086
linha=1067 | nome=Gabriela | acao=otimizou o algoritmo | valor=7233
linha=1068 | nome=Karen | acao=comparou as metricas | valor=9008
linha=1069 | nome=Ana | acao=escreveu o relatorio | valor=1008
linha=1070 | nome=Carlos | acao=otimizou o algoritmo | valor=4983
linha=1071 | nome=Ana | acao=analisou os resultados | valor=2844
linha=1072 | nome=Vitor | acao=otimizou o algoritmo | valor=4400
linha=1073 | nome=Paulo | acao=participou da aula | valor=7195
linha=1074 | nome=Sofia | acao=fez um experimento | valor=6713
linha=1075 | nome=Igor | acao=executou o benchmark | valor=6307
linha=1076 | nome=Renata | acao=escreveu o relatorio | valor=9496
linha=1077 | nome=Sofia | acao=fez um experimento | valor=7095
linha=1078 | nome=Joao | acao=comparou as metricas | valor=6968
linha=1079 | nome=Eduarda | acao=executou o benchmark | valor=6839
linha=1080 | nome=Mariana | acao=participou da aula | valor=8001
linha=1081 | nome=Eduarda | acao=otimizou o algoritmo | valor=1508
linha=1082 | nome=Carlos | acao=estudou computacao | valor=4353
linha=1083 | nome=Mariana | acao=otimizou o algoritmo | valor=6017
linha=1084 | nome=Lucas | acao=comparou as metricas | valor=8549
linha=1085 | nome=Eduarda | acao=otimizou o algoritmo | valor=3874
linha=1086 | nome=Helena | acao=executou o benchmark | valor=7945
linha=1087 | nome=Daniela | acao=escreveu o relatorio | valor=9655
linha=1088 | nome=Felipe | acao=analisou os resultados | valor=2629
linha=1089 | nome=Mariana | acao=estudou computacao | valor=8418
linha=1090 | nome=Paulo | acao=participou da aula | valor=7845
linha=1091 | nome=Igor | acao=comparou as metricas | valor=3124
linha=1092 | nome=Gabriela | acao=escreveu o relatorio | valor=4391
linha=1093 | nome=Carlos | acao=comparou as metricas | valor=8350
linha=1094 | nome=Mariana | acao=fez um experimento | valor=8500
linha=1095 | nome=Lucas | acao=comparou as metricas | valor=7369
linha=1096 | nome=Gabriela | acao=comparou as metricas | valor=4061
linha=1097 | nome=Otavio | acao=estudou computacao | valor=1293
linha=1098 | nome=Helena | acao=executou o benchmark | valor=4221
linha=1099 | nome=Helena | acao=otimizou o algoritmo | valor=2387
linha=1100 | nome=Daniela | acao=participou da aula | valor=3817
linha=1101 | nome=Sofia | acao=participou da aula | valor=4787
linha=1102 | nome=Sofia | acao=participou da aula | valor=5450
linha=1103 | nome=Karen | acao=fez um experimento | valor=6945
linha=1104 | nome=Joao | acao=otimizou o algoritmo | valor=5070
linha=1105 | nome=Daniela | acao=analisou os resultados | valor=9618
linha=1106 | nome=Natalia | acao=escreveu o relatorio | valor=8548
linha=1107 | nome=Sofia | acao=otimizou o algoritmo | valor=8798
linha=1108 | nome=Ana | acao=estudou computacao | valor=4022
linha=1109 | nome=Joao | acao=estudou computacao | valor=2307
linha=1110 | nome=Sofia | acao=fez um experimento | valor=2729
linha=1111 | nome=Mariana | acao=comparou as metricas | valor=1502
linha=1112 | nome=Lucas | acao=executou o benchmark | valor=4767
linha=1113 | nome=Ana | acao=escreveu o relatorio | valor=8512
linha=1114 | nome=Joao | acao=estudou computacao | valor=1574
linha=1115 | nome=Renata | acao=otimizou o algoritmo | valor=8413
linha=1116 | nome=Lucas | acao=otimizou o algoritmo | valor=7146
linha=1117 | nome=Renata | acao=escreveu o relatorio | valor=5245
linha=1118 | nome=Eduarda | acao=otimizou o algoritmo | valor=9196
linha=1119 | nome=Lucas | acao=executou o benchmark | valor=2419
linha=1120 | nome=Tiago | acao=otimizou o algoritmo | valor=9873
linha=1121 | nome=Renata | acao=comparou as metricas | valor=5340
linha=1122 | nome=Tiago | acao=otimizou o algoritmo | valor=6775
linha=1123 | nome=Renata | acao=analisou os resultados | valor=1383
linha=1124 | nome=Eduarda | acao=executou o benchmark | valor=4734
linha=1125 | nome=Mariana | acao=analisou os resultados | valor=1955
linha=1126 | nome=Felipe | acao=escreveu o relatorio | valor=5715
linha=1127 | nome=Tiago | acao=fez um experimento | valor=8732
linha=1128 | nome=Daniela | acao=analisou os resultados | valor=5833
linha=1129 | nome=Carlos | acao=otimizou o algoritmo | valor=6479
linha=1130 | nome=Joao | acao=analisou os resultados | valor=1011
linha=1131 | nome=Renata | acao=fez um experimento | valor=3866
linha=1132 | nome=Carlos | acao=estudou computacao | valor=4061
linha=1133 | nome=Karen | acao=comparou as metricas | valor=9296
linha=1134 | nome=Daniela | acao=fez um experimento | valor=2259
linha=1135 | nome=Ana | acao=escreveu o relatorio | valor=5825
linha=1136 | nome=Renata | acao=escreveu o relatorio | valor=5331
linha=1137 | nome=Carlos | acao=analisou os resultados | valor=1646
linha=1138 | nome=Gabriela | acao=escreveu o relatorio | valor=1142
linha=1139 | nome=Vitor | acao=escreveu o relatorio | valor=4135
linha=1140 | nome=Ana | acao=comparou as metricas | valor=1332
linha=1141 | nome=Natalia | acao=analisou os resultados | valor=1721
linha=1142 | nome=Daniela | acao=escreveu o relatorio | valor=8256
linha=1143 | nome=Helena | acao=participou da aula | valor=3082
linha=1144 | nome=Tiago | acao=escreveu o relatorio | valor=9683
linha=1145 | nome=Natalia | acao=comparou as metricas | valor=1612
linha=1146 | nome=Lucas | acao=estudou computacao | valor=2488
linha=1147 | nome=Tiago | acao=estudou computacao | valor=9348
linha=1148 | nome=Vitor | acao=executou o benchmark | valor=4824
linha=1149 | nome=Eduarda | acao=estudou computacao | valor=1752
linha=1150 | nome=Karen | acao=otimizou o algoritmo | valor=7976
linha=1151 | nome=Eduarda | acao=escreveu o relatorio | valor=2358
linha=1152 | nome=Vitor | acao=escreveu o relatorio | valor=7870
linha=1153 | nome=Natalia | acao=executou o benchmark | valor=1531
linha=1154 | nome=Paulo | acao=estudou computacao | valor=2931
linha=1155 | nome=Bruno | acao=executou o benchmark | valor=5761
linha=1156 | nome=Paulo | acao=comparou as metricas | valor=7226
linha=1157 | nome=Gabriela | acao=estudou computacao | valor=6544
linha=1158 | nome=Joao | acao=executou o benchmark | valor=2683
linha=1159 | nome=Vitor | acao=estudou computacao | valor=7960
linha=1160 | nome=Eduarda | acao=otimizou o algoritmo | valor=8569
linha=1161 | nome=Igor | acao=analisou os resultados | valor=2753
linha=1162 | nome=Lucas | acao=executou o benchmark | valor=1949
linha=1163 | nome=Lucas | acao=comparou as metricas | valor=2922
linha=1164 | nome=Bruno | acao=comparou as metricas | valor=2692
linha=1165 | nome=Natalia | acao=comparou as metricas | valor=4008
linha=1166 | nome=Felipe | acao=comparou as metricas | valor=5659
linha=1167 | nome=Vitor | acao=participou da aula | valor=3516
linha=1168 | nome=Karen | acao=analisou os resultados | valor=1802
linha=1169 | nome=Gabriela | acao=comparou as metricas | valor=1267
linha=1170 | nome=Paulo | acao=estudou computacao | valor=6614
linha=1171 | nome=Igor | acao=fez um experimento | valor=2533
linha=1172 | nome=Carlos | acao=estudou computacao | valor=8058
linha=1173 | nome=Sofia | acao=escreveu o relatorio | valor=9303
linha=1174 | nome=Paulo | acao=comparou as metricas | valor=7806
linha=1175 | nome=Joao | acao=otimizou o algoritmo | valor=6129
linha=1176 | nome=Ana | acao=estudou computacao | valor=1362
linha=1177 | nome=Gabriela | acao=analisou os resultados | valor=3628
linha=1178 | nome=Lucas | acao=comparou as metricas | valor=6984
linha=1179 | nome=Mariana | acao=participou da aula | valor=7327
linha=1180 | nome=Karen | acao=comparou as metricas | valor=7537
linha=1181 | nome=Sofia | acao=estudou computacao | valor=9167
linha=1182 | nome=Ana | acao=participou da aula | valor=7074
linha=1183 | nome=Carlos | acao=comparou as metricas | valor=9031
linha=1184 | nome=Karen | acao=analisou os resultados | valor=6725
linha=1185 | nome=Igor | acao=otimizou o algoritmo | valor=4773
linha=1186 | nome=Daniela | acao=otimizou o algoritmo | valor=6733
linha=1187 | nome=Lucas | acao=estudou computacao | valor=2619
linha=1188 | nome=Carlos | acao=analisou os resultados | valor=7202
linha=1189 | nome=Vitor | acao=participou da aula | valor=9604
linha=1190 | nome=Gabriela | acao=executou o benchmark | valor=9424
linha=1191 | nome=Igor | acao=otimizou o algoritmo | valor=7831
linha=1192 | nome=Lucas | acao=fez um experimento | valor=2160
linha=1193 | nome=Tiago | acao=comparou as metricas | valor=4396
linha=1194 | nome=Otavio | acao=fez um experimento | valor=3428
linha=1195 | nome=Igor | acao=otimizou o algoritmo | valor=1245
linha=1196 | nome=Otavio | acao=comparou as metricas | valor=2080
linha=1197 | nome=Vitor | acao=participou da aula | valor=5451
linha=1198 | nome=Renata | acao=otimizou o algoritmo | valor=3705
linha=1199 | nome=Carlos | acao=executou o benchmark | valor=6640
linha=1200 | nome=Lucas | acao=participou da aula | valor=6370
linha=1201 | nome=Felipe | acao=participou da aula | valor=7535
linha=1202 | nome=Tiago | acao=fez um experimento | valor=9604
linha=1203 | nome=Ana | acao=escreveu o relatorio | valor=5417
linha=1204 | nome=Daniela | acao=comparou as metricas | valor=1917
linha=1205 | nome=Ana | acao=executou o benchmark | valor=2077
linha=1206 | nome=Karen | acao=fez um experimento | valor=5443
linha=1207 | nome=Gabriela | acao=fez um experimento | valor=9870
linha=1208 | nome=Joao | acao=fez um experimento | valor=4107
linha=1209 | nome=Bruno | acao=executou o benchmark | valor=5072
linha=1210 | nome=Tiago | acao=analisou os resultados | valor=9823
linha=1211 | nome=Carlos | acao=otimizou o algoritmo | valor=4014
linha=1212 | nome=Felipe | acao=comparou as metricas | valor=5512
linha=1213 | nome=Igor | acao=escreveu o relatorio | valor=5404
linha=1214 | nome=Carlos | acao=analisou os resultados | valor=2028
linha=1215 | nome=Lucas | acao=analisou os resultados | valor=5282
linha=1216 | nome=Otavio | acao=escreveu o relatorio | valor=9488
linha=1217 | nome=Tiago | acao=analisou os resultados | valor=4208
linha=1218 | nome=Gabriela | acao=estudou computacao | valor=1944
linha=1219 | nome=Otavio | acao=analisou os resultados | valor=8806
linha=1220 | nome=Gabriela | acao=otimizou o algoritmo | valor=4418
linha=1221 | nome=Tiago | acao=fez um experimento | valor=9098
linha=1222 | nome=Helena | acao=analisou os resultados | valor=1509
linha=1223 | nome=Sofia | acao=fez um experimento | valor=9334
linha=1224 | nome=Ana | acao=estudou computacao | valor=8268
linha=1225 | nome=Eduarda | acao=comparou as metricas | valor=7685
linha=1226 | nome=Paulo | acao=analisou os resultados | valor=8876
linha=1227 | nome=Mariana | acao=fez um experimento | valor=9461
linha=1228 | nome=Felipe | acao=otimizou o algoritmo | valor=1796
linha=1229 | nome=Paulo | acao=participou da aula | valor=9111
linha=1230 | nome=Carlos | acao=otimizou o algoritmo | valor=4185
linha=1231 | nome=Gabriela | acao=participou da aula | valor=8399
linha=1232 | nome=Vitor | acao=participou da aula | valor=4119
linha=1233 | nome=Ana | acao=fez um experimento | valor=8982
linha=1234 | nome=Eduarda | acao=fez um experimento | valor=1285
linha=1235 | nome=Lucas | acao=escreveu o relatorio | valor=9199
linha=1236 | nome=Helena | acao=analisou os resultados | valor=4730
linha=1237 | nome=Helena | acao=otimizou o algoritmo | valor=5105
linha=1238 | nome=Lucas | acao=analisou os resultados | valor=5611
linha=1239 | nome=Eduarda | acao=comparou as metricas | valor=9876
linha=1240 | nome=Paulo | acao=estudou computacao | valor=2283
linha=1241 | nome=Paulo | acao=fez um experimento | valor=4771
linha=1242 | nome=Natalia | acao=escreveu o relatorio | valor=9777
linha=1243 | nome=Mariana | acao=executou o benchmark | valor=7132
linha=1244 | nome=Felipe | acao=executou o benchmark | valor=3746
linha=1245 | nome=Daniela | acao=estudou computacao | valor=1027
linha=1246 | nome=Mariana | acao=executou o benchmark | valor=7267
linha=1247 | nome=Eduarda | acao=executou o benchmark | valor=6499
linha=1248 | nome=Helena | acao=executou o benchmark | valor=9057
linha=1249 | nome=Mariana | acao=analisou os resultados | valor=9024
linha=1250 | nome=Tiago | acao=fez um experimento | valor=3511
linha=1251 | nome=Paulo | acao=escreveu o relatorio | valor=8582
linha=1252 | nome=Paulo | acao=escreveu o relatorio | valor=1773
linha=1253 | nome=Helena | acao=otimizou o algoritmo | valor=8224
linha=1254 | nome=Karen | acao=estudou computacao | valor=5832
linha=1255 | nome=Tiago | acao=otimizou o algoritmo | valor=8488
linha=1256 | nome=Gabriela | acao=escreveu o relatorio | valor=2512
linha=1257 | nome=Carlos | acao=executou o benchmark | valor=6672
linha=1258 | nome=Ana | acao=estudou computacao | valor=3090
linha=1259 | nome=Gabriela | acao=estudou computacao | valor=9743
linha=1260 | nome=Tiago | acao=otimizou o algoritmo | valor=1812
linha=1261 | nome=Lucas | acao=participou da aula | valor=3966
linha=1262 | nome=Bruno | acao=estudou computacao | valor=1046
linha=1263 | nome=Lucas | acao=fez um experimento | valor=6432
linha=1264 | nome=Gabriela | acao=executou o benchmark | valor=6254
linha=1265 | nome=Renata | acao=comparou as metricas | valor=1299
linha=1266 | nome=Vitor | acao=comparou as metricas | valor=8971
linha=1267 | nome=Carlos | acao=escreveu o relatorio | valor=5461
linha=1268 | nome=Mariana | acao=comparou as metricas | valor=4581
linha=1269 | nome=Renata | acao=otimizou o algoritmo | valor=7102
linha=1270 | nome=Natalia | acao=executou o benchmark | valor=9119
linha=1271 | nome=Helena | acao=analisou os resultados | valor=9753
linha=1272 | nome=Eduarda | acao=estudou computacao | valor=2450
linha=1273 | nome=Paulo | acao=fez um experimento | valor=4191
linha=1274 | nome=Joao | acao=escreveu o relatorio | valor=2694
linha=1275 | nome=Igor | acao=participou da aula | valor=3924
linha=1276 | nome=Carlos | acao=participou da aula | valor=3629
linha=1277 | nome=Renata | acao=fez um experimento | valor=1256
linha=1278 | nome=Carlos | acao=analisou os resultados | valor=9393
linha=1279 | nome=Otavio | acao=analisou os resultados | valor=8969
linha=1280 | nome=Helena | acao=analisou os resultados | valor=4107
linha=1281 | nome=Igor | acao=fez um experimento | valor=8547
linha=1282 | nome=Karen | acao=analisou os resultados | valor=7857
linha=1283 | nome=Vitor | acao=otimizou o algoritmo | valor=1842
linha=1284 | nome=Gabriela | acao=estudou computacao | valor=3894
linha=1285 | nome=Sofia | acao=executou o benchmark | valor=4976
linha=1286 | nome=Ana | acao=analisou os resultados | valor=2964
linha=1287 | nome=Lucas | acao=comparou as metricas | valor=9772
linha=1288 | nome=Tiago | acao=executou o benchmark | valor=4384
linha=1289 | nome=Eduarda | acao=comparou as metricas | valor=4452
linha=1290 | nome=Sofia | acao=otimizou o algoritmo | valor=1355
linha=1291 | nome=Felipe | acao=participou da aula | valor=8646
linha=1292 | nome=Otavio | acao=otimizou o algoritmo | valor=3711
linha=1293 | nome=Mariana | acao=escreveu o relatorio | valor=8362
linha=1294 | nome=Carlos | acao=participou da aula | valor=8769
linha=1295 | nome=Mariana | acao=estudou computacao | valor=8915
linha=1296 | nome=Karen | acao=analisou os resultados | valor=6243
linha=1297 | nome=Gabriela | acao=escreveu o relatorio | valor=3395
linha=1298 | nome=Felipe | acao=participou da aula | valor=5840
linha=1299 | nome=Otavio | acao=fez um experimento | valor=2465
linha=1300 | nome=Sofia | acao=escreveu o relatorio | valor=9668
linha=1301 | nome=Paulo | acao=participou da aula | valor=5483
linha=1302 | nome=Karen | acao=otimizou o algoritmo | valor=6135
linha=1303 | nome=Ana | acao=escreveu o relatorio | valor=9501
linha=1304 | nome=Lucas | acao=fez um experimento | valor=1120
linha=1305 | nome=Otavio | acao=participou da aula | valor=3025
linha=1306 | nome=Paulo | acao=otimizou o algoritmo | valor=2550
linha=1307 | nome=Paulo | acao=comparou as metricas | valor=7621
linha=1308 | nome=Lucas | acao=escreveu o relatorio | valor=5553
linha=1309 | nome=Karen | acao=executou o benchmark | valor=8225
linha=1310 | nome=Bruno | acao=estudou computacao | valor=8675
linha=1311 | nome=Daniela | acao=executou o benchmark | valor=5305
linha=1312 | nome=Natalia | acao=escreveu o relatorio | valor=9547
linha=1313 | nome=Lucas | acao=estudou computacao | valor=8714
linha=1314 | nome=Paulo | acao=otimizou o algoritmo | valor=1325
linha=1315 | nome=Paulo | acao=participou da aula | valor=7375
linha=1316 | nome=Joao | acao=estudou computacao | valor=9651
linha=1317 | nome=Mariana | acao=fez um experimento | valor=3703
linha=1318 | nome=Karen | acao=executou o benchmark | valor=3702
linha=1319 | nome=Karen | acao=executou o benchmark | valor=2610
linha=1320 | nome=Daniela | acao=estudou computacao | valor=9172
linha=1321 | nome=Igor | acao=analisou os resultados | valor=1861
linha=1322 | nome=Mariana | acao=analisou os resultados | valor=8679
linha=1323 | nome=Gabriela | acao=participou da aula | valor=6426
linha=1324 | nome=Eduarda | acao=estudou computacao | valor=4161
linha=1325 | nome=Eduarda | acao=analisou os resultados | valor=8866
linha=1326 | nome=Vitor | acao=executou o benchmark | valor=3844
linha=1327 | nome=Bruno | acao=analisou os resultados | valor=4925
linha=1328 | nome=Lucas | acao=otimizou o algoritmo | valor=1768
linha=1329 | nome=Renata | acao=estudou computacao | valor=5565
linha=1330 | nome=Eduarda | acao=estudou computacao | valor=2333
linha=1331 | nome=Mariana | acao=fez um experimento | valor=9546
linha=1332 | nome=Eduarda | acao=analisou os resultados | valor=7599
linha=1333 | nome=Carlos | acao=comparou as metricas | valor=1151
linha=1334 | nome=Tiago | acao=escreveu o relatorio | valor=9701
linha=1335 | nome=Igor | acao=escreveu o relatorio | valor=7002
linha=1336 | nome=Natalia | acao=participou da aula | valor=3840
linha=1337 | nome=Gabriela | acao=escreveu o relatorio | valor=5787
linha=1338 | nome=Vitor | acao=comparou as metricas | valor=3336
linha=1339 | nome=Tiago | acao=analisou os resultados | valor=4573
linha=1340 | nome=Vitor | acao=comparou as metricas | valor=6477
linha=1341 | nome=Eduarda | acao=participou da aula | valor=8678
linha=1342 | nome=Igor | acao=analisou os resultados | valor=8370
linha=1343 | nome=Eduarda | acao=analisou os resultados | valor=5923
linha=1344 | nome=Bruno | acao=fez um experimento | valor=8811
linha=1345 | nome=Felipe | acao=comparou as metricas | valor=7831
linha=1346 | nome=Natalia | acao=comparou as metricas | valor=3328
linha=1347 | nome=Daniela | acao=participou da aula | valor=3685
linha=1348 | nome=Sofia | acao=estudou computacao | valor=2047
linha=1349 | nome=Ana | acao=participou da aula | valor=9399
linha=1350 | nome=Vitor | acao=fez um experimento | valor=1446
linha=1351 | nome=Gabriela | acao=fez um experimento | valor=9476
linha=1352 | nome=Carlos | acao=comparou as metricas | valor=6801
linha=1353 | nome=Joao | acao=comparou as metricas | valor=8623
linha=1354 | nome=Sofia | acao=participou da aula | valor=4392
linha=1355 | nome=Ana | acao=comparou as metricas | valor=5724
linha=1356 | nome=Lucas | acao=comparou as metricas | valor=5383
linha=1357 | nome=Carlos | acao=estudou computacao | valor=9577
linha=1358 | nome=Natalia | acao=estudou computacao | valor=1660
linha=1359 | nome=Otavio | acao=fez um experimento | valor=8081
linha=1360 | nome=Natalia | acao=analisou os resultados | valor=9255
linha=1361 | nome=Felipe | acao=comparou as metricas | valor=7002
linha=1362 | nome=Karen | acao=escreveu o relatorio | valor=9508
linha=1363 | nome=Carlos | acao=analisou os resultados | valor=4788
linha=1364 | nome=Carlos | acao=executou o benchmark | valor=6525
linha=1365 | nome=Otavio | acao=comparou as metricas | valor=1625
linha=1366 | nome=Gabriela | acao=participou da aula | valor=4783
linha=1367 | nome=Vitor | acao=comparou as metricas | valor=6561
linha=1368 | nome=Renata | acao=comparou as metricas | valor=1244
linha=1369 | nome=Tiago | acao=escreveu o relatorio | valor=3014
linha=1370 | nome=Eduarda | acao=fez um experimento | valor=9272
linha=1371 | nome=Carlos | acao=estudou computacao | valor=8192
linha=1372 | nome=Ana | acao=participou da aula | valor=5920
linha=1373 | nome=Mariana | acao=comparou as metricas | valor=3505
linha=1374 | nome=Lucas | acao=estudou computacao | valor=5975
linha=1375 | nome=Tiago | acao=comparou as metricas | valor=2453
