linha=1 | nome=Paulo | acao=executou o benchmark | valor=3803
linha=791 | nome=Joao | acao=analisou os resultados | valor=4169
linha=792 | nome=Igor | acao=estudou computacao | valor=3721
linha=793 | nome=Sofia | acao=estudou computacao | valor=4627
linha=794 | nome=Helena | acao=otimizou o algoritmo | valor=2664
linha=795 | nome=Helena | acao=escreveu o relatorio | valor=3766
linha=796 | nome=Lucas | acao=otimizou o algoritmo | valor=3724
linha=797 | nome=Vitor | acao=participou da aula | valor=7522
linha=798 | nome=Mariana | acao=analisou os resultados | valor=7159
linha=799 | nome=Mariana | acao=estudou computacao | valor=4500
linha=800 | nome=Mariana | acao=participou da aula | valor=6015
linha=801 | nome=Vitor | acao=executou o benchmark | valor=1326
linha=802 | nome=Otavio | acao=estudou computacao | valor=4021
linha=803 | nome=Natalia | acao=escreveu o relatorio | valor=1945
linha=804 | nome=Vitor | acao=estudou computacao | valor=5358
linha=805 | nome=Renata | acao=otimizou o algoritmo | valor=1135
linha=806 | nome=Joao | acao=analisou os resultados | valor=3227
linha=807 | nome=Renata | acao=participou da aula | valor=2747
linha=808 | nome=Vitor | acao=analisou os resultados | valor=9590
linha=809 | nome=Gabriela | acao=analisou os resultados | valor=8838
linha=810 | nome=Helena | acao=fez um experimento | valor=8361
linha=811 | nome=Felipe | acao=participou da aula | valor=9521
linha=812 | nome=Otavio | acao=estudou computacao | valor=7880
linha=813 | nome=Helena | acao=otimizou o algoritmo | valor=4398
linha=814 | nome=Tiago | acao=comparou as metricas | valor=5075
linha=815 | nome=Carlos | acao=comparou as metricas | valor=9498
linha=816 | nome=Paulo | acao=escreveu o relatorio | valor=9302
linha=817 | nome=Otavio | acao=fez um experimento | valor=7766
linha=818 | nome=Carlos | acao=participou da aula | valor=7334
linha=819 | nome=Renata | acao=escreveu o relatorio | valor=6560
linha=820 | nome=Mariana | acao=escreveu o relatorio | valor=6299
linha=821 | nome=Eduarda | acao=comparou as metricas | valor=9945
linha=822 | nome=Daniela | acao=analisou os resultados | valor=3348
linha=823 | nome=Natalia | acao=estudou computacao | valor=4934
linha=824 | nome=Karen | acao=estudou computacao | valor=6322
linha=825 | nome=Sofia | acao=executou o benchmark | valor=4485
linha=826 | nome=Gabriela | acao=fez um experimento | valor=3955
linha=827 | nome=Eduarda | acao=otimizou o algoritmo | valor=2357
linha=828 | nome=Ana | acao=analisou os resultados | valor=9084
linha=829 | nome=Mariana | acao=participou da aula | valor=5630
linha=830 | nome=Carlos | acao=estudou computacao | valor=9102
linha=831 | nome=Karen | acao=otimizou o algoritmo | valor=9797
linha=832 | nome=Tiago | acao=estudou computacao | valor=4643
linha=833 | nome=Carlos | acao=executou o benchmark | valor=4665
linha=834 | nome=Vitor | acao=executou o benchmark | valor=4596
linha=835 | nome=Sofia | acao=otimizou o algoritmo | valor=4429
linha=836 | nome=Bruno | acao=escreveu o relatorio | valor=3300
linha=837 | nome=Gabriela | acao=escreveu o relatorio | valor=6226
linha=838 | nome=Daniela | acao=analisou os resultados | valor=2826
linha=839 | nome=Paulo | acao=executou o benchmark | valor=3756
linha=840 | nome=Daniela | acao=analisou os resultados | valor=7313
linha=841 | nome=Otavio | acao=estudou computacao | valor=2055
linha=842 | nome=Otavio | acao=estudou computacao | valor=6135
linha=843 | nome=Tiago | acao=comparou as metricas | valor=1485
linha=844 | nome=Renata | acao=participou da aula | valor=7771
linha=845 | nome=Felipe | acao=participou da aula | valor=2060
linha=846 | nome=Ana | acao=estudou computacao | valor=7904
linha=847 | nome=Gabriela | acao=otimizou o algoritmo | valor=1702
linha=848 | nome=Vitor | acao=comparou as metricas | valor=2046
linha=849 | nome=Renata | acao=analisou os resultados | valor=4919
linha=850 | nome=Gabriela | acao=otimizou o algoritmo | valor=7671
linha=851 | nome=Carlos | acao=comparou as metricas | valor=1869
linha=852 | nome=Tiago | acao=otimizou o algoritmo | valor=7911
linha=853 | nome=Tiago | acao=analisou os resultados | valor=1986
linha=854 | nome=Ana | acao=estudou computacao | valor=7546
linha=855 | nome=Joao | acao=escreveu o relatorio | valor=9561
linha=856 | nome=Gabriela | acao=estudou computacao | valor=2811
linha=857 | nome=Joao | acao=escreveu o relatorio | valor=4261
linha=858 | nome=Paulo | acao=otimizou o algoritmo | valor=3671
linha=859 | nome=Sofia | acao=estudou computacao | valor=1732
linha=860 | nome=Karen | acao=executou o benchmark | valor=1289
linha=861 | nome=Lucas | acao=participou da aula | valor=4887
linha=862 | nome=Helena | acao=analisou os resultados | valor=7102
linha=863 | nome=Otavio | acao=executou o benchmark | valor=4490
linha=864 | nome=Bruno | acao=escreveu o relatorio | valor=9062
linha=865 | nome=Gabriela | acao=executou o benchmark | valor=6328
linha=866 | nome=Daniela | acao=analisou os resultados | valor=7480
linha=867 | nome=Lucas | acao=otimizou o algoritmo | valor=2856
linha=868 | nome=Bruno | acao=comparou as metricas | valor=5647
linha=869 | nome=Karen | acao=fez um experimento | valor=1022
linha=870 | nome=Bruno | acao=otimizou o algoritmo | valor=5005
linha=871 | nome=Otavio | acao=executou o benchmark | valor=7764
linha=872 | nome=Daniela | acao=executou o benchmark | valor=1700
linha=873 | nome=Sofia | acao=fez um experimento | valor=1850
linha=874 | nome=Vitor | acao=participou da aula | valor=5962
linha=875 | nome=Helena | acao=escreveu o relatorio | valor=8556
linha=876 | nome=Joao | acao=executou o benchmark | valor=5304
linha=877 | nome=Mariana | acao=fez um experimento | valor=8554
linha=878 | nome=Mariana | acao=executou o benchmark | valor=4192
linha=879 | nome=Paulo | acao=comparou as metricas | valor=8315
linha=880 | nome=Gabriela | acao=participou da aula | valor=4330
linha=881 | nome=Otavio | acao=executou o benchmark | valor=6420
linha=882 | nome=Helena | acao=comparou as metricas | valor=1825
linha=883 | nome=Daniela | acao=analisou os resultados | valor=7374
linha=884 | nome=Igor | acao=analisou os resultados | valor=8023
linha=885 | nome=Lucas | acao=comparou as metricas | valor=5468
linha=886 | nome=Sofia | acao=comparou as metricas | valor=2623
linha=887 | nome=Vitor | acao=comparou as metricas | valor=6436
linha=888 | nome=Gabriela | acao=escreveu o relatorio | valor=9460
linha=889 | nome=Joao | acao=comparou as metricas | valor=4981
linha=890 | nome=Bruno | acao=participou da aula | valor=7653
linha=891 | nome=Natalia | acao=analisou os resultados | valor=6616
linha=892 | nome=Carlos | acao=comparou as metricas | valor=1934
linha=893 | nome=Natalia | acao=escreveu o relatorio | valor=3375
linha=894 | nome=Lucas | acao=otimizou o algoritmo | valor=2018
linha=895 | nome=Vitor | acao=executou o benchmark | valor=8404
linha=896 | nome=Lucas | acao=estudou computacao | valor=5849
linha=897 | nome=Lucas | acao=fez um experimento | valor=4660
linha=898 | nome=Gabriela | acao=otimizou o algoritmo | valor=9317
linha=899 | nome=Helena | acao=executou o benchmark | valor=3806
linha=900 | nome=Sofia | acao=otimizou o algoritmo | valor=5888
linha=901 | nome=Sofia | acao=participou da aula | valor=1079
linha=902 | nome=Helena | acao=analisou os resultados | valor=8931
linha=903 | nome=Natalia | acao=participou da aula | valor=8731
linha=904 | nome=Carlos | acao=otimizou o algoritmo | valor=5980
linha=905 | nome=Vitor | acao=escreveu o relatorio | valor=3888
linha=906 | nome=Gabriela | acao=fez um experimento | valor=3450
linha=907 | nome=Bruno | acao=comparou as metricas | valor=2658
linha=908 | nome=Helena | acao=fez um experimento | valor=8646
linha=909 | nome=Gabriela | acao=escreveu o relatorio | valor=5534
linha=910 | nome=Vitor | acao=executou o benchmark | valor=4409
linha=911 | nome=Helena | acao=otimizou o algoritmo | valor=9159
linha=912 | nome=Felipe | acao=analisou os resultados | valor=1912
linha=913 | nome=Renata | acao=executou o benchmark | valor=2226
linha=914 | nome=Tiago | acao=estudou computacao | valor=2735
linha=915 | nome=Mariana | acao=fez um experimento | valor=4118
linha=916 | nome=Bruno | acao=fez um experimento | valor=2491
linha=917 | nome=Paulo | acao=estudou computacao | valor=9338
linha=918 | nome=Karen | acao=fez um experimento | valor=9130
linha=919 | nome=Gabriela | acao=otimizou o algoritmo | valor=3634
linha=920 | nome=Helena | acao=escreveu o relatorio | valor=5573
linha=921 | nome=Felipe | acao=estudou computacao | valor=1639
linha=922 | nome=Felipe | acao=executou o benchmark | valor=4920
linha=923 | nome=Tiago | acao=escreveu o relatorio | valor=2162
linha=924 | nome=Gabriela | acao=participou da aula | valor=8874
linha=925 | nome=Daniela | acao=executou o benchmark | valor=8572
linha=926 | nome=Paulo | acao=fez um experimento | valor=5165
linha=927 | nome=Lucas | acao=executou o benchmark | valor=2482
linha=928 | nome=Mariana | acao=executou o benchmark | valor=6118
linha=929 | nome=Renata | acao=escreveu o relatorio | valor=2310
linha=930 | nome=Eduarda | acao=comparou as metricas | valor=9821
linha=931 | nome=Joao | acao=otimizou o algoritmo | valor=6005
linha=932 | nome=Daniela | acao=participou da aula | valor=8783
linha=933 | nome=Felipe | acao=otimizou o algoritmo | valor=5269
linha=934 | nome=Carlos | acao=analisou os resultados | valor=6424
linha=935 | nome=Sofia | acao=analisou os resultados | valor=2756
linha=936 | nome=Renata | acao=comparou as metricas | valor=7523
linha=937 | nome=Renata | acao=participou da aula | valor=7517
linha=938 | nome=Renata | acao=fez um experimento | valor=6722
linha=939 | nome=Otavio | acao=escreveu o relatorio | valor=2614
linha=940 | nome=Sofia | acao=escreveu o relatorio | valor=9312
linha=941 | nome=Tiago | acao=executou o benchmark | valor=6611
linha=942 | nome=Mariana | acao=comparou as metricas | valor=2165
linha=943 | nome=Carlos | acao=estudou computacao | valor=4397
linha=944 | nome=Lucas | acao=otimizou o algoritmo | valor=3777
linha=945 | nome=Sofia | acao=otimizou o algoritmo | valor=6915
linha=946 | nome=Igor | acao=analisou os resultados | valor=2027
linha=947 | nome=Igor | acao=executou o benchmark | valor=8192
linha=948 | nome=Daniela | acao=participou da aula | valor=1899
linha=949 | nome=Natalia | acao=participou da aula | valor=1309
linha=950 | nome=Mariana | acao=escreveu o relatorio | valor=1400
linha=951 | nome=Carlos | acao=comparou as metricas | valor=4176
linha=952 | nome=Eduarda | acao=executou o benchmark | valor=3699
linha=953 | nome=Ana | acao=escreveu o relatorio | valor=7375
linha=954 | nome=Paulo | acao=fez um experimento | valor=3321
linha=955 | nome=Felipe | acao=escreveu o relatorio | valor=7799
linha=956 | nome=Mariana | acao=comparou as metricas | valor=7835
linha=957 | nome=Tiago | acao=executou o benchmark | valor=1821
linha=958 | nome=Ana | acao=fez um experimento | valor=5260
linha=959 | nome=Helena | acao=executou o benchmark | valor=2326
linha=960 | nome=Natalia | acao=participou da aula | valor=5183
linha=961 | nome=Otavio | acao=estudou computacao | valor=3581
linha=962 | nome=Felipe | acao=otimizou o algoritmo | valor=6662
linha=963 | nome=Mariana | acao=estudou computacao | valor=5817
linha=964 | nome=Eduarda | acao=executou o benchmark | valor=3648
linha=965 | nome=Karen | acao=estudou computacao | valor=2637
linha=966 | nome=Igor | acao=executou o benchmark | valor=1793
linha=967 | nome=Bruno | acao=fez um experimento | valor=1489
linha=968 | nome=Eduarda | acao=escreveu o relatorio | valor=2657
linha=969 | nome=Eduarda | acao=comparou as metricas | valor=5286
linha=970 | nome=Paulo | acao=escreveu o relatorio | valor=9566
linha=971 | nome=Helena | acao=fez um experimento | valor=7910
linha=972 | nome=Joao | acao=escreveu o relatorio | valor=5510
linha=973 | nome=Tiago | acao=analisou os resultados | valor=9567
linha=974 | nome=Karen | acao=participou da aula | valor=4227
linha=975 | nome=Ana | acao=otimizou o algoritmo | valor=2625
linha=976 | nome=Daniela | acao=escreveu o relatorio | valor=3574
linha=977 | nome=Renata | acao=fez um experimento | valor=5693
linha=978 | nome=Vitor | acao=fez um experimento | valor=5151
linha=979 | nome=Tiago | acao=executou o benchmark | valor=6784
linha=980 | nome=Natalia | acao=escreveu o relatorio | valor=6396
linha=981 | nome=Lucas | acao=analisou os resultados | valor=3192
linha=982 | nome=Joao | acao=otimizou o algoritmo | valor=6273
linha=983 | nome=Helena | acao=otimizou o algoritmo | valor=6223
linha=984 | nome=Karen | acao=participou da aula | valor=3822
linha=985 | nome=Tiago | acao=analisou os resultados | valor=2294
linha=986 | nome=Carlos | acao=comparou as metricas | valor=4615
linha=987 | nome=Eduarda | acao=escreveu o relatorio | valor=3239
linha=988 | nome=Carlos | acao=otimizou o algoritmo | valor=7165
linha=989 | nome=Mariana | acao=executou o benchmark | valor=1718
linha=990 | nome=Vitor | acao=analisou os resultados | valor=7699
linha=991 | nome=Otavio | acao=estudou computacao | valor=8813
linha=992 | nome=Paulo | acao=participou da aula | valor=1227
linha=993 | nome=Tiago | acao=estudou computacao | valor=1779
linha=994 | nome=Carlos | acao=executou o benchmark | valor=7801
linha=995 | nome=Vitor | acao=otimizou o algoritmo | valor=8466
linha=996 | nome=Paulo | acao=analisou os resultados | valor=2364
linha=997 | nome=Felipe | acao=analisou os resultados | valor=8857
linha=998 | nome=Vitor | acao=executou o benchmark | valor=4811
linha=999 | nome=Eduarda | acao=estudou computacao | valor=1722
linha=1000 | nome=Carlos | acao=fez um experimento | valor=3892
linha=1001 | nome=Bruno | acao=otimizou o algoritmo | valor=4313
linha=1002 | nome=Felipe | acao=fez um experimento | valor=7718
linha=1003 | nome=Bruno | acao=estudou computacao | valor=5291
linha=1004 | nome=Felipe | acao=escreveu o relatorio | valor=8183
linha=1005 | nome=Igor | acao=fez um experimento | valor=1669
linha=1006 | nome=Eduarda | acao=executou o benchmark | valor=3703
linha=1007 | nome=Lucas | acao=executou o benchmark | valor=3931
linha=1008 | nome=Otavio | acao=otimizou o algoritmo | valor=9838
linha=1009 | nome=Otavio | acao=estudou computacao | valor=6409
linha=1010 | nome=Mariana | acao=fez um experimento | valor=2998
linha=1011 | nome=Bruno | acao=escreveu o relatorio | valor=9550
linha=1012 | nome=Eduarda | acao=estudou computacao | valor=2526
linha=1013 | nome=Natalia | acao=participou da aula | valor=6390
linha=1014 | nome=Bruno | acao=otimizou o algoritmo | valor=4699
linha=1015 | nome=Helena | acao=analisou os resultados | valor=8027
linha=1016 | nome=Daniela | acao=executou o benchmark | valor=9419
linha=1017 | nome=Sofia | acao=otimizou o algoritmo | valor=8467
linha=1018 | nome=Otavio | acao=comparou as metricas | valor=7254
linha=1019 | nome=Lucas | acao=participou da aula | valor=7162
linha=1020 | nome=Joao | acao=analisou os resultados | valor=1626
linha=1021 | nome=Daniela | acao=analisou os resultados | valor=3210
linha=1022 | nome=Felipe | acao=estudou computacao | valor=8712
linha=1023 | nome=Karen | acao=fez um experimento | valor=2916
linha=1024 | nome=Ana | acao=estudou computacao | valor=2196
linha=1025 | nome=Vitor | acao=escreveu o relatorio | valor=1268
linha=1026 | nome=Eduarda | acao=executou o benchmark | valor=9824
linha=1027 | nome=Vitor | acao=executou o benchmark | valor=4382
linha=1028 | nome=Paulo | acao=analisou os resultados | valor=3896
linha=1029 | nome=Ana | acao=executou o benchmark | valor=2371
linha=1030 | nome=Gabriela | acao=executou o benchmark | valor=3881
linha=1031 | nome=Gabriela | acao=comparou as metricas | valor=4938
linha=1032 | nome=Igor | acao=fez um experimento | valor=3160
linha=1033 | nome=Helena | acao=fez um experimento | valor=9426
linha=1034 | nome=Sofia | acao=analisou os resultados | valor=3760
linha=1035 | nome=Natalia | acao=estudou computacao | valor=1028
linha=1036 | nome=Mariana | acao=participou da aula | valor=5204
linha=1037 | nome=Eduarda | acao=fez um experimento | valor=2010
linha=1038 | nome=Vitor | acao=participou da aula | valor=4698
linha=1039 | nome=Ana | acao=analisou os resultados | valor=4231
linha=1040 | nome=Otavio | acao=comparou as metricas | valor=6837
linha=1041 | nome=Carlos | acao=otimizou o algoritmo | valor=5706
linha=1042 | nome=Bruno | acao=otimizou o algoritmo | valor=9875
linha=1043 | nome=Eduarda | acao=escreveu o relatorio | valor=1881
linha=1044 | nome=Daniela | acao=executou o benchmark | valor=9344
linha=1045 | nome=Otavio | acao=escreveu o relatorio | valor=5380
linha=1046 | nome=Paulo | acao=participou da aula | valor=8058
linha=1047 | nome=Lucas | acao=analisou os resultados | valor=3177
linha=1048 | nome=Paulo | acao=otimizou o algoritmo | valor=3323
linha=1049 | nome=Vitor | acao=fez um experimento | valor=4760
linha=1050 | nome=Paulo | acao=fez um experimento | valor=1232
linha=1051 | nome=Karen | acao=comparou as metricas | valor=8091
linha=1052 | nome=Felipe | acao=estudou computacao | valor=3101
linha=1053 | nome=Felipe | acao=otimizou o algoritmo | valor=8559
linha=1054 | nome=Karen | acao=analisou os resultados | valor=5864
linha=1055 | nome=Carlos | acao=estudou computacao | valor=9661
linha=1056 | nome=Mariana | acao=estudou computacao | valor=2203
linha=1057 | nome=Igor | acao=comparou as metricas | valor=1913
linha=1058 | nome=Bruno | acao=participou da aula | valor=7876
linha=1059 | nome=Tiago | acao=comparou as metricas | valor=8170
linha=1060 | nome=Mariana | acao=escreveu o relatorio | valor=6640
linha=1061 | nome=Gabriela | acao=comparou as metricas | valor=9163
linha=1062 | nome=Renata | acao=executou o benchmark | valor=2776
linha=1063 | nome=Helena | acao=fez um experimento | valor=8523
linha=1064 | nome=Mariana | acao=analisou os resultados | valor=6072
linha=1065 | nome=Renata | acao=analisou os resultados | valor=6382
linha=1066 | nome=Mariana | acao=estudou computacao | valor=7845
linha=1067 | nome=Paulo | acao=comparou as metricas | valor=3697
linha=1068 | nome=Joao | acao=fez um experimento | valor=2628
linha=1069 | nome=Vitor | acao=participou da aula | valor=8054
linha=1070 | nome=Natalia | acao=estudou computacao | valor=6451
linha=1071 | nome=Lucas | acao=executou o benchmark | valor=1927
linha=1072 | nome=Eduarda | acao=otimizou o algoritmo | valor=5032
linha=1073 | nome=Carlos | acao=executou o benchmark | valor=3171
linha=1074 | nome=Ana | acao=escreveu o relatorio | valor=4314
linha=1075 | nome=Mariana | acao=analisou os resultados | valor=2866
linha=1076 | nome=Mariana | acao=escreveu o relatorio | valor=2029
linha=1077 | nome=Karen | acao=fez um experimento | valor=9214
linha=1078 | nome=Vitor | acao=executou o benchmark | valor=9422
linha=1079 | nome=Natalia | acao=otimizou o algoritmo | valor=6186
linha=1080 | nome=Helena | acao=escreveu o relatorio | valor=8157
linha=1081 | nome=Otavio | acao=estudou computacao | valor=3344
linha=1082 | nome=Paulo | acao=participou da aula | valor=7263
linha=1083 | nome=Carlos | acao=executou o benchmark | valor=7105
linha=1084 | nome=Gabriela | acao=analisou os resultados | valor=9098
linha=1085 | nome=Ana | acao=otimizou o algoritmo | valor=1868
linha=1086 | nome=Helena | acao=comparou as metricas | valor=4546
linha=1087 | nome=Lucas | acao=estudou computacao | valor=2915
linha=1088 | nome=Lucas | acao=estudou computacao | valor=4403
linha=1089 | nome=Felipe | acao=escreveu o relatorio | valor=9611
linha=1090 | nome=Carlos | acao=comparou as metricas | valor=4904
linha=1091 | nome=Vitor | acao=otimizou o algoritmo | valor=6315
linha=1092 | nome=Joao | acao=executou o benchmark | valor=7445
linha=1093 | nome=Helena | acao=escreveu o relatorio | valor=3727
linha=1094 | nome=Helena | acao=participou da aula | valor=3136
linha=1095 | nome=Karen | acao=estudou computacao | valor=5023
linha=1096 | nome=Carlos | acao=analisou os resultados | valor=8161
linha=1097 | nome=Sofia | acao=fez um experimento | valor=2399
linha=1098 | nome=Eduarda | acao=estudou computacao | valor=2555
linha=1099 | nome=Sofia | acao=fez um experimento | valor=4890
linha=1100 | nome=Tiago | acao=participou da aula | valor=2167
linha=1101 | nome=Igor | acao=fez um experimento | valor=9338
linha=1102 | nome=Karen | acao=analisou os resultados | valor=2340
linha=1103 | nome=Renata | acao=otimizou o algoritmo | valor=2904
linha=1104 | nome=Ana | acao=fez um experimento | valor=2542
linha=1105 | nome=Mariana | acao=escreveu o relatorio | valor=1813
linha=1106 | nome=Daniela | acao=executou o benchmark | valor=5525
linha=1107 | nome=Mariana | acao=executou o benchmark | valor=4183
linha=1108 | nome=Vitor | acao=escreveu o relatorio | valor=3088
linha=1109 | nome=Otavio | acao=otimizou o algoritmo | valor=9095
linha=1110 | nome=Ana | acao=analisou os resultados | valor=5554
linha=1111 | nome=Tiago | acao=otimizou o algoritmo | valor=1910
linha=1112 | nome=Otavio | acao=comparou as metricas | valor=3174
linha=1113 | nome=Felipe | acao=estudou computacao | valor=1302
linha=1114 | nome=Tiago | acao=comparou as metricas | valor=7334
linha=1115 | nome=Natalia | acao=analisou os resultados | valor=3613
linha=1116 | nome=Tiago | acao=estudou computacao | valor=9691
linha=1117 | nome=Vitor | acao=escreveu o relatorio | valor=2924
linha=1118 | nome=Ana | acao=estudou computacao | valor=6693
linha=1119 | nome=Helena | acao=otimizou o algoritmo | valor=1938
linha=1120 | nome=Carlos | acao=participou da aula | valor=4371
linha=1121 | nome=Ana | acao=participou da aula | valor=8898
linha=1122 | nome=Joao | acao=participou da aula | valor=5801
linha=1123 | nome=Carlos | acao=escreveu o relatorio | valor=8656
linha=1124 | nome=Daniela | acao=fez um experimento | valor=4999
linha=1125 | nome=Paulo | acao=analisou os resultados | valor=8912
linha=1126 | nome=Lucas | acao=fez um experimento | valor=7846
linha=1127 | nome=Felipe | acao=analisou os resultados | valor=5318
linha=1128 | nome=Sofia | acao=otimizou o algoritmo | valor=7508
linha=1129 | nome=Vitor | acao=executou o benchmark | valor=7609
linha=1130 | nome=Mariana | acao=participou da aula | valor=8108
linha=1131 | nome=Daniela | acao=escreveu o relatorio | valor=5121
linha=1132 | nome=Paulo | acao=comparou as metricas | valor=2026
linha=1133 | nome=Eduarda | acao=otimizou o algoritmo | valor=4905
linha=1134 | nome=Vitor | acao=executou o benchmark | valor=2702
linha=1135 | nome=Gabriela | acao=analisou os resultados | valor=5375
linha=1136 | nome=Daniela | acao=fez um experimento | valor=1943
linha=1137 | nome=Eduarda | acao=executou o benchmark | valor=4396
linha=1138 | nome=Carlos | acao=executou o benchmark | valor=3608
linha=1139 | nome=Ana | acao=participou da aula | valor=9584
linha=1140 | nome=Sofia | acao=participou da aula | valor=6394
linha=1141 | nome=Paulo | acao=fez um experimento | valor=7764
linha=1142 | nome=Carlos | acao=participou da aula | valor=1471
linha=1143 | nome=Carlos | acao=fez um experimento | valor=3634
linha=1144 | nome=Paulo | acao=escreveu o relatorio | valor=1980
linha=1145 | nome=Paulo | acao=analisou os resultados | valor=6190
linha=1146 | nome=Igor | acao=executou o benchmark | valor=6361
linha=1147 | nome=Gabriela | acao=fez um experimento | valor=5393
linha=1148 | nome=Felipe | acao=fez um experimento | valor=2594
linha=1149 | nome=Igor | acao=fez um experimento | valor=5337
linha=1150 | nome=Daniela | acao=estudou computacao | valor=7555
linha=1151 | nome=Tiago | acao=participou da aula | valor=9994
linha=1152 | nome=Carlos | acao=escreveu o relatorio | valor=9765
linha=1153 | nome=Daniela | acao=analisou os resultados | valor=5939
linha=1154 | nome=Otavio | acao=fez um experimento | valor=7434
linha=1155 | nome=Mariana | acao=otimizou o algoritmo | valor=9539
linha=1156 | nome=Otavio | acao=estudou computacao | valor=2748
linha=1157 | nome=Daniela | acao=estudou computacao | valor=4497
linha=1158 | nome=Karen | acao=estudou computacao | valor=8380
linha=1159 | nome=Carlos | acao=fez um experimento | valor=4354
linha=1160 | nome=Vitor | acao=otimizou o algoritmo | valor=4072
linha=1161 | nome=Felipe | acao=executou o benchmark | valor=8225
linha=1162 | nome=Carlos | acao=fez um experimento | valor=3797
linha=1163 | nome=Ana | acao=fez um experimento | valor=2248
linha=1164 | nome=Joao | acao=otimizou o algoritmo | valor=9823
linha=1165 | nome=Otavio | acao=otimizou o algoritmo | valor=4680
linha=1166 | nome=Carlos | acao=estudou computacao | valor=8741
linha=1167 | nome=Renata | acao=participou da aula | valor=1980
linha=1168 | nome=Paulo | acao=otimizou o algoritmo | valor=9692
linha=1169 | nome=Otavio | acao=comparou as metricas | valor=6115
linha=1170 | nome=Felipe | acao=executou o benchmark | valor=3010
linha=1171 | nome=Eduarda | acao=estudou computacao | valor=2483
linha=1172 | nome=Paulo | acao=comparou as metricas | valor=4763
linha=1173 | nome=Ana | acao=executou o benchmark | valor=1281
linha=1174 | nome=Carlos | acao=escreveu o relatorio | valor=9174
linha=1175 | nome=Helena | acao=comparou as metricas | valor=1266
linha=1176 | nome=Ana | acao=comparou as metricas | valor=3801
linha=1177 | nome=Sofia | acao=executou o benchmark | valor=7749
linha=1178 | nome=Natalia | acao=analisou os resultados | valor=5950
linha=1179 | nome=Otavio | acao=fez um experimento | valor=2333
linha=1180 | nome=Paulo | acao=otimizou o algoritmo | valor=4892
linha=1181 | nome=Mariana | acao=estudou computacao | valor=4145
linha=1182 | nome=Bruno | acao=otimizou o algoritmo | valor=1427
linha=1183 | nome=Renata | acao=participou da aula | valor=7836
linha=1184 | nome=Otavio | acao=estudou computacao | valor=1043
linha=1185 | nome=Tiago | acao=estudou computacao | valor=5646
linha=1186 | nome=Mariana | acao=participou da aula | valor=2519
linha=1187 | nome=Felipe | acao=otimizou o algoritmo | valor=8903
linha=1188 | nome=Renata | acao=otimizou o algoritmo | valor=4505
linha=1189 | nome=Karen | acao=participou da aula | valor=3849
linha=1190 | nome=Mariana | acao=executou o benchmark | valor=6069
linha=1191 | nome=Eduarda | acao=executou o benchmark | valor=1911
linha=1192 | nome=Ana | acao=comparou as metricas | valor=8179
linha=1193 | nome=Felipe | acao=analisou os resultados | valor=9552
linha=1194 | nome=Carlos | acao=participou da aula | valor=8669
linha=1195 | nome=Daniela | acao=estudou computacao | valor=6924
linha=1196 | nome=Bruno | acao=escreveu o relatorio | valor=5203
linha=1197 | nome=Paulo | acao=estudou computacao | valor=1979
linha=1198 | nome=Mariana | acao=fez um experimento | valor=4210
linha=1199 | nome=Carlos | acao=otimizou o algoritmo | valor=7926
linha=1200 | nome=Sofia | acao=fez um experimento | valor=8063
linha=1201 | nome=Carlos | acao=fez um experimento | valor=2383
linha=1202 | nome=Tiago | acao=participou da aula | valor=1961
linha=1203 | nome=Lucas | acao=fez um experimento | valor=8419
linha=1204 | nome=Tiago | acao=executou o benchmark | valor=3379
linha=1205 | nome=Ana | acao=comparou as metricas | valor=3292
linha=1206 | nome=Carlos | acao=participou da aula | valor=9585
linha=1207 | nome=Renata | acao=otimizou o algoritmo | valor=6704
linha=1208 | nome=Bruno | acao=otimizou o algoritmo | valor=9912
linha=1209 | nome=Ana | acao=fez um experimento | valor=9262
linha=1210 | nome=Daniela | acao=otimizou o algoritmo | valor=4337
linha=1211 | nome=Paulo | acao=fez um experimento | valor=5724
linha=1212 | nome=Felipe | acao=analisou os resultados | valor=7576
linha=1213 | nome=Natalia | acao=executou o benchmark | valor=4321
linha=1214 | nome=Tiago | acao=escreveu o relatorio | valor=2962
linha=1215 | nome=Paulo | acao=analisou os resultados | valor=3246
linha=1216 | nome=Paulo | acao=participou da aula | valor=7807
linha=1217 | nome=Vitor | acao=estudou computacao | valor=5214
linha=1218 | nome=Mariana | acao=comparou as metricas | valor=1090
linha=1219 | nome=Natalia | acao=comparou as metricas | valor=3536
linha=1220 | nome=Carlos | acao=escreveu o relatorio | valor=6030
linha=1221 | nome=Mariana | acao=fez um experimento | valor=4048
linha=1222 | nome=Carlos | acao=otimizou o algoritmo | valor=9071
linha=1223 | nome=Otavio | acao=participou da aula | valor=5679
linha=1224 | nome=Felipe | acao=escreveu o relatorio | valor=1491
linha=1225 | nome=Renata | acao=otimizou o algoritmo | valor=1252
linha=1226 | nome=Tiago | acao=executou o benchmark | valor=4317
linha=1227 | nome=Vitor | acao=participou da aula | valor=8830
linha=1228 | nome=Sofia | acao=executou o benchmark | valor=9742
linha=1229 | nome=Mariana | acao=fez um experimento | valor=2985
linha=1230 | nome=Natalia | acao=estudou computacao | valor=2056
linha=1231 | nome=Paulo | acao=otimizou o algoritmo | valor=7415
linha=1232 | nome=Vitor | acao=participou da aula | valor=3651
