linha=1 | nome=Joao | acao=escreveu o relatorio | valor=3891
linha=1314 | nome=Igor | acao=estudou computacao | valor=6190
linha=1315 | nome=Bruno | acao=otimizou o algoritmo | valor=9610
linha=1316 | nome=Sofia | acao=estudou computacao | valor=3421
linha=1317 | nome=Paulo | acao=comparou as metricas | valor=6848
linha=1318 | nome=Renata | acao=participou da aula | valor=3204
linha=1319 | nome=Vitor | acao=estudou computacao | valor=8311
linha=1320 | nome=Felipe | acao=participou da aula | valor=7602
linha=1321 | nome=Sofia | acao=comparou as metricas | valor=3969
linha=1322 | nome=Helena | acao=executou o benchmark | valor=3455
linha=1323 | nome=Felipe | acao=otimizou o algoritmo | valor=2620
linha=1324 | nome=Tiago | acao=comparou as metricas | valor=2071
linha=1325 | nome=Lucas | acao=estudou computacao | valor=4594
linha=1326 | nome=Vitor | acao=estudou computacao | valor=2685
linha=1327 | nome=Eduarda | acao=analisou os resultados | valor=1464
linha=1328 | nome=Bruno | acao=escreveu o relatorio | valor=5847
linha=1329 | nome=Felipe | acao=participou da aula | valor=4720
linha=1330 | nome=Vitor | acao=estudou computacao | valor=1478
linha=1331 | nome=Mariana | acao=otimizou o algoritmo | valor=3334
linha=1332 | nome=Eduarda | acao=fez um experimento | valor=5120
linha=1333 | nome=Igor | acao=executou o benchmark | valor=7040
linha=1334 | nome=Karen | acao=executou o benchmark | valor=8074
linha=1335 | nome=Sofia | acao=participou da aula | valor=3247
linha=1336 | nome=Renata | acao=estudou computacao | valor=2547
linha=1337 | nome=Natalia | acao=escreveu o relatorio | valor=6166
linha=1338 | nome=Joao | acao=participou da aula | valor=2352
linha=1339 | nome=Renata | acao=analisou os resultados | valor=6037
linha=1340 | nome=Tiago | acao=participou da aula | valor=1430
linha=1341 | nome=Mariana | acao=fez um experimento | valor=7148
linha=1342 | nome=Sofia | acao=comparou as metricas | valor=3541
linha=1343 | nome=Igor | acao=comparou as metricas | valor=2399
linha=1344 | nome=Tiago | acao=analisou os resultados | valor=5033
linha=1345 | nome=Otavio | acao=estudou computacao | valor=6408
linha=1346 | nome=Mariana | acao=analisou os resultados | valor=9426
linha=1347 | nome=Karen | acao=estudou computacao | valor=4200
linha=1348 | nome=Renata | acao=participou da aula | valor=5689
linha=1349 | nome=Gabriela | acao=comparou as metricas | valor=3416
linha=1350 | nome=Igor | acao=participou da aula | valor=7948
linha=1351 | nome=Igor | acao=estudou computacao | valor=9207
linha=1352 | nome=Ana | acao=participou da aula | valor=7406
linha=1353 | nome=Lucas | acao=fez um experimento | valor=3661
linha=1354 | nome=Gabriela | acao=executou o benchmark | valor=9136
linha=1355 | nome=Sofia | acao=analisou os resultados | valor=9841
linha=1356 | nome=Bruno | acao=executou o benchmark | valor=9617
linha=1357 | nome=Bruno | acao=analisou os resultados | valor=1878
linha=1358 | nome=Natalia | acao=otimizou o algoritmo | valor=1296
linha=1359 | nome=Igor | acao=participou da aula | valor=9959
linha=1360 | nome=Renata | acao=estudou computacao | valor=3467
linha=1361 | nome=Renata | acao=otimizou o algoritmo | valor=3916
linha=1362 | nome=Bruno | acao=executou o benchmark | valor=7946
linha=1363 | nome=Carlos | acao=estudou computacao | valor=6249
linha=1364 | nome=Otavio | acao=participou da aula | valor=1577
linha=1365 | nome=Carlos | acao=escreveu o relatorio | valor=4098
linha=1366 | nome=Renata | acao=fez um experimento | valor=3344
linha=1367 | nome=Felipe | acao=escreveu o relatorio | valor=7463
linha=1368 | nome=Helena | acao=analisou os resultados | valor=3205
linha=1369 | nome=Daniela | acao=estudou computacao | valor=1110
linha=1370 | nome=Bruno | acao=executou o benchmark | valor=8531
linha=1371 | nome=Eduarda | acao=analisou os resultados | valor=8983
linha=1372 | nome=Felipe | acao=estudou computacao | valor=1246
linha=1373 | nome=Ana | acao=otimizou o algoritmo | valor=1281
linha=1374 | nome=Natalia | acao=escreveu o relatorio | valor=6929
linha=1375 | nome=Igor | acao=escreveu o relatorio | valor=9632
linha=1376 | nome=Mariana | acao=participou da aula | valor=9512
linha=1377 | nome=Joao | acao=fez um experimento | valor=1726
linha=1378 | nome=Bruno | acao=fez um experimento | valor=9046
linha=1379 | nome=Karen | acao=analisou os resultados | valor=5953
linha=1380 | nome=Felipe | acao=estudou computacao | valor=9616
linha=1381 | nome=Helena | acao=comparou as metricas | valor=9570
linha=1382 | nome=Felipe | acao=otimizou o algoritmo | valor=2720
linha=1383 | nome=Carlos | acao=estudou computacao | valor=8862
linha=1384 | nome=Carlos | acao=otimizou o algoritmo | valor=4558
linha=1385 | nome=Paulo | acao=escreveu o relatorio | valor=7432
linha=1386 | nome=Tiago | acao=escreveu o relatorio | valor=3227
linha=1387 | nome=Eduarda | acao=executou o benchmark | valor=4184
linha=1388 | nome=Otavio | acao=escreveu o relatorio | valor=8421
linha=1389 | nome=Sofia | acao=analisou os resultados | valor=5080
linha=1390 | nome=Felipe | acao=comparou as metricas | valor=9292
linha=1391 | nome=Vitor | acao=executou o benchmark | valor=5352
linha=1392 | nome=Otavio | acao=otimizou o algoritmo | valor=3176
linha=1393 | nome=Felipe | acao=participou da aula | valor=6395
linha=1394 | nome=Ana | acao=estudou computacao | valor=3658
linha=1395 | nome=Natalia | acao=participou da aula | valor=8744
linha=1396 | nome=Helena | acao=escreveu o relatorio | valor=8059
linha=1397 | nome=Mariana | acao=fez um experimento | valor=9245
linha=1398 | nome=Renata | acao=analisou os resultados | valor=4599
linha=1399 | nome=Vitor | acao=otimizou o algoritmo | valor=3246
linha=1400 | nome=Ana | acao=otimizou o algoritmo | valor=7369
linha=1401 | nome=Carlos | acao=comparou as metricas | valor=5327
linha=1402 | nome=Carlos | acao=escreveu o relatorio | valor=7509
linha=1403 | nome=Carlos | acao=executou o benchmark | valor=8397
linha=1404 | nome=Ana | acao=comparou as metricas | valor=7460
linha=1405 | nome=Ana | acao=escreveu o relatorio | valor=6855
linha=1406 | nome=Igor | acao=escreveu o relatorio | valor=2100
linha=1407 | nome=Helena | acao=otimizou o algoritmo | valor=1073
linha=1408 | nome=Joao | acao=executou o benchmark | valor=6792
linha=1409 | nome=Tiago | acao=otimizou o algoritmo | valor=6719
linha=1410 | nome=Vitor | acao=otimizou o algoritmo | valor=6567
linha=1411 | nome=Sofia | acao=estudou computacao | valor=7559
linha=1412 | nome=Lucas | acao=executou o benchmark | valor=6753
linha=1413 | nome=Paulo | acao=comparou as metricas | valor=8518
linha=1414 | nome=Felipe | acao=escreveu o relatorio | valor=5151
linha=1415 | nome=Joao | acao=participou da aula | valor=7294
linha=1416 | nome=Eduarda | acao=otimizou o algoritmo | valor=9731
linha=1417 | nome=Karen | acao=otimizou o algoritmo | valor=6311
linha=1418 | nome=Renata | acao=estudou computacao | valor=4801
linha=1419 | nome=Carlos | acao=comparou as metricas | valor=6342
linha=1420 | nome=Felipe | acao=fez um experimento | valor=4785
linha=1421 | nome=Paulo | acao=escreveu o relatorio | valor=7660
linha=1422 | nome=Otavio | acao=escreveu o relatorio | valor=9833
linha=1423 | nome=Mariana | acao=escreveu o relatorio | valor=9676
linha=1424 | nome=Eduarda | acao=comparou as metricas | valor=5854
linha=1425 | nome=Carlos | acao=fez um experimento | valor=6931
linha=1426 | nome=Natalia | acao=estudou computacao | valor=5636
linha=1427 | nome=Paulo | acao=participou da aula | valor=3474
linha=1428 | nome=Vitor | acao=escreveu o relatorio | valor=9211
linha=1429 | nome=Tiago | acao=analisou os resultados | valor=7568
linha=1430 | nome=Carlos | acao=escreveu o relatorio | valor=7305
linha=1431 | nome=Renata | acao=executou o benchmark | valor=2889
linha=1432 | nome=Karen | acao=participou da aula | valor=6793
linha=1433 | nome=Karen | acao=analisou os resultados | valor=1825
linha=1434 | nome=Otavio | acao=analisou os resultados | valor=1190
linha=1435 | nome=Sofia | acao=fez um experimento | valor=2705
linha=1436 | nome=Gabriela | acao=escreveu o relatorio | valor=8117
linha=1437 | nome=Renata | acao=escreveu o relatorio | valor=6981
linha=1438 | nome=Eduarda | acao=estudou computacao | valor=5023
linha=1439 | nome=Daniela | acao=analisou os resultados | valor=8724
linha=1440 | nome=Natalia | acao=analisou os resultados | valor=1771
linha=1441 | nome=Paulo | acao=fez um experimento | valor=7667
linha=1442 | nome=Paulo | acao=analisou os resultados | valor=2476
linha=1443 | nome=Bruno | acao=comparou as metricas | valor=9537
linha=1444 | nome=Joao | acao=executou o benchmark | valor=4438
linha=1445 | nome=Bruno | acao=fez um experimento | valor=8257
linha=1446 | nome=Mariana | acao=comparou as metricas | valor=4927
linha=1447 | nome=Renata | acao=executou o benchmark | valor=6618
linha=1448 | nome=Ana | acao=estudou computacao | valor=9089
linha=1449 | nome=Joao | acao=executou o benchmark | valor=8652
linha=1450 | nome=Bruno | acao=participou da aula | valor=4100
linha=1451 | nome=Natalia | acao=comparou as metricas | valor=5620
linha=1452 | nome=Renata | acao=analisou os resultados | valor=5311
linha=1453 | nome=Daniela | acao=estudou computacao | valor=1451
linha=1454 | nome=Igor | acao=estudou computacao | valor=4180
linha=1455 | nome=Mariana | acao=fez um experimento | valor=8997
linha=1456 | nome=Karen | acao=otimizou o algoritmo | valor=8835
linha=1457 | nome=Lucas | acao=escreveu o relatorio | valor=2397
linha=1458 | nome=Lucas | acao=fez um experimento | valor=6294
linha=1459 | nome=Paulo | acao=comparou as metricas | valor=1016
linha=1460 | nome=Karen | acao=participou da aula | valor=4020
linha=1461 | nome=Joao | acao=participou da aula | valor=5777
linha=1462 | nome=Eduarda | acao=analisou os resultados | valor=2474
linha=1463 | nome=Natalia | acao=participou da aula | valor=6884
linha=1464 | nome=Otavio | acao=comparou as metricas | valor=8457
linha=1465 | nome=Otavio | acao=otimizou o algoritmo | valor=1893
linha=1466 | nome=Tiago | acao=comparou as metricas | valor=7275
linha=1467 | nome=Igor | acao=executou o benchmark | valor=5412
linha=1468 | nome=Eduarda | acao=participou da aula | valor=4253
linha=1469 | nome=Mariana | acao=fez um experimento | valor=8541
linha=1470 | nome=Tiago | acao=executou o benchmark | valor=7096
linha=1471 | nome=Daniela | acao=escreveu o relatorio | valor=2165
linha=1472 | nome=Igor | acao=escreveu o relatorio | valor=3723
linha=1473 | nome=Daniela | acao=participou da aula | valor=7788
linha=1474 | nome=Tiago | acao=fez um experimento | valor=2954
linha=1475 | nome=Joao | acao=comparou as metricas | valor=7740
linha=1476 | nome=Helena | acao=estudou computacao | valor=9064
linha=1477 | nome=Bruno | acao=escreveu o relatorio | valor=4525
linha=1478 | nome=Igor | acao=fez um experimento | valor=7892
linha=1479 | nome=Ana | acao=fez um experimento | valor=5252
linha=1480 | nome=Eduarda | acao=otimizou o algoritmo | valor=4402
linha=1481 | nome=Renata | acao=otimizou o algoritmo | valor=9711
linha=1482 | nome=Daniela | acao=escreveu o relatorio | valor=8111
linha=1483 | nome=Renata | acao=escreveu o relatorio | valor=6574
linha=1484 | nome=Helena | acao=estudou computacao | valor=6102
linha=1485 | nome=Gabriela | acao=executou o benchmark | valor=5899
linha=1486 | nome=Tiago | acao=fez um experimento | valor=5502
linha=1487 | nome=Mariana | acao=estudou computacao | valor=6140
linha=1488 | nome=Mariana | acao=fez um experimento | valor=5538
linha=1489 | nome=Tiago | acao=otimizou o algoritmo | valor=7926
linha=1490 | nome=Igor | acao=participou da aula | valor=5547
linha=1491 | nome=Joao | acao=comparou as metricas | valor=9702
linha=1492 | nome=Helena | acao=executou o benchmark | valor=7507
linha=1493 | nome=Mariana | acao=escreveu o relatorio | valor=1811
linha=1494 | nome=Helena | acao=analisou os resultados | valor=6463
linha=1495 | nome=Mariana | acao=participou da aula | valor=5353
linha=1496 | nome=Karen | acao=participou da aula | valor=7841
linha=1497 | nome=Otavio | acao=analisou os resultados | valor=9408
linha=1498 | nome=Helena | acao=executou o benchmark | valor=6119
linha=1499 | nome=Ana | acao=executou o benchmark | valor=3294
linha=1500 | nome=Daniela | acao=escreveu o relatorio | valor=3185
linha=1501 | nome=Igor | acao=executou o benchmark | valor=6815
linha=1502 | nome=Carlos | acao=participou da aula | valor=9579
linha=1503 | nome=Mariana | acao=comparou as metricas | valor=9244
linha=1504 | nome=Joao | acao=analisou os resultados | valor=3891
linha=1505 | nome=Daniela | acao=participou da aula | valor=1432
linha=1506 | nome=Ana | acao=fez um experimento | valor=1632
linha=1507 | nome=Ana | acao=escreveu o relatorio | valor=1429
linha=1508 | nome=Eduarda | acao=comparou as metricas | valor=5655
linha=1509 | nome=Joao | acao=fez um experimento | valor=5356
linha=1510 | nome=Joao | acao=escreveu o relatorio | valor=7210
linha=1511 | nome=Lucas | acao=executou o benchmark | valor=3392
linha=1512 | nome=Paulo | acao=executou o benchmark | valor=7321
linha=1513 | nome=Mariana | acao=comparou as metricas | valor=4231
linha=1514 | nome=Renata | acao=otimizou o algoritmo | valor=7775
linha=1515 | nome=Ana | acao=comparou as metricas | valor=1725
linha=1516 | nome=Otavio | acao=analisou os resultados | valor=1670
linha=1517 | nome=Ana | acao=executou o benchmark | valor=5547
linha=1518 | nome=Helena | acao=fez um experimento | valor=4543
linha=1519 | nome=Renata | acao=otimizou o algoritmo | valor=4038
linha=1520 | nome=Daniela | acao=escreveu o relatorio | valor=1287
linha=1521 | nome=Sofia | acao=escreveu o relatorio | valor=1336
linha=1522 | nome=Natalia | acao=fez um experimento | valor=3428
linha=1523 | nome=Tiago | acao=comparou as metricas | valor=9460
linha=1524 | nome=Renata | acao=executou o benchmark | valor=8840
linha=1525 | nome=Ana | acao=analisou os resultados | valor=4551
linha=1526 | nome=Renata | acao=estudou computacao | valor=4822
linha=1527 | nome=Sofia | acao=executou o benchmark | valor=2705
linha=1528 | nome=Sofia | acao=participou da aula | valor=5500
linha=1529 | nome=Bruno | acao=escreveu o relatorio | valor=7847
linha=1530 | nome=Karen | acao=analisou os resultados | valor=4974
linha=1531 | nome=Mariana | acao=otimizou o algoritmo | valor=8562
linha=1532 | nome=Joao | acao=escreveu o relatorio | valor=3901
linha=1533 | nome=Lucas | acao=comparou as metricas | valor=9679
linha=1534 | nome=Ana | acao=participou da aula | valor=2196
linha=1535 | nome=Vitor | acao=participou da aula | valor=4776
linha=1536 | nome=Lucas | acao=estudou computacao | valor=6320
linha=1537 | nome=Natalia | acao=fez um experimento | valor=7350
linha=1538 | nome=Ana | acao=analisou os resultados | valor=9274
linha=1539 | nome=Mariana | acao=estudou computacao | valor=6685
linha=1540 | nome=Felipe | acao=fez um experimento | valor=2938
linha=1541 | nome=Sofia | acao=participou da aula | valor=9594
linha=1542 | nome=Lucas | acao=participou da aula | valor=7756
linha=1543 | nome=Paulo | acao=otimizou o algoritmo | valor=9349
linha=1544 | nome=Karen | acao=executou o benchmark | valor=5212
linha=1545 | nome=Igor | acao=fez um experimento | valor=9168
linha=1546 | nome=Igor | acao=participou da aula | valor=1859
linha=1547 | nome=Daniela | acao=analisou os resultados | valor=5470
linha=1548 | nome=Joao | acao=fez um experimento | valor=8770
linha=1549 | nome=Joao | acao=analisou os resultados | valor=6868
linha=1550 | nome=Igor | acao=estudou computacao | valor=7991
linha=1551 | nome=Natalia | acao=estudou computacao | valor=4572
linha=1552 | nome=Carlos | acao=estudou computacao | valor=1342
linha=1553 | nome=Daniela | acao=escreveu o relatorio | valor=7632
linha=1554 | nome=Ana | acao=otimizou o algoritmo | valor=1171
linha=1555 | nome=Natalia | acao=fez um experimento | valor=6268
linha=1556 | nome=Otavio | acao=participou da aula | valor=9410
linha=1557 | nome=Otavio | acao=otimizou o algoritmo | valor=6663
linha=1558 | nome=Otavio | acao=fez um experimento | valor=5437
linha=1559 | nome=Natalia | acao=escreveu o relatorio | valor=5686
linha=1560 | nome=Gabriela | acao=comparou as metricas | valor=6235
linha=1561 | nome=Natalia | acao=participou da aula | valor=4921
linha=1562 | nome=Eduarda | acao=comparou as metricas | valor=6967
linha=1563 | nome=Daniela | acao=analisou os resultados | valor=4758
linha=1564 | nome=Mariana | acao=estudou computacao | valor=3795
linha=1565 | nome=Eduarda | acao=executou o benchmark | valor=5833
linha=1566 | nome=Felipe | acao=comparou as metricas | valor=4422
linha=1567 | nome=Bruno | acao=estudou computacao | valor=9370
linha=1568 | nome=Gabriela | acao=participou da aula | valor=8451
linha=1569 | nome=Helena | acao=estudou computacao | valor=5182
linha=1570 | nome=Mariana | acao=otimizou o algoritmo | valor=1858
linha=1571 | nome=Karen | acao=fez um experimento | valor=1196
linha=1572 | nome=Eduarda | acao=executou o benchmark | valor=8355
linha=1573 | nome=Felipe | acao=escreveu o relatorio | valor=5471
linha=1574 | nome=Igor | acao=otimizou o algoritmo | valor=6002
linha=1575 | nome=Carlos | acao=analisou os resultados | valor=1839
linha=1576 | nome=Natalia | acao=executou o benchmark | valor=4695
linha=1577 | nome=Vitor | acao=estudou computacao | valor=1792
linha=1578 | nome=Daniela | acao=comparou as metricas | valor=1356
linha=1579 | nome=Tiago | acao=escreveu o relatorio | valor=2462
linha=1580 | nome=Daniela | acao=analisou os resultados | valor=2456
linha=1581 | nome=Eduarda | acao=participou da aula | valor=8642
linha=1582 | nome=Daniela | acao=escreveu o relatorio | valor=4237
linha=1583 | nome=Sofia | acao=participou da aula | valor=8536
linha=1584 | nome=Natalia | acao=analisou os resultados | valor=9732
linha=1585 | nome=Helena | acao=escreveu o relatorio | valor=1096
linha=1586 | nome=Carlos | acao=escreveu o relatorio | valor=3819
linha=1587 | nome=Lucas | acao=participou da aula | valor=9913
linha=1588 | nome=Daniela | acao=fez um experimento | valor=7066
linha=1589 | nome=Igor | acao=participou da aula | valor=3828
linha=1590 | nome=Joao | acao=otimizou o algoritmo | valor=5852
linha=1591 | nome=Renata | acao=estudou computacao | valor=2636
linha=1592 | nome=Mariana | acao=executou o benchmark | valor=2586
linha=1593 | nome=Renata | acao=fez um experimento | valor=4984
linha=1594 | nome=Gabriela | acao=estudou computacao | valor=9207
linha=1595 | nome=Lucas | acao=escreveu o relatorio | valor=5598
linha=1596 | nome=Karen | acao=escreveu o relatorio | valor=1760
linha=1597 | nome=Otavio | acao=estudou computacao | valor=8211
linha=1598 | nome=Vitor | acao=participou da aula | valor=8799
linha=1599 | nome=Lucas | acao=comparou as metricas | valor=8124
linha=1600 | nome=Helena | acao=otimizou o algoritmo | valor=2788
linha=1601 | nome=Igor | acao=fez um experimento | valor=2092
linha=1602 | nome=Vitor | acao=executou o benchmark | valor=5197
linha=1603 | nome=Vitor | acao=comparou as metricas | valor=9213
linha=1604 | nome=Vitor | acao=executou o benchmark | valor=6458
linha=1605 | nome=Tiago | acao=analisou os resultados | valor=3486
linha=1606 | nome=Tiago | acao=comparou as metricas | valor=2654
linha=1607 | nome=Helena | acao=participou da aula | valor=8037
linha=1608 | nome=Helena | acao=analisou os resultados | valor=8056
linha=1609 | nome=Paulo | acao=otimizou o algoritmo | valor=6907
linha=1610 | nome=Natalia | acao=otimizou o algoritmo | valor=1576
linha=1611 | nome=Eduarda | acao=estudou computacao | valor=6006
linha=1612 | nome=Gabriela | acao=escreveu o relatorio | valor=5393
linha=1613 | nome=Karen | acao=participou da aula | valor=2465
linha=1614 | nome=Eduarda | acao=analisou os resultados | valor=7172
linha=1615 | nome=Helena | acao=fez um experimento | valor=7185
linha=1616 | nome=Sofia | acao=escreveu o relatorio | valor=7736
linha=1617 | nome=Paulo | acao=fez um experimento | valor=2216
linha=1618 | nome=Felipe | acao=otimizou o algoritmo | valor=3148
linha=1619 | nome=Daniela | acao=estudou computacao | valor=5969
linha=1620 | nome=Mariana | acao=comparou as metricas | valor=8205
linha=1621 | nome=Ana | acao=fez um experimento | valor=4084
linha=1622 | nome=Renata | acao=participou da aula | valor=8144
linha=1623 | nome=Helena | acao=analisou os resultados | valor=3045
linha=1624 | nome=Gabriela | acao=escreveu o relatorio | valor=6669
linha=1625 | nome=Natalia | acao=estudou computacao | valor=7763
linha=1626 | nome=Ana | acao=participou da aula | valor=9891
linha=1627 | nome=Tiago | acao=fez um experimento | valor=2330
linha=1628 | nome=Gabriela | acao=executou o benchmark | valor=7578
linha=1629 | nome=Felipe | acao=participou da aula | valor=7700
linha=1630 | nome=Mariana | acao=estudou computacao | valor=7316
linha=1631 | nome=Paulo | acao=analisou os resultados | valor=1962
linha=1632 | nome=Tiago | acao=comparou as metricas | valor=7354
linha=1633 | nome=Tiago | acao=fez um experimento | valor=9445
linha=1634 | nome=Daniela | acao=comparou as metricas | valor=5511
linha=1635 | nome=Ana | acao=otimizou o algoritmo | valor=2317
linha=1636 | nome=Gabriela | acao=analisou os resultados | valor=7228
linha=1637 | nome=Ana | acao=comparou as metricas | valor=1239
linha=1638 | nome=Felipe | acao=escreveu o relatorio | valor=3954
linha=1639 | nome=Ana | acao=participou da aula | valor=3210
linha=1640 | nome=Joao | acao=comparou as metricas | valor=2334
linha=1641 | nome=Lucas | acao=executou o benchmark | valor=5175
linha=1642 | nome=Natalia | acao=executou o benchmark | valor=7588
linha=1643 | nome=Daniela | acao=otimizou o algoritmo | valor=4497
linha=1644 | nome=Renata | acao=comparou as metricas | valor=5859
linha=1645 | nome=Paulo | acao=executou o benchmark | valor=5755
linha=1646 | nome=Natalia | acao=executou o benchmark | valor=7313
linha=1647 | nome=Igor | acao=escreveu o relatorio | valor=3792
linha=1648 | nome=Ana | acao=otimizou o algoritmo | valor=1112
linha=1649 | nome=Joao | acao=otimizou o algoritmo | valor=7079
linha=1650 | nome=Tiago | acao=analisou os resultados | valor=3865
linha=1651 | nome=Sofia | acao=fez um experimento | valor=3976
linha=1652 | nome=Paulo | acao=estudou computacao | valor=8814
linha=1653 | nome=Renata | acao=fez um experimento | valor=5811
linha=1654 | nome=Carlos | acao=escreveu o relatorio | valor=2647
linha=1655 | nome=Felipe | acao=fez um experimento | valor=8667
linha=1656 | nome=Vitor | acao=otimizou o algoritmo | valor=2114
linha=1657 | nome=Felipe | acao=executou o benchmark | valor=2907
linha=1658 | nome=Eduarda | acao=comparou as metricas | valor=2917
linha=1659 | nome=Gabriela | acao=escreveu o relatorio | valor=3741
linha=1660 | nome=Lucas | acao=participou da aula | valor=2905
linha=1661 | nome=Eduarda | acao=participou da aula | valor=6033
linha=1662 | nome=Carlos | acao=comparou as metricas | valor=9525
linha=1663 | nome=Bruno | acao=analisou os resultados | valor=6708
linha=1664 | nome=Mariana | acao=participou da aula | valor=4464
linha=1665 | nome=Carlos | acao=escreveu o relatorio | valor=4782
linha=1666 | nome=Helena | acao=executou o benchmark | valor=1028
linha=1667 | nome=Felipe | acao=analisou os resultados | valor=6905
linha=1668 | nome=Helena | acao=comparou as metricas | valor=2487
linha=1669 | nome=Lucas | acao=comparou as metricas | valor=5293
linha=1670 | nome=Eduarda | acao=fez um experimento | valor=3823
linha=1671 | nome=Natalia | acao=escreveu o relatorio | valor=1759
linha=1672 | nome=Bruno | acao=escreveu o relatorio | valor=6023
linha=1673 | nome=Eduarda | acao=otimizou o algoritmo | valor=7859
linha=1674 | nome=Karen | acao=executou o benchmark | valor=3977
linha=1675 | nome=Bruno | acao=estudou computacao | valor=6997
linha=1676 | nome=Mariana | acao=otimizou o algoritmo | valor=5168
linha=1677 | nome=Sofia | acao=analisou os resultados | valor=2202
linha=1678 | nome=Helena | acao=estudou computacao | valor=5617
linha=1679 | nome=Renata | acao=participou da aula | valor=7412
linha=1680 | nome=Lucas | acao=escreveu o relatorio | valor=5047
linha=1681 | nome=Renata | acao=analisou os resultados | valor=4934
linha=1682 | nome=Helena | acao=analisou os resultados | valor=8581
linha=1683 | nome=Helena | acao=comparou as metricas | valor=7891
linha=1684 | nome=Lucas | acao=participou da aula | valor=7487
linha=1685 | nome=Natalia | acao=escreveu o relatorio | valor=2959
linha=1686 | nome=Daniela | acao=comparou as metricas | valor=4445
linha=1687 | nome=Otavio | acao=estudou computacao | valor=2851
linha=1688 | nome=Renata | acao=executou o benchmark | valor=5941
linha=1689 | nome=Otavio | acao=estudou computacao | valor=6569
linha=1690 | nome=Lucas | acao=estudou computacao | valor=5548
linha=1691 | nome=Carlos | acao=fez um experimento | valor=1059
linha=1692 | nome=Carlos | acao=fez um experimento | valor=1274
linha=1693 | nome=Eduarda | acao=comparou as metricas | valor=5188
linha=1694 | nome=Tiago | acao=analisou os resultados | valor=9213
linha=1695 | nome=Ana | acao=analisou os resultados | valor=9532
linha=1696 | nome=Lucas | acao=otimizou o algoritmo | valor=9193
linha=1697 | nome=Igor | acao=estudou computacao | valor=9728
linha=1698 | nome=Natalia | acao=escreveu o relatorio | valor=6373
linha=1699 | nome=Vitor | acao=estudou computacao | valor=2646
linha=1700 | nome=Gabriela | acao=comparou as metricas | valor=7717
linha=1701 | nome=Karen | acao=escreveu o relatorio | valor=8800
linha=1702 | nome=Lucas | acao=analisou os resultados | valor=5899
linha=1703 | nome=Tiago | acao=fez um experimento | valor=3390
linha=1704 | nome=Felipe | acao=estudou computacao | valor=5094
linha=1705 | nome=Daniela | acao=otimizou o algoritmo | valor=8847
linha=1706 | nome=Eduarda | acao=fez um experimento | valor=2393
linha=1707 | nome=Tiago | acao=analisou os resultados | valor=1738
linha=1708 | nome=Eduarda | acao=estudou computacao | valor=6709
linha=1709 | nome=Karen | acao=estudou computacao | valor=5187
linha=1710 | nome=Otavio | acao=escreveu o relatorio | valor=1141
linha=1711 | nome=Ana | acao=executou o benchmark | valor=7907
linha=1712 | nome=Felipe | acao=participou da aula | valor=1206
linha=1713 | nome=Paulo | acao=fez um experimento | valor=4909
linha=1714 | nome=Tiago | acao=analisou os resultados | valor=3074
linha=1715 | nome=Natalia | acao=analisou os resultados | valor=8565
linha=1716 | nome=Mariana | acao=escreveu o relatorio | valor=6167
linha=1717 | nome=Tiago | acao=estudou computacao | valor=4964
linha=1718 | nome=Karen | acao=analisou os resultados | valor=1552
linha=1719 | nome=Mariana | acao=estudou computacao | valor=5114
linha=1720 | nome=Renata | acao=otimizou o algoritmo | valor=1471
linha=1721 | nome=Vitor | acao=participou da aula | valor=7822
linha=1722 | nome=Igor | acao=fez um experimento | valor=4194
linha=1723 | nome=Gabriela | acao=participou da aula | valor=2620
linha=1724 | nome=Daniela | acao=executou o benchmark | valor=3343
linha=1725 | nome=Eduarda | acao=executou o benchmark | valor=2045
linha=1726 | nome=Karen | acao=participou da aula | valor=7552
linha=1727 | nome=Sofia | acao=escreveu o relatorio | valor=1128
linha=1728 | nome=Lucas | acao=fez um experimento | valor=1735
linha=1729 | nome=Bruno | acao=participou da aula | valor=7699
linha=1730 | nome=Carlos | acao=executou o benchmark | valor=7753
linha=1731 | nome=Natalia | acao=escreveu o relatorio | valor=9656
linha=1732 | nome=Bruno | acao=executou o benchmark | valor=3582
linha=1733 | nome=Karen | acao=escreveu o relatorio | valor=2050
linha=1734 | nome=Helena | acao=comparou as metricas | valor=4991
linha=1735 | nome=Eduarda | acao=comparou as metricas | valor=3419
linha=1736 | nome=Felipe | acao=participou da aula | valor=3469
linha=1737 | nome=Helena | acao=analisou os resultados | valor=6847
linha=1738 | nome=Otavio | acao=participou da aula | valor=5147
linha=1739 | nome=Tiago | acao=executou o benchmark | valor=3288
linha=1740 | nome=Paulo | acao=estudou computacao | valor=3731
linha=1741 | nome=Helena | acao=analisou os resultados | valor=6628
linha=1742 | nome=Mariana | acao=escreveu o relatorio | valor=9060
linha=1743 | nome=Tiago | acao=comparou as metricas | valor=3326
linha=1744 | nome=Eduarda | acao=escreveu o relatorio | valor=4227
linha=1745 | nome=Daniela | acao=executou o benchmark | valor=8103
linha=1746 | nome=Felipe | acao=executou o benchmark | valor=6257
linha=1747 | nome=Karen | acao=participou da aula | valor=8618
linha=1748 | nome=Eduarda | acao=comparou as metricas | valor=9096
linha=1749 | nome=Mariana | acao=participou da aula | valor=3365
linha=1750 | nome=Daniela | acao=participou da aula | valor=1171
linha=1751 | nome=Vitor | acao=executou o benchmark | valor=4088
