linha=1 | nome=Eduarda | acao=participou da aula | valor=3466
linha=1180 | nome=Helena | acao=comparou as metricas | valor=4132
linha=1181 | nome=Eduarda | acao=otimizou o algoritmo | valor=9981
linha=1182 | nome=Carlos | acao=fez um experimento | valor=2687
linha=1183 | nome=Paulo | acao=estudou computacao | valor=9085
linha=1184 | nome=Helena | acao=estudou computacao | valor=9667
linha=1185 | nome=Igor | acao=estudou computacao | valor=1285
linha=1186 | nome=Eduarda | acao=executou o benchmark | valor=8801
linha=1187 | nome=Natalia | acao=comparou as metricas | valor=7176
linha=1188 | nome=Renata | acao=fez um experimento | valor=2591
linha=1189 | nome=Carlos | acao=otimizou o algoritmo | valor=5705
linha=1190 | nome=Felipe | acao=otimizou o algoritmo | valor=1817
linha=1191 | nome=Bruno | acao=fez um experimento | valor=8849
linha=1192 | nome=Gabriela | acao=participou da aula | valor=5403
linha=1193 | nome=Tiago | acao=participou da aula | valor=4814
linha=1194 | nome=Felipe | acao=analisou os resultados | valor=3405
linha=1195 | nome=Eduarda | acao=escreveu o relatorio | valor=4377
linha=1196 | nome=Tiago | acao=executou o benchmark | valor=4629
linha=1197 | nome=Natalia | acao=analisou os resultados | valor=2956
linha=1198 | nome=Paulo | acao=analisou os resultados | valor=6162
linha=1199 | nome=Renata | acao=participou da aula | valor=9064
linha=1200 | nome=Joao | acao=otimizou o algoritmo | valor=1635
linha=1201 | nome=Renata | acao=participou da aula | valor=1420
linha=1202 | nome=Carlos | acao=estudou computacao | valor=7277
linha=1203 | nome=Lucas | acao=escreveu o relatorio | valor=3782
linha=1204 | nome=Joao | acao=escreveu o relatorio | valor=9908
linha=1205 | nome=Natalia | acao=estudou computacao | valor=5731
linha=1206 | nome=Carlos | acao=fez um experimento | valor=9934
linha=1207 | nome=Natalia | acao=estudou computacao | valor=8132
linha=1208 | nome=Igor | acao=executou o benchmark | valor=3001
linha=1209 | nome=Renata | acao=comparou as metricas | valor=9838
linha=1210 | nome=Renata | acao=estudou computacao | valor=6152
linha=1211 | nome=Joao | acao=comparou as metricas | valor=1205
linha=1212 | nome=Tiago | acao=otimizou o algoritmo | valor=8954
linha=1213 | nome=Natalia | acao=fez um experimento | valor=5281
linha=1214 | nome=Bruno | acao=fez um experimento | valor=8484
linha=1215 | nome=Vitor | acao=participou da aula | valor=4292
linha=1216 | nome=Carlos | acao=fez um experimento | valor=3158
linha=1217 | nome=Eduarda | acao=comparou as metricas | valor=4069
linha=1218 | nome=Mariana | acao=comparou as metricas | valor=8212
linha=1219 | nome=Ana | acao=analisou os resultados | valor=8762
linha=1220 | nome=Joao | acao=analisou os resultados | valor=5547
linha=1221 | nome=Felipe | acao=executou o benchmark | valor=6645
linha=1222 | nome=Renata | acao=estudou computacao | valor=9051
linha=1223 | nome=Carlos | acao=estudou computacao | valor=4499
linha=1224 | nome=Daniela | acao=estudou computacao | valor=9124
linha=1225 | nome=Felipe | acao=estudou computacao | valor=5733
linha=1226 | nome=Tiago | acao=analisou os resultados | valor=2563
linha=1227 | nome=Vitor | acao=fez um experimento | valor=6902
linha=1228 | nome=Carlos | acao=analisou os resultados | valor=7409
linha=1229 | nome=Lucas | acao=analisou os resultados | valor=1567
linha=1230 | nome=Eduarda | acao=estudou computacao | valor=7623
linha=1231 | nome=Mariana | acao=fez um experimento | valor=6293
linha=1232 | nome=Otavio | acao=fez um experimento | valor=9338
linha=1233 | nome=Ana | acao=escreveu o relatorio | valor=7616
linha=1234 | nome=Felipe | acao=otimizou o algoritmo | valor=2137
linha=1235 | nome=Paulo | acao=escreveu o relatorio | valor=8412
linha=1236 | nome=Carlos | acao=otimizou o algoritmo | valor=7074
linha=1237 | nome=Gabriela | acao=fez um experimento | valor=1537
linha=1238 | nome=Eduarda | acao=otimizou o algoritmo | valor=1221
linha=1239 | nome=Eduarda | acao=comparou as metricas | valor=2161
linha=1240 | nome=Natalia | acao=analisou os resultados | valor=9881
linha=1241 | nome=Joao | acao=executou o benchmark | valor=4565
linha=1242 | nome=Karen | acao=participou da aula | valor=8734
linha=1243 | nome=Renata | acao=estudou computacao | valor=4652
linha=1244 | nome=Vitor | acao=escreveu o relatorio | valor=1815
linha=1245 | nome=Karen | acao=comparou as metricas | valor=4181
linha=1246 | nome=Paulo | acao=executou o benchmark | valor=6748
linha=1247 | nome=Bruno | acao=otimizou o algoritmo | valor=1996
linha=1248 | nome=Helena | acao=executou o benchmark | valor=1736
linha=1249 | nome=Karen | acao=executou o benchmark | valor=5338
linha=1250 | nome=Ana | acao=escreveu o relatorio | valor=2117
linha=1251 | nome=Helena | acao=comparou as metricas | valor=3428
linha=1252 | nome=Vitor | acao=escreveu o relatorio | valor=8414
linha=1253 | nome=Mariana | acao=otimizou o algoritmo | valor=8124
linha=1254 | nome=Mariana | acao=estudou computacao | valor=4602
linha=1255 | nome=Sofia | acao=executou o benchmark | valor=1376
linha=1256 | nome=Felipe | acao=fez um experimento | valor=5938
linha=1257 | nome=Tiago | acao=escreveu o relatorio | valor=3464
linha=1258 | nome=Carlos | acao=participou da aula | valor=5635
linha=1259 | nome=Eduarda | acao=estudou computacao | valor=8996
linha=1260 | nome=Lucas | acao=analisou os resultados | valor=9837
linha=1261 | nome=Mariana | acao=escreveu o relatorio | valor=5833
linha=1262 | nome=Otavio | acao=analisou os resultados | valor=6870
linha=1263 | nome=Carlos | acao=escreveu o relatorio | valor=8544
linha=1264 | nome=Gabriela | acao=participou da aula | valor=4724
linha=1265 | nome=Gabriela | acao=participou da aula | valor=4514
linha=1266 | nome=Igor | acao=escreveu o relatorio | valor=8032
linha=1267 | nome=Vitor | acao=estudou computacao | valor=8923
linha=1268 | nome=Paulo | acao=comparou as metricas | valor=6559
linha=1269 | nome=Paulo | acao=fez um experimento | valor=5408
linha=1270 | nome=Lucas | acao=executou o benchmark | valor=9863
linha=1271 | nome=Vitor | acao=escreveu o relatorio | valor=6042
linha=1272 | nome=Karen | acao=otimizou o algoritmo | valor=1837
linha=1273 | nome=Lucas | acao=estudou computacao | valor=5767
linha=1274 | nome=Carlos | acao=executou o benchmark | valor=2196
linha=1275 | nome=Mariana | acao=analisou os resultados | valor=2743
linha=1276 | nome=Lucas | acao=comparou as metricas | valor=7244
linha=1277 | nome=Carlos | acao=executou o benchmark | valor=5305
linha=1278 | nome=Otavio | acao=escreveu o relatorio | valor=7508
linha=1279 | nome=Karen | acao=participou da aula | valor=7789
linha=1280 | nome=Otavio | acao=comparou as metricas | valor=2021
linha=1281 | nome=Tiago | acao=participou da aula | valor=5339
linha=1282 | nome=Mariana | acao=comparou as metricas | valor=7294
linha=1283 | nome=Felipe | acao=otimizou o algoritmo | valor=4439
linha=1284 | nome=Felipe | acao=otimizou o algoritmo | valor=5362
linha=1285 | nome=Joao | acao=fez um experimento | valor=4134
linha=1286 | nome=Sofia | acao=escreveu o relatorio | valor=6171
linha=1287 | nome=Paulo | acao=escreveu o relatorio | valor=8278
linha=1288 | nome=Carlos | acao=otimizou o algoritmo | valor=9061
linha=1289 | nome=Renata | acao=participou da aula | valor=4576
linha=1290 | nome=Carlos | acao=executou o benchmark | valor=6629
linha=1291 | nome=Tiago | acao=comparou as metricas | valor=6044
linha=1292 | nome=Bruno | acao=participou da aula | valor=8289
linha=1293 | nome=Vitor | acao=estudou computacao | valor=4897
linha=1294 | nome=Ana | acao=otimizou o algoritmo | valor=9855
linha=1295 | nome=Tiago | acao=executou o benchmark | valor=8642
linha=1296 | nome=Gabriela | acao=estudou computacao | valor=2424
linha=1297 | nome=Vitor | acao=analisou os resultados | valor=9635
linha=1298 | nome=Lucas | acao=fez um experimento | valor=5916
linha=1299 | nome=Sofia | acao=estudou computacao | valor=3992
linha=1300 | nome=Gabriela | acao=escreveu o relatorio | valor=7113
linha=1301 | nome=Mariana | acao=executou o benchmark | valor=7180
linha=1302 | nome=Ana | acao=comparou as metricas | valor=5879
linha=1303 | nome=Mariana | acao=otimizou o algoritmo | valor=7268
linha=1304 | nome=Vitor | acao=analisou os resultados | valor=5347
linha=1305 | nome=Igor | acao=fez um experimento | valor=8333
linha=1306 | nome=Renata | acao=comparou as metricas | valor=4020
linha=1307 | nome=Joao | acao=escreveu o relatorio | valor=1774
linha=1308 | nome=Vitor | acao=otimizou o algoritmo | valor=7107
linha=1309 | nome=Bruno | acao=otimizou o algoritmo | valor=7133
linha=1310 | nome=Mariana | acao=otimizou o algoritmo | valor=1735
linha=1311 | nome=Helena | acao=fez um experimento | valor=7795
linha=1312 | nome=Joao | acao=analisou os resultados | valor=3259
linha=1313 | nome=Eduarda | acao=otimizou o algoritmo | valor=5964
linha=1314 | nome=Felipe | acao=escreveu o relatorio | valor=1481
linha=1315 | nome=Renata | acao=escreveu o relatorio | valor=9298
linha=1316 | nome=Renata | acao=fez um experimento | valor=8359
linha=1317 | nome=Paulo | acao=comparou as metricas | valor=6522
linha=1318 | nome=Felipe | acao=executou o benchmark | valor=4810
linha=1319 | nome=Paulo | acao=analisou os resultados | valor=4097
linha=1320 | nome=Lucas | acao=otimizou o algoritmo | valor=5053
linha=1321 | nome=Mariana | acao=escreveu o relatorio | valor=4442
linha=1322 | nome=Otavio | acao=escreveu o relatorio | valor=6667
linha=1323 | nome=Igor | acao=fez um experimento | valor=5072
linha=1324 | nome=Eduarda | acao=fez um experimento | valor=2763
linha=1325 | nome=Renata | acao=otimizou o algoritmo | valor=7056
linha=1326 | nome=Bruno | acao=estudou computacao | valor=8374
linha=1327 | nome=Natalia | acao=estudou computacao | valor=3490
linha=1328 | nome=Eduarda | acao=estudou computacao | valor=2508
linha=1329 | nome=Igor | acao=executou o benchmark | valor=6877
linha=1330 | nome=Bruno | acao=executou o benchmark | valor=7097
linha=1331 | nome=Felipe | acao=estudou computacao | valor=1072
linha=1332 | nome=Felipe | acao=analisou os resultados | valor=3292
linha=1333 | nome=Mariana | acao=estudou computacao | valor=6132
linha=1334 | nome=Tiago | acao=fez um experimento | valor=8846
linha=1335 | nome=Vitor | acao=participou da aula | valor=8588
linha=1336 | nome=Lucas | acao=participou da aula | valor=4544
linha=1337 | nome=Helena | acao=executou o benchmark | valor=6875
linha=1338 | nome=Tiago | acao=participou da aula | valor=4413
linha=1339 | nome=Lucas | acao=estudou computacao | valor=9455
linha=1340 | nome=Tiago | acao=analisou os resultados | valor=3496
linha=1341 | nome=Gabriela | acao=fez um experimento | valor=4509
linha=1342 | nome=Felipe | acao=otimizou o algoritmo | valor=9070
linha=1343 | nome=Tiago | acao=escreveu o relatorio | valor=1981
linha=1344 | nome=Bruno | acao=estudou computacao | valor=6234
linha=1345 | nome=Ana | acao=estudou computacao | valor=1901
linha=1346 | nome=Igor | acao=estudou computacao | valor=9375
linha=1347 | nome=Karen | acao=comparou as metricas | valor=4572
linha=1348 | nome=Mariana | acao=analisou os resultados | valor=2851
linha=1349 | nome=Lucas | acao=otimizou o algoritmo | valor=2045
linha=1350 | nome=Ana | acao=comparou as metricas | valor=2670
linha=1351 | nome=Joao | acao=otimizou o algoritmo | valor=2476
linha=1352 | nome=Ana | acao=fez um experimento | valor=3196
linha=1353 | nome=Otavio | acao=estudou computacao | valor=8365
linha=1354 | nome=Sofia | acao=executou o benchmark | valor=7739
linha=1355 | nome=Tiago | acao=analisou os resultados | valor=1753
linha=1356 | nome=Bruno | acao=participou da aula | valor=9446
linha=1357 | nome=Renata | acao=participou da aula | valor=2712
linha=1358 | nome=Natalia | acao=comparou as metricas | valor=4373
linha=1359 | nome=Paulo | acao=comparou as metricas | valor=2365
linha=1360 | nome=Joao | acao=comparou as metricas | valor=3284
linha=1361 | nome=Natalia | acao=estudou computacao | valor=5297
linha=1362 | nome=Eduarda | acao=executou o benchmark | valor=2702
linha=1363 | nome=Paulo | acao=comparou as metricas | valor=4577
linha=1364 | nome=Daniela | acao=executou o benchmark | valor=3980
linha=1365 | nome=Igor | acao=estudou computacao | valor=6124
linha=1366 | nome=Carlos | acao=participou da aula | valor=4166
linha=1367 | nome=Paulo | acao=analisou os resultados | valor=3067
linha=1368 | nome=Otavio | acao=analisou os resultados | valor=1936
linha=1369 | nome=Paulo | acao=escreveu o relatorio | valor=9592
linha=1370 | nome=Natalia | acao=analisou os resultados | valor=5801
linha=1371 | nome=Renata | acao=comparou as metricas | valor=1129
linha=1372 | nome=Joao | acao=otimizou o algoritmo | valor=7103
linha=1373 | nome=Eduarda | acao=participou da aula | valor=3608
linha=1374 | nome=Vitor | acao=comparou as metricas | valor=1605
linha=1375 | nome=Vitor | acao=executou o benchmark | valor=9732
linha=1376 | nome=Mariana | acao=participou da aula | valor=6387
linha=1377 | nome=Carlos | acao=escreveu o relatorio | valor=3281
linha=1378 | nome=Mariana | acao=participou da aula | valor=6876
linha=1379 | nome=Joao | acao=otimizou o algoritmo | valor=7314
linha=1380 | nome=Carlos | acao=analisou os resultados | valor=7222
linha=1381 | nome=Bruno | acao=comparou as metricas | valor=3079
linha=1382 | nome=Bruno | acao=otimizou o algoritmo | valor=7178
linha=1383 | nome=Lucas | acao=estudou computacao | valor=6490
linha=1384 | nome=Gabriela | acao=analisou os resultados | valor=5518
linha=1385 | nome=Carlos | acao=escreveu o relatorio | valor=9505
linha=1386 | nome=Bruno | acao=executou o benchmark | valor=9819
linha=1387 | nome=Carlos | acao=participou da aula | valor=5411
linha=1388 | nome=Helena | acao=comparou as metricas | valor=4498
linha=1389 | nome=Felipe | acao=analisou os resultados | valor=2484
linha=1390 | nome=Carlos | acao=participou da aula | valor=1084
linha=1391 | nome=Felipe | acao=fez um experimento | valor=8086
linha=1392 | nome=Helena | acao=comparou as metricas | valor=4423
linha=1393 | nome=Otavio | acao=otimizou o algoritmo | valor=7379
linha=1394 | nome=Mariana | acao=comparou as metricas | valor=3332
linha=1395 | nome=Helena | acao=analisou os resultados | valor=6360
linha=1396 | nome=Eduarda | acao=executou o benchmark | valor=3427
linha=1397 | nome=Daniela | acao=executou o benchmark | valor=8260
linha=1398 | nome=Daniela | acao=participou da aula | valor=2567
linha=1399 | nome=Eduarda | acao=participou da aula | valor=3229
linha=1400 | nome=Igor | acao=estudou computacao | valor=4765
linha=1401 | nome=Felipe | acao=estudou computacao | valor=4535
linha=1402 | nome=Tiago | acao=fez um experimento | valor=9303
linha=1403 | nome=Igor | acao=fez um experimento | valor=2463
linha=1404 | nome=Vitor | acao=escreveu o relatorio | valor=8295
linha=1405 | nome=Gabriela | acao=analisou os resultados | valor=3825
linha=1406 | nome=Mariana | acao=otimizou o algoritmo | valor=4679
linha=1407 | nome=Vitor | acao=comparou as metricas | valor=6093
linha=1408 | nome=Helena | acao=comparou as metricas | valor=7482
linha=1409 | nome=Carlos | acao=escreveu o relatorio | valor=5494
linha=1410 | nome=Carlos | acao=executou o benchmark | valor=6532
linha=1411 | nome=Renata | acao=analisou os resultados | valor=7183
linha=1412 | nome=Daniela | acao=executou o benchmark | valor=2092
linha=1413 | nome=Helena | acao=comparou as metricas | valor=2131
linha=1414 | nome=Vitor | acao=fez um experimento | valor=8962
linha=1415 | nome=Renata | acao=estudou computacao | valor=7934
linha=1416 | nome=Natalia | acao=fez um experimento | valor=4743
linha=1417 | nome=Vitor | acao=otimizou o algoritmo | valor=8545
linha=1418 | nome=Eduarda | acao=participou da aula | valor=3864
linha=1419 | nome=Eduarda | acao=otimizou o algoritmo | valor=7961
linha=1420 | nome=Karen | acao=executou o benchmark | valor=4601
linha=1421 | nome=Bruno | acao=otimizou o algoritmo | valor=6830
linha=1422 | nome=Renata | acao=fez um experimento | valor=7577
linha=1423 | nome=Vitor | acao=fez um experimento | valor=9675
linha=1424 | nome=Renata | acao=estudou computacao | valor=1955
linha=1425 | nome=Paulo | acao=fez um experimento | valor=2431
linha=1426 | nome=Natalia | acao=fez um experimento | valor=3640
linha=1427 | nome=Otavio | acao=fez um experimento | valor=1553
linha=1428 | nome=Renata | acao=escreveu o relatorio | valor=5320
linha=1429 | nome=Natalia | acao=fez um experimento | valor=8537
linha=1430 | nome=Joao | acao=estudou computacao | valor=5646
linha=1431 | nome=Tiago | acao=escreveu o relatorio | valor=7176
linha=1432 | nome=Natalia | acao=comparou as metricas | valor=8052
linha=1433 | nome=Sofia | acao=otimizou o algoritmo | valor=3501
linha=1434 | nome=Joao | acao=otimizou o algoritmo | valor=4619
linha=1435 | nome=Mariana | acao=escreveu o relatorio | valor=2155
linha=1436 | nome=Felipe | acao=participou da aula | valor=5110
linha=1437 | nome=Igor | acao=participou da aula | valor=2546
linha=1438 | nome=Eduarda | acao=comparou as metricas | valor=9591
linha=1439 | nome=Ana | acao=fez um experimento | valor=2827
linha=1440 | nome=Carlos | acao=analisou os resultados | valor=3203
linha=1441 | nome=Joao | acao=otimizou o algoritmo | valor=6237
linha=1442 | nome=Lucas | acao=comparou as metricas | valor=6812
linha=1443 | nome=Igor | acao=estudou computacao | valor=8920
linha=1444 | nome=Sofia | acao=estudou computacao | valor=4784
linha=1445 | nome=Otavio | acao=fez um experimento | valor=3405
linha=1446 | nome=Eduarda | acao=analisou os resultados | valor=4937
linha=1447 | nome=Renata | acao=otimizou o algoritmo | valor=9101
linha=1448 | nome=Mariana | acao=fez um experimento | valor=4092
linha=1449 | nome=Gabriela | acao=fez um experimento | valor=1610
linha=1450 | nome=Renata | acao=otimizou o algoritmo | valor=2621
linha=1451 | nome=Paulo | acao=escreveu o relatorio | valor=6976
linha=1452 | nome=Vitor | acao=escreveu o relatorio | valor=1847
linha=1453 | nome=Karen | acao=executou o benchmark | valor=7412
linha=1454 | nome=Paulo | acao=comparou as metricas | valor=4726
linha=1455 | nome=Joao | acao=escreveu o relatorio | valor=8263
linha=1456 | nome=Carlos | acao=comparou as metricas | valor=8219
linha=1457 | nome=Igor | acao=comparou as metricas | valor=7040
linha=1458 | nome=Mariana | acao=estudou computacao | valor=1005
linha=1459 | nome=Eduarda | acao=otimizou o algoritmo | valor=4543
linha=1460 | nome=Bruno | acao=escreveu o relatorio | valor=2021
linha=1461 | nome=Otavio | acao=participou da aula | valor=9381
linha=1462 | nome=Carlos | acao=executou o benchmark | valor=2440
linha=1463 | nome=Sofia | acao=otimizou o algoritmo | valor=9687
linha=1464 | nome=Ana | acao=estudou computacao | valor=2159
linha=1465 | nome=Bruno | acao=executou o benchmark | valor=6590
linha=1466 | nome=Carlos | acao=executou o benchmark | valor=2122
linha=1467 | nome=Paulo | acao=comparou as metricas | valor=5090
linha=1468 | nome=Gabriela | acao=comparou as metricas | valor=5398
linha=1469 | nome=Carlos | acao=escreveu o relatorio | valor=2073
linha=1470 | nome=Otavio | acao=otimizou o algoritmo | valor=8626
linha=1471 | nome=Daniela | acao=otimizou o algoritmo | valor=4882
linha=1472 | nome=Natalia | acao=analisou os resultados | valor=7250
linha=1473 | nome=Otavio | acao=executou o benchmark | valor=2740
linha=1474 | nome=Eduarda | acao=estudou computacao | valor=2495
linha=1475 | nome=Mariana | acao=participou da aula | valor=3889
linha=1476 | nome=Eduarda | acao=participou da aula | valor=9271
linha=1477 | nome=Mariana | acao=participou da aula | valor=8256
linha=1478 | nome=Ana | acao=analisou os resultados | valor=2913
linha=1479 | nome=Lucas | acao=executou o benchmark | valor=7989
linha=1480 | nome=Vitor | acao=fez um experimento | valor=4000
linha=1481 | nome=Renata | acao=otimizou o algoritmo | valor=7201
linha=1482 | nome=Helena | acao=participou da aula | valor=9306
linha=1483 | nome=Bruno | acao=executou o benchmark | valor=6500
linha=1484 | nome=Mariana | acao=fez um experimento | valor=7045
linha=1485 | nome=Gabriela | acao=escreveu o relatorio | valor=4373
linha=1486 | nome=Gabriela | acao=escreveu o relatorio | valor=3330
linha=1487 | nome=Otavio | acao=otimizou o algoritmo | valor=2555
linha=1488 | nome=Mariana | acao=fez um experimento | valor=8139
linha=1489 | nome=Felipe | acao=executou o benchmark | valor=9686
linha=1490 | nome=Eduarda | acao=participou da aula | valor=1855
linha=1491 | nome=Renata | acao=comparou as metricas | valor=5356
linha=1492 | nome=Mariana | acao=participou da aula | valor=6465
linha=1493 | nome=Natalia | acao=analisou os resultados | valor=9134
linha=1494 | nome=Carlos | acao=escreveu o relatorio | valor=5708
linha=1495 | nome=Renata | acao=estudou computacao | valor=9093
linha=1496 | nome=Vitor | acao=fez um experimento | valor=9219
linha=1497 | nome=Daniela | acao=otimizou o algoritmo | valor=5491
linha=1498 | nome=Vitor | acao=otimizou o algoritmo | valor=6886
linha=1499 | nome=Igor | acao=escreveu o relatorio | valor=4378
linha=1500 | nome=Karen | acao=participou da aula | valor=2234
linha=1501 | nome=Vitor | acao=executou o benchmark | valor=3763
linha=1502 | nome=Joao | acao=analisou os resultados | valor=6907
linha=1503 | nome=Lucas | acao=participou da aula | valor=8237
linha=1504 | nome=Mariana | acao=estudou computacao | valor=5872
linha=1505 | nome=Mariana | acao=escreveu o relatorio | valor=7661
linha=1506 | nome=Tiago | acao=executou o benchmark | valor=2379
linha=1507 | nome=Lucas | acao=analisou os resultados | valor=4717
linha=1508 | nome=Ana | acao=escreveu o relatorio | valor=8675
linha=1509 | nome=Lucas | acao=escreveu o relatorio | valor=8790
linha=1510 | nome=Renata | acao=otimizou o algoritmo | valor=3545
linha=1511 | nome=Mariana | acao=executou o benchmark | valor=2493
linha=1512 | nome=Tiago | acao=escreveu o relatorio | valor=6706
linha=1513 | nome=Sofia | acao=executou o benchmark | valor=9095
linha=1514 | nome=Mariana | acao=fez um experimento | valor=1380
linha=1515 | nome=Felipe | acao=comparou as metricas | valor=4601
linha=1516 | nome=Karen | acao=escreveu o relatorio | valor=6057
linha=1517 | nome=Carlos | acao=participou da aula | valor=8434
linha=1518 | nome=Lucas | acao=participou da aula | valor=1046
linha=1519 | nome=Carlos | acao=executou o benchmark | valor=5269
linha=1520 | nome=Mariana | acao=estudou computacao | valor=6254
linha=1521 | nome=Lucas | acao=participou da aula | valor=1468
linha=1522 | nome=Otavio | acao=analisou os resultados | valor=6007
linha=1523 | nome=Helena | acao=comparou as metricas | valor=2556
linha=1524 | nome=Bruno | acao=estudou computacao | valor=6178
linha=1525 | nome=Felipe | acao=fez um experimento | valor=8934
linha=1526 | nome=Otavio | acao=participou da aula | valor=7434
linha=1527 | nome=Eduarda | acao=executou o benchmark | valor=2344
linha=1528 | nome=Carlos | acao=executou o benchmark | valor=4674
linha=1529 | nome=Tiago | acao=escreveu o relatorio | valor=6915
linha=1530 | nome=Carlos | acao=participou da aula | valor=4466
linha=1531 | nome=Ana | acao=otimizou o algoritmo | valor=4659
linha=1532 | nome=Felipe | acao=fez um experimento | valor=4484
linha=1533 | nome=Carlos | acao=comparou as metricas | valor=9973
linha=1534 | nome=Natalia | acao=comparou as metricas | valor=3652
linha=1535 | nome=Gabriela | acao=escreveu o relatorio | valor=9875
linha=1536 | nome=Natalia | acao=fez um experimento | valor=9818
linha=1537 | nome=Igor | acao=participou da aula | valor=3458
linha=1538 | nome=Bruno | acao=fez um experimento | valor=7531
linha=1539 | nome=Mariana | acao=comparou as metricas | valor=7909
linha=1540 | nome=Karen | acao=analisou os resultados | valor=8417
linha=1541 | nome=Natalia | acao=executou o benchmark | valor=9419
linha=1542 | nome=Gabriela | acao=estudou computacao | valor=1103
linha=1543 | nome=Ana | acao=comparou as metricas | valor=3816
linha=1544 | nome=Tiago | acao=comparou as metricas | valor=1487
linha=1545 | nome=Igor | acao=escreveu o relatorio | valor=7226
linha=1546 | nome=Daniela | acao=estudou computacao | valor=8146
linha=1547 | nome=Igor | acao=fez um experimento | valor=4440
linha=1548 | nome=Tiago | acao=otimizou o algoritmo | valor=8083
linha=1549 | nome=Sofia | acao=participou da aula | valor=8678
linha=1550 | nome=Tiago | acao=estudou computacao | valor=2894
linha=1551 | nome=Renata | acao=analisou os resultados | valor=9619
linha=1552 | nome=Daniela | acao=comparou as metricas | valor=7166
linha=1553 | nome=Daniela | acao=participou da aula | valor=4102
linha=1554 | nome=Igor | acao=fez um experimento | valor=2769
linha=1555 | nome=Eduarda | acao=escreveu o relatorio | valor=5107
linha=1556 | nome=Bruno | acao=estudou computacao | valor=1982
linha=1557 | nome=Mariana | acao=otimizou o algoritmo | valor=1240
linha=1558 | nome=Otavio | acao=participou da aula | valor=9633
linha=1559 | nome=Daniela | acao=otimizou o algoritmo | valor=6864
linha=1560 | nome=Otavio | acao=participou da aula | valor=8889
linha=1561 | nome=Bruno | acao=comparou as metricas | valor=4341
linha=1562 | nome=Gabriela | acao=otimizou o algoritmo | valor=2451
linha=1563 | nome=Gabriela | acao=escreveu o relatorio | valor=3921
linha=1564 | nome=Mariana | acao=otimizou o algoritmo | valor=4719
linha=1565 | nome=Paulo | acao=executou o benchmark | valor=2707
linha=1566 | nome=Otavio | acao=fez um experimento | valor=1205
linha=1567 | nome=Gabriela | acao=escreveu o relatorio | valor=5823
linha=1568 | nome=Mariana | acao=escreveu o relatorio | valor=2465
linha=1569 | nome=Bruno | acao=estudou computacao | valor=6285
linha=1570 | nome=Daniela | acao=comparou as metricas | valor=2852
linha=1571 | nome=Bruno | acao=comparou as metricas | valor=4622
linha=1572 | nome=Gabriela | acao=escreveu o relatorio | valor=6558
linha=1573 | nome=Mariana | acao=estudou computacao | valor=5466
linha=1574 | nome=Igor | acao=participou da aula | valor=3153
linha=1575 | nome=Ana | acao=escreveu o relatorio | valor=4504
linha=1576 | nome=Felipe | acao=executou o benchmark | valor=7933
linha=1577 | nome=Natalia | acao=estudou computacao | valor=2921
linha=1578 | nome=Otavio | acao=executou o benchmark | valor=4077
linha=1579 | nome=Vitor | acao=executou o benchmark | valor=9799
linha=1580 | nome=Eduarda | acao=fez um experimento | valor=5341
linha=1581 | nome=Tiago | acao=escreveu o relatorio | valor=7982
linha=1582 | nome=Mariana | acao=escreveu o relatorio | valor=8333
linha=1583 | nome=Mariana | acao=escreveu o relatorio | valor=9739
linha=1584 | nome=Natalia | acao=comparou as metricas | valor=4094
linha=1585 | nome=Mariana | acao=participou da aula | valor=3489
linha=1586 | nome=Paulo | acao=executou o benchmark | valor=6761
linha=1587 | nome=Carlos | acao=escreveu o relatorio | valor=5306
linha=1588 | nome=Natalia | acao=fez um experimento | valor=3026
linha=1589 | nome=Karen | acao=fez um experimento | valor=5727
linha=1590 | nome=Karen | acao=otimizou o algoritmo | valor=1748
linha=1591 | nome=Mariana | acao=participou da aula | valor=9520
linha=1592 | nome=Mariana | acao=escreveu o relatorio | valor=8494
linha=1593 | nome=Vitor | acao=participou da aula | valor=2233
linha=1594 | nome=Sofia | acao=executou o benchmark | valor=6065
linha=1595 | nome=Sofia | acao=executou o benchmark | valor=6990
linha=1596 | nome=Mariana | acao=escreveu o relatorio | valor=8226
linha=1597 | nome=Vitor | acao=analisou os resultados | valor=2894
linha=1598 | nome=Otavio | acao=otimizou o algoritmo | valor=7077
linha=1599 | nome=Paulo | acao=escreveu o relatorio | valor=9181
linha=1600 | nome=Natalia | acao=escreveu o relatorio | valor=8756
linha=1601 | nome=Renata | acao=otimizou o algoritmo | valor=3070
linha=1602 | nome=Sofia | acao=executou o benchmark | valor=1717
linha=1603 | nome=Joao | acao=escreveu o relatorio | valor=3614
linha=1604 | nome=Paulo | acao=otimizou o algoritmo | valor=7658
linha=1605 | nome=Natalia | acao=fez um experimento | valor=2933
linha=1606 | nome=Igor | acao=participou da aula | valor=7780
linha=1607 | nome=Mariana | acao=participou da aula | valor=2763
linha=1608 | nome=Otavio | acao=otimizou o algoritmo | valor=6883
linha=1609 | nome=Ana | acao=escreveu o relatorio | valor=4645
linha=1610 | nome=Felipe | acao=estudou computacao | valor=7601
linha=1611 | nome=Tiago | acao=analisou os resultados | valor=3626
linha=1612 | nome=Natalia | acao=otimizou o algoritmo | valor=1387
linha=1613 | nome=Mariana | acao=comparou as metricas | valor=8831
linha=1614 | nome=Lucas | acao=participou da aula | valor=7200
