linha=1 | nome=Lucas | acao=comparou as metricas | valor=1308
linha=1165 | nome=Sofia | acao=otimizou o algoritmo | valor=5617
linha=1166 | nome=Helena | acao=executou o benchmark | valor=1988
linha=1167 | nome=Tiago | acao=comparou as metricas | valor=7622
linha=1168 | nome=Lucas | acao=participou da aula | valor=7924
linha=1169 | nome=Ana | acao=participou da aula | valor=1537
linha=1170 | nome=Daniela | acao=comparou as metricas | valor=3695
linha=1171 | nome=Felipe | acao=estudou computacao | valor=7968
linha=1172 | nome=Igor | acao=participou da aula | valor=6707
linha=1173 | nome=Bruno | acao=otimizou o algoritmo | valor=4406
linha=1174 | nome=Igor | acao=executou o benchmark | valor=5607
linha=1175 | nome=Carlos | acao=executou o benchmark | valor=4277
linha=1176 | nome=Vitor | acao=analisou os resultados | valor=8615
linha=1177 | nome=Joao | acao=analisou os resultados | valor=3933
linha=1178 | nome=Felipe | acao=otimizou o algoritmo | valor=9550
linha=1179 | nome=Daniela | acao=analisou os resultados | valor=2211
linha=1180 | nome=Tiago | acao=executou o benchmark | valor=5381
linha=1181 | nome=Bruno | acao=executou o benchmark | valor=5045
linha=1182 | nome=Lucas | acao=analisou os resultados | valor=2153
linha=1183 | nome=Carlos | acao=estudou computacao | valor=5798
linha=1184 | nome=Otavio | acao=otimizou o algoritmo | valor=9539
linha=1185 | nome=Igor | acao=otimizou o algoritmo | valor=8366
linha=1186 | nome=Eduarda | acao=fez um experimento | valor=7333
linha=1187 | nome=Vitor | acao=estudou computacao | valor=2851
linha=1188 | nome=Vitor | acao=escreveu o relatorio | valor=6033
linha=1189 | nome=Carlos | acao=escreveu o relatorio | valor=3350
linha=1190 | nome=Daniela | acao=estudou computacao | valor=6938
linha=1191 | nome=Carlos | acao=analisou os resultados | valor=5988
linha=1192 | nome=Igor | acao=analisou os resultados | valor=3189
linha=1193 | nome=Tiago | acao=otimizou o algoritmo | valor=4926
linha=1194 | nome=Gabriela | acao=estudou computacao | valor=6375
linha=1195 | nome=Eduarda | acao=fez um experimento | valor=6179
linha=1196 | nome=Sofia | acao=analisou os resultados | valor=7827
linha=1197 | nome=Otavio | acao=analisou os resultados | valor=4082
linha=1198 | nome=Sofia | acao=analisou os resultados | valor=6777
linha=1199 | nome=Helena | acao=otimizou o algoritmo | valor=9930
linha=1200 | nome=Vitor | acao=fez um experimento | valor=7368
linha=1201 | nome=Vitor | acao=participou da aula | valor=6182
linha=1202 | nome=Tiago | acao=fez um experimento | valor=4736
linha=1203 | nome=Bruno | acao=fez um experimento | valor=5927
linha=1204 | nome=Vitor | acao=escreveu o relatorio | valor=3818
linha=1205 | nome=Vitor | acao=escreveu o relatorio | valor=6668
linha=1206 | nome=Bruno | acao=fez um experimento | valor=6713
linha=1207 | nome=Eduarda | acao=participou da aula | valor=4134
linha=1208 | nome=Gabriela | acao=analisou os resultados | valor=4181
linha=1209 | nome=Paulo | acao=comparou as metricas | valor=7435
linha=1210 | nome=Paulo | acao=analisou os resultados | valor=3865
linha=1211 | nome=Igor | acao=escreveu o relatorio | valor=7367
linha=1212 | nome=Mariana | acao=executou o benchmark | valor=9344
linha=1213 | nome=Otavio | acao=fez um experimento | valor=6314
linha=1214 | nome=Paulo | acao=comparou as metricas | valor=8097
linha=1215 | nome=Carlos | acao=executou o benchmark | valor=1183
linha=1216 | nome=Renata | acao=executou o benchmark | valor=9858
linha=1217 | nome=Vitor | acao=fez um experimento | valor=2632
linha=1218 | nome=Mariana | acao=estudou computacao | valor=9716
linha=1219 | nome=Gabriela | acao=analisou os resultados | valor=5423
linha=1220 | nome=Vitor | acao=executou o benchmark | valor=2451
linha=1221 | nome=Vitor | acao=participou da aula | valor=3191
linha=1222 | nome=Carlos | acao=comparou as metricas | valor=2429
linha=1223 | nome=Igor | acao=analisou os resultados | valor=9483
linha=1224 | nome=Sofia | acao=analisou os resultados | valor=1579
linha=1225 | nome=Joao | acao=escreveu o relatorio | valor=9856
linha=1226 | nome=Bruno | acao=comparou as metricas | valor=7449
linha=1227 | nome=Natalia | acao=otimizou o algoritmo | valor=6327
linha=1228 | nome=Daniela | acao=escreveu o relatorio | valor=7775
linha=1229 | nome=Natalia | acao=executou o benchmark | valor=5713
linha=1230 | nome=Otavio | acao=escreveu o relatorio | valor=3741
linha=1231 | nome=Igor | acao=otimizou o algoritmo | valor=7826
linha=1232 | nome=Joao | acao=analisou os resultados | valor=4671
linha=1233 | nome=Igor | acao=otimizou o algoritmo | valor=7978
linha=1234 | nome=Carlos | acao=otimizou o algoritmo | valor=3590
linha=1235 | nome=Igor | acao=estudou computacao | valor=7101
linha=1236 | nome=Bruno | acao=executou o benchmark | valor=7990
linha=1237 | nome=Daniela | acao=estudou computacao | valor=4375
linha=1238 | nome=Eduarda | acao=estudou computacao | valor=7557
linha=1239 | nome=Tiago | acao=otimizou o algoritmo | valor=1622
linha=1240 | nome=Eduarda | acao=otimizou o algoritmo | valor=7723
linha=1241 | nome=Tiago | acao=analisou os resultados | valor=1530
linha=1242 | nome=Lucas | acao=escreveu o relatorio | valor=4103
linha=1243 | nome=Karen | acao=fez um experimento | valor=5991
linha=1244 | nome=Igor | acao=estudou computacao | valor=1306
linha=1245 | nome=Natalia | acao=analisou os resultados | valor=5579
linha=1246 | nome=Helena | acao=participou da aula | valor=1959
linha=1247 | nome=Paulo | acao=comparou as metricas | valor=2949
linha=1248 | nome=Igor | acao=participou da aula | valor=5751
linha=1249 | nome=Bruno | acao=escreveu o relatorio | valor=6579
linha=1250 | nome=Ana | acao=executou o benchmark | valor=2427
linha=1251 | nome=Karen | acao=otimizou o algoritmo | valor=1349
linha=1252 | nome=Felipe | acao=fez um experimento | valor=7263
linha=1253 | nome=Joao | acao=escreveu o relatorio | valor=3888
linha=1254 | nome=Ana | acao=comparou as metricas | valor=3255
linha=1255 | nome=Gabriela | acao=escreveu o relatorio | valor=1785
linha=1256 | nome=Gabriela | acao=estudou computacao | valor=3315
linha=1257 | nome=Eduarda | acao=executou o benchmark | valor=3633
linha=1258 | nome=Daniela | acao=otimizou o algoritmo | valor=8297
linha=1259 | nome=Carlos | acao=otimizou o algoritmo | valor=9906
linha=1260 | nome=Lucas | acao=fez um experimento | valor=6857
linha=1261 | nome=Igor | acao=escreveu o relatorio | valor=8793
linha=1262 | nome=Sofia | acao=comparou as metricas | valor=7738
linha=1263 | nome=Vitor | acao=comparou as metricas | valor=5855
linha=1264 | nome=Felipe | acao=executou o benchmark | valor=1800
linha=1265 | nome=Gabriela | acao=participou da aula | valor=3641
linha=1266 | nome=Natalia | acao=analisou os resultados | valor=8461
linha=1267 | nome=Joao | acao=otimizou o algoritmo | valor=9554
linha=1268 | nome=Bruno | acao=executou o benchmark | valor=4063
linha=1269 | nome=Renata | acao=participou da aula | valor=3838
linha=1270 | nome=Sofia | acao=executou o benchmark | valor=4551
linha=1271 | nome=Lucas | acao=escreveu o relatorio | valor=8402
linha=1272 | nome=Vitor | acao=comparou as metricas | valor=1642
linha=1273 | nome=Renata | acao=participou da aula | valor=4059
linha=1274 | nome=Lucas | acao=fez um experimento | valor=4867
linha=1275 | nome=Karen | acao=otimizou o algoritmo | valor=4787
linha=1276 | nome=Daniela | acao=escreveu o relatorio | valor=4274
linha=1277 | nome=Karen | acao=otimizou o algoritmo | valor=3920
linha=1278 | nome=Gabriela | acao=fez um experimento | valor=5616
linha=1279 | nome=Mariana | acao=otimizou o algoritmo | valor=6354
linha=1280 | nome=Mariana | acao=escreveu o relatorio | valor=7536
linha=1281 | nome=Igor | acao=analisou os resultados | valor=5664
linha=1282 | nome=Felipe | acao=executou o benchmark | valor=6282
linha=1283 | nome=Joao | acao=participou da aula | valor=7909
linha=1284 | nome=Ana | acao=analisou os resultados | valor=3614
linha=1285 | nome=Paulo | acao=escreveu o relatorio | valor=7097
linha=1286 | nome=Tiago | acao=otimizou o algoritmo | valor=4930
linha=1287 | nome=Tiago | acao=estudou computacao | valor=9400
linha=1288 | nome=Mariana | acao=otimizou o algoritmo | valor=9970
linha=1289 | nome=Gabriela | acao=executou o benchmark | valor=5181
linha=1290 | nome=Gabriela | acao=executou o benchmark | valor=5378
linha=1291 | nome=Carlos | acao=estudou computacao | valor=6724
linha=1292 | nome=Bruno | acao=fez um experimento | valor=1703
linha=1293 | nome=Vitor | acao=participou da aula | valor=9303
linha=1294 | nome=Tiago | acao=estudou computacao | valor=1144
linha=1295 | nome=Gabriela | acao=analisou os resultados | valor=2169
linha=1296 | nome=Igor | acao=fez um experimento | valor=3745
linha=1297 | nome=Carlos | acao=estudou computacao | valor=3256
linha=1298 | nome=Gabriela | acao=analisou os resultados | valor=6166
linha=1299 | nome=Vitor | acao=estudou computacao | valor=8331
linha=1300 | nome=Renata | acao=fez um experimento | valor=8653
linha=1301 | nome=Lucas | acao=estudou computacao | valor=3615
linha=1302 | nome=Bruno | acao=comparou as metricas | valor=8227
linha=1303 | nome=Paulo | acao=estudou computacao | valor=2833
linha=1304 | nome=Carlos | acao=estudou computacao | valor=6514
linha=1305 | nome=Joao | acao=analisou os resultados | valor=4336
linha=1306 | nome=Mariana | acao=comparou as metricas | valor=3424
linha=1307 | nome=Tiago | acao=fez um experimento | valor=2997
linha=1308 | nome=Sofia | acao=participou da aula | valor=6895
linha=1309 | nome=Sofia | acao=participou da aula | valor=3192
linha=1310 | nome=Bruno | acao=estudou computacao | valor=1775
linha=1311 | nome=Lucas | acao=escreveu o relatorio | valor=4075
linha=1312 | nome=Lucas | acao=fez um experimento | valor=6072
linha=1313 | nome=Lucas | acao=estudou computacao | valor=8820
linha=1314 | nome=Karen | acao=executou o benchmark | valor=5234
linha=1315 | nome=Helena | acao=escreveu o relatorio | valor=2217
linha=1316 | nome=Natalia | acao=escreveu o relatorio | valor=2627
linha=1317 | nome=Igor | acao=otimizou o algoritmo | valor=2047
linha=1318 | nome=Paulo | acao=executou o benchmark | valor=8436
linha=1319 | nome=Karen | acao=executou o benchmark | valor=2035
linha=1320 | nome=Mariana | acao=otimizou o algoritmo | valor=8632
linha=1321 | nome=Sofia | acao=estudou computacao | valor=3187
linha=1322 | nome=Felipe | acao=escreveu o relatorio | valor=6844
linha=1323 | nome=Mariana | acao=escreveu o relatorio | valor=3319
linha=1324 | nome=Vitor | acao=estudou computacao | valor=5310
linha=1325 | nome=Otavio | acao=fez um experimento | valor=2501
linha=1326 | nome=Sofia | acao=participou da aula | valor=6677
linha=1327 | nome=Ana | acao=analisou os resultados | valor=8046
linha=1328 | nome=Lucas | acao=participou da aula | valor=8384
linha=1329 | nome=Eduarda | acao=participou da aula | valor=1345
linha=1330 | nome=Carlos | acao=analisou os resultados | valor=5017
linha=1331 | nome=Natalia | acao=escreveu o relatorio | valor=7241
linha=1332 | nome=Helena | acao=executou o benchmark | valor=2826
linha=1333 | nome=Mariana | acao=estudou computacao | valor=2242
linha=1334 | nome=Otavio | acao=comparou as metricas | valor=7143
linha=1335 | nome=Ana | acao=estudou computacao | valor=4655
linha=1336 | nome=Paulo | acao=escreveu o relatorio | valor=4391
linha=1337 | nome=Natalia | acao=comparou as metricas | valor=8514
linha=1338 | nome=Mariana | acao=escreveu o relatorio | valor=7187
linha=1339 | nome=Helena | acao=analisou os resultados | valor=2545
linha=1340 | nome=Mariana | acao=executou o benchmark | valor=9779
linha=1341 | nome=Eduarda | acao=participou da aula | valor=5301
linha=1342 | nome=Lucas | acao=escreveu o relatorio | valor=1377
linha=1343 | nome=Natalia | acao=analisou os resultados | valor=2808
linha=1344 | nome=Lucas | acao=fez um experimento | valor=5585
linha=1345 | nome=Natalia | acao=comparou as metricas | valor=6277
linha=1346 | nome=Mariana | acao=participou da aula | valor=3978
linha=1347 | nome=Paulo | acao=escreveu o relatorio | valor=3817
linha=1348 | nome=Daniela | acao=executou o benchmark | valor=8233
linha=1349 | nome=Felipe | acao=estudou computacao | valor=4883
linha=1350 | nome=Eduarda | acao=escreveu o relatorio | valor=7125
linha=1351 | nome=Natalia | acao=comparou as metricas | valor=6716
linha=1352 | nome=Joao | acao=comparou as metricas | valor=7010
linha=1353 | nome=Eduarda | acao=otimizou o algoritmo | valor=6187
linha=1354 | nome=Vitor | acao=fez um experimento | valor=1747
linha=1355 | nome=Helena | acao=otimizou o algoritmo | valor=6300
linha=1356 | nome=Vitor | acao=participou da aula | valor=4852
linha=1357 | nome=Sofia | acao=participou da aula | valor=9409
linha=1358 | nome=Eduarda | acao=fez um experimento | valor=1004
linha=1359 | nome=Vitor | acao=estudou computacao | valor=7173
linha=1360 | nome=Gabriela | acao=fez um experimento | valor=2869
linha=1361 | nome=Igor | acao=executou o benchmark | valor=2126
linha=1362 | nome=Renata | acao=otimizou o algoritmo | valor=4180
linha=1363 | nome=Gabriela | acao=participou da aula | valor=7071
linha=1364 | nome=Daniela | acao=otimizou o algoritmo | valor=3401
linha=1365 | nome=Vitor | acao=estudou computacao | valor=8567
linha=1366 | nome=Helena | acao=comparou as metricas | valor=6364
linha=1367 | nome=Helena | acao=participou da aula | valor=5200
linha=1368 | nome=Igor | acao=participou da aula | valor=4442
linha=1369 | nome=Vitor | acao=analisou os resultados | valor=3970
linha=1370 | nome=Tiago | acao=comparou as metricas | valor=2881
linha=1371 | nome=Paulo | acao=fez um experimento | valor=7772
linha=1372 | nome=Helena | acao=participou da aula | valor=7712
linha=1373 | nome=Bruno | acao=executou o benchmark | valor=9123
linha=1374 | nome=Paulo | acao=estudou computacao | valor=9517
linha=1375 | nome=Paulo | acao=executou o benchmark | valor=7253
linha=1376 | nome=Felipe | acao=comparou as metricas | valor=6374
linha=1377 | nome=Bruno | acao=participou da aula | valor=7124
linha=1378 | nome=Paulo | acao=participou da aula | valor=8976
linha=1379 | nome=Vitor | acao=estudou computacao | valor=3726
linha=1380 | nome=Otavio | acao=otimizou o algoritmo | valor=5155
linha=1381 | nome=Gabriela | acao=participou da aula | valor=5313
linha=1382 | nome=Vitor | acao=analisou os resultados | valor=2786
linha=1383 | nome=Igor | acao=participou da aula | valor=2986
linha=1384 | nome=Bruno | acao=otimizou o algoritmo | valor=5018
linha=1385 | nome=Sofia | acao=executou o benchmark | valor=4642
linha=1386 | nome=Natalia | acao=comparou as metricas | valor=6400
linha=1387 | nome=Gabriela | acao=otimizou o algoritmo | valor=4091
linha=1388 | nome=Vitor | acao=executou o benchmark | valor=8222
linha=1389 | nome=Eduarda | acao=fez um experimento | valor=3730
linha=1390 | nome=Gabriela | acao=estudou computacao | valor=3520
linha=1391 | nome=Otavio | acao=executou o benchmark | valor=6605
linha=1392 | nome=Daniela | acao=otimizou o algoritmo | valor=8197
linha=1393 | nome=Otavio | acao=participou da aula | valor=5277
linha=1394 | nome=Otavio | acao=comparou as metricas | valor=7306
linha=1395 | nome=Daniela | acao=otimizou o algoritmo | valor=3265
linha=1396 | nome=Mariana | acao=escreveu o relatorio | valor=6087
linha=1397 | nome=Otavio | acao=executou o benchmark | valor=5221
linha=1398 | nome=Gabriela | acao=fez um experimento | valor=8154
linha=1399 | nome=Felipe | acao=otimizou o algoritmo | valor=3175
linha=1400 | nome=Sofia | acao=participou da aula | valor=8062
linha=1401 | nome=Bruno | acao=participou da aula | valor=2925
linha=1402 | nome=Renata | acao=comparou as metricas | valor=5398
linha=1403 | nome=Carlos | acao=executou o benchmark | valor=9679
linha=1404 | nome=Helena | acao=fez um experimento | valor=9519
linha=1405 | nome=Daniela | acao=escreveu o relatorio | valor=8582
linha=1406 | nome=Daniela | acao=otimizou o algoritmo | valor=3317
linha=1407 | nome=Joao | acao=fez um experimento | valor=2215
linha=1408 | nome=Ana | acao=estudou computacao | valor=9451
linha=1409 | nome=Joao | acao=estudou computacao | valor=7885
linha=1410 | nome=Helena | acao=executou o benchmark | valor=5279
linha=1411 | nome=Daniela | acao=estudou computacao | valor=2574
linha=1412 | nome=Otavio | acao=analisou os resultados | valor=1053
linha=1413 | nome=Joao | acao=analisou os resultados | valor=1936
linha=1414 | nome=Felipe | acao=participou da aula | valor=8717
linha=1415 | nome=Ana | acao=estudou computacao | valor=1008
linha=1416 | nome=Bruno | acao=analisou os resultados | valor=8300
linha=1417 | nome=Helena | acao=participou da aula | valor=7986
linha=1418 | nome=Renata | acao=otimizou o algoritmo | valor=2909
linha=1419 | nome=Bruno | acao=executou o benchmark | valor=7574
linha=1420 | nome=Karen | acao=estudou computacao | valor=1709
linha=1421 | nome=Mariana | acao=estudou computacao | valor=9810
linha=1422 | nome=Igor | acao=escreveu o relatorio | valor=1046
linha=1423 | nome=Mariana | acao=otimizou o algoritmo | valor=5005
linha=1424 | nome=Gabriela | acao=estudou computacao | valor=4825
linha=1425 | nome=Daniela | acao=otimizou o algoritmo | valor=6253
linha=1426 | nome=Lucas | acao=fez um experimento | valor=2869
linha=1427 | nome=Renata | acao=estudou computacao | valor=9753
linha=1428 | nome=Karen | acao=analisou os resultados | valor=4305
linha=1429 | nome=Mariana | acao=fez um experimento | valor=6933
linha=1430 | nome=Bruno | acao=fez um experimento | valor=5105
linha=1431 | nome=Otavio | acao=otimizou o algoritmo | valor=9542
linha=1432 | nome=Gabriela | acao=escreveu o relatorio | valor=4727
linha=1433 | nome=Lucas | acao=executou o benchmark | valor=1981
linha=1434 | nome=Vitor | acao=executou o benchmark | valor=9517
linha=1435 | nome=Natalia | acao=escreveu o relatorio | valor=2979
linha=1436 | nome=Eduarda | acao=estudou computacao | valor=8358
linha=1437 | nome=Natalia | acao=fez um experimento | valor=9241
linha=1438 | nome=Bruno | acao=comparou as metricas | valor=6303
linha=1439 | nome=Helena | acao=participou da aula | valor=3253
linha=1440 | nome=Mariana | acao=otimizou o algoritmo | valor=5643
linha=1441 | nome=Igor | acao=executou o benchmark | valor=9179
linha=1442 | nome=Carlos | acao=fez um experimento | valor=2538
linha=1443 | nome=Eduarda | acao=executou o benchmark | valor=8663
linha=1444 | nome=Otavio | acao=estudou computacao | valor=8905
linha=1445 | nome=Carlos | acao=otimizou o algoritmo | valor=3573
linha=1446 | nome=Otavio | acao=escreveu o relatorio | valor=4774
linha=1447 | nome=Felipe | acao=escreveu o relatorio | valor=2511
linha=1448 | nome=Igor | acao=analisou os resultados | valor=3393
linha=1449 | nome=Igor | acao=executou o benchmark | valor=8604
linha=1450 | nome=Eduarda | acao=escreveu o relatorio | valor=6542
linha=1451 | nome=Joao | acao=analisou os resultados | valor=1751
linha=1452 | nome=Felipe | acao=comparou as metricas | valor=1791
linha=1453 | nome=Eduarda | acao=participou da aula | valor=6306
linha=1454 | nome=Igor | acao=escreveu o relatorio | valor=6084
linha=1455 | nome=Mariana | acao=escreveu o relatorio | valor=5252
linha=1456 | nome=Ana | acao=comparou as metricas | valor=3088
linha=1457 | nome=Mariana | acao=fez um experimento | valor=4888
linha=1458 | nome=Bruno | acao=fez um experimento | valor=3816
linha=1459 | nome=Bruno | acao=analisou os resultados | valor=4014
linha=1460 | nome=Lucas | acao=executou o benchmark | valor=6168
linha=1461 | nome=Eduarda | acao=estudou computacao | valor=5622
linha=1462 | nome=Sofia | acao=escreveu o relatorio | valor=8350
linha=1463 | nome=Helena | acao=fez um experimento | valor=1164
linha=1464 | nome=Bruno | acao=estudou computacao | valor=5497
linha=1465 | nome=Lucas | acao=otimizou o algoritmo | valor=5400
linha=1466 | nome=Gabriela | acao=analisou os resultados | valor=2302
linha=1467 | nome=Igor | acao=estudou computacao | valor=9547
linha=1468 | nome=Ana | acao=fez um experimento | valor=6390
linha=1469 | nome=Lucas | acao=otimizou o algoritmo | valor=2287
linha=1470 | nome=Felipe | acao=fez um experimento | valor=5829
linha=1471 | nome=Tiago | acao=participou da aula | valor=6659
linha=1472 | nome=Felipe | acao=participou da aula | valor=1647
linha=1473 | nome=Lucas | acao=comparou as metricas | valor=1769
linha=1474 | nome=Natalia | acao=analisou os resultados | valor=9633
linha=1475 | nome=Vitor | acao=participou da aula | valor=5071
linha=1476 | nome=Bruno | acao=otimizou o algoritmo | valor=3678
linha=1477 | nome=Karen | acao=otimizou o algoritmo | valor=2909
linha=1478 | nome=Natalia | acao=estudou computacao | valor=7923
linha=1479 | nome=Mariana | acao=fez um experimento | valor=9214
linha=1480 | nome=Vitor | acao=otimizou o algoritmo | valor=8430
linha=1481 | nome=Gabriela | acao=estudou computacao | valor=2335
linha=1482 | nome=Karen | acao=estudou computacao | valor=8782
linha=1483 | nome=Bruno | acao=fez um experimento | valor=3098
linha=1484 | nome=Eduarda | acao=estudou computacao | valor=5116
linha=1485 | nome=Helena | acao=comparou as metricas | valor=4387
linha=1486 | nome=Felipe | acao=analisou os resultados | valor=7541
linha=1487 | nome=Bruno | acao=executou o benchmark | valor=3627
linha=1488 | nome=Mariana | acao=participou da aula | valor=6782
linha=1489 | nome=Carlos | acao=escreveu o relatorio | valor=7433
linha=1490 | nome=Vitor | acao=analisou os resultados | valor=1201
linha=1491 | nome=Carlos | acao=estudou computacao | valor=7233
linha=1492 | nome=Joao | acao=comparou as metricas | valor=7248
linha=1493 | nome=Tiago | acao=participou da aula | valor=9286
linha=1494 | nome=Daniela | acao=escreveu o relatorio | valor=4232
linha=1495 | nome=Ana | acao=comparou as metricas | valor=3829
linha=1496 | nome=Karen | acao=executou o benchmark | valor=8998
linha=1497 | nome=Carlos | acao=executou o benchmark | valor=5139
linha=1498 | nome=Sofia | acao=fez um experimento | valor=6802
linha=1499 | nome=Daniela | acao=fez um experimento | valor=3098
linha=1500 | nome=Ana | acao=fez um experimento | valor=7021
linha=1501 | nome=Ana | acao=analisou os resultados | valor=6605
linha=1502 | nome=Vitor | acao=escreveu o relatorio | valor=1942
linha=1503 | nome=Sofia | acao=estudou computacao | valor=2381
linha=1504 | nome=Eduarda | acao=comparou as metricas | valor=5587
linha=1505 | nome=Carlos | acao=fez um experimento | valor=3671
linha=1506 | nome=Otavio | acao=otimizou o algoritmo | valor=6354
linha=1507 | nome=Otavio | acao=fez um experimento | valor=1006
linha=1508 | nome=Joao | acao=analisou os resultados | valor=3302
linha=1509 | nome=Renata | acao=comparou as metricas | valor=1358
linha=1510 | nome=Paulo | acao=analisou os resultados | valor=9104
linha=1511 | nome=Renata | acao=fez um experimento | valor=5369
linha=1512 | nome=Paulo | acao=analisou os resultados | valor=2793
linha=1513 | nome=Tiago | acao=comparou as metricas | valor=4002
linha=1514 | nome=Eduarda | acao=participou da aula | valor=8492
linha=1515 | nome=Igor | acao=comparou as metricas | valor=8453
linha=1516 | nome=Karen | acao=otimizou o algoritmo | valor=4416
linha=1517 | nome=Eduarda | acao=escreveu o relatorio | valor=3031
linha=1518 | nome=Helena | acao=comparou as metricas | valor=3890
linha=1519 | nome=Mariana | acao=estudou computacao | valor=8048
linha=1520 | nome=Bruno | acao=comparou as metricas | valor=6926
linha=1521 | nome=Lucas | acao=fez um experimento | valor=7557
linha=1522 | nome=Igor | acao=escreveu o relatorio | valor=9397
linha=1523 | nome=Felipe | acao=comparou as metricas | valor=1213
linha=1524 | nome=Bruno | acao=estudou computacao | valor=7685
linha=1525 | nome=Vitor | acao=otimizou o algoritmo | valor=7194
linha=1526 | nome=Vitor | acao=comparou as metricas | valor=2460
linha=1527 | nome=Bruno | acao=analisou os resultados | valor=9148
linha=1528 | nome=Felipe | acao=participou da aula | valor=1243
linha=1529 | nome=Eduarda | acao=comparou as metricas | valor=7993
linha=1530 | nome=Mariana | acao=otimizou o algoritmo | valor=4910
linha=1531 | nome=Otavio | acao=comparou as metricas | valor=7024
linha=1532 | nome=Karen | acao=executou o benchmark | valor=5911
linha=1533 | nome=Ana | acao=otimizou o algoritmo | valor=2033
linha=1534 | nome=Joao | acao=executou o benchmark | valor=3816
linha=1535 | nome=Lucas | acao=fez um experimento | valor=4730
linha=1536 | nome=Joao | acao=executou o benchmark | valor=2764
linha=1537 | nome=Mariana | acao=executou o benchmark | valor=1046
linha=1538 | nome=Felipe | acao=estudou computacao | valor=8608
linha=1539 | nome=Lucas | acao=participou da aula | valor=5523
linha=1540 | nome=Gabriela | acao=otimizou o algoritmo | valor=1328
linha=1541 | nome=Felipe | acao=escreveu o relatorio | valor=5377
linha=1542 | nome=Daniela | acao=participou da aula | valor=8906
linha=1543 | nome=Bruno | acao=executou o benchmark | valor=6350
linha=1544 | nome=Gabriela | acao=fez um experimento | valor=2203
linha=1545 | nome=Sofia | acao=otimizou o algoritmo | valor=2171
linha=1546 | nome=Bruno | acao=estudou computacao | valor=9027
linha=1547 | nome=Ana | acao=estudou computacao | valor=4813
linha=1548 | nome=Tiago | acao=participou da aula | valor=2647
linha=1549 | nome=Gabriela | acao=analisou os resultados | valor=5810
linha=1550 | nome=Joao | acao=analisou os resultados | valor=9901
linha=1551 | nome=Gabriela | acao=executou o benchmark | valor=5287
linha=1552 | nome=Lucas | acao=analisou os resultados | valor=1735
linha=1553 | nome=Lucas | acao=participou da aula | valor=3522
linha=1554 | nome=Sofia | acao=analisou os resultados | valor=1848
linha=1555 | nome=Bruno | acao=executou o benchmark | valor=5997
linha=1556 | nome=Helena | acao=analisou os resultados | valor=7174
linha=1557 | nome=Igor | acao=analisou os resultados | valor=7351
linha=1558 | nome=Sofia | acao=estudou computacao | valor=5517
linha=1559 | nome=Mariana | acao=otimizou o algoritmo | valor=4838
linha=1560 | nome=Sofia | acao=estudou computacao | valor=7347
linha=1561 | nome=Eduarda | acao=fez um experimento | valor=8453
linha=1562 | nome=Helena | acao=comparou as metricas | valor=4473
linha=1563 | nome=Renata | acao=fez um experimento | valor=9414
linha=1564 | nome=Mariana | acao=comparou as metricas | valor=9760
linha=1565 | nome=Igor | acao=escreveu o relatorio | valor=5591
linha=1566 | nome=Mariana | acao=analisou os resultados | valor=4164
linha=1567 | nome=Joao | acao=executou o benchmark | valor=5380
linha=1568 | nome=Sofia | acao=escreveu o relatorio | valor=5040
linha=1569 | nome=Joao | acao=analisou os resultados | valor=1825
linha=1570 | nome=Mariana | acao=escreveu o relatorio | valor=4189
linha=1571 | nome=Eduarda | acao=analisou os resultados | valor=4749
linha=1572 | nome=Carlos | acao=analisou os resultados | valor=3323
linha=1573 | nome=Igor | acao=analisou os resultados | valor=2071
linha=1574 | nome=Ana | acao=estudou computacao | valor=1212
linha=1575 | nome=Natalia | acao=otimizou o algoritmo | valor=8214
linha=1576 | nome=Vitor | acao=executou o benchmark | valor=2004
linha=1577 | nome=Helena | acao=participou da aula | valor=3278
linha=1578 | nome=Felipe | acao=otimizou o algoritmo | valor=4199
linha=1579 | nome=Gabriela | acao=participou da aula | valor=5600
linha=1580 | nome=Bruno | acao=participou da aula | valor=8902
linha=1581 | nome=Otavio | acao=executou o benchmark | valor=7539
linha=1582 | nome=Gabriela | acao=comparou as metricas | valor=4683
linha=1583 | nome=Bruno | acao=estudou computacao | valor=2514
linha=1584 | nome=Igor | acao=escreveu o relatorio | valor=3994
linha=1585 | nome=Karen | acao=estudou computacao | valor=7709
linha=1586 | nome=Paulo | acao=escreveu o relatorio | valor=3340
linha=1587 | nome=Eduarda | acao=escreveu o relatorio | valor=7238
linha=1588 | nome=Paulo | acao=comparou as metricas | valor=6971
linha=1589 | nome=Carlos | acao=estudou computacao | valor=5070
linha=1590 | nome=Felipe | acao=fez um experimento | valor=8529
linha=1591 | nome=Carlos | acao=estudou computacao | valor=1687
linha=1592 | nome=Mariana | acao=comparou as metricas | valor=9265
linha=1593 | nome=Daniela | acao=executou o benchmark | valor=3461
linha=1594 | nome=Mariana | acao=fez um experimento | valor=9074
linha=1595 | nome=Helena | acao=fez um experimento | valor=8949
linha=1596 | nome=Otavio | acao=estudou computacao | valor=1566
linha=1597 | nome=Joao | acao=analisou os resultados | valor=4436
linha=1598 | nome=Ana | acao=otimizou o algoritmo | valor=8572
linha=1599 | nome=Joao | acao=executou o benchmark | valor=7604
linha=1600 | nome=Daniela | acao=fez um experimento | valor=3747
