linha=1 | nome=Carlos | acao=analisou os resultados | valor=3789
linha=1233 | nome=Joao | acao=executou o benchmark | valor=7614
linha=1234 | nome=Karen | acao=participou da aula | valor=1386
linha=1235 | nome=Gabriela | acao=analisou os resultados | valor=9134
linha=1236 | nome=Ana | acao=estudou computacao | valor=1803
linha=1237 | nome=Ana | acao=executou o benchmark | valor=2625
linha=1238 | nome=Otavio | acao=executou o benchmark | valor=1291
linha=1239 | nome=Mariana | acao=estudou computacao | valor=1939
linha=1240 | nome=Carlos | acao=analisou os resultados | valor=5078
linha=1241 | nome=Daniela | acao=otimizou o algoritmo | valor=7445
linha=1242 | nome=Daniela | acao=comparou as metricas | valor=7083
linha=1243 | nome=Eduarda | acao=otimizou o algoritmo | valor=4032
linha=1244 | nome=Sofia | acao=participou da aula | valor=3585
linha=1245 | nome=Mariana | acao=executou o benchmark | valor=8497
linha=1246 | nome=Ana | acao=comparou as metricas | valor=6008
linha=1247 | nome=Gabriela | acao=executou o benchmark | valor=7748
linha=1248 | nome=Igor | acao=comparou as metricas | valor=9638
linha=1249 | nome=Paulo | acao=estudou computacao | valor=8314
linha=1250 | nome=Renata | acao=analisou os resultados | valor=2963
linha=1251 | nome=Igor | acao=fez um experimento | valor=1182
linha=1252 | nome=Daniela | acao=participou da aula | valor=7827
linha=1253 | nome=Mariana | acao=analisou os resultados | valor=5779
linha=1254 | nome=Igor | acao=analisou os resultados | valor=6354
linha=1255 | nome=Renata | acao=estudou computacao | valor=5314
linha=1256 | nome=Mariana | acao=executou o benchmark | valor=8618
linha=1257 | nome=Gabriela | acao=otimizou o algoritmo | valor=8950
linha=1258 | nome=Lucas | acao=analisou os resultados | valor=6214
linha=1259 | nome=Karen | acao=escreveu o relatorio | valor=5206
linha=1260 | nome=Ana | acao=analisou os resultados | valor=9758
linha=1261 | nome=Vitor | acao=escreveu o relatorio | valor=6908
linha=1262 | nome=Otavio | acao=estudou computacao | valor=3928
linha=1263 | nome=Vitor | acao=analisou os resultados | valor=4377
linha=1264 | nome=Paulo | acao=comparou as metricas | valor=6097
linha=1265 | nome=Tiago | acao=estudou computacao | valor=8066
linha=1266 | nome=Daniela | acao=otimizou o algoritmo | valor=1363
linha=1267 | nome=Tiago | acao=executou o benchmark | valor=9455
linha=1268 | nome=Paulo | acao=executou o benchmark | valor=7535
linha=1269 | nome=Ana | acao=executou o benchmark | valor=5628
linha=1270 | nome=Tiago | acao=participou da aula | valor=2323
linha=1271 | nome=Carlos | acao=escreveu o relatorio | valor=5050
linha=1272 | nome=Mariana | acao=estudou computacao | valor=7193
linha=1273 | nome=Renata | acao=otimizou o algoritmo | valor=7437
linha=1274 | nome=Gabriela | acao=participou da aula | valor=3469
linha=1275 | nome=Felipe | acao=comparou as metricas | valor=2807
linha=1276 | nome=Daniela | acao=analisou os resultados | valor=2255
linha=1277 | nome=Eduarda | acao=fez um experimento | valor=2112
linha=1278 | nome=Gabriela | acao=comparou as metricas | valor=2519
linha=1279 | nome=Joao | acao=analisou os resultados | valor=5818
linha=1280 | nome=Vitor | acao=executou o benchmark | valor=7524
linha=1281 | nome=Vitor | acao=participou da aula | valor=8461
linha=1282 | nome=Paulo | acao=comparou as metricas | valor=4446
linha=1283 | nome=Karen | acao=fez um experimento | valor=7879
linha=1284 | nome=Mariana | acao=comparou as metricas | valor=3342
linha=1285 | nome=Natalia | acao=participou da aula | valor=5027
linha=1286 | nome=Gabriela | acao=executou o benchmark | valor=4823
linha=1287 | nome=Natalia | acao=comparou as metricas | valor=2942
linha=1288 | nome=Eduarda | acao=escreveu o relatorio | valor=3950
linha=1289 | nome=Bruno | acao=comparou as metricas | valor=7846
linha=1290 | nome=Igor | acao=participou da aula | valor=5686
linha=1291 | nome=Helena | acao=executou o benchmark | valor=6594
linha=1292 | nome=Mariana | acao=escreveu o relatorio | valor=1594
linha=1293 | nome=Helena | acao=estudou computacao | valor=2493
linha=1294 | nome=Karen | acao=otimizou o algoritmo | valor=7594
linha=1295 | nome=Mariana | acao=estudou computacao | valor=5640
linha=1296 | nome=Natalia | acao=otimizou o algoritmo | valor=3046
linha=1297 | nome=Ana | acao=fez um experimento | valor=2270
linha=1298 | nome=Sofia | acao=otimizou o algoritmo | valor=2997
linha=1299 | nome=Otavio | acao=fez um experimento | valor=8886
linha=1300 | nome=Bruno | acao=participou da aula | valor=4688
linha=1301 | nome=Natalia | acao=estudou computacao | valor=6339
linha=1302 | nome=Igor | acao=estudou computacao | valor=6927
linha=1303 | nome=Natalia | acao=escreveu o relatorio | valor=1517
linha=1304 | nome=Paulo | acao=fez um experimento | valor=6886
linha=1305 | nome=Igor | acao=fez um experimento | valor=2520
linha=1306 | nome=Gabriela | acao=fez um experimento | valor=6953
linha=1307 | nome=Gabriela | acao=participou da aula | valor=4159
linha=1308 | nome=Lucas | acao=analisou os resultados | valor=8485
linha=1309 | nome=Vitor | acao=otimizou o algoritmo | valor=5177
linha=1310 | nome=Mariana | acao=analisou os resultados | valor=3279
linha=1311 | nome=Tiago | acao=analisou os resultados | valor=2505
linha=1312 | nome=Helena | acao=otimizou o algoritmo | valor=9040
linha=1313 | nome=Eduarda | acao=participou da aula | valor=9897
linha=1314 | nome=Joao | acao=executou o benchmark | valor=7268
linha=1315 | nome=Mariana | acao=otimizou o algoritmo | valor=6420
linha=1316 | nome=Paulo | acao=participou da aula | valor=9209
linha=1317 | nome=Gabriela | acao=estudou computacao | valor=7396
linha=1318 | nome=Joao | acao=executou o benchmark | valor=8181
linha=1319 | nome=Karen | acao=analisou os resultados | valor=4442
linha=1320 | nome=Mariana | acao=escreveu o relatorio | valor=8659
linha=1321 | nome=Igor | acao=otimizou o algoritmo | valor=9352
linha=1322 | nome=Lucas | acao=comparou as metricas | valor=7265
linha=1323 | nome=Natalia | acao=escreveu o relatorio | valor=2571
linha=1324 | nome=Daniela | acao=escreveu o relatorio | valor=5767
linha=1325 | nome=Tiago | acao=analisou os resultados | valor=4229
linha=1326 | nome=Renata | acao=comparou as metricas | valor=5464
linha=1327 | nome=Renata | acao=escreveu o relatorio | valor=7137
linha=1328 | nome=Igor | acao=escreveu o relatorio | valor=2356
linha=1329 | nome=Natalia | acao=fez um experimento | valor=2026
linha=1330 | nome=Otavio | acao=analisou os resultados | valor=3833
linha=1331 | nome=Daniela | acao=comparou as metricas | valor=3383
linha=1332 | nome=Karen | acao=otimizou o algoritmo | valor=3681
linha=1333 | nome=Felipe | acao=otimizou o algoritmo | valor=7909
linha=1334 | nome=Bruno | acao=estudou computacao | valor=6940
linha=1335 | nome=Mariana | acao=analisou os resultados | valor=6533
linha=1336 | nome=Felipe | acao=analisou os resultados | valor=1649
linha=1337 | nome=Bruno | acao=estudou computacao | valor=4726
linha=1338 | nome=Renata | acao=executou o benchmark | valor=6550
linha=1339 | nome=Felipe | acao=participou da aula | valor=2519
linha=1340 | nome=Carlos | acao=escreveu o relatorio | valor=3258
linha=1341 | nome=Tiago | acao=analisou os resultados | valor=1888
linha=1342 | nome=Helena | acao=fez um experimento | valor=2217
linha=1343 | nome=Igor | acao=fez um experimento | valor=5424
linha=1344 | nome=Paulo | acao=executou o benchmark | valor=1000
linha=1345 | nome=Otavio | acao=estudou computacao | valor=5317
linha=1346 | nome=Lucas | acao=escreveu o relatorio | valor=8871
linha=1347 | nome=Natalia | acao=estudou computacao | valor=5099
linha=1348 | nome=Daniela | acao=fez um experimento | valor=2363
linha=1349 | nome=Daniela | acao=escreveu o relatorio | valor=1992
linha=1350 | nome=Helena | acao=otimizou o algoritmo | valor=1540
linha=1351 | nome=Joao | acao=otimizou o algoritmo | valor=9868
linha=1352 | nome=Eduarda | acao=escreveu o relatorio | valor=1355
linha=1353 | nome=Tiago | acao=analisou os resultados | valor=1479
linha=1354 | nome=Renata | acao=participou da aula | valor=3045
linha=1355 | nome=Joao | acao=otimizou o algoritmo | valor=4375
linha=1356 | nome=Renata | acao=escreveu o relatorio | valor=5817
linha=1357 | nome=Sofia | acao=fez um experimento | valor=4659
linha=1358 | nome=Karen | acao=otimizou o algoritmo | valor=1905
linha=1359 | nome=Carlos | acao=comparou as metricas | valor=8743
linha=1360 | nome=Eduarda | acao=comparou as metricas | valor=6476
linha=1361 | nome=Paulo | acao=executou o benchmark | valor=7269
linha=1362 | nome=Renata | acao=escreveu o relatorio | valor=2854
linha=1363 | nome=Joao | acao=analisou os resultados | valor=1525
linha=1364 | nome=Igor | acao=otimizou o algoritmo | valor=3804
linha=1365 | nome=Gabriela | acao=escreveu o relatorio | valor=1107
linha=1366 | nome=Bruno | acao=estudou computacao | valor=1867
linha=1367 | nome=Vitor | acao=estudou computacao | valor=6962
linha=1368 | nome=Sofia | acao=escreveu o relatorio | valor=9765
linha=1369 | nome=Daniela | acao=comparou as metricas | valor=5726
linha=1370 | nome=Vitor | acao=fez um experimento | valor=2804
linha=1371 | nome=Lucas | acao=escreveu o relatorio | valor=7579
linha=1372 | nome=Paulo | acao=executou o benchmark | valor=1554
linha=1373 | nome=Carlos | acao=fez um experimento | valor=4313
linha=1374 | nome=Renata | acao=comparou as metricas | valor=2848
linha=1375 | nome=Eduarda | acao=estudou computacao | valor=4400
linha=1376 | nome=Vitor | acao=analisou os resultados | valor=3385
linha=1377 | nome=Eduarda | acao=executou o benchmark | valor=7568
linha=1378 | nome=Bruno | acao=escreveu o relatorio | valor=6055
linha=1379 | nome=Igor | acao=participou da aula | valor=8872
linha=1380 | nome=Otavio | acao=otimizou o algoritmo | valor=4278
linha=1381 | nome=Bruno | acao=participou da aula | valor=9242
linha=1382 | nome=Renata | acao=executou o benchmark | valor=7000
linha=1383 | nome=Bruno | acao=comparou as metricas | valor=9012
linha=1384 | nome=Ana | acao=participou da aula | valor=4848
linha=1385 | nome=Sofia | acao=escreveu o relatorio | valor=3173
linha=1386 | nome=Joao | acao=otimizou o algoritmo | valor=8880
linha=1387 | nome=Paulo | acao=otimizou o algoritmo | valor=9079
linha=1388 | nome=Otavio | acao=otimizou o algoritmo | valor=7904
linha=1389 | nome=Renata | acao=escreveu o relatorio | valor=1532
linha=1390 | nome=Helena | acao=participou da aula | valor=2637
linha=1391 | nome=Renata | acao=executou o benchmark | valor=8847
linha=1392 | nome=Daniela | acao=analisou os resultados | valor=5713
linha=1393 | nome=Paulo | acao=otimizou o algoritmo | valor=9166
linha=1394 | nome=Otavio | acao=estudou computacao | valor=4505
linha=1395 | nome=Karen | acao=executou o benchmark | valor=2698
linha=1396 | nome=Otavio | acao=comparou as metricas | valor=7202
linha=1397 | nome=Mariana | acao=analisou os resultados | valor=4558
linha=1398 | nome=Joao | acao=executou o benchmark | valor=6354
linha=1399 | nome=Otavio | acao=otimizou o algoritmo | valor=2784
linha=1400 | nome=Otavio | acao=comparou as metricas | valor=9327
linha=1401 | nome=Sofia | acao=executou o benchmark | valor=8251
linha=1402 | nome=Daniela | acao=escreveu o relatorio | valor=8775
linha=1403 | nome=Otavio | acao=escreveu o relatorio | valor=9512
linha=1404 | nome=Daniela | acao=analisou os resultados | valor=4751
linha=1405 | nome=Renata | acao=otimizou o algoritmo | valor=7619
linha=1406 | nome=Lucas | acao=estudou computacao | valor=1238
linha=1407 | nome=Eduarda | acao=comparou as metricas | valor=3009
linha=1408 | nome=Mariana | acao=comparou as metricas | valor=5249
linha=1409 | nome=Eduarda | acao=fez um experimento | valor=9528
linha=1410 | nome=Karen | acao=otimizou o algoritmo | valor=4448
linha=1411 | nome=Bruno | acao=estudou computacao | valor=7711
linha=1412 | nome=Carlos | acao=estudou computacao | valor=4024
linha=1413 | nome=Igor | acao=otimizou o algoritmo | valor=6234
linha=1414 | nome=Paulo | acao=fez um experimento | valor=5195
linha=1415 | nome=Gabriela | acao=fez um experimento | valor=8715
linha=1416 | nome=Tiago | acao=executou o benchmark | valor=1118
linha=1417 | nome=Mariana | acao=analisou os resultados | valor=7144
linha=1418 | nome=Tiago | acao=executou o benchmark | valor=3917
linha=1419 | nome=Mariana | acao=participou da aula | valor=2976
linha=1420 | nome=Vitor | acao=comparou as metricas | valor=9773
linha=1421 | nome=Eduarda | acao=executou o benchmark | valor=2923
linha=1422 | nome=Mariana | acao=analisou os resultados | valor=6084
linha=1423 | nome=Helena | acao=analisou os resultados | valor=3956
linha=1424 | nome=Vitor | acao=fez um experimento | valor=2791
linha=1425 | nome=Eduarda | acao=estudou computacao | valor=2052
linha=1426 | nome=Karen | acao=escreveu o relatorio | valor=9418
linha=1427 | nome=Bruno | acao=estudou computacao | valor=6154
linha=1428 | nome=Sofia | acao=otimizou o algoritmo | valor=7063
linha=1429 | nome=Igor | acao=otimizou o algoritmo | valor=8164
linha=1430 | nome=Joao | acao=analisou os resultados | valor=7714
linha=1431 | nome=Natalia | acao=estudou computacao | valor=2558
linha=1432 | nome=Helena | acao=participou da aula | valor=7062
linha=1433 | nome=Joao | acao=analisou os resultados | valor=8914
linha=1434 | nome=Daniela | acao=participou da aula | valor=7367
linha=1435 | nome=Ana | acao=participou da aula | valor=8515
linha=1436 | nome=Vitor | acao=otimizou o algoritmo | valor=6074
linha=1437 | nome=Natalia | acao=estudou computacao | valor=3083
linha=1438 | nome=Joao | acao=participou da aula | valor=6510
linha=1439 | nome=Bruno | acao=escreveu o relatorio | valor=6870
linha=1440 | nome=Natalia | acao=fez um experimento | valor=7402
linha=1441 | nome=Natalia | acao=estudou computacao | valor=6914
linha=1442 | nome=Bruno | acao=executou o benchmark | valor=4829
linha=1443 | nome=Daniela | acao=comparou as metricas | valor=6601
linha=1444 | nome=Otavio | acao=estudou computacao | valor=2139
linha=1445 | nome=Eduarda | acao=executou o benchmark | valor=5622
linha=1446 | nome=Natalia | acao=fez um experimento | valor=5306
linha=1447 | nome=Vitor | acao=fez um experimento | valor=7385
linha=1448 | nome=Lucas | acao=estudou computacao | valor=5316
linha=1449 | nome=Bruno | acao=otimizou o algoritmo | valor=8365
linha=1450 | nome=Helena | acao=executou o benchmark | valor=6381
linha=1451 | nome=Paulo | acao=escreveu o relatorio | valor=5384
linha=1452 | nome=Otavio | acao=analisou os resultados | valor=1822
linha=1453 | nome=Lucas | acao=participou da aula | valor=7388
linha=1454 | nome=Sofia | acao=analisou os resultados | valor=9827
linha=1455 | nome=Helena | acao=escreveu o relatorio | valor=3741
linha=1456 | nome=Daniela | acao=fez um experimento | valor=1835
linha=1457 | nome=Gabriela | acao=participou da aula | valor=8721
linha=1458 | nome=Karen | acao=participou da aula | valor=2080
linha=1459 | nome=Sofia | acao=otimizou o algoritmo | valor=8216
linha=1460 | nome=Daniela | acao=participou da aula | valor=1410
linha=1461 | nome=Lucas | acao=participou da aula | valor=6985
linha=1462 | nome=Helena | acao=executou o benchmark | valor=5319
linha=1463 | nome=Paulo | acao=executou o benchmark | valor=9907
linha=1464 | nome=Otavio | acao=comparou as metricas | valor=7332
linha=1465 | nome=Tiago | acao=analisou os resultados | valor=9915
linha=1466 | nome=Ana | acao=escreveu o relatorio | valor=5041
linha=1467 | nome=Mariana | acao=analisou os resultados | valor=7935
linha=1468 | nome=Joao | acao=estudou computacao | valor=9996
linha=1469 | nome=Daniela | acao=fez um experimento | valor=5570
linha=1470 | nome=Sofia | acao=otimizou o algoritmo | valor=8725
linha=1471 | nome=Eduarda | acao=comparou as metricas | valor=7471
linha=1472 | nome=Daniela | acao=estudou computacao | valor=1969
linha=1473 | nome=Helena | acao=fez um experimento | valor=3770
linha=1474 | nome=Tiago | acao=fez um experimento | valor=4501
linha=1475 | nome=Paulo | acao=comparou as metricas | valor=2639
linha=1476 | nome=Natalia | acao=escreveu o relatorio | valor=6025
linha=1477 | nome=Sofia | acao=executou o benchmark | valor=3673
linha=1478 | nome=Renata | acao=participou da aula | valor=1421
linha=1479 | nome=Natalia | acao=analisou os resultados | valor=9898
linha=1480 | nome=Otavio | acao=comparou as metricas | valor=6573
linha=1481 | nome=Otavio | acao=participou da aula | valor=7302
linha=1482 | nome=Ana | acao=otimizou o algoritmo | valor=4237
linha=1483 | nome=Renata | acao=participou da aula | valor=3309
linha=1484 | nome=Vitor | acao=estudou computacao | valor=4506
linha=1485 | nome=Ana | acao=executou o benchmark | valor=7917
linha=1486 | nome=Daniela | acao=estudou computacao | valor=5163
linha=1487 | nome=Carlos | acao=participou da aula | valor=1212
linha=1488 | nome=Lucas | acao=fez um experimento | valor=8911
linha=1489 | nome=Gabriela | acao=analisou os resultados | valor=7706
linha=1490 | nome=Carlos | acao=executou o benchmark | valor=2136
linha=1491 | nome=Vitor | acao=otimizou o algoritmo | valor=7836
linha=1492 | nome=Tiago | acao=escreveu o relatorio | valor=2180
linha=1493 | nome=Daniela | acao=analisou os resultados | valor=6612
linha=1494 | nome=Eduarda | acao=escreveu o relatorio | valor=5847
linha=1495 | nome=Natalia | acao=analisou os resultados | valor=2580
linha=1496 | nome=Natalia | acao=otimizou o algoritmo | valor=3605
linha=1497 | nome=Natalia | acao=fez um experimento | valor=9524
linha=1498 | nome=Karen | acao=analisou os resultados | valor=2016
linha=1499 | nome=Gabriela | acao=estudou computacao | valor=5264
linha=1500 | nome=Mariana | acao=comparou as metricas | valor=1852
linha=1501 | nome=Mariana | acao=analisou os resultados | valor=9049
linha=1502 | nome=Eduarda | acao=executou o benchmark | valor=1025
linha=1503 | nome=Igor | acao=escreveu o relatorio | valor=7636
linha=1504 | nome=Gabriela | acao=analisou os resultados | valor=3437
linha=1505 | nome=Joao | acao=comparou as metricas | valor=3881
linha=1506 | nome=Gabriela | acao=participou da aula | valor=2132
linha=1507 | nome=Igor | acao=executou o benchmark | valor=4929
linha=1508 | nome=Joao | acao=fez um experimento | valor=1772
linha=1509 | nome=Otavio | acao=analisou os resultados | valor=6357
linha=1510 | nome=Gabriela | acao=analisou os resultados | valor=4572
linha=1511 | nome=Karen | acao=otimizou o algoritmo | valor=6551
linha=1512 | nome=Joao | acao=executou o benchmark | valor=8673
linha=1513 | nome=Joao | acao=estudou computacao | valor=1409
linha=1514 | nome=Natalia | acao=analisou os resultados | valor=1642
linha=1515 | nome=Sofia | acao=estudou computacao | valor=4471
linha=1516 | nome=Helena | acao=fez um experimento | valor=1197
linha=1517 | nome=Sofia | acao=fez um experimento | valor=8830
linha=1518 | nome=Igor | acao=estudou computacao | valor=4773
linha=1519 | nome=Igor | acao=otimizou o algoritmo | valor=1043
linha=1520 | nome=Ana | acao=otimizou o algoritmo | valor=1293
linha=1521 | nome=Ana | acao=analisou os resultados | valor=7894
linha=1522 | nome=Igor | acao=participou da aula | valor=4926
linha=1523 | nome=Helena | acao=executou o benchmark | valor=7804
linha=1524 | nome=Felipe | acao=fez um experimento | valor=6043
linha=1525 | nome=Mariana | acao=estudou computacao | valor=3616
linha=1526 | nome=Helena | acao=participou da aula | valor=5791
linha=1527 | nome=Carlos | acao=participou da aula | valor=4432
linha=1528 | nome=Natalia | acao=otimizou o algoritmo | valor=4032
linha=1529 | nome=Ana | acao=participou da aula | valor=7627
linha=1530 | nome=Renata | acao=escreveu o relatorio | valor=7069
linha=1531 | nome=Otavio | acao=estudou computacao | valor=3940
linha=1532 | nome=Carlos | acao=participou da aula | valor=7092
linha=1533 | nome=Joao | acao=analisou os resultados | valor=2844
linha=1534 | nome=Bruno | acao=fez um experimento | valor=6048
linha=1535 | nome=Eduarda | acao=participou da aula | valor=1426
linha=1536 | nome=Igor | acao=comparou as metricas | valor=6235
linha=1537 | nome=Bruno | acao=otimizou o algoritmo | valor=4344
linha=1538 | nome=Bruno | acao=estudou computacao | valor=7636
linha=1539 | nome=Sofia | acao=comparou as metricas | valor=2695
linha=1540 | nome=Daniela | acao=otimizou o algoritmo | valor=7798
linha=1541 | nome=Karen | acao=executou o benchmark | valor=3533
linha=1542 | nome=Karen | acao=otimizou o algoritmo | valor=1889
linha=1543 | nome=Carlos | acao=fez um experimento | valor=6063
linha=1544 | nome=Carlos | acao=analisou os resultados | valor=6717
linha=1545 | nome=Tiago | acao=participou da aula | valor=7881
linha=1546 | nome=Sofia | acao=fez um experimento | valor=4110
linha=1547 | nome=Tiago | acao=escreveu o relatorio | valor=1531
linha=1548 | nome=Renata | acao=fez um experimento | valor=1180
linha=1549 | nome=Karen | acao=fez um experimento | valor=9107
linha=1550 | nome=Helena | acao=fez um experimento | valor=8016
linha=1551 | nome=Gabriela | acao=participou da aula | valor=5793
linha=1552 | nome=Vitor | acao=fez um experimento | valor=7435
linha=1553 | nome=Natalia | acao=otimizou o algoritmo | valor=8704
linha=1554 | nome=Gabriela | acao=escreveu o relatorio | valor=1486
linha=1555 | nome=Bruno | acao=comparou as metricas | valor=7773
linha=1556 | nome=Joao | acao=comparou as metricas | valor=9722
linha=1557 | nome=Igor | acao=participou da aula | valor=6438
linha=1558 | nome=Vitor | acao=estudou computacao | valor=9532
linha=1559 | nome=Vitor | acao=executou o benchmark | valor=6611
linha=1560 | nome=Mariana | acao=escreveu o relatorio | valor=8607
linha=1561 | nome=Eduarda | acao=analisou os resultados | valor=4958
linha=1562 | nome=Bruno | acao=fez um experimento | valor=4850
linha=1563 | nome=Daniela | acao=participou da aula | valor=1135
linha=1564 | nome=Karen | acao=comparou as metricas | valor=7197
linha=1565 | nome=Sofia | acao=otimizou o algoritmo | valor=2746
linha=1566 | nome=Mariana | acao=escreveu o relatorio | valor=9721
linha=1567 | nome=Natalia | acao=fez um experimento | valor=5851
linha=1568 | nome=Sofia | acao=comparou as metricas | valor=5696
linha=1569 | nome=Tiago | acao=executou o benchmark | valor=1021
linha=1570 | nome=Felipe | acao=estudou computacao | valor=1657
linha=1571 | nome=Mariana | acao=analisou os resultados | valor=8353
linha=1572 | nome=Carlos | acao=analisou os resultados | valor=3026
linha=1573 | nome=Natalia | acao=analisou os resultados | valor=1845
linha=1574 | nome=Helena | acao=comparou as metricas | valor=8651
linha=1575 | nome=Paulo | acao=executou o benchmark | valor=7472
linha=1576 | nome=Karen | acao=fez um experimento | valor=6794
linha=1577 | nome=Eduarda | acao=participou da aula | valor=6801
linha=1578 | nome=Daniela | acao=estudou computacao | valor=3548
linha=1579 | nome=Karen | acao=comparou as metricas | valor=8072
linha=1580 | nome=Tiago | acao=escreveu o relatorio | valor=6454
linha=1581 | nome=Bruno | acao=otimizou o algoritmo | valor=9117
linha=1582 | nome=Eduarda | acao=analisou os resultados | valor=8889
linha=1583 | nome=Gabriela | acao=comparou as metricas | valor=8742
linha=1584 | nome=Sofia | acao=fez um experimento | valor=3912
linha=1585 | nome=Natalia | acao=fez um experimento | valor=7797
linha=1586 | nome=Bruno | acao=participou da aula | valor=1149
linha=1587 | nome=Mariana | acao=participou da aula | valor=5961
linha=1588 | nome=Paulo | acao=comparou as metricas | valor=6134
linha=1589 | nome=Helena | acao=otimizou o algoritmo | valor=7972
linha=1590 | nome=Eduarda | acao=participou da aula | valor=5017
linha=1591 | nome=Otavio | acao=escreveu o relatorio | valor=9159
linha=1592 | nome=Karen | acao=fez um experimento | valor=1084
linha=1593 | nome=Natalia | acao=comparou as metricas | valor=5898
linha=1594 | nome=Joao | acao=analisou os resultados | valor=8957
linha=1595 | nome=Natalia | acao=comparou as metricas | valor=9539
linha=1596 | nome=Igor | acao=participou da aula | valor=8490
linha=1597 | nome=Tiago | acao=escreveu o relatorio | valor=4328
linha=1598 | nome=Carlos | acao=executou o benchmark | valor=2531
linha=1599 | nome=Tiago | acao=participou da aula | valor=6781
linha=1600 | nome=Eduarda | acao=participou da aula | valor=6184
linha=1601 | nome=Helena | acao=escreveu o relatorio | valor=3932
linha=1602 | nome=Eduarda | acao=estudou computacao | valor=2692
linha=1603 | nome=Helena | acao=fez um experimento | valor=2997
linha=1604 | nome=Daniela | acao=comparou as metricas | valor=2631
linha=1605 | nome=Joao | acao=estudou computacao | valor=2163
linha=1606 | nome=Igor | acao=participou da aula | valor=3907
linha=1607 | nome=Otavio | acao=escreveu o relatorio | valor=8997
linha=1608 | nome=Paulo | acao=executou o benchmark | valor=9626
linha=1609 | nome=Igor | acao=estudou computacao | valor=4256
linha=1610 | nome=Ana | acao=estudou computacao | valor=6565
linha=1611 | nome=Bruno | acao=comparou as metricas | valor=7899
linha=1612 | nome=Otavio | acao=otimizou o algoritmo | valor=4498
linha=1613 | nome=Daniela | acao=escreveu o relatorio | valor=6799
linha=1614 | nome=Daniela | acao=analisou os resultados | valor=3475
linha=1615 | nome=Paulo | acao=escreveu o relatorio | valor=9551
linha=1616 | nome=Bruno | acao=estudou computacao | valor=5000
linha=1617 | nome=Renata | acao=estudou computacao | valor=1718
linha=1618 | nome=Renata | acao=analisou os resultados | valor=3111
linha=1619 | nome=Carlos | acao=executou o benchmark | valor=6031
linha=1620 | nome=Mariana | acao=fez um experimento | valor=3920
linha=1621 | nome=Vitor | acao=escreveu o relatorio | valor=2991
linha=1622 | nome=Joao | acao=analisou os resultados | valor=7440
linha=1623 | nome=Lucas | acao=fez um experimento | valor=5209
linha=1624 | nome=Mariana | acao=fez um experimento | valor=8231
linha=1625 | nome=Mariana | acao=comparou as metricas | valor=5111
linha=1626 | nome=Paulo | acao=estudou computacao | valor=3942
linha=1627 | nome=Felipe | acao=fez um experimento | valor=2551
linha=1628 | nome=Helena | acao=executou o benchmark | valor=7441
linha=1629 | nome=Felipe | acao=otimizou o algoritmo | valor=7922
linha=1630 | nome=Tiago | acao=analisou os resultados | valor=3783
linha=1631 | nome=Paulo | acao=participou da aula | valor=7926
linha=1632 | nome=Tiago | acao=estudou computacao | valor=2500
linha=1633 | nome=Felipe | acao=executou o benchmark | valor=8524
linha=1634 | nome=Helena | acao=otimizou o algoritmo | valor=7109
linha=1635 | nome=Lucas | acao=analisou os resultados | valor=1695
linha=1636 | nome=Sofia | acao=otimizou o algoritmo | valor=7514
linha=1637 | nome=Helena | acao=otimizou o algoritmo | valor=9222
linha=1638 | nome=Daniela | acao=otimizou o algoritmo | valor=8370
linha=1639 | nome=Gabriela | acao=executou o benchmark | valor=8143
linha=1640 | nome=Helena | acao=estudou computacao | valor=3055
linha=1641 | nome=Mariana | acao=escreveu o relatorio | valor=7187
linha=1642 | nome=Igor | acao=executou o benchmark | valor=5192
linha=1643 | nome=Bruno | acao=estudou computacao | valor=7221
linha=1644 | nome=Karen | acao=participou da aula | valor=4632
linha=1645 | nome=Otavio | acao=participou da aula | valor=9575
linha=1646 | nome=Mariana | acao=escreveu o relatorio | valor=6013
linha=1647 | nome=Helena | acao=fez um experimento | valor=4210
linha=1648 | nome=Lucas | acao=otimizou o algoritmo | valor=2600
linha=1649 | nome=Mariana | acao=otimizou o algoritmo | valor=5878
linha=1650 | nome=Igor | acao=executou o benchmark | valor=6195
linha=1651 | nome=Mariana | acao=executou o benchmark | valor=9489
linha=1652 | nome=Ana | acao=comparou as metricas | valor=9170
linha=1653 | nome=Sofia | acao=comparou as metricas | valor=1162
linha=1654 | nome=Otavio | acao=estudou computacao | valor=1604
linha=1655 | nome=Mariana | acao=analisou os resultados | valor=9651
linha=1656 | nome=Karen | acao=fez um experimento | valor=3195
linha=1657 | nome=Otavio | acao=otimizou o algoritmo | valor=8061
linha=1658 | nome=Ana | acao=escreveu o relatorio | valor=4915
linha=1659 | nome=Felipe | acao=analisou os resultados | valor=7713
linha=1660 | nome=Joao | acao=estudou computacao | valor=7643
linha=1661 | nome=Helena | acao=participou da aula | valor=9382
linha=1662 | nome=Karen | acao=fez um experimento | valor=2179
linha=1663 | nome=Tiago | acao=estudou computacao | valor=1318
linha=1664 | nome=Daniela | acao=fez um experimento | valor=8970
linha=1665 | nome=Mariana | acao=estudou computacao | valor=1890
linha=1666 | nome=Otavio | acao=analisou os resultados | valor=4011
linha=1667 | nome=Joao | acao=executou o benchmark | valor=3243
linha=1668 | nome=Helena | acao=comparou as metricas | valor=2493
linha=1669 | nome=Carlos | acao=fez um experimento | valor=9370
linha=1670 | nome=Helena | acao=participou da aula | valor=8340
