linha=1 | nome=Bruno | acao=participou da aula | valor=3317
linha=1233 | nome=Gabriela | acao=analisou os resultados | valor=5380
linha=1234 | nome=Karen | acao=executou o benchmark | valor=1585
linha=1235 | nome=Paulo | acao=fez um experimento | valor=4734
linha=1236 | nome=Mariana | acao=analisou os resultados | valor=2365
linha=1237 | nome=Felipe | acao=otimizou o algoritmo | valor=8129
linha=1238 | nome=Tiago | acao=analisou os resultados | valor=9906
linha=1239 | nome=Gabriela | acao=otimizou o algoritmo | valor=4037
linha=1240 | nome=Carlos | acao=comparou as metricas | valor=3649
linha=1241 | nome=Felipe | acao=fez um experimento | valor=9744
linha=1242 | nome=Renata | acao=comparou as metricas | valor=2459
linha=1243 | nome=Karen | acao=otimizou o algoritmo | valor=5822
linha=1244 | nome=Natalia | acao=participou da aula | valor=8325
linha=1245 | nome=Vitor | acao=estudou computacao | valor=9409
linha=1246 | nome=Karen | acao=escreveu o relatorio | valor=6577
linha=1247 | nome=Ana | acao=executou o benchmark | valor=4665
linha=1248 | nome=Vitor | acao=participou da aula | valor=3942
linha=1249 | nome=Helena | acao=analisou os resultados | valor=2681
linha=1250 | nome=Bruno | acao=fez um experimento | valor=6804
linha=1251 | nome=Paulo | acao=participou da aula | valor=4496
linha=1252 | nome=Paulo | acao=fez um experimento | valor=3605
linha=1253 | nome=Paulo | acao=escreveu o relatorio | valor=5181
linha=1254 | nome=Mariana | acao=executou o benchmark | valor=1940
linha=1255 | nome=Sofia | acao=participou da aula | valor=5438
linha=1256 | nome=Mariana | acao=fez um experimento | valor=9271
linha=1257 | nome=Lucas | acao=otimizou o algoritmo | valor=7041
linha=1258 | nome=Daniela | acao=fez um experimento | valor=5306
linha=1259 | nome=Paulo | acao=executou o benchmark | valor=8529
linha=1260 | nome=Mariana | acao=analisou os resultados | valor=8155
linha=1261 | nome=Helena | acao=estudou computacao | valor=6798
linha=1262 | nome=Renata | acao=analisou os resultados | valor=6283
linha=1263 | nome=Igor | acao=executou o benchmark | valor=2872
linha=1264 | nome=Natalia | acao=comparou as metricas | valor=3014
linha=1265 | nome=Renata | acao=executou o benchmark | valor=9104
linha=1266 | nome=Felipe | acao=executou o benchmark | valor=9174
linha=1267 | nome=Helena | acao=fez um experimento | valor=9714
linha=1268 | nome=Paulo | acao=analisou os resultados | valor=5538
linha=1269 | nome=Karen | acao=escreveu o relatorio | valor=5799
linha=1270 | nome=Lucas | acao=otimizou o algoritmo | valor=6234
linha=1271 | nome=Otavio | acao=estudou computacao | valor=5219
linha=1272 | nome=Otavio | acao=fez um experimento | valor=5127
linha=1273 | nome=Sofia | acao=escreveu o relatorio | valor=4336
linha=1274 | nome=Igor | acao=participou da aula | valor=2266
linha=1275 | nome=Tiago | acao=comparou as metricas | valor=2274
linha=1276 | nome=Daniela | acao=participou da aula | valor=7664
linha=1277 | nome=Helena | acao=executou o benchmark | valor=3614
linha=1278 | nome=Tiago | acao=escreveu o relatorio | valor=9887
linha=1279 | nome=Igor | acao=estudou computacao | valor=1907
linha=1280 | nome=Renata | acao=otimizou o algoritmo | valor=8330
linha=1281 | nome=Karen | acao=escreveu o relatorio | valor=9661
linha=1282 | nome=Igor | acao=escreveu o relatorio | valor=9397
linha=1283 | nome=Tiago | acao=otimizou o algoritmo | valor=3853
linha=1284 | nome=Igor | acao=fez um experimento | valor=6705
linha=1285 | nome=Tiago | acao=executou o benchmark | valor=1055
linha=1286 | nome=Bruno | acao=participou da aula | valor=9087
linha=1287 | nome=Bruno | acao=analisou os resultados | valor=9186
linha=1288 | nome=Igor | acao=escreveu o relatorio | valor=3641
linha=1289 | nome=Mariana | acao=fez um experimento | valor=1326
linha=1290 | nome=Felipe | acao=analisou os resultados | valor=8377
linha=1291 | nome=Daniela | acao=participou da aula | valor=7742
linha=1292 | nome=Carlos | acao=escreveu o relatorio | valor=9789
linha=1293 | nome=Felipe | acao=comparou as metricas | valor=6825
linha=1294 | nome=Igor | acao=executou o benchmark | valor=1234
linha=1295 | nome=Karen | acao=otimizou o algoritmo | valor=6271
linha=1296 | nome=Tiago | acao=otimizou o algoritmo | valor=9103
linha=1297 | nome=Joao | acao=participou da aula | valor=9139
linha=1298 | nome=Ana | acao=analisou os resultados | valor=4836
linha=1299 | nome=Paulo | acao=analisou os resultados | valor=5315
linha=1300 | nome=Ana | acao=escreveu o relatorio | valor=2173
linha=1301 | nome=Renata | acao=comparou as metricas | valor=2549
linha=1302 | nome=Vitor | acao=participou da aula | valor=5738
linha=1303 | nome=Sofia | acao=fez um experimento | valor=4280
linha=1304 | nome=Mariana | acao=participou da aula | valor=9099
linha=1305 | nome=Natalia | acao=participou da aula | valor=4908
linha=1306 | nome=Carlos | acao=participou da aula | valor=3652
linha=1307 | nome=Gabriela | acao=participou da aula | valor=3253
linha=1308 | nome=Carlos | acao=fez um experimento | valor=2459
linha=1309 | nome=Lucas | acao=participou da aula | valor=8094
linha=1310 | nome=Otavio | acao=estudou computacao | valor=9153
linha=1311 | nome=Vitor | acao=comparou as metricas | valor=5438
linha=1312 | nome=Gabriela | acao=fez um experimento | valor=7286
linha=1313 | nome=Bruno | acao=escreveu o relatorio | valor=3558
linha=1314 | nome=Natalia | acao=analisou os resultados | valor=5281
linha=1315 | nome=Igor | acao=fez um experimento | valor=2022
linha=1316 | nome=Vitor | acao=analisou os resultados | valor=4965
linha=1317 | nome=Joao | acao=escreveu o relatorio | valor=6272
linha=1318 | nome=Mariana | acao=escreveu o relatorio | valor=5342
linha=1319 | nome=Eduarda | acao=fez um experimento | valor=9502
linha=1320 | nome=Mariana | acao=comparou as metricas | valor=2664
linha=1321 | nome=Lucas | acao=participou da aula | valor=3871
linha=1322 | nome=Renata | acao=escreveu o relatorio | valor=5862
linha=1323 | nome=Renata | acao=participou da aula | valor=7683
linha=1324 | nome=Lucas | acao=escreveu o relatorio | valor=6081
linha=1325 | nome=Mariana | acao=analisou os resultados | valor=1931
linha=1326 | nome=Daniela | acao=participou da aula | valor=7736
linha=1327 | nome=Vitor | acao=fez um experimento | valor=5700
linha=1328 | nome=Paulo | acao=estudou computacao | valor=9246
linha=1329 | nome=Mariana | acao=escreveu o relatorio | valor=6782
linha=1330 | nome=Renata | acao=comparou as metricas | valor=4350
linha=1331 | nome=Karen | acao=otimizou o algoritmo | valor=4422
linha=1332 | nome=Karen | acao=escreveu o relatorio | valor=9036
linha=1333 | nome=Carlos | acao=fez um experimento | valor=7691
linha=1334 | nome=Vitor | acao=fez um experimento | valor=1189
linha=1335 | nome=Ana | acao=executou o benchmark | valor=9372
linha=1336 | nome=Eduarda | acao=executou o benchmark | valor=2808
linha=1337 | nome=Natalia | acao=fez um experimento | valor=4706
linha=1338 | nome=Gabriela | acao=escreveu o relatorio | valor=5516
linha=1339 | nome=Igor | acao=executou o benchmark | valor=6972
linha=1340 | nome=Vitor | acao=otimizou o algoritmo | valor=8776
linha=1341 | nome=Gabriela | acao=fez um experimento | valor=3234
linha=1342 | nome=Eduarda | acao=fez um experimento | valor=4036
linha=1343 | nome=Lucas | acao=analisou os resultados | valor=3837
linha=1344 | nome=Helena | acao=analisou os resultados | valor=5196
linha=1345 | nome=Tiago | acao=comparou as metricas | valor=6536
linha=1346 | nome=Lucas | acao=comparou as metricas | valor=7808
linha=1347 | nome=Bruno | acao=fez um experimento | valor=5218
linha=1348 | nome=Tiago | acao=escreveu o relatorio | valor=1980
linha=1349 | nome=Ana | acao=participou da aula | valor=8785
linha=1350 | nome=Eduarda | acao=escreveu o relatorio | valor=1655
linha=1351 | nome=Eduarda | acao=analisou os resultados | valor=6243
linha=1352 | nome=Sofia | acao=fez um experimento | valor=7514
linha=1353 | nome=Mariana | acao=estudou computacao | valor=1699
linha=1354 | nome=Renata | acao=escreveu o relatorio | valor=7988
linha=1355 | nome=Bruno | acao=comparou as metricas | valor=6822
linha=1356 | nome=Mariana | acao=estudou computacao | valor=8862
linha=1357 | nome=Eduarda | acao=escreveu o relatorio | valor=8897
linha=1358 | nome=Lucas | acao=participou da aula | valor=7740
linha=1359 | nome=Igor | acao=escreveu o relatorio | valor=9504
linha=1360 | nome=Vitor | acao=estudou computacao | valor=2765
linha=1361 | nome=Otavio | acao=executou o benchmark | valor=7737
linha=1362 | nome=Helena | acao=participou da aula | valor=9685
linha=1363 | nome=Ana | acao=otimizou o algoritmo | valor=3747
linha=1364 | nome=Natalia | acao=fez um experimento | valor=6507
linha=1365 | nome=Renata | acao=fez um experimento | valor=6403
linha=1366 | nome=Karen | acao=fez um experimento | valor=6934
linha=1367 | nome=Eduarda | acao=comparou as metricas | valor=7405
linha=1368 | nome=Renata | acao=participou da aula | valor=7769
linha=1369 | nome=Igor | acao=analisou os resultados | valor=9265
linha=1370 | nome=Renata | acao=fez um experimento | valor=7882
linha=1371 | nome=Joao | acao=analisou os resultados | valor=3770
linha=1372 | nome=Daniela | acao=estudou computacao | valor=4345
linha=1373 | nome=Carlos | acao=escreveu o relatorio | valor=3261
linha=1374 | nome=Vitor | acao=fez um experimento | valor=4719
linha=1375 | nome=Bruno | acao=participou da aula | valor=4824
linha=1376 | nome=Renata | acao=analisou os resultados | valor=1317
linha=1377 | nome=Felipe | acao=otimizou o algoritmo | valor=9331
linha=1378 | nome=Felipe | acao=otimizou o algoritmo | valor=4276
linha=1379 | nome=Sofia | acao=executou o benchmark | valor=7581
linha=1380 | nome=Renata | acao=participou da aula | valor=2382
linha=1381 | nome=Karen | acao=fez um experimento | valor=9643
linha=1382 | nome=Carlos | acao=escreveu o relatorio | valor=7801
linha=1383 | nome=Renata | acao=estudou computacao | valor=5926
linha=1384 | nome=Felipe | acao=escreveu o relatorio | valor=7320
linha=1385 | nome=Ana | acao=otimizou o algoritmo | valor=4674
linha=1386 | nome=Natalia | acao=otimizou o algoritmo | valor=6494
linha=1387 | nome=Bruno | acao=estudou computacao | valor=6127
linha=1388 | nome=Gabriela | acao=otimizou o algoritmo | valor=4308
linha=1389 | nome=Bruno | acao=escreveu o relatorio | valor=5631
linha=1390 | nome=Ana | acao=comparou as metricas | valor=2150
linha=1391 | nome=Daniela | acao=escreveu o relatorio | valor=8994
linha=1392 | nome=Gabriela | acao=comparou as metricas | valor=9158
linha=1393 | nome=Otavio | acao=analisou os resultados | valor=5093
linha=1394 | nome=Tiago | acao=analisou os resultados | valor=9997
linha=1395 | nome=Paulo | acao=fez um experimento | valor=1125
linha=1396 | nome=Carlos | acao=escreveu o relatorio | valor=2141
linha=1397 | nome=Paulo | acao=comparou as metricas | valor=3569
linha=1398 | nome=Lucas | acao=estudou computacao | valor=3228
linha=1399 | nome=Mariana | acao=escreveu o relatorio | valor=4137
linha=1400 | nome=Lucas | acao=participou da aula | valor=5998
linha=1401 | nome=Karen | acao=comparou as metricas | valor=5876
linha=1402 | nome=Tiago | acao=analisou os resultados | valor=6845
linha=1403 | nome=Igor | acao=participou da aula | valor=7303
linha=1404 | nome=Otavio | acao=comparou as metricas | valor=8799
linha=1405 | nome=Eduarda | acao=otimizou o algoritmo | valor=9380
linha=1406 | nome=Lucas | acao=participou da aula | valor=4072
linha=1407 | nome=Natalia | acao=executou o benchmark | valor=4990
linha=1408 | nome=Otavio | acao=otimizou o algoritmo | valor=3237
linha=1409 | nome=Helena | acao=fez um experimento | valor=2036
linha=1410 | nome=Karen | acao=executou o benchmark | valor=1362
linha=1411 | nome=Renata | acao=escreveu o relatorio | valor=8224
linha=1412 | nome=Paulo | acao=analisou os resultados | valor=8797
linha=1413 | nome=Felipe | acao=otimizou o algoritmo | valor=1181
linha=1414 | nome=Eduarda | acao=estudou computacao | valor=7251
linha=1415 | nome=Carlos | acao=analisou os resultados | valor=4843
linha=1416 | nome=Renata | acao=fez um experimento | valor=8787
linha=1417 | nome=Gabriela | acao=otimizou o algoritmo | valor=1653
linha=1418 | nome=Renata | acao=analisou os resultados | valor=9095
linha=1419 | nome=Felipe | acao=participou da aula | valor=1320
linha=1420 | nome=Mariana | acao=comparou as metricas | valor=8042
linha=1421 | nome=Mariana | acao=fez um experimento | valor=3315
linha=1422 | nome=Eduarda | acao=comparou as metricas | valor=8496
linha=1423 | nome=Bruno | acao=comparou as metricas | valor=1993
linha=1424 | nome=Carlos | acao=comparou as metricas | valor=5937
linha=1425 | nome=Mariana | acao=comparou as metricas | valor=8888
linha=1426 | nome=Bruno | acao=participou da aula | valor=6461
linha=1427 | nome=Lucas | acao=executou o benchmark | valor=9635
linha=1428 | nome=Paulo | acao=comparou as metricas | valor=1470
linha=1429 | nome=Eduarda | acao=escreveu o relatorio | valor=4481
linha=1430 | nome=Ana | acao=escreveu o relatorio | valor=8083
linha=1431 | nome=Joao | acao=fez um experimento | valor=4488
linha=1432 | nome=Helena | acao=fez um experimento | valor=2533
linha=1433 | nome=Karen | acao=estudou computacao | valor=7375
linha=1434 | nome=Tiago | acao=analisou os resultados | valor=2420
linha=1435 | nome=Carlos | acao=otimizou o algoritmo | valor=7113
linha=1436 | nome=Joao | acao=escreveu o relatorio | valor=6856
linha=1437 | nome=Mariana | acao=estudou computacao | valor=9216
linha=1438 | nome=Joao | acao=participou da aula | valor=8891
linha=1439 | nome=Otavio | acao=comparou as metricas | valor=7308
linha=1440 | nome=Carlos | acao=otimizou o algoritmo | valor=6673
linha=1441 | nome=Otavio | acao=escreveu o relatorio | valor=5137
linha=1442 | nome=Helena | acao=otimizou o algoritmo | valor=6770
linha=1443 | nome=Ana | acao=participou da aula | valor=8776
linha=1444 | nome=Sofia | acao=estudou computacao | valor=2345
linha=1445 | nome=Carlos | acao=analisou os resultados | valor=6842
linha=1446 | nome=Ana | acao=participou da aula | valor=6681
linha=1447 | nome=Bruno | acao=executou o benchmark | valor=1720
linha=1448 | nome=Igor | acao=comparou as metricas | valor=8901
linha=1449 | nome=Daniela | acao=estudou computacao | valor=7778
linha=1450 | nome=Tiago | acao=comparou as metricas | valor=5824
linha=1451 | nome=Joao | acao=participou da aula | valor=4094
linha=1452 | nome=Gabriela | acao=otimizou o algoritmo | valor=6872
linha=1453 | nome=Felipe | acao=participou da aula | valor=9038
linha=1454 | nome=Bruno | acao=fez um experimento | valor=9504
linha=1455 | nome=Carlos | acao=estudou computacao | valor=6451
linha=1456 | nome=Eduarda | acao=participou da aula | valor=9802
linha=1457 | nome=Joao | acao=participou da aula | valor=3399
linha=1458 | nome=Mariana | acao=participou da aula | valor=5326
linha=1459 | nome=Sofia | acao=executou o benchmark | valor=6871
linha=1460 | nome=Bruno | acao=estudou computacao | valor=7229
linha=1461 | nome=Karen | acao=analisou os resultados | valor=4662
linha=1462 | nome=Felipe | acao=comparou as metricas | valor=6962
linha=1463 | nome=Igor | acao=escreveu o relatorio | valor=9247
linha=1464 | nome=Daniela | acao=analisou os resultados | valor=1262
linha=1465 | nome=Renata | acao=comparou as metricas | valor=2550
linha=1466 | nome=Eduarda | acao=analisou os resultados | valor=9683
linha=1467 | nome=Daniela | acao=fez um experimento | valor=3655
linha=1468 | nome=Eduarda | acao=analisou os resultados | valor=6871
linha=1469 | nome=Daniela | acao=participou da aula | valor=1552
linha=1470 | nome=Felipe | acao=otimizou o algoritmo | valor=1064
linha=1471 | nome=Bruno | acao=otimizou o algoritmo | valor=6279
linha=1472 | nome=Carlos | acao=participou da aula | valor=4312
linha=1473 | nome=Lucas | acao=fez um experimento | valor=9573
linha=1474 | nome=Mariana | acao=participou da aula | valor=3021
linha=1475 | nome=Igor | acao=fez um experimento | valor=7155
linha=1476 | nome=Otavio | acao=analisou os resultados | valor=5349
linha=1477 | nome=Igor | acao=participou da aula | valor=5949
linha=1478 | nome=Paulo | acao=otimizou o algoritmo | valor=7152
linha=1479 | nome=Felipe | acao=estudou computacao | valor=8388
linha=1480 | nome=Daniela | acao=estudou computacao | valor=8152
linha=1481 | nome=Sofia | acao=escreveu o relatorio | valor=4741
linha=1482 | nome=Karen | acao=fez um experimento | valor=4567
linha=1483 | nome=Tiago | acao=executou o benchmark | valor=3475
linha=1484 | nome=Bruno | acao=fez um experimento | valor=4931
linha=1485 | nome=Eduarda | acao=participou da aula | valor=3150
linha=1486 | nome=Gabriela | acao=comparou as metricas | valor=5248
linha=1487 | nome=Sofia | acao=fez um experimento | valor=1156
linha=1488 | nome=Igor | acao=participou da aula | valor=1370
linha=1489 | nome=Mariana | acao=executou o benchmark | valor=8432
linha=1490 | nome=Sofia | acao=executou o benchmark | valor=6503
linha=1491 | nome=Natalia | acao=participou da aula | valor=6898
linha=1492 | nome=Carlos | acao=otimizou o algoritmo | valor=2627
linha=1493 | nome=Igor | acao=otimizou o algoritmo | valor=8837
linha=1494 | nome=Ana | acao=participou da aula | valor=9422
linha=1495 | nome=Vitor | acao=executou o benchmark | valor=1757
linha=1496 | nome=Sofia | acao=analisou os resultados | valor=3878
linha=1497 | nome=Ana | acao=comparou as metricas | valor=7844
linha=1498 | nome=Bruno | acao=analisou os resultados | valor=7513
linha=1499 | nome=Carlos | acao=otimizou o algoritmo | valor=1793
linha=1500 | nome=Vitor | acao=participou da aula | valor=6943
linha=1501 | nome=Natalia | acao=comparou as metricas | valor=7857
linha=1502 | nome=Carlos | acao=fez um experimento | valor=9532
linha=1503 | nome=Lucas | acao=analisou os resultados | valor=8696
linha=1504 | nome=Tiago | acao=participou da aula | valor=5272
linha=1505 | nome=Joao | acao=fez um experimento | valor=1175
linha=1506 | nome=Karen | acao=escreveu o relatorio | valor=6768
linha=1507 | nome=Felipe | acao=estudou computacao | valor=3122
linha=1508 | nome=Mariana | acao=comparou as metricas | valor=1777
linha=1509 | nome=Joao | acao=otimizou o algoritmo | valor=7290
linha=1510 | nome=Daniela | acao=executou o benchmark | valor=5719
linha=1511 | nome=Sofia | acao=estudou computacao | valor=7375
linha=1512 | nome=Sofia | acao=comparou as metricas | valor=5867
linha=1513 | nome=Mariana | acao=participou da aula | valor=8512
linha=1514 | nome=Otavio | acao=participou da aula | valor=8614
linha=1515 | nome=Karen | acao=participou da aula | valor=9702
linha=1516 | nome=Eduarda | acao=otimizou o algoritmo | valor=5888
linha=1517 | nome=Carlos | acao=executou o benchmark | valor=5265
linha=1518 | nome=Mariana | acao=participou da aula | valor=5920
linha=1519 | nome=Vitor | acao=participou da aula | valor=6468
linha=1520 | nome=Helena | acao=otimizou o algoritmo | valor=8546
linha=1521 | nome=Bruno | acao=otimizou o algoritmo | valor=6341
linha=1522 | nome=Karen | acao=executou o benchmark | valor=9928
linha=1523 | nome=Carlos | acao=fez um experimento | valor=4887
linha=1524 | nome=Mariana | acao=participou da aula | valor=6248
linha=1525 | nome=Sofia | acao=analisou os resultados | valor=9860
linha=1526 | nome=Carlos | acao=analisou os resultados | valor=5551
linha=1527 | nome=Lucas | acao=escreveu o relatorio | valor=1057
linha=1528 | nome=Natalia | acao=estudou computacao | valor=9696
linha=1529 | nome=Vitor | acao=analisou os resultados | valor=5729
linha=1530 | nome=Felipe | acao=fez um experimento | valor=7818
linha=1531 | nome=Bruno | acao=participou da aula | valor=9917
linha=1532 | nome=Sofia | acao=analisou os resultados | valor=7912
linha=1533 | nome=Igor | acao=analisou os resultados | valor=9198
linha=1534 | nome=Joao | acao=estudou computacao | valor=6758
linha=1535 | nome=Igor | acao=analisou os resultados | valor=7151
linha=1536 | nome=Otavio | acao=estudou computacao | valor=8436
linha=1537 | nome=Gabriela | acao=comparou as metricas | valor=4413
linha=1538 | nome=Carlos | acao=analisou os resultados | valor=7805
linha=1539 | nome=Vitor | acao=analisou os resultados | valor=7434
linha=1540 | nome=Joao | acao=otimizou o algoritmo | valor=6523
linha=1541 | nome=Gabriela | acao=executou o benchmark | valor=8409
linha=1542 | nome=Sofia | acao=executou o benchmark | valor=1696
linha=1543 | nome=Vitor | acao=otimizou o algoritmo | valor=4679
linha=1544 | nome=Carlos | acao=escreveu o relatorio | valor=1157
linha=1545 | nome=Joao | acao=analisou os resultados | valor=1577
linha=1546 | nome=Gabriela | acao=otimizou o algoritmo | valor=1192
linha=1547 | nome=Eduarda | acao=escreveu o relatorio | valor=4160
linha=1548 | nome=Eduarda | acao=fez um experimento | valor=1065
linha=1549 | nome=Natalia | acao=otimizou o algoritmo | valor=5516
linha=1550 | nome=Vitor | acao=comparou as metricas | valor=7477
linha=1551 | nome=Daniela | acao=fez um experimento | valor=4930
linha=1552 | nome=Ana | acao=analisou os resultados | valor=5948
linha=1553 | nome=Vitor | acao=executou o benchmark | valor=3846
linha=1554 | nome=Felipe | acao=analisou os resultados | valor=8800
linha=1555 | nome=Sofia | acao=otimizou o algoritmo | valor=3088
linha=1556 | nome=Joao | acao=escreveu o relatorio | valor=8484
linha=1557 | nome=Tiago | acao=fez um experimento | valor=2301
linha=1558 | nome=Ana | acao=escreveu o relatorio | valor=8604
linha=1559 | nome=Paulo | acao=executou o benchmark | valor=3754
linha=1560 | nome=Lucas | acao=executou o benchmark | valor=5467
linha=1561 | nome=Vitor | acao=comparou as metricas | valor=4439
linha=1562 | nome=Gabriela | acao=escreveu o relatorio | valor=6824
linha=1563 | nome=Karen | acao=escreveu o relatorio | valor=5224
linha=1564 | nome=Sofia | acao=estudou computacao | valor=1760
linha=1565 | nome=Daniela | acao=executou o benchmark | valor=5779
linha=1566 | nome=Mariana | acao=executou o benchmark | valor=5360
linha=1567 | nome=Mariana | acao=executou o benchmark | valor=5210
linha=1568 | nome=Karen | acao=otimizou o algoritmo | valor=1112
linha=1569 | nome=Vitor | acao=estudou computacao | valor=6956
linha=1570 | nome=Mariana | acao=estudou computacao | valor=7213
linha=1571 | nome=Ana | acao=escreveu o relatorio | valor=1533
linha=1572 | nome=Joao | acao=escreveu o relatorio | valor=1804
linha=1573 | nome=Eduarda | acao=fez um experimento | valor=4098
linha=1574 | nome=Daniela | acao=fez um experimento | valor=6198
linha=1575 | nome=Mariana | acao=comparou as metricas | valor=2413
linha=1576 | nome=Sofia | acao=estudou computacao | valor=4530
linha=1577 | nome=Joao | acao=comparou as metricas | valor=8068
linha=1578 | nome=Vitor | acao=estudou computacao | valor=4372
linha=1579 | nome=Igor | acao=estudou computacao | valor=7243
linha=1580 | nome=Natalia | acao=estudou computacao | valor=4597
linha=1581 | nome=Joao | acao=estudou computacao | valor=1627
linha=1582 | nome=Sofia | acao=escreveu o relatorio | valor=6497
linha=1583 | nome=Lucas | acao=otimizou o algoritmo | valor=9996
linha=1584 | nome=Daniela | acao=executou o benchmark | valor=3933
linha=1585 | nome=Eduarda | acao=executou o benchmark | valor=4207
linha=1586 | nome=Helena | acao=executou o benchmark | valor=5677
linha=1587 | nome=Renata | acao=escreveu o relatorio | valor=6603
linha=1588 | nome=Renata | acao=participou da aula | valor=5798
linha=1589 | nome=Eduarda | acao=otimizou o algoritmo | valor=8341
linha=1590 | nome=Mariana | acao=escreveu o relatorio | valor=3216
linha=1591 | nome=Igor | acao=participou da aula | valor=5732
linha=1592 | nome=Natalia | acao=estudou computacao | valor=4781
linha=1593 | nome=Gabriela | acao=escreveu o relatorio | valor=8605
linha=1594 | nome=Eduarda | acao=comparou as metricas | valor=1223
linha=1595 | nome=Mariana | acao=participou da aula | valor=3581
linha=1596 | nome=Lucas | acao=escreveu o relatorio | valor=9523
linha=1597 | nome=Lucas | acao=analisou os resultados | valor=8738
linha=1598 | nome=Otavio | acao=analisou os resultados | valor=7466
linha=1599 | nome=Paulo | acao=estudou computacao | valor=8736
linha=1600 | nome=Eduarda | acao=comparou as metricas | valor=3966
linha=1601 | nome=Mariana | acao=comparou as metricas | valor=7705
linha=1602 | nome=Carlos | acao=fez um experimento | valor=1084
linha=1603 | nome=Bruno | acao=fez um experimento | valor=2960
linha=1604 | nome=Felipe | acao=participou da aula | valor=6289
linha=1605 | nome=Sofia | acao=otimizou o algoritmo | valor=6415
linha=1606 | nome=Lucas | acao=executou o benchmark | valor=7491
linha=1607 | nome=Helena | acao=analisou os resultados | valor=4851
linha=1608 | nome=Natalia | acao=analisou os resultados | valor=3296
linha=1609 | nome=Carlos | acao=comparou as metricas | valor=9621
linha=1610 | nome=Karen | acao=otimizou o algoritmo | valor=5083
linha=1611 | nome=Sofia | acao=fez um experimento | valor=7345
linha=1612 | nome=Lucas | acao=participou da aula | valor=3187
linha=1613 | nome=Ana | acao=estudou computacao | valor=8544
linha=1614 | nome=Paulo | acao=participou da aula | valor=9763
linha=1615 | nome=Gabriela | acao=fez um experimento | valor=5955
linha=1616 | nome=Ana | acao=estudou computacao | valor=9334
linha=1617 | nome=Paulo | acao=analisou os resultados | valor=9554
linha=1618 | nome=Joao | acao=participou da aula | valor=5557
linha=1619 | nome=Tiago | acao=analisou os resultados | valor=1702
linha=1620 | nome=Karen | acao=participou da aula | valor=2706
linha=1621 | nome=Daniela | acao=fez um experimento | valor=1594
linha=1622 | nome=Sofia | acao=otimizou o algoritmo | valor=2993
linha=1623 | nome=Natalia | acao=estudou computacao | valor=4854
linha=1624 | nome=Joao | acao=escreveu o relatorio | valor=3599
linha=1625 | nome=Paulo | acao=estudou computacao | valor=4016
linha=1626 | nome=Eduarda | acao=estudou computacao | valor=3390
linha=1627 | nome=Felipe | acao=executou o benchmark | valor=2752
linha=1628 | nome=Felipe | acao=executou o benchmark | valor=5933
linha=1629 | nome=Joao | acao=estudou computacao | valor=2958
linha=1630 | nome=Gabriela | acao=executou o benchmark | valor=9823
linha=1631 | nome=Daniela | acao=executou o benchmark | valor=8453
linha=1632 | nome=Natalia | acao=otimizou o algoritmo | valor=2734
linha=1633 | nome=Vitor | acao=estudou computacao | valor=8241
linha=1634 | nome=Otavio | acao=escreveu o relatorio | valor=1472
linha=1635 | nome=Otavio | acao=analisou os resultados | valor=9860
linha=1636 | nome=Ana | acao=analisou os resultados | valor=5675
linha=1637 | nome=Mariana | acao=comparou as metricas | valor=2813
linha=1638 | nome=Eduarda | acao=fez um experimento | valor=6980
linha=1639 | nome=Tiago | acao=otimizou o algoritmo | valor=2527
linha=1640 | nome=Helena | acao=estudou computacao | valor=2937
linha=1641 | nome=Karen | acao=comparou as metricas | valor=3550
linha=1642 | nome=Paulo | acao=escreveu o relatorio | valor=2309
linha=1643 | nome=Bruno | acao=executou o benchmark | valor=6790
linha=1644 | nome=Daniela | acao=comparou as metricas | valor=3480
linha=1645 | nome=Paulo | acao=analisou os resultados | valor=5028
linha=1646 | nome=Renata | acao=estudou computacao | valor=6158
linha=1647 | nome=Karen | acao=analisou os resultados | valor=9194
linha=1648 | nome=Igor | acao=escreveu o relatorio | valor=1247
linha=1649 | nome=Mariana | acao=analisou os resultados | valor=5144
linha=1650 | nome=Gabriela | acao=estudou computacao | valor=3595
linha=1651 | nome=Tiago | acao=estudou computacao | valor=2350
linha=1652 | nome=Tiago | acao=fez um experimento | valor=7844
linha=1653 | nome=Bruno | acao=otimizou o algoritmo | valor=8071
linha=1654 | nome=Carlos | acao=participou da aula | valor=7147
linha=1655 | nome=Lucas | acao=estudou computacao | valor=7451
linha=1656 | nome=Eduarda | acao=estudou computacao | valor=2876
linha=1657 | nome=Felipe | acao=escreveu o relatorio | valor=3965
linha=1658 | nome=Paulo | acao=executou o benchmark | valor=8867
linha=1659 | nome=Tiago | acao=fez um experimento | valor=9411
linha=1660 | nome=Natalia | acao=estudou computacao | valor=7678
linha=1661 | nome=Tiago | acao=estudou computacao | valor=2485
linha=1662 | nome=Carlos | acao=estudou computacao | valor=3255
linha=1663 | nome=Paulo | acao=participou da aula | valor=6162
linha=1664 | nome=Tiago | acao=estudou computacao | valor=2985
linha=1665 | nome=Otavio | acao=executou o benchmark | valor=4752
linha=1666 | nome=Igor | acao=estudou computacao | valor=7633
linha=1667 | nome=Tiago | acao=comparou as metricas | valor=2766
linha=1668 | nome=Vitor | acao=escreveu o relatorio | valor=2414
linha=1669 | nome=Eduarda | acao=fez um experimento | valor=7291
linha=1670 | nome=Mariana | acao=participou da aula | valor=6981
