linha=1 | nome=Bruno | acao=escreveu o relatorio | valor=8028
linha=1405 | nome=Mariana | acao=executou o benchmark | valor=8261
linha=1406 | nome=Eduarda | acao=analisou os resultados | valor=6441
linha=1407 | nome=Otavio | acao=analisou os resultados | valor=1432
linha=1408 | nome=Lucas | acao=participou da aula | valor=1674
linha=1409 | nome=Carlos | acao=escreveu o relatorio | valor=1274
linha=1410 | nome=Renata | acao=fez um experimento | valor=4103
linha=1411 | nome=Carlos | acao=otimizou o algoritmo | valor=8406
linha=1412 | nome=Otavio | acao=otimizou o algoritmo | valor=3087
linha=1413 | nome=Renata | acao=executou o benchmark | valor=5376
linha=1414 | nome=Renata | acao=analisou os resultados | valor=4095
linha=1415 | nome=Carlos | acao=fez um experimento | valor=2588
linha=1416 | nome=Helena | acao=participou da aula | valor=1559
linha=1417 | nome=Paulo | acao=executou o benchmark | valor=3650
linha=1418 | nome=Vitor | acao=otimizou o algoritmo | valor=6945
linha=1419 | nome=Mariana | acao=participou da aula | valor=3284
linha=1420 | nome=Renata | acao=estudou computacao | valor=1238
linha=1421 | nome=Helena | acao=participou da aula | valor=3783
linha=1422 | nome=Vitor | acao=estudou computacao | valor=4123
linha=1423 | nome=Sofia | acao=escreveu o relatorio | valor=5558
linha=1424 | nome=Lucas | acao=fez um experimento | valor=3390
linha=1425 | nome=Natalia | acao=estudou computacao | valor=6576
linha=1426 | nome=Otavio | acao=escreveu o relatorio | valor=2078
linha=1427 | nome=Eduarda | acao=fez um experimento | valor=9255
linha=1428 | nome=Sofia | acao=estudou computacao | valor=3589
linha=1429 | nome=Lucas | acao=executou o benchmark | valor=8063
linha=1430 | nome=Tiago | acao=estudou computacao | valor=2285
linha=1431 | nome=Paulo | acao=fez um experimento | valor=7201
linha=1432 | nome=Mariana | acao=otimizou o algoritmo | valor=3899
linha=1433 | nome=Otavio | acao=comparou as metricas | valor=9321
linha=1434 | nome=Karen | acao=comparou as metricas | valor=3173
linha=1435 | nome=Joao | acao=executou o benchmark | valor=9747
linha=1436 | nome=Vitor | acao=fez um experimento | valor=7786
linha=1437 | nome=Paulo | acao=comparou as metricas | valor=1917
linha=1438 | nome=Gabriela | acao=escreveu o relatorio | valor=5851
linha=1439 | nome=Helena | acao=estudou computacao | valor=3820
linha=1440 | nome=Otavio | acao=escreveu o relatorio | valor=1446
linha=1441 | nome=Ana | acao=executou o benchmark | valor=2999
linha=1442 | nome=Renata | acao=escreveu o relatorio | valor=1003
linha=1443 | nome=Bruno | acao=otimizou o algoritmo | valor=9145
linha=1444 | nome=Igor | acao=estudou computacao | valor=4803
linha=1445 | nome=Ana | acao=escreveu o relatorio | valor=5819
linha=1446 | nome=Renata | acao=analisou os resultados | valor=6534
linha=1447 | nome=Daniela | acao=fez um experimento | valor=6693
linha=1448 | nome=Lucas | acao=analisou os resultados | valor=9879
linha=1449 | nome=Sofia | acao=escreveu o relatorio | valor=4584
linha=1450 | nome=Sofia | acao=otimizou o algoritmo | valor=3429
linha=1451 | nome=Gabriela | acao=estudou computacao | valor=7184
linha=1452 | nome=Mariana | acao=fez um experimento | valor=3272
linha=1453 | nome=Felipe | acao=escreveu o relatorio | valor=3112
linha=1454 | nome=Lucas | acao=estudou computacao | valor=3052
linha=1455 | nome=Eduarda | acao=escreveu o relatorio | valor=3547
linha=1456 | nome=Paulo | acao=escreveu o relatorio | valor=9911
linha=1457 | nome=Natalia | acao=participou da aula | valor=9576
linha=1458 | nome=Paulo | acao=executou o benchmark | valor=5915
linha=1459 | nome=Tiago | acao=escreveu o relatorio | valor=4994
linha=1460 | nome=Joao | acao=participou da aula | valor=4589
linha=1461 | nome=Ana | acao=analisou os resultados | valor=6383
linha=1462 | nome=Paulo | acao=estudou computacao | valor=8578
linha=1463 | nome=Sofia | acao=escreveu o relatorio | valor=8034
linha=1464 | nome=Carlos | acao=escreveu o relatorio | valor=3328
linha=1465 | nome=Mariana | acao=executou o benchmark | valor=8412
linha=1466 | nome=Gabriela | acao=otimizou o algoritmo | valor=5538
linha=1467 | nome=Natalia | acao=analisou os resultados | valor=8729
linha=1468 | nome=Bruno | acao=analisou os resultados | valor=6160
linha=1469 | nome=Helena | acao=analisou os resultados | valor=9147
linha=1470 | nome=Bruno | acao=fez um experimento | valor=3848
linha=1471 | nome=Renata | acao=comparou as metricas | valor=5089
linha=1472 | nome=Igor | acao=comparou as metricas | valor=9548
linha=1473 | nome=Joao | acao=fez um experimento | valor=2207
linha=1474 | nome=Karen | acao=otimizou o algoritmo | valor=7534
linha=1475 | nome=Renata | acao=estudou computacao | valor=4902
linha=1476 | nome=Joao | acao=estudou computacao | valor=4340
linha=1477 | nome=Felipe | acao=estudou computacao | valor=2659
linha=1478 | nome=Carlos | acao=escreveu o relatorio | valor=8597
linha=1479 | nome=Bruno | acao=analisou os resultados | valor=1048
linha=1480 | nome=Joao | acao=executou o benchmark | valor=4096
linha=1481 | nome=Vitor | acao=analisou os resultados | valor=9625
linha=1482 | nome=Helena | acao=otimizou o algoritmo | valor=9313
linha=1483 | nome=Karen | acao=escreveu o relatorio | valor=8741
linha=1484 | nome=Karen | acao=estudou computacao | valor=8734
linha=1485 | nome=Gabriela | acao=escreveu o relatorio | valor=6136
linha=1486 | nome=Sofia | acao=estudou computacao | valor=5307
linha=1487 | nome=Helena | acao=comparou as metricas | valor=6637
linha=1488 | nome=Carlos | acao=otimizou o algoritmo | valor=7138
linha=1489 | nome=Igor | acao=executou o benchmark | valor=9850
linha=1490 | nome=Daniela | acao=estudou computacao | valor=6723
linha=1491 | nome=Mariana | acao=fez um experimento | valor=6464
linha=1492 | nome=Helena | acao=fez um experimento | valor=1310
linha=1493 | nome=Sofia | acao=fez um experimento | valor=4037
linha=1494 | nome=Daniela | acao=participou da aula | valor=7219
linha=1495 | nome=Igor | acao=participou da aula | valor=7150
linha=1496 | nome=Daniela | acao=executou o benchmark | valor=4538
linha=1497 | nome=Sofia | acao=executou o benchmark | valor=6141
linha=1498 | nome=Paulo | acao=analisou os resultados | valor=9728
linha=1499 | nome=Sofia | acao=comparou as metricas | valor=4259
linha=1500 | nome=Sofia | acao=otimizou o algoritmo | valor=4550
linha=1501 | nome=Ana | acao=escreveu o relatorio | valor=6916
linha=1502 | nome=Mariana | acao=otimizou o algoritmo | valor=2159
linha=1503 | nome=Carlos | acao=comparou as metricas | valor=7908
linha=1504 | nome=Renata | acao=analisou os resultados | valor=6672
linha=1505 | nome=Karen | acao=escreveu o relatorio | valor=4654
linha=1506 | nome=Gabriela | acao=executou o benchmark | valor=6528
linha=1507 | nome=Felipe | acao=otimizou o algoritmo | valor=1753
linha=1508 | nome=Carlos | acao=escreveu o relatorio | valor=7378
linha=1509 | nome=Otavio | acao=comparou as metricas | valor=8491
linha=1510 | nome=Sofia | acao=estudou computacao | valor=5681
linha=1511 | nome=Mariana | acao=fez um experimento | valor=5871
linha=1512 | nome=Felipe | acao=executou o benchmark | valor=4909
linha=1513 | nome=Mariana | acao=otimizou o algoritmo | valor=1395
linha=1514 | nome=Ana | acao=otimizou o algoritmo | valor=4544
linha=1515 | nome=Bruno | acao=escreveu o relatorio | valor=1806
linha=1516 | nome=Tiago | acao=executou o benchmark | valor=3672
linha=1517 | nome=Helena | acao=estudou computacao | valor=3253
linha=1518 | nome=Sofia | acao=fez um experimento | valor=6722
linha=1519 | nome=Eduarda | acao=estudou computacao | valor=1118
linha=1520 | nome=Otavio | acao=estudou computacao | valor=7147
linha=1521 | nome=Ana | acao=participou da aula | valor=3735
linha=1522 | nome=Tiago | acao=executou o benchmark | valor=2091
linha=1523 | nome=Bruno | acao=escreveu o relatorio | valor=3754
linha=1524 | nome=Mariana | acao=estudou computacao | valor=1827
linha=1525 | nome=Gabriela | acao=analisou os resultados | valor=7988
linha=1526 | nome=Renata | acao=participou da aula | valor=5797
linha=1527 | nome=Natalia | acao=otimizou o algoritmo | valor=5174
linha=1528 | nome=Karen | acao=estudou computacao | valor=3439
linha=1529 | nome=Joao | acao=escreveu o relatorio | valor=7439
linha=1530 | nome=Carlos | acao=comparou as metricas | valor=4890
linha=1531 | nome=Lucas | acao=estudou computacao | valor=5106
linha=1532 | nome=Tiago | acao=comparou as metricas | valor=5935
linha=1533 | nome=Igor | acao=estudou computacao | valor=7227
linha=1534 | nome=Sofia | acao=analisou os resultados | valor=9468
linha=1535 | nome=Eduarda | acao=fez um experimento | valor=9233
linha=1536 | nome=Karen | acao=executou o benchmark | valor=2225
linha=1537 | nome=Ana | acao=participou da aula | valor=9290
linha=1538 | nome=Mariana | acao=estudou computacao | valor=1792
linha=1539 | nome=Paulo | acao=escreveu o relatorio | valor=4771
linha=1540 | nome=Carlos | acao=participou da aula | valor=4553
linha=1541 | nome=Sofia | acao=escreveu o relatorio | valor=2109
linha=1542 | nome=Carlos | acao=estudou computacao | valor=1104
linha=1543 | nome=Mariana | acao=participou da aula | valor=6101
linha=1544 | nome=Helena | acao=estudou computacao | valor=9878
linha=1545 | nome=Gabriela | acao=escreveu o relatorio | valor=4845
linha=1546 | nome=Tiago | acao=analisou os resultados | valor=1855
linha=1547 | nome=Otavio | acao=comparou as metricas | valor=2586
linha=1548 | nome=Otavio | acao=executou o benchmark | valor=2253
linha=1549 | nome=Vitor | acao=comparou as metricas | valor=3957
linha=1550 | nome=Daniela | acao=comparou as metricas | valor=5207
linha=1551 | nome=Eduarda | acao=estudou computacao | valor=8361
linha=1552 | nome=Mariana | acao=fez um experimento | valor=6992
linha=1553 | nome=Paulo | acao=fez um experimento | valor=5889
linha=1554 | nome=Sofia | acao=analisou os resultados | valor=5164
linha=1555 | nome=Felipe | acao=escreveu o relatorio | valor=9390
linha=1556 | nome=Paulo | acao=participou da aula | valor=2127
linha=1557 | nome=Mariana | acao=fez um experimento | valor=5915
linha=1558 | nome=Karen | acao=analisou os resultados | valor=1062
linha=1559 | nome=Eduarda | acao=participou da aula | valor=6974
linha=1560 | nome=Felipe | acao=fez um experimento | valor=2774
linha=1561 | nome=Joao | acao=otimizou o algoritmo | valor=6808
linha=1562 | nome=Igor | acao=participou da aula | valor=4575
linha=1563 | nome=Felipe | acao=estudou computacao | valor=3251
linha=1564 | nome=Natalia | acao=fez um experimento | valor=8832
linha=1565 | nome=Natalia | acao=estudou computacao | valor=8824
linha=1566 | nome=Daniela | acao=estudou computacao | valor=4814
linha=1567 | nome=Renata | acao=estudou computacao | valor=3505
linha=1568 | nome=Carlos | acao=fez um experimento | valor=9247
linha=1569 | nome=Eduarda | acao=executou o benchmark | valor=9367
linha=1570 | nome=Gabriela | acao=otimizou o algoritmo | valor=7211
linha=1571 | nome=Otavio | acao=comparou as metricas | valor=8922
linha=1572 | nome=Tiago | acao=analisou os resultados | valor=3488
linha=1573 | nome=Helena | acao=estudou computacao | valor=1120
linha=1574 | nome=Paulo | acao=executou o benchmark | valor=3727
linha=1575 | nome=Daniela | acao=participou da aula | valor=2382
linha=1576 | nome=Lucas | acao=analisou os resultados | valor=6869
linha=1577 | nome=Otavio | acao=fez um experimento | valor=9012
linha=1578 | nome=Igor | acao=comparou as metricas | valor=7977
linha=1579 | nome=Helena | acao=comparou as metricas | valor=7498
linha=1580 | nome=Mariana | acao=analisou os resultados | valor=1154
linha=1581 | nome=Eduarda | acao=participou da aula | valor=9572
linha=1582 | nome=Ana | acao=estudou computacao | valor=2228
linha=1583 | nome=Mariana | acao=comparou as metricas | valor=5745
linha=1584 | nome=Daniela | acao=estudou computacao | valor=9884
linha=1585 | nome=Karen | acao=estudou computacao | valor=9181
linha=1586 | nome=Felipe | acao=participou da aula | valor=1581
linha=1587 | nome=Felipe | acao=otimizou o algoritmo | valor=6109
linha=1588 | nome=Sofia | acao=estudou computacao | valor=4763
linha=1589 | nome=Joao | acao=fez um experimento | valor=4023
linha=1590 | nome=Bruno | acao=comparou as metricas | valor=9962
linha=1591 | nome=Karen | acao=estudou computacao | valor=5481
linha=1592 | nome=Gabriela | acao=comparou as metricas | valor=1013
linha=1593 | nome=Bruno | acao=participou da aula | valor=7914
linha=1594 | nome=Joao | acao=executou o benchmark | valor=9012
linha=1595 | nome=Helena | acao=analisou os resultados | valor=1278
linha=1596 | nome=Mariana | acao=analisou os resultados | valor=6162
linha=1597 | nome=Otavio | acao=analisou os resultados | valor=4757
linha=1598 | nome=Bruno | acao=escreveu o relatorio | valor=4117
linha=1599 | nome=Renata | acao=estudou computacao | valor=9048
linha=1600 | nome=Karen | acao=fez um experimento | valor=9591
linha=1601 | nome=Carlos | acao=otimizou o algoritmo | valor=8324
linha=1602 | nome=Lucas | acao=escreveu o relatorio | valor=7621
linha=1603 | nome=Sofia | acao=estudou computacao | valor=8484
linha=1604 | nome=Otavio | acao=estudou computacao | valor=5931
linha=1605 | nome=Felipe | acao=escreveu o relatorio | valor=9949
linha=1606 | nome=Mariana | acao=executou o benchmark | valor=8343
linha=1607 | nome=Ana | acao=otimizou o algoritmo | valor=4664
linha=1608 | nome=Ana | acao=comparou as metricas | valor=1806
linha=1609 | nome=Helena | acao=escreveu o relatorio | valor=5262
linha=1610 | nome=Mariana | acao=comparou as metricas | valor=3673
linha=1611 | nome=Renata | acao=comparou as metricas | valor=6742
linha=1612 | nome=Helena | acao=escreveu o relatorio | valor=5632
linha=1613 | nome=Mariana | acao=executou o benchmark | valor=1007
linha=1614 | nome=Vitor | acao=otimizou o algoritmo | valor=2450
linha=1615 | nome=Helena | acao=comparou as metricas | valor=9350
linha=1616 | nome=Tiago | acao=participou da aula | valor=8366
linha=1617 | nome=Joao | acao=escreveu o relatorio | valor=7991
linha=1618 | nome=Renata | acao=escreveu o relatorio | valor=3109
linha=1619 | nome=Ana | acao=analisou os resultados | valor=1647
linha=1620 | nome=Daniela | acao=fez um experimento | valor=7184
linha=1621 | nome=Gabriela | acao=escreveu o relatorio | valor=3589
linha=1622 | nome=Sofia | acao=comparou as metricas | valor=8562
linha=1623 | nome=Karen | acao=analisou os resultados | valor=8162
linha=1624 | nome=Lucas | acao=participou da aula | valor=4311
linha=1625 | nome=Helena | acao=estudou computacao | valor=9854
linha=1626 | nome=Bruno | acao=estudou computacao | valor=2204
linha=1627 | nome=Felipe | acao=executou o benchmark | valor=2475
linha=1628 | nome=Helena | acao=comparou as metricas | valor=4834
linha=1629 | nome=Karen | acao=comparou as metricas | valor=9582
linha=1630 | nome=Carlos | acao=otimizou o algoritmo | valor=1757
linha=1631 | nome=Renata | acao=escreveu o relatorio | valor=9996
linha=1632 | nome=Eduarda | acao=escreveu o relatorio | valor=1056
linha=1633 | nome=Renata | acao=estudou computacao | valor=4404
linha=1634 | nome=Mariana | acao=analisou os resultados | valor=2143
linha=1635 | nome=Bruno | acao=otimizou o algoritmo | valor=8727
linha=1636 | nome=Daniela | acao=escreveu o relatorio | valor=5512
linha=1637 | nome=Vitor | acao=fez um experimento | valor=3910
linha=1638 | nome=Renata | acao=analisou os resultados | valor=6148
linha=1639 | nome=Natalia | acao=comparou as metricas | valor=9312
linha=1640 | nome=Vitor | acao=fez um experimento | valor=1164
linha=1641 | nome=Lucas | acao=executou o benchmark | valor=6285
linha=1642 | nome=Gabriela | acao=participou da aula | valor=8150
linha=1643 | nome=Lucas | acao=executou o benchmark | valor=1461
linha=1644 | nome=Mariana | acao=executou o benchmark | valor=2755
linha=1645 | nome=Gabriela | acao=estudou computacao | valor=2139
linha=1646 | nome=Carlos | acao=executou o benchmark | valor=4956
linha=1647 | nome=Tiago | acao=estudou computacao | valor=2084
linha=1648 | nome=Otavio | acao=otimizou o algoritmo | valor=9690
linha=1649 | nome=Gabriela | acao=escreveu o relatorio | valor=6717
linha=1650 | nome=Natalia | acao=participou da aula | valor=5177
linha=1651 | nome=Eduarda | acao=executou o benchmark | valor=2569
linha=1652 | nome=Igor | acao=participou da aula | valor=5521
linha=1653 | nome=Daniela | acao=fez um experimento | valor=4434
linha=1654 | nome=Felipe | acao=analisou os resultados | valor=2676
linha=1655 | nome=Eduarda | acao=otimizou o algoritmo | valor=7329
linha=1656 | nome=Lucas | acao=executou o benchmark | valor=8867
linha=1657 | nome=Tiago | acao=participou da aula | valor=1074
linha=1658 | nome=Gabriela | acao=participou da aula | valor=8923
linha=1659 | nome=Carlos | acao=escreveu o relatorio | valor=5435
linha=1660 | nome=Felipe | acao=estudou computacao | valor=7109
linha=1661 | nome=Lucas | acao=participou da aula | valor=9614
linha=1662 | nome=Mariana | acao=executou o benchmark | valor=9406
linha=1663 | nome=Renata | acao=analisou os resultados | valor=2807
linha=1664 | nome=Carlos | acao=participou da aula | valor=4574
linha=1665 | nome=Eduarda | acao=estudou computacao | valor=8072
linha=1666 | nome=Otavio | acao=analisou os resultados | valor=6794
linha=1667 | nome=Renata | acao=participou da aula | valor=5512
linha=1668 | nome=Vitor | acao=fez um experimento | valor=5957
linha=1669 | nome=Renata | acao=escreveu o relatorio | valor=5206
linha=1670 | nome=Tiago | acao=executou o benchmark | valor=8099
linha=1671 | nome=Carlos | acao=fez um experimento | valor=9859
linha=1672 | nome=Igor | acao=otimizou o algoritmo | valor=4894
linha=1673 | nome=Lucas | acao=participou da aula | valor=1937
linha=1674 | nome=Sofia | acao=executou o benchmark | valor=6508
linha=1675 | nome=Igor | acao=escreveu o relatorio | valor=9621
linha=1676 | nome=Mariana | acao=participou da aula | valor=4554
linha=1677 | nome=Karen | acao=executou o benchmark | valor=7490
linha=1678 | nome=Bruno | acao=analisou os resultados | valor=9004
linha=1679 | nome=Carlos | acao=estudou computacao | valor=1452
linha=1680 | nome=Mariana | acao=comparou as metricas | valor=9561
linha=1681 | nome=Ana | acao=executou o benchmark | valor=6701
linha=1682 | nome=Sofia | acao=estudou computacao | valor=1855
linha=1683 | nome=Natalia | acao=executou o benchmark | valor=2237
linha=1684 | nome=Carlos | acao=otimizou o algoritmo | valor=3591
linha=1685 | nome=Eduarda | acao=escreveu o relatorio | valor=7702
linha=1686 | nome=Gabriela | acao=analisou os resultados | valor=9637
linha=1687 | nome=Helena | acao=otimizou o algoritmo | valor=8475
linha=1688 | nome=Natalia | acao=escreveu o relatorio | valor=3001
linha=1689 | nome=Mariana | acao=escreveu o relatorio | valor=6154
linha=1690 | nome=Bruno | acao=otimizou o algoritmo | valor=1076
linha=1691 | nome=Paulo | acao=otimizou o algoritmo | valor=5348
linha=1692 | nome=Natalia | acao=participou da aula | valor=1391
linha=1693 | nome=Paulo | acao=participou da aula | valor=4756
linha=1694 | nome=Vitor | acao=executou o benchmark | valor=6421
linha=1695 | nome=Carlos | acao=participou da aula | valor=1064
linha=1696 | nome=Sofia | acao=estudou computacao | valor=5803
linha=1697 | nome=Mariana | acao=comparou as metricas | valor=8304
linha=1698 | nome=Paulo | acao=escreveu o relatorio | valor=2705
linha=1699 | nome=Felipe | acao=analisou os resultados | valor=7625
linha=1700 | nome=Bruno | acao=otimizou o algoritmo | valor=4859
linha=1701 | nome=Renata | acao=otimizou o algoritmo | valor=3165
linha=1702 | nome=Mariana | acao=analisou os resultados | valor=6061
linha=1703 | nome=Daniela | acao=estudou computacao | valor=6539
linha=1704 | nome=Mariana | acao=escreveu o relatorio | valor=5561
linha=1705 | nome=Mariana | acao=executou o benchmark | valor=8634
linha=1706 | nome=Joao | acao=fez um experimento | valor=9734
linha=1707 | nome=Carlos | acao=executou o benchmark | valor=9326
linha=1708 | nome=Karen | acao=estudou computacao | valor=8304
linha=1709 | nome=Helena | acao=escreveu o relatorio | valor=6987
linha=1710 | nome=Renata | acao=fez um experimento | valor=4599
linha=1711 | nome=Sofia | acao=escreveu o relatorio | valor=9029
linha=1712 | nome=Paulo | acao=estudou computacao | valor=4775
linha=1713 | nome=Tiago | acao=comparou as metricas | valor=3503
linha=1714 | nome=Otavio | acao=analisou os resultados | valor=5354
linha=1715 | nome=Natalia | acao=otimizou o algoritmo | valor=1154
linha=1716 | nome=Carlos | acao=analisou os resultados | valor=3229
linha=1717 | nome=Karen | acao=escreveu o relatorio | valor=9432
linha=1718 | nome=Lucas | acao=executou o benchmark | valor=9524
linha=1719 | nome=Natalia | acao=analisou os resultados | valor=8945
linha=1720 | nome=Lucas | acao=escreveu o relatorio | valor=4604
linha=1721 | nome=Mariana | acao=analisou os resultados | valor=1151
linha=1722 | nome=Lucas | acao=fez um experimento | valor=3775
linha=1723 | nome=Helena | acao=comparou as metricas | valor=6560
linha=1724 | nome=Paulo | acao=escreveu o relatorio | valor=5705
linha=1725 | nome=Igor | acao=escreveu o relatorio | valor=3660
linha=1726 | nome=Tiago | acao=participou da aula | valor=3731
linha=1727 | nome=Joao | acao=otimizou o algoritmo | valor=6919
linha=1728 | nome=Joao | acao=participou da aula | valor=1944
linha=1729 | nome=Paulo | acao=comparou as metricas | valor=4143
linha=1730 | nome=Mariana | acao=analisou os resultados | valor=8944
linha=1731 | nome=Gabriela | acao=executou o benchmark | valor=9098
linha=1732 | nome=Joao | acao=comparou as metricas | valor=1350
linha=1733 | nome=Paulo | acao=escreveu o relatorio | valor=7174
linha=1734 | nome=Mariana | acao=fez um experimento | valor=5938
linha=1735 | nome=Paulo | acao=fez um experimento | valor=3551
linha=1736 | nome=Sofia | acao=comparou as metricas | valor=8406
linha=1737 | nome=Felipe | acao=comparou as metricas | valor=2195
linha=1738 | nome=Lucas | acao=participou da aula | valor=8792
linha=1739 | nome=Sofia | acao=otimizou o algoritmo | valor=2061
linha=1740 | nome=Ana | acao=comparou as metricas | valor=9182
linha=1741 | nome=Carlos | acao=analisou os resultados | valor=2617
linha=1742 | nome=Daniela | acao=estudou computacao | valor=2342
linha=1743 | nome=Felipe | acao=escreveu o relatorio | valor=5532
linha=1744 | nome=Eduarda | acao=escreveu o relatorio | valor=5002
linha=1745 | nome=Carlos | acao=comparou as metricas | valor=5123
linha=1746 | nome=Karen | acao=otimizou o algoritmo | valor=8407
linha=1747 | nome=Karen | acao=estudou computacao | valor=9531
linha=1748 | nome=Felipe | acao=fez um experimento | valor=5926
linha=1749 | nome=Helena | acao=participou da aula | valor=6016
linha=1750 | nome=Otavio | acao=estudou computacao | valor=3040
linha=1751 | nome=Helena | acao=fez um experimento | valor=6410
linha=1752 | nome=Daniela | acao=otimizou o algoritmo | valor=7906
linha=1753 | nome=Paulo | acao=otimizou o algoritmo | valor=2126
linha=1754 | nome=Karen | acao=comparou as metricas | valor=9710
linha=1755 | nome=Otavio | acao=analisou os resultados | valor=9147
linha=1756 | nome=Natalia | acao=participou da aula | valor=7055
linha=1757 | nome=Carlos | acao=escreveu o relatorio | valor=1050
linha=1758 | nome=Carlos | acao=analisou os resultados | valor=2440
linha=1759 | nome=Mariana | acao=otimizou o algoritmo | valor=1135
linha=1760 | nome=Daniela | acao=otimizou o algoritmo | valor=9743
linha=1761 | nome=Gabriela | acao=otimizou o algoritmo | valor=3985
linha=1762 | nome=Mariana | acao=executou o benchmark | valor=5014
linha=1763 | nome=Mariana | acao=estudou computacao | valor=9958
linha=1764 | nome=Tiago | acao=fez um experimento | valor=6857
linha=1765 | nome=Lucas | acao=participou da aula | valor=5084
linha=1766 | nome=Helena | acao=analisou os resultados | valor=9729
linha=1767 | nome=Gabriela | acao=participou da aula | valor=8611
linha=1768 | nome=Otavio | acao=fez um experimento | valor=6434
linha=1769 | nome=Mariana | acao=participou da aula | valor=5431
linha=1770 | nome=Felipe | acao=analisou os resultados | valor=9937
linha=1771 | nome=Tiago | acao=fez um experimento | valor=2658
linha=1772 | nome=Karen | acao=comparou as metricas | valor=7248
linha=1773 | nome=Paulo | acao=estudou computacao | valor=2024
linha=1774 | nome=Karen | acao=participou da aula | valor=7704
linha=1775 | nome=Joao | acao=escreveu o relatorio | valor=8763
linha=1776 | nome=Karen | acao=executou o benchmark | valor=2646
linha=1777 | nome=Renata | acao=estudou computacao | valor=9454
linha=1778 | nome=Ana | acao=executou o benchmark | valor=8968
linha=1779 | nome=Felipe | acao=escreveu o relatorio | valor=8477
linha=1780 | nome=Eduarda | acao=comparou as metricas | valor=9267
linha=1781 | nome=Paulo | acao=escreveu o relatorio | valor=6752
linha=1782 | nome=Daniela | acao=executou o benchmark | valor=8084
linha=1783 | nome=Natalia | acao=executou o benchmark | valor=5119
linha=1784 | nome=Carlos | acao=analisou os resultados | valor=9210
linha=1785 | nome=Joao | acao=estudou computacao | valor=2441
linha=1786 | nome=Bruno | acao=estudou computacao | valor=2412
linha=1787 | nome=Vitor | acao=escreveu o relatorio | valor=9140
linha=1788 | nome=Lucas | acao=escreveu o relatorio | valor=6680
linha=1789 | nome=Mariana | acao=estudou computacao | valor=4854
linha=1790 | nome=Daniela | acao=comparou as metricas | valor=7439
linha=1791 | nome=Karen | acao=fez um experimento | valor=4862
linha=1792 | nome=Gabriela | acao=otimizou o algoritmo | valor=3162
linha=1793 | nome=Joao | acao=otimizou o algoritmo | valor=9030
linha=1794 | nome=Lucas | acao=analisou os resultados | valor=4820
linha=1795 | nome=Mariana | acao=executou o benchmark | valor=6060
linha=1796 | nome=Karen | acao=executou o benchmark | valor=5249
linha=1797 | nome=Eduarda | acao=comparou as metricas | valor=5927
linha=1798 | nome=Natalia | acao=fez um experimento | valor=5014
linha=1799 | nome=Carlos | acao=executou o benchmark | valor=8415
linha=1800 | nome=Renata | acao=executou o benchmark | valor=9563
linha=1801 | nome=Otavio | acao=otimizou o algoritmo | valor=2005
linha=1802 | nome=Vitor | acao=analisou os resultados | valor=2656
linha=1803 | nome=Renata | acao=participou da aula | valor=9548
linha=1804 | nome=Natalia | acao=participou da aula | valor=9166
linha=1805 | nome=Sofia | acao=executou o benchmark | valor=8954
linha=1806 | nome=Lucas | acao=participou da aula | valor=1756
linha=1807 | nome=Helena | acao=otimizou o algoritmo | valor=1455
linha=1808 | nome=Karen | acao=estudou computacao | valor=9809
linha=1809 | nome=Carlos | acao=analisou os resultados | valor=9907
linha=1810 | nome=Helena | acao=escreveu o relatorio | valor=6328
linha=1811 | nome=Eduarda | acao=executou o benchmark | valor=1038
linha=1812 | nome=Paulo | acao=analisou os resultados | valor=6329
linha=1813 | nome=Vitor | acao=comparou as metricas | valor=2550
linha=1814 | nome=Gabriela | acao=analisou os resultados | valor=6150
linha=1815 | nome=Igor | acao=escreveu o relatorio | valor=1912
linha=1816 | nome=Otavio | acao=comparou as metricas | valor=6011
linha=1817 | nome=Helena | acao=executou o benchmark | valor=4733
linha=1818 | nome=Natalia | acao=analisou os resultados | valor=7260
linha=1819 | nome=Lucas | acao=executou o benchmark | valor=2258
linha=1820 | nome=Joao | acao=participou da aula | valor=9165
linha=1821 | nome=Eduarda | acao=executou o benchmark | valor=4440
linha=1822 | nome=Felipe | acao=participou da aula | valor=5209
linha=1823 | nome=Helena | acao=comparou as metricas | valor=5175
linha=1824 | nome=Joao | acao=participou da aula | valor=8916
linha=1825 | nome=Joao | acao=fez um experimento | valor=3335
linha=1826 | nome=Otavio | acao=participou da aula | valor=3779
linha=1827 | nome=Natalia | acao=participou da aula | valor=5667
linha=1828 | nome=Lucas | acao=estudou computacao | valor=4462
linha=1829 | nome=Tiago | acao=participou da aula | valor=4953
linha=1830 | nome=Igor | acao=escreveu o relatorio | valor=8805
linha=1831 | nome=Felipe | acao=analisou os resultados | valor=2276
linha=1832 | nome=Carlos | acao=executou o benchmark | valor=6664
linha=1833 | nome=Joao | acao=otimizou o algoritmo | valor=6291
linha=1834 | nome=Paulo | acao=estudou computacao | valor=7965
linha=1835 | nome=Sofia | acao=analisou os resultados | valor=5582
linha=1836 | nome=Paulo | acao=estudou computacao | valor=9835
linha=1837 | nome=Karen | acao=executou o benchmark | valor=2103
linha=1838 | nome=Karen | acao=otimizou o algoritmo | valor=3913
linha=1839 | nome=Otavio | acao=analisou os resultados | valor=6080
linha=1840 | nome=Mariana | acao=comparou as metricas | valor=4080
linha=1841 | nome=Tiago | acao=executou o benchmark | valor=9832
