linha=1 | nome=Sofia | acao=estudou computacao | valor=7362
linha=1121 | nome=Bruno | acao=analisou os resultados | valor=1165
linha=1122 | nome=Mariana | acao=estudou computacao | valor=3130
linha=1123 | nome=Sofia | acao=executou o benchmark | valor=9063
linha=1124 | nome=Felipe | acao=estudou computacao | valor=2107
linha=1125 | nome=Tiago | acao=fez um experimento | valor=1325
linha=1126 | nome=Gabriela | acao=executou o benchmark | valor=3407
linha=1127 | nome=Carlos | acao=estudou computacao | valor=1024
linha=1128 | nome=Lucas | acao=escreveu o relatorio | valor=2038
linha=1129 | nome=Sofia | acao=participou da aula | valor=8168
linha=1130 | nome=Mariana | acao=escreveu o relatorio | valor=3688
linha=1131 | nome=Daniela | acao=otimizou o algoritmo | valor=6684
linha=1132 | nome=Paulo | acao=executou o benchmark | valor=5950
linha=1133 | nome=Carlos | acao=otimizou o algoritmo | valor=3764
linha=1134 | nome=Eduarda | acao=executou o benchmark | valor=2228
linha=1135 | nome=Vitor | acao=estudou computacao | valor=9041
linha=1136 | nome=Sofia | acao=executou o benchmark | valor=2998
linha=1137 | nome=Mariana | acao=analisou os resultados | valor=3982
linha=1138 | nome=Felipe | acao=escreveu o relatorio | valor=3181
linha=1139 | nome=Carlos | acao=estudou computacao | valor=7076
linha=1140 | nome=Paulo | acao=estudou computacao | valor=8073
linha=1141 | nome=Tiago | acao=participou da aula | valor=1116
linha=1142 | nome=Igor | acao=otimizou o algoritmo | valor=7294
linha=1143 | nome=Lucas | acao=estudou computacao | valor=5772
linha=1144 | nome=Daniela | acao=executou o benchmark | valor=3810
linha=1145 | nome=Bruno | acao=estudou computacao | valor=1383
linha=1146 | nome=Eduarda | acao=otimizou o algoritmo | valor=8393
linha=1147 | nome=Daniela | acao=comparou as metricas | valor=3185
linha=1148 | nome=Bruno | acao=otimizou o algoritmo | valor=7784
linha=1149 | nome=Gabriela | acao=analisou os resultados | valor=3491
linha=1150 | nome=Gabriela | acao=comparou as metricas | valor=2630
linha=1151 | nome=Helena | acao=escreveu o relatorio | valor=7085
linha=1152 | nome=Vitor | acao=escreveu o relatorio | valor=1998
linha=1153 | nome=Lucas | acao=fez um experimento | valor=5809
linha=1154 | nome=Ana | acao=otimizou o algoritmo | valor=2519
linha=1155 | nome=Daniela | acao=otimizou o algoritmo | valor=9150
linha=1156 | nome=Otavio | acao=comparou as metricas | valor=8870
linha=1157 | nome=Sofia | acao=fez um experimento | valor=5634
linha=1158 | nome=Eduarda | acao=escreveu o relatorio | valor=4985
linha=1159 | nome=Ana | acao=estudou computacao | valor=5542
linha=1160 | nome=Sofia | acao=participou da aula | valor=4699
linha=1161 | nome=Ana | acao=comparou as metricas | valor=9103
linha=1162 | nome=Felipe | acao=analisou os resultados | valor=5289
linha=1163 | nome=Ana | acao=executou o benchmark | valor=5695
linha=1164 | nome=Mariana | acao=participou da aula | valor=7034
linha=1165 | nome=Igor | acao=escreveu o relatorio | valor=2338
linha=1166 | nome=Karen | acao=executou o benchmark | valor=2778
linha=1167 | nome=Ana | acao=estudou computacao | valor=6908
linha=1168 | nome=Carlos | acao=estudou computacao | valor=7253
linha=1169 | nome=Joao | acao=analisou os resultados | valor=1389
linha=1170 | nome=Otavio | acao=fez um experimento | valor=9960
linha=1171 | nome=Lucas | acao=participou da aula | valor=5795
linha=1172 | nome=Igor | acao=estudou computacao | valor=4515
linha=1173 | nome=Ana | acao=participou da aula | valor=6217
linha=1174 | nome=Joao | acao=otimizou o algoritmo | valor=7685
linha=1175 | nome=Vitor | acao=analisou os resultados | valor=9519
linha=1176 | nome=Ana | acao=participou da aula | valor=4622
linha=1177 | nome=Otavio | acao=otimizou o algoritmo | valor=5554
linha=1178 | nome=Natalia | acao=comparou as metricas | valor=2965
linha=1179 | nome=Mariana | acao=analisou os resultados | valor=4859
linha=1180 | nome=Gabriela | acao=executou o benchmark | valor=5266
linha=1181 | nome=Tiago | acao=executou o benchmark | valor=2830
linha=1182 | nome=Eduarda | acao=analisou os resultados | valor=5247
linha=1183 | nome=Bruno | acao=otimizou o algoritmo | valor=6370
linha=1184 | nome=Karen | acao=otimizou o algoritmo | valor=7135
linha=1185 | nome=Helena | acao=analisou os resultados | valor=9533
linha=1186 | nome=Otavio | acao=escreveu o relatorio | valor=1186
linha=1187 | nome=Carlos | acao=participou da aula | valor=2666
linha=1188 | nome=Gabriela | acao=participou da aula | valor=3275
linha=1189 | nome=Ana | acao=executou o benchmark | valor=5259
linha=1190 | nome=Gabriela | acao=executou o benchmark | valor=7154
linha=1191 | nome=Joao | acao=fez um experimento | valor=4063
linha=1192 | nome=Paulo | acao=escreveu o relatorio | valor=5663
linha=1193 | nome=Lucas | acao=fez um experimento | valor=2786
linha=1194 | nome=Paulo | acao=escreveu o relatorio | valor=4390
linha=1195 | nome=Sofia | acao=escreveu o relatorio | valor=6812
linha=1196 | nome=Eduarda | acao=executou o benchmark | valor=4852
linha=1197 | nome=Vitor | acao=participou da aula | valor=6796
linha=1198 | nome=Sofia | acao=otimizou o algoritmo | valor=2206
linha=1199 | nome=Karen | acao=comparou as metricas | valor=5181
linha=1200 | nome=Otavio | acao=fez um experimento | valor=3777
linha=1201 | nome=Joao | acao=estudou computacao | valor=8092
linha=1202 | nome=Otavio | acao=analisou os resultados | valor=8501
linha=1203 | nome=Igor | acao=fez um experimento | valor=6137
linha=1204 | nome=Renata | acao=otimizou o algoritmo | valor=5868
linha=1205 | nome=Karen | acao=otimizou o algoritmo | valor=1492
linha=1206 | nome=Ana | acao=escreveu o relatorio | valor=2409
linha=1207 | nome=Gabriela | acao=analisou os resultados | valor=2668
linha=1208 | nome=Paulo | acao=escreveu o relatorio | valor=6258
linha=1209 | nome=Renata | acao=participou da aula | valor=5618
linha=1210 | nome=Sofia | acao=participou da aula | valor=1227
linha=1211 | nome=Daniela | acao=fez um experimento | valor=2361
linha=1212 | nome=Carlos | acao=escreveu o relatorio | valor=2596
linha=1213 | nome=Bruno | acao=participou da aula | valor=6477
linha=1214 | nome=Gabriela | acao=fez um experimento | valor=9975
linha=1215 | nome=Vitor | acao=executou o benchmark | valor=3997
linha=1216 | nome=Felipe | acao=otimizou o algoritmo | valor=8488
linha=1217 | nome=Tiago | acao=executou o benchmark | valor=5876
linha=1218 | nome=Ana | acao=analisou os resultados | valor=2354
linha=1219 | nome=Renata | acao=comparou as metricas | valor=2623
linha=1220 | nome=Daniela | acao=otimizou o algoritmo | valor=6281
linha=1221 | nome=Sofia | acao=comparou as metricas | valor=4486
linha=1222 | nome=Felipe | acao=otimizou o algoritmo | valor=7874
linha=1223 | nome=Eduarda | acao=analisou os resultados | valor=3724
linha=1224 | nome=Joao | acao=estudou computacao | valor=1308
linha=1225 | nome=Otavio | acao=fez um experimento | valor=9853
linha=1226 | nome=Helena | acao=comparou as metricas | valor=1910
linha=1227 | nome=Lucas | acao=escreveu o relatorio | valor=6023
linha=1228 | nome=Felipe | acao=fez um experimento | valor=1991
linha=1229 | nome=Ana | acao=comparou as metricas | valor=7964
linha=1230 | nome=Lucas | acao=escreveu o relatorio | valor=7851
linha=1231 | nome=Gabriela | acao=escreveu o relatorio | valor=1758
linha=1232 | nome=Felipe | acao=otimizou o algoritmo | valor=5104
linha=1233 | nome=Paulo | acao=otimizou o algoritmo | valor=1280
linha=1234 | nome=Bruno | acao=analisou os resultados | valor=2728
linha=1235 | nome=Lucas | acao=escreveu o relatorio | valor=6873
linha=1236 | nome=Tiago | acao=analisou os resultados | valor=2183
linha=1237 | nome=Daniela | acao=fez um experimento | valor=6003
linha=1238 | nome=Ana | acao=estudou computacao | valor=8398
linha=1239 | nome=Natalia | acao=escreveu o relatorio | valor=5093
linha=1240 | nome=Joao | acao=estudou computacao | valor=5416
linha=1241 | nome=Renata | acao=executou o benchmark | valor=1052
linha=1242 | nome=Natalia | acao=participou da aula | valor=1351
linha=1243 | nome=Felipe | acao=participou da aula | valor=3110
linha=1244 | nome=Sofia | acao=estudou computacao | valor=4202
linha=1245 | nome=Mariana | acao=estudou computacao | valor=8228
linha=1246 | nome=Sofia | acao=estudou computacao | valor=9808
linha=1247 | nome=Daniela | acao=estudou computacao | valor=5479
linha=1248 | nome=Natalia | acao=comparou as metricas | valor=3747
linha=1249 | nome=Ana | acao=escreveu o relatorio | valor=8686
linha=1250 | nome=Sofia | acao=otimizou o algoritmo | valor=3514
linha=1251 | nome=Helena | acao=executou o benchmark | valor=6293
linha=1252 | nome=Mariana | acao=otimizou o algoritmo | valor=2019
linha=1253 | nome=Eduarda | acao=otimizou o algoritmo | valor=8925
linha=1254 | nome=Tiago | acao=comparou as metricas | valor=2171
linha=1255 | nome=Felipe | acao=participou da aula | valor=5638
linha=1256 | nome=Eduarda | acao=otimizou o algoritmo | valor=6841
linha=1257 | nome=Eduarda | acao=fez um experimento | valor=4585
linha=1258 | nome=Mariana | acao=analisou os resultados | valor=1068
linha=1259 | nome=Felipe | acao=fez um experimento | valor=1538
linha=1260 | nome=Felipe | acao=analisou os resultados | valor=8477
linha=1261 | nome=Daniela | acao=comparou as metricas | valor=6181
linha=1262 | nome=Otavio | acao=comparou as metricas | valor=5560
linha=1263 | nome=Paulo | acao=executou o benchmark | valor=3533
linha=1264 | nome=Helena | acao=otimizou o algoritmo | valor=2673
linha=1265 | nome=Eduarda | acao=analisou os resultados | valor=9356
linha=1266 | nome=Otavio | acao=analisou os resultados | valor=5128
linha=1267 | nome=Igor | acao=fez um experimento | valor=6902
linha=1268 | nome=Lucas | acao=comparou as metricas | valor=9021
linha=1269 | nome=Eduarda | acao=executou o benchmark | valor=6866
linha=1270 | nome=Igor | acao=fez um experimento | valor=3049
linha=1271 | nome=Carlos | acao=escreveu o relatorio | valor=1865
linha=1272 | nome=Bruno | acao=otimizou o algoritmo | valor=5864
linha=1273 | nome=Tiago | acao=participou da aula | valor=8878
linha=1274 | nome=Igor | acao=fez um experimento | valor=7762
linha=1275 | nome=Mariana | acao=analisou os resultados | valor=6906
linha=1276 | nome=Felipe | acao=estudou computacao | valor=8217
linha=1277 | nome=Lucas | acao=estudou computacao | valor=4201
linha=1278 | nome=Vitor | acao=participou da aula | valor=6523
linha=1279 | nome=Mariana | acao=participou da aula | valor=4344
linha=1280 | nome=Lucas | acao=analisou os resultados | valor=1364
linha=1281 | nome=Sofia | acao=otimizou o algoritmo | valor=5502
linha=1282 | nome=Carlos | acao=fez um experimento | valor=8744
linha=1283 | nome=Karen | acao=executou o benchmark | valor=4108
linha=1284 | nome=Felipe | acao=comparou as metricas | valor=4320
linha=1285 | nome=Natalia | acao=fez um experimento | valor=5622
linha=1286 | nome=Natalia | acao=estudou computacao | valor=6603
linha=1287 | nome=Gabriela | acao=executou o benchmark | valor=6860
linha=1288 | nome=Lucas | acao=fez um experimento | valor=6366
linha=1289 | nome=Igor | acao=analisou os resultados | valor=4870
linha=1290 | nome=Tiago | acao=analisou os resultados | valor=3064
linha=1291 | nome=Helena | acao=estudou computacao | valor=4088
linha=1292 | nome=Natalia | acao=comparou as metricas | valor=5813
linha=1293 | nome=Igor | acao=analisou os resultados | valor=9047
linha=1294 | nome=Otavio | acao=analisou os resultados | valor=6027
linha=1295 | nome=Helena | acao=fez um experimento | valor=1336
linha=1296 | nome=Renata | acao=executou o benchmark | valor=9817
linha=1297 | nome=Sofia | acao=escreveu o relatorio | valor=4913
linha=1298 | nome=Tiago | acao=estudou computacao | valor=8076
linha=1299 | nome=Tiago | acao=estudou computacao | valor=2216
linha=1300 | nome=Renata | acao=executou o benchmark | valor=8763
linha=1301 | nome=Eduarda | acao=participou da aula | valor=9212
linha=1302 | nome=Lucas | acao=comparou as metricas | valor=1043
linha=1303 | nome=Daniela | acao=escreveu o relatorio | valor=2162
linha=1304 | nome=Daniela | acao=analisou os resultados | valor=7874
linha=1305 | nome=Vitor | acao=comparou as metricas | valor=9813
linha=1306 | nome=Sofia | acao=otimizou o algoritmo | valor=6624
linha=1307 | nome=Felipe | acao=escreveu o relatorio | valor=2213
linha=1308 | nome=Vitor | acao=analisou os resultados | valor=7127
linha=1309 | nome=Helena | acao=estudou computacao | valor=3801
linha=1310 | nome=Carlos | acao=otimizou o algoritmo | valor=9618
linha=1311 | nome=Mariana | acao=escreveu o relatorio | valor=4227
linha=1312 | nome=Joao | acao=executou o benchmark | valor=2879
linha=1313 | nome=Joao | acao=comparou as metricas | valor=5313
linha=1314 | nome=Mariana | acao=fez um experimento | valor=5734
linha=1315 | nome=Otavio | acao=participou da aula | valor=2425
linha=1316 | nome=Eduarda | acao=otimizou o algoritmo | valor=6570
linha=1317 | nome=Igor | acao=executou o benchmark | valor=6838
linha=1318 | nome=Tiago | acao=escreveu o relatorio | valor=5422
linha=1319 | nome=Sofia | acao=fez um experimento | valor=2812
linha=1320 | nome=Paulo | acao=otimizou o algoritmo | valor=2936
linha=1321 | nome=Lucas | acao=fez um experimento | valor=7472
linha=1322 | nome=Ana | acao=executou o benchmark | valor=7029
linha=1323 | nome=Natalia | acao=analisou os resultados | valor=9073
linha=1324 | nome=Joao | acao=escreveu o relatorio | valor=9346
linha=1325 | nome=Natalia | acao=executou o benchmark | valor=1005
linha=1326 | nome=Otavio | acao=otimizou o algoritmo | valor=7489
linha=1327 | nome=Natalia | acao=participou da aula | valor=7452
linha=1328 | nome=Mariana | acao=otimizou o algoritmo | valor=5684
linha=1329 | nome=Natalia | acao=executou o benchmark | valor=5945
linha=1330 | nome=Gabriela | acao=estudou computacao | valor=7302
linha=1331 | nome=Felipe | acao=escreveu o relatorio | valor=3118
linha=1332 | nome=Vitor | acao=otimizou o algoritmo | valor=4235
linha=1333 | nome=Helena | acao=executou o benchmark | valor=4900
linha=1334 | nome=Vitor | acao=fez um experimento | valor=8752
linha=1335 | nome=Natalia | acao=executou o benchmark | valor=7802
linha=1336 | nome=Vitor | acao=comparou as metricas | valor=3788
linha=1337 | nome=Sofia | acao=escreveu o relatorio | valor=2481
linha=1338 | nome=Sofia | acao=participou da aula | valor=1026
linha=1339 | nome=Daniela | acao=fez um experimento | valor=9425
linha=1340 | nome=Sofia | acao=escreveu o relatorio | valor=6655
linha=1341 | nome=Natalia | acao=otimizou o algoritmo | valor=1820
linha=1342 | nome=Lucas | acao=otimizou o algoritmo | valor=4917
linha=1343 | nome=Gabriela | acao=participou da aula | valor=4001
linha=1344 | nome=Tiago | acao=comparou as metricas | valor=2389
linha=1345 | nome=Sofia | acao=executou o benchmark | valor=9593
linha=1346 | nome=Tiago | acao=escreveu o relatorio | valor=9743
linha=1347 | nome=Paulo | acao=comparou as metricas | valor=9569
linha=1348 | nome=Bruno | acao=comparou as metricas | valor=1275
linha=1349 | nome=Otavio | acao=comparou as metricas | valor=2298
linha=1350 | nome=Sofia | acao=escreveu o relatorio | valor=7522
linha=1351 | nome=Mariana | acao=estudou computacao | valor=4722
linha=1352 | nome=Daniela | acao=comparou as metricas | valor=7949
linha=1353 | nome=Bruno | acao=otimizou o algoritmo | valor=6728
linha=1354 | nome=Lucas | acao=fez um experimento | valor=5001
linha=1355 | nome=Renata | acao=escreveu o relatorio | valor=2189
linha=1356 | nome=Natalia | acao=executou o benchmark | valor=7745
linha=1357 | nome=Karen | acao=otimizou o algoritmo | valor=7414
linha=1358 | nome=Lucas | acao=executou o benchmark | valor=3376
linha=1359 | nome=Helena | acao=escreveu o relatorio | valor=1710
linha=1360 | nome=Bruno | acao=executou o benchmark | valor=6223
linha=1361 | nome=Carlos | acao=estudou computacao | valor=3756
linha=1362 | nome=Igor | acao=escreveu o relatorio | valor=1558
linha=1363 | nome=Daniela | acao=analisou os resultados | valor=7342
linha=1364 | nome=Joao | acao=participou da aula | valor=3442
linha=1365 | nome=Karen | acao=participou da aula | valor=9735
linha=1366 | nome=Paulo | acao=executou o benchmark | valor=3257
linha=1367 | nome=Tiago | acao=fez um experimento | valor=9976
linha=1368 | nome=Igor | acao=escreveu o relatorio | valor=4781
linha=1369 | nome=Karen | acao=escreveu o relatorio | valor=4007
linha=1370 | nome=Karen | acao=escreveu o relatorio | valor=7270
linha=1371 | nome=Joao | acao=estudou computacao | valor=7602
linha=1372 | nome=Otavio | acao=estudou computacao | valor=9149
linha=1373 | nome=Igor | acao=participou da aula | valor=5929
linha=1374 | nome=Lucas | acao=estudou computacao | valor=3050
linha=1375 | nome=Gabriela | acao=fez um experimento | valor=4092
linha=1376 | nome=Paulo | acao=otimizou o algoritmo | valor=2702
linha=1377 | nome=Bruno | acao=analisou os resultados | valor=8780
linha=1378 | nome=Sofia | acao=otimizou o algoritmo | valor=5514
linha=1379 | nome=Natalia | acao=fez um experimento | valor=5365
linha=1380 | nome=Sofia | acao=executou o benchmark | valor=9293
linha=1381 | nome=Tiago | acao=fez um experimento | valor=1895
linha=1382 | nome=Gabriela | acao=fez um experimento | valor=6884
linha=1383 | nome=Ana | acao=participou da aula | valor=4265
linha=1384 | nome=Ana | acao=escreveu o relatorio | valor=6746
linha=1385 | nome=Felipe | acao=analisou os resultados | valor=5480
linha=1386 | nome=Lucas | acao=escreveu o relatorio | valor=5048
linha=1387 | nome=Mariana | acao=participou da aula | valor=7416
linha=1388 | nome=Lucas | acao=analisou os resultados | valor=8567
linha=1389 | nome=Eduarda | acao=participou da aula | valor=3481
linha=1390 | nome=Felipe | acao=escreveu o relatorio | valor=7454
linha=1391 | nome=Joao | acao=otimizou o algoritmo | valor=1681
linha=1392 | nome=Otavio | acao=participou da aula | valor=5721
linha=1393 | nome=Mariana | acao=executou o benchmark | valor=2016
linha=1394 | nome=Sofia | acao=fez um experimento | valor=2406
linha=1395 | nome=Carlos | acao=estudou computacao | valor=8660
linha=1396 | nome=Tiago | acao=participou da aula | valor=4869
linha=1397 | nome=Joao | acao=fez um experimento | valor=9399
linha=1398 | nome=Karen | acao=comparou as metricas | valor=1081
linha=1399 | nome=Tiago | acao=estudou computacao | valor=8215
linha=1400 | nome=Carlos | acao=estudou computacao | valor=6659
linha=1401 | nome=Vitor | acao=executou o benchmark | valor=3793
linha=1402 | nome=Igor | acao=analisou os resultados | valor=2644
linha=1403 | nome=Ana | acao=participou da aula | valor=3884
linha=1404 | nome=Otavio | acao=otimizou o algoritmo | valor=7325
linha=1405 | nome=Felipe | acao=fez um experimento | valor=5876
linha=1406 | nome=Paulo | acao=fez um experimento | valor=6899
linha=1407 | nome=Mariana | acao=executou o benchmark | valor=2843
linha=1408 | nome=Tiago | acao=estudou computacao | valor=7939
linha=1409 | nome=Carlos | acao=comparou as metricas | valor=7180
linha=1410 | nome=Lucas | acao=fez um experimento | valor=4973
linha=1411 | nome=Igor | acao=participou da aula | valor=4254
linha=1412 | nome=Mariana | acao=estudou computacao | valor=9445
linha=1413 | nome=Mariana | acao=escreveu o relatorio | valor=3863
linha=1414 | nome=Helena | acao=estudou computacao | valor=3191
linha=1415 | nome=Carlos | acao=executou o benchmark | valor=4529
linha=1416 | nome=Vitor | acao=otimizou o algoritmo | valor=7507
linha=1417 | nome=Karen | acao=comparou as metricas | valor=2835
linha=1418 | nome=Natalia | acao=escreveu o relatorio | valor=4254
linha=1419 | nome=Gabriela | acao=participou da aula | valor=4695
linha=1420 | nome=Joao | acao=analisou os resultados | valor=3564
linha=1421 | nome=Carlos | acao=escreveu o relatorio | valor=7248
linha=1422 | nome=Joao | acao=estudou computacao | valor=2495
linha=1423 | nome=Lucas | acao=escreveu o relatorio | valor=7396
linha=1424 | nome=Joao | acao=analisou os resultados | valor=2270
linha=1425 | nome=Mariana | acao=estudou computacao | valor=3772
linha=1426 | nome=Tiago | acao=participou da aula | valor=9880
linha=1427 | nome=Sofia | acao=fez um experimento | valor=7878
linha=1428 | nome=Tiago | acao=executou o benchmark | valor=2591
linha=1429 | nome=Mariana | acao=escreveu o relatorio | valor=5126
linha=1430 | nome=Gabriela | acao=estudou computacao | valor=7045
linha=1431 | nome=Daniela | acao=escreveu o relatorio | valor=3398
linha=1432 | nome=Otavio | acao=participou da aula | valor=2247
linha=1433 | nome=Felipe | acao=fez um experimento | valor=5992
linha=1434 | nome=Bruno | acao=comparou as metricas | valor=2493
linha=1435 | nome=Lucas | acao=fez um experimento | valor=7009
linha=1436 | nome=Carlos | acao=participou da aula | valor=6809
linha=1437 | nome=Daniela | acao=estudou computacao | valor=7424
linha=1438 | nome=Felipe | acao=participou da aula | valor=3068
linha=1439 | nome=Lucas | acao=participou da aula | valor=4890
linha=1440 | nome=Tiago | acao=comparou as metricas | valor=9060
linha=1441 | nome=Karen | acao=otimizou o algoritmo | valor=1237
linha=1442 | nome=Otavio | acao=fez um experimento | valor=3523
linha=1443 | nome=Carlos | acao=participou da aula | valor=6453
linha=1444 | nome=Natalia | acao=participou da aula | valor=5020
linha=1445 | nome=Eduarda | acao=executou o benchmark | valor=6974
linha=1446 | nome=Tiago | acao=executou o benchmark | valor=4855
linha=1447 | nome=Daniela | acao=fez um experimento | valor=5856
linha=1448 | nome=Mariana | acao=analisou os resultados | valor=8312
linha=1449 | nome=Felipe | acao=analisou os resultados | valor=1445
linha=1450 | nome=Karen | acao=participou da aula | valor=2436
linha=1451 | nome=Vitor | acao=estudou computacao | valor=2386
linha=1452 | nome=Natalia | acao=otimizou o algoritmo | valor=2936
linha=1453 | nome=Tiago | acao=executou o benchmark | valor=7313
linha=1454 | nome=Ana | acao=comparou as metricas | valor=1861
linha=1455 | nome=Carlos | acao=fez um experimento | valor=9463
linha=1456 | nome=Karen | acao=comparou as metricas | valor=7141
linha=1457 | nome=Karen | acao=fez um experimento | valor=6490
linha=1458 | nome=Ana | acao=otimizou o algoritmo | valor=5451
linha=1459 | nome=Mariana | acao=estudou computacao | valor=7074
linha=1460 | nome=Vitor | acao=fez um experimento | valor=9812
linha=1461 | nome=Natalia | acao=estudou computacao | valor=7046
linha=1462 | nome=Mariana | acao=analisou os resultados | valor=3395
linha=1463 | nome=Carlos | acao=escreveu o relatorio | valor=7781
linha=1464 | nome=Paulo | acao=estudou computacao | valor=4533
linha=1465 | nome=Lucas | acao=escreveu o relatorio | valor=9874
linha=1466 | nome=Gabriela | acao=otimizou o algoritmo | valor=4047
linha=1467 | nome=Gabriela | acao=otimizou o algoritmo | valor=3895
linha=1468 | nome=Otavio | acao=analisou os resultados | valor=4199
linha=1469 | nome=Daniela | acao=participou da aula | valor=2364
linha=1470 | nome=Otavio | acao=analisou os resultados | valor=3622
linha=1471 | nome=Paulo | acao=estudou computacao | valor=7743
linha=1472 | nome=Felipe | acao=participou da aula | valor=6166
linha=1473 | nome=Renata | acao=analisou os resultados | valor=3438
linha=1474 | nome=Gabriela | acao=otimizou o algoritmo | valor=8999
linha=1475 | nome=Eduarda | acao=comparou as metricas | valor=4703
linha=1476 | nome=Mariana | acao=otimizou o algoritmo | valor=5644
linha=1477 | nome=Helena | acao=executou o benchmark | valor=1004
linha=1478 | nome=Vitor | acao=fez um experimento | valor=9280
linha=1479 | nome=Paulo | acao=executou o benchmark | valor=5787
linha=1480 | nome=Ana | acao=executou o benchmark | valor=3865
linha=1481 | nome=Paulo | acao=comparou as metricas | valor=6493
linha=1482 | nome=Sofia | acao=comparou as metricas | valor=5833
linha=1483 | nome=Helena | acao=fez um experimento | valor=4433
linha=1484 | nome=Igor | acao=fez um experimento | valor=8917
linha=1485 | nome=Sofia | acao=fez um experimento | valor=1139
linha=1486 | nome=Ana | acao=otimizou o algoritmo | valor=1767
linha=1487 | nome=Mariana | acao=analisou os resultados | valor=1440
linha=1488 | nome=Daniela | acao=otimizou o algoritmo | valor=4255
linha=1489 | nome=Mariana | acao=escreveu o relatorio | valor=9963
linha=1490 | nome=Felipe | acao=analisou os resultados | valor=7086
linha=1491 | nome=Paulo | acao=fez um experimento | valor=6801
linha=1492 | nome=Vitor | acao=otimizou o algoritmo | valor=3091
linha=1493 | nome=Felipe | acao=escreveu o relatorio | valor=9549
linha=1494 | nome=Karen | acao=comparou as metricas | valor=2714
linha=1495 | nome=Vitor | acao=analisou os resultados | valor=3355
linha=1496 | nome=Vitor | acao=otimizou o algoritmo | valor=1987
linha=1497 | nome=Otavio | acao=participou da aula | valor=1389
linha=1498 | nome=Renata | acao=comparou as metricas | valor=3591
linha=1499 | nome=Carlos | acao=estudou computacao | valor=1008
linha=1500 | nome=Eduarda | acao=escreveu o relatorio | valor=6195
linha=1501 | nome=Gabriela | acao=participou da aula | valor=9836
linha=1502 | nome=Igor | acao=otimizou o algoritmo | valor=5657
linha=1503 | nome=Renata | acao=participou da aula | valor=1057
linha=1504 | nome=Ana | acao=otimizou o algoritmo | valor=9262
linha=1505 | nome=Carlos | acao=fez um experimento | valor=7387
linha=1506 | nome=Igor | acao=estudou computacao | valor=1352
linha=1507 | nome=Daniela | acao=escreveu o relatorio | valor=6637
linha=1508 | nome=Eduarda | acao=otimizou o algoritmo | valor=4176
linha=1509 | nome=Tiago | acao=analisou os resultados | valor=1690
linha=1510 | nome=Carlos | acao=estudou computacao | valor=1857
linha=1511 | nome=Gabriela | acao=analisou os resultados | valor=3527
linha=1512 | nome=Bruno | acao=analisou os resultados | valor=9664
linha=1513 | nome=Joao | acao=executou o benchmark | valor=9924
linha=1514 | nome=Igor | acao=escreveu o relatorio | valor=7204
linha=1515 | nome=Helena | acao=fez um experimento | valor=8780
linha=1516 | nome=Ana | acao=otimizou o algoritmo | valor=2281
linha=1517 | nome=Lucas | acao=comparou as metricas | valor=9962
linha=1518 | nome=Helena | acao=otimizou o algoritmo | valor=7841
linha=1519 | nome=Natalia | acao=fez um experimento | valor=2423
linha=1520 | nome=Carlos | acao=comparou as metricas | valor=7464
linha=1521 | nome=Felipe | acao=escreveu o relatorio | valor=7754
linha=1522 | nome=Eduarda | acao=estudou computacao | valor=5780
linha=1523 | nome=Otavio | acao=fez um experimento | valor=8187
linha=1524 | nome=Natalia | acao=comparou as metricas | valor=5689
linha=1525 | nome=Felipe | acao=estudou computacao | valor=3443
linha=1526 | nome=Eduarda | acao=fez um experimento | valor=1240
linha=1527 | nome=Daniela | acao=executou o benchmark | valor=3324
linha=1528 | nome=Ana | acao=analisou os resultados | valor=5619
linha=1529 | nome=Igor | acao=participou da aula | valor=4704
linha=1530 | nome=Natalia | acao=comparou as metricas | valor=9850
linha=1531 | nome=Karen | acao=participou da aula | valor=9842
linha=1532 | nome=Tiago | acao=estudou computacao | valor=2619
linha=1533 | nome=Carlos | acao=fez um experimento | valor=9422
linha=1534 | nome=Vitor | acao=executou o benchmark | valor=9931
linha=1535 | nome=Natalia | acao=participou da aula | valor=9539
linha=1536 | nome=Gabriela | acao=estudou computacao | valor=8588
linha=1537 | nome=Sofia | acao=otimizou o algoritmo | valor=8692
linha=1538 | nome=Joao | acao=participou da aula | valor=1295
linha=1539 | nome=Carlos | acao=otimizou o algoritmo | valor=6499
linha=1540 | nome=Ana | acao=comparou as metricas | valor=7749
linha=1541 | nome=Karen | acao=otimizou o algoritmo | valor=2597
linha=1542 | nome=Lucas | acao=executou o benchmark | valor=4948
linha=1543 | nome=Daniela | acao=analisou os resultados | valor=8915
linha=1544 | nome=Igor | acao=fez um experimento | valor=5292
linha=1545 | nome=Renata | acao=analisou os resultados | valor=5069
linha=1546 | nome=Sofia | acao=participou da aula | valor=4498
linha=1547 | nome=Mariana | acao=comparou as metricas | valor=6651
linha=1548 | nome=Paulo | acao=fez um experimento | valor=5550
linha=1549 | nome=Vitor | acao=escreveu o relatorio | valor=9278
linha=1550 | nome=Mariana | acao=participou da aula | valor=2629
linha=1551 | nome=Karen | acao=participou da aula | valor=6680
linha=1552 | nome=Daniela | acao=estudou computacao | valor=4159
linha=1553 | nome=Carlos | acao=estudou computacao | valor=6828
linha=1554 | nome=Igor | acao=analisou os resultados | valor=3681
linha=1555 | nome=Renata | acao=executou o benchmark | valor=8118
linha=1556 | nome=Igor | acao=otimizou o algoritmo | valor=4665
