linha=1 | nome=Igor | acao=comparou as metricas | valor=7119
linha=1352 | nome=Karen | acao=comparou as metricas | valor=1101
linha=1353 | nome=Igor | acao=participou da aula | valor=4071
linha=1354 | nome=Otavio | acao=fez um experimento | valor=4184
linha=1355 | nome=Felipe | acao=escreveu o relatorio | valor=1571
linha=1356 | nome=Otavio | acao=escreveu o relatorio | valor=3549
linha=1357 | nome=Helena | acao=analisou os resultados | valor=5106
linha=1358 | nome=Mariana | acao=analisou os resultados | valor=1898
linha=1359 | nome=Eduarda | acao=executou o benchmark | valor=7878
linha=1360 | nome=Ana | acao=analisou os resultados | valor=7577
linha=1361 | nome=Daniela | acao=comparou as metricas | valor=2130
linha=1362 | nome=Joao | acao=executou o benchmark | valor=9048
linha=1363 | nome=Daniela | acao=fez um experimento | valor=8054
linha=1364 | nome=Felipe | acao=analisou os resultados | valor=5967
linha=1365 | nome=Renata | acao=participou da aula | valor=5300
linha=1366 | nome=Ana | acao=estudou computacao | valor=3327
linha=1367 | nome=Joao | acao=executou o benchmark | valor=7373
linha=1368 | nome=Vitor | acao=fez um experimento | valor=2666
linha=1369 | nome=Renata | acao=comparou as metricas | valor=3491
linha=1370 | nome=Sofia | acao=comparou as metricas | valor=7070
linha=1371 | nome=Mariana | acao=comparou as metricas | valor=8104
linha=1372 | nome=Bruno | acao=fez um experimento | valor=8448
linha=1373 | nome=Paulo | acao=executou o benchmark | valor=7276
linha=1374 | nome=Ana | acao=estudou computacao | valor=6921
linha=1375 | nome=Igor | acao=otimizou o algoritmo | valor=8314
linha=1376 | nome=Paulo | acao=comparou as metricas | valor=1219
linha=1377 | nome=Ana | acao=otimizou o algoritmo | valor=5285
linha=1378 | nome=Igor | acao=fez um experimento | valor=5358
linha=1379 | nome=Mariana | acao=participou da aula | valor=6096
linha=1380 | nome=Gabriela | acao=analisou os resultados | valor=4153
linha=1381 | nome=Renata | acao=otimizou o algoritmo | valor=4104
linha=1382 | nome=Helena | acao=participou da aula | valor=3408
linha=1383 | nome=Renata | acao=estudou computacao | valor=1502
linha=1384 | nome=Sofia | acao=escreveu o relatorio | valor=9539
linha=1385 | nome=Sofia | acao=escreveu o relatorio | valor=7086
linha=1386 | nome=Helena | acao=fez um experimento | valor=3356
linha=1387 | nome=Gabriela | acao=executou o benchmark | valor=3418
linha=1388 | nome=Sofia | acao=otimizou o algoritmo | valor=8465
linha=1389 | nome=Sofia | acao=estudou computacao | valor=1770
linha=1390 | nome=Felipe | acao=otimizou o algoritmo | valor=9915
linha=1391 | nome=Eduarda | acao=escreveu o relatorio | valor=2941
linha=1392 | nome=Daniela | acao=analisou os resultados | valor=1239
linha=1393 | nome=Otavio | acao=analisou os resultados | valor=4660
linha=1394 | nome=Carlos | acao=executou o benchmark | valor=5026
linha=1395 | nome=Natalia | acao=executou o benchmark | valor=3000
linha=1396 | nome=Helena | acao=participou da aula | valor=9127
linha=1397 | nome=Karen | acao=participou da aula | valor=9722
linha=1398 | nome=Eduarda | acao=comparou as metricas | valor=8667
linha=1399 | nome=Felipe | acao=comparou as metricas | valor=6803
linha=1400 | nome=Gabriela | acao=otimizou o algoritmo | valor=2115
linha=1401 | nome=Bruno | acao=analisou os resultados | valor=7422
linha=1402 | nome=Helena | acao=participou da aula | valor=7172
linha=1403 | nome=Igor | acao=escreveu o relatorio | valor=3130
linha=1404 | nome=Lucas | acao=comparou as metricas | valor=1261
linha=1405 | nome=Gabriela | acao=executou o benchmark | valor=1337
linha=1406 | nome=Sofia | acao=estudou computacao | valor=3361
linha=1407 | nome=Joao | acao=analisou os resultados | valor=5337
linha=1408 | nome=Joao | acao=analisou os resultados | valor=2628
linha=1409 | nome=Natalia | acao=participou da aula | valor=8726
linha=1410 | nome=Paulo | acao=participou da aula | valor=8840
linha=1411 | nome=Paulo | acao=otimizou o algoritmo | valor=7863
linha=1412 | nome=Mariana | acao=estudou computacao | valor=3645
linha=1413 | nome=Vitor | acao=comparou as metricas | valor=8921
linha=1414 | nome=Daniela | acao=estudou computacao | valor=8833
linha=1415 | nome=Mariana | acao=executou o benchmark | valor=1719
linha=1416 | nome=Paulo | acao=executou o benchmark | valor=4291
linha=1417 | nome=Natalia | acao=comparou as metricas | valor=9455
linha=1418 | nome=Paulo | acao=analisou os resultados | valor=3904
linha=1419 | nome=Helena | acao=escreveu o relatorio | valor=4058
linha=1420 | nome=Otavio | acao=fez um experimento | valor=2884
linha=1421 | nome=Vitor | acao=estudou computacao | valor=4192
linha=1422 | nome=Renata | acao=analisou os resultados | valor=2921
linha=1423 | nome=Helena | acao=escreveu o relatorio | valor=6889
linha=1424 | nome=Otavio | acao=otimizou o algoritmo | valor=7194
linha=1425 | nome=Joao | acao=otimizou o algoritmo | valor=2728
linha=1426 | nome=Renata | acao=fez um experimento | valor=8230
linha=1427 | nome=Lucas | acao=comparou as metricas | valor=7983
linha=1428 | nome=Sofia | acao=analisou os resultados | valor=6106
linha=1429 | nome=Helena | acao=otimizou o algoritmo | valor=9284
linha=1430 | nome=Felipe | acao=escreveu o relatorio | valor=9303
linha=1431 | nome=Sofia | acao=estudou computacao | valor=9180
linha=1432 | nome=Ana | acao=executou o benchmark | valor=7261
linha=1433 | nome=Sofia | acao=analisou os resultados | valor=7808
linha=1434 | nome=Vitor | acao=otimizou o algoritmo | valor=1110
linha=1435 | nome=Daniela | acao=estudou computacao | valor=1389
linha=1436 | nome=Igor | acao=participou da aula | valor=2024
linha=1437 | nome=Paulo | acao=executou o benchmark | valor=9157
linha=1438 | nome=Felipe | acao=analisou os resultados | valor=4741
linha=1439 | nome=Otavio | acao=estudou computacao | valor=1304
linha=1440 | nome=Igor | acao=executou o benchmark | valor=3225
linha=1441 | nome=Paulo | acao=fez um experimento | valor=4153
linha=1442 | nome=Bruno | acao=escreveu o relatorio | valor=3878
linha=1443 | nome=Natalia | acao=otimizou o algoritmo | valor=5020
linha=1444 | nome=Helena | acao=estudou computacao | valor=6312
linha=1445 | nome=Tiago | acao=escreveu o relatorio | valor=4312
linha=1446 | nome=Otavio | acao=executou o benchmark | valor=7064
linha=1447 | nome=Gabriela | acao=fez um experimento | valor=4733
linha=1448 | nome=Joao | acao=escreveu o relatorio | valor=1055
linha=1449 | nome=Otavio | acao=fez um experimento | valor=7726
linha=1450 | nome=Igor | acao=fez um experimento | valor=1209
linha=1451 | nome=Mariana | acao=executou o benchmark | valor=1310
linha=1452 | nome=Joao | acao=executou o benchmark | valor=2496
linha=1453 | nome=Natalia | acao=participou da aula | valor=1432
linha=1454 | nome=Helena | acao=fez um experimento | valor=2724
linha=1455 | nome=Renata | acao=escreveu o relatorio | valor=6439
linha=1456 | nome=Carlos | acao=executou o benchmark | valor=6090
linha=1457 | nome=Helena | acao=estudou computacao | valor=6959
linha=1458 | nome=Paulo | acao=escreveu o relatorio | valor=3399
linha=1459 | nome=Lucas | acao=comparou as metricas | valor=4351
linha=1460 | nome=Tiago | acao=analisou os resultados | valor=8710
linha=1461 | nome=Natalia | acao=analisou os resultados | valor=2532
linha=1462 | nome=Mariana | acao=fez um experimento | valor=1521
linha=1463 | nome=Natalia | acao=otimizou o algoritmo | valor=6180
linha=1464 | nome=Sofia | acao=participou da aula | valor=3892
linha=1465 | nome=Natalia | acao=estudou computacao | valor=6146
linha=1466 | nome=Karen | acao=participou da aula | valor=4238
linha=1467 | nome=Mariana | acao=fez um experimento | valor=8734
linha=1468 | nome=Carlos | acao=escreveu o relatorio | valor=5453
linha=1469 | nome=Karen | acao=estudou computacao | valor=9469
linha=1470 | nome=Felipe | acao=fez um experimento | valor=7217
linha=1471 | nome=Ana | acao=fez um experimento | valor=2691
linha=1472 | nome=Igor | acao=escreveu o relatorio | valor=9212
linha=1473 | nome=Carlos | acao=executou o benchmark | valor=9369
linha=1474 | nome=Helena | acao=comparou as metricas | valor=3645
linha=1475 | nome=Tiago | acao=otimizou o algoritmo | valor=8611
linha=1476 | nome=Helena | acao=comparou as metricas | valor=6854
linha=1477 | nome=Eduarda | acao=escreveu o relatorio | valor=5359
linha=1478 | nome=Tiago | acao=estudou computacao | valor=2015
linha=1479 | nome=Joao | acao=executou o benchmark | valor=2804
linha=1480 | nome=Gabriela | acao=fez um experimento | valor=5019
linha=1481 | nome=Natalia | acao=fez um experimento | valor=4473
linha=1482 | nome=Bruno | acao=fez um experimento | valor=2931
linha=1483 | nome=Sofia | acao=executou o benchmark | valor=4016
linha=1484 | nome=Otavio | acao=escreveu o relatorio | valor=2104
linha=1485 | nome=Lucas | acao=analisou os resultados | valor=6469
linha=1486 | nome=Vitor | acao=estudou computacao | valor=6384
linha=1487 | nome=Mariana | acao=escreveu o relatorio | valor=2660
linha=1488 | nome=Bruno | acao=analisou os resultados | valor=8834
linha=1489 | nome=Helena | acao=fez um experimento | valor=9574
linha=1490 | nome=Joao | acao=executou o benchmark | valor=9475
linha=1491 | nome=Lucas | acao=fez um experimento | valor=5339
linha=1492 | nome=Karen | acao=fez um experimento | valor=2632
linha=1493 | nome=Mariana | acao=analisou os resultados | valor=5150
linha=1494 | nome=Felipe | acao=estudou computacao | valor=7541
linha=1495 | nome=Felipe | acao=escreveu o relatorio | valor=9719
linha=1496 | nome=Bruno | acao=comparou as metricas | valor=7613
linha=1497 | nome=Renata | acao=analisou os resultados | valor=6674
linha=1498 | nome=Vitor | acao=escreveu o relatorio | valor=2186
linha=1499 | nome=Tiago | acao=analisou os resultados | valor=4336
linha=1500 | nome=Lucas | acao=comparou as metricas | valor=7808
linha=1501 | nome=Igor | acao=participou da aula | valor=7301
linha=1502 | nome=Lucas | acao=executou o benchmark | valor=5463
linha=1503 | nome=Carlos | acao=otimizou o algoritmo | valor=7061
linha=1504 | nome=Ana | acao=comparou as metricas | valor=8930
linha=1505 | nome=Sofia | acao=executou o benchmark | valor=3796
linha=1506 | nome=Natalia | acao=comparou as metricas | valor=7103
linha=1507 | nome=Vitor | acao=escreveu o relatorio | valor=9880
linha=1508 | nome=Eduarda | acao=analisou os resultados | valor=1996
linha=1509 | nome=Tiago | acao=participou da aula | valor=9506
linha=1510 | nome=Gabriela | acao=escreveu o relatorio | valor=5890
linha=1511 | nome=Gabriela | acao=estudou computacao | valor=1120
linha=1512 | nome=Daniela | acao=fez um experimento | valor=1226
linha=1513 | nome=Felipe | acao=fez um experimento | valor=1499
linha=1514 | nome=Renata | acao=escreveu o relatorio | valor=3169
linha=1515 | nome=Tiago | acao=participou da aula | valor=4999
linha=1516 | nome=Natalia | acao=comparou as metricas | valor=5607
linha=1517 | nome=Felipe | acao=participou da aula | valor=8915
linha=1518 | nome=Sofia | acao=otimizou o algoritmo | valor=2562
linha=1519 | nome=Tiago | acao=analisou os resultados | valor=8658
linha=1520 | nome=Helena | acao=otimizou o algoritmo | valor=2918
linha=1521 | nome=Otavio | acao=escreveu o relatorio | valor=9226
linha=1522 | nome=Igor | acao=fez um experimento | valor=7845
linha=1523 | nome=Eduarda | acao=escreveu o relatorio | valor=1015
linha=1524 | nome=Joao | acao=estudou computacao | valor=9690
linha=1525 | nome=Felipe | acao=comparou as metricas | valor=8648
linha=1526 | nome=Felipe | acao=otimizou o algoritmo | valor=9536
linha=1527 | nome=Mariana | acao=executou o benchmark | valor=3184
linha=1528 | nome=Bruno | acao=analisou os resultados | valor=5323
linha=1529 | nome=Paulo | acao=comparou as metricas | valor=4178
linha=1530 | nome=Daniela | acao=comparou as metricas | valor=4733
linha=1531 | nome=Daniela | acao=fez um experimento | valor=5935
linha=1532 | nome=Igor | acao=escreveu o relatorio | valor=7910
linha=1533 | nome=Mariana | acao=participou da aula | valor=7441
linha=1534 | nome=Renata | acao=comparou as metricas | valor=1482
linha=1535 | nome=Lucas | acao=comparou as metricas | valor=2195
linha=1536 | nome=Vitor | acao=participou da aula | valor=5228
linha=1537 | nome=Eduarda | acao=escreveu o relatorio | valor=7108
linha=1538 | nome=Gabriela | acao=comparou as metricas | valor=3222
linha=1539 | nome=Helena | acao=fez um experimento | valor=8398
linha=1540 | nome=Ana | acao=executou o benchmark | valor=8390
linha=1541 | nome=Gabriela | acao=otimizou o algoritmo | valor=8426
linha=1542 | nome=Vitor | acao=analisou os resultados | valor=9262
linha=1543 | nome=Daniela | acao=otimizou o algoritmo | valor=1174
linha=1544 | nome=Ana | acao=executou o benchmark | valor=4318
linha=1545 | nome=Carlos | acao=executou o benchmark | valor=9777
linha=1546 | nome=Joao | acao=estudou computacao | valor=4281
linha=1547 | nome=Otavio | acao=comparou as metricas | valor=4773
linha=1548 | nome=Renata | acao=fez um experimento | valor=2045
linha=1549 | nome=Daniela | acao=analisou os resultados | valor=4408
linha=1550 | nome=Gabriela | acao=analisou os resultados | valor=5353
linha=1551 | nome=Gabriela | acao=participou da aula | valor=4775
linha=1552 | nome=Mariana | acao=escreveu o relatorio | valor=9135
linha=1553 | nome=Helena | acao=otimizou o algoritmo | valor=1549
linha=1554 | nome=Joao | acao=fez um experimento | valor=9688
linha=1555 | nome=Karen | acao=executou o benchmark | valor=5634
linha=1556 | nome=Lucas | acao=comparou as metricas | valor=5891
linha=1557 | nome=Bruno | acao=analisou os resultados | valor=6046
linha=1558 | nome=Renata | acao=escreveu o relatorio | valor=3054
linha=1559 | nome=Natalia | acao=escreveu o relatorio | valor=9134
linha=1560 | nome=Renata | acao=estudou computacao | valor=4364
linha=1561 | nome=Tiago | acao=executou o benchmark | valor=6218
linha=1562 | nome=Sofia | acao=participou da aula | valor=2382
linha=1563 | nome=Ana | acao=fez um experimento | valor=2145
linha=1564 | nome=Bruno | acao=fez um experimento | valor=2213
linha=1565 | nome=Bruno | acao=analisou os resultados | valor=6911
linha=1566 | nome=Felipe | acao=fez um experimento | valor=9097
linha=1567 | nome=Lucas | acao=estudou computacao | valor=6769
linha=1568 | nome=Daniela | acao=estudou computacao | valor=3593
linha=1569 | nome=Otavio | acao=analisou os resultados | valor=5902
linha=1570 | nome=Sofia | acao=estudou computacao | valor=1103
linha=1571 | nome=Daniela | acao=executou o benchmark | valor=1944
linha=1572 | nome=Bruno | acao=estudou computacao | valor=5137
linha=1573 | nome=Bruno | acao=estudou computacao | valor=8587
linha=1574 | nome=Bruno | acao=comparou as metricas | valor=2954
linha=1575 | nome=Carlos | acao=otimizou o algoritmo | valor=9760
linha=1576 | nome=Lucas | acao=executou o benchmark | valor=5587
linha=1577 | nome=Paulo | acao=analisou os resultados | valor=4580
linha=1578 | nome=Renata | acao=fez um experimento | valor=2102
linha=1579 | nome=Joao | acao=otimizou o algoritmo | valor=4844
linha=1580 | nome=Eduarda | acao=fez um experimento | valor=2472
linha=1581 | nome=Vitor | acao=otimizou o algoritmo | valor=4087
linha=1582 | nome=Renata | acao=otimizou o algoritmo | valor=4791
linha=1583 | nome=Tiago | acao=fez um experimento | valor=1794
linha=1584 | nome=Sofia | acao=fez um experimento | valor=4913
linha=1585 | nome=Gabriela | acao=fez um experimento | valor=5265
linha=1586 | nome=Joao | acao=comparou as metricas | valor=3487
linha=1587 | nome=Natalia | acao=escreveu o relatorio | valor=1718
linha=1588 | nome=Igor | acao=participou da aula | valor=4552
linha=1589 | nome=Mariana | acao=fez um experimento | valor=3603
linha=1590 | nome=Natalia | acao=analisou os resultados | valor=5326
linha=1591 | nome=Felipe | acao=otimizou o algoritmo | valor=3688
linha=1592 | nome=Renata | acao=comparou as metricas | valor=3863
linha=1593 | nome=Sofia | acao=participou da aula | valor=1625
linha=1594 | nome=Helena | acao=fez um experimento | valor=3448
linha=1595 | nome=Helena | acao=participou da aula | valor=9018
linha=1596 | nome=Joao | acao=fez um experimento | valor=8184
linha=1597 | nome=Daniela | acao=analisou os resultados | valor=8075
linha=1598 | nome=Renata | acao=fez um experimento | valor=1080
linha=1599 | nome=Igor | acao=otimizou o algoritmo | valor=1016
linha=1600 | nome=Helena | acao=executou o benchmark | valor=2598
linha=1601 | nome=Eduarda | acao=otimizou o algoritmo | valor=5669
linha=1602 | nome=Karen | acao=participou da aula | valor=9662
linha=1603 | nome=Natalia | acao=otimizou o algoritmo | valor=1121
linha=1604 | nome=Otavio | acao=estudou computacao | valor=1284
linha=1605 | nome=Paulo | acao=estudou computacao | valor=9404
linha=1606 | nome=Daniela | acao=analisou os resultados | valor=7425
linha=1607 | nome=Tiago | acao=comparou as metricas | valor=3781
linha=1608 | nome=Helena | acao=analisou os resultados | valor=2384
linha=1609 | nome=Mariana | acao=otimizou o algoritmo | valor=9254
linha=1610 | nome=Paulo | acao=analisou os resultados | valor=1176
linha=1611 | nome=Bruno | acao=otimizou o algoritmo | valor=6319
linha=1612 | nome=Sofia | acao=escreveu o relatorio | valor=4328
linha=1613 | nome=Joao | acao=comparou as metricas | valor=1312
linha=1614 | nome=Renata | acao=participou da aula | valor=7855
linha=1615 | nome=Helena | acao=estudou computacao | valor=8908
linha=1616 | nome=Tiago | acao=analisou os resultados | valor=1337
linha=1617 | nome=Sofia | acao=comparou as metricas | valor=9219
linha=1618 | nome=Lucas | acao=otimizou o algoritmo | valor=4777
linha=1619 | nome=Bruno | acao=analisou os resultados | valor=7985
linha=1620 | nome=Daniela | acao=analisou os resultados | valor=6799
linha=1621 | nome=Sofia | acao=otimizou o algoritmo | valor=1768
linha=1622 | nome=Lucas | acao=otimizou o algoritmo | valor=6200
linha=1623 | nome=Paulo | acao=comparou as metricas | valor=3505
linha=1624 | nome=Renata | acao=analisou os resultados | valor=4077
linha=1625 | nome=Joao | acao=participou da aula | valor=4896
linha=1626 | nome=Vitor | acao=escreveu o relatorio | valor=5353
linha=1627 | nome=Paulo | acao=executou o benchmark | valor=5492
linha=1628 | nome=Bruno | acao=otimizou o algoritmo | valor=7506
linha=1629 | nome=Mariana | acao=estudou computacao | valor=7860
linha=1630 | nome=Karen | acao=estudou computacao | valor=1302
linha=1631 | nome=Paulo | acao=analisou os resultados | valor=1136
linha=1632 | nome=Mariana | acao=executou o benchmark | valor=1332
linha=1633 | nome=Eduarda | acao=estudou computacao | valor=8434
linha=1634 | nome=Sofia | acao=escreveu o relatorio | valor=9909
linha=1635 | nome=Gabriela | acao=comparou as metricas | valor=3051
linha=1636 | nome=Natalia | acao=otimizou o algoritmo | valor=3837
linha=1637 | nome=Igor | acao=participou da aula | valor=7474
linha=1638 | nome=Felipe | acao=fez um experimento | valor=9274
linha=1639 | nome=Karen | acao=otimizou o algoritmo | valor=1029
linha=1640 | nome=Karen | acao=escreveu o relatorio | valor=4556
linha=1641 | nome=Helena | acao=analisou os resultados | valor=8207
linha=1642 | nome=Helena | acao=estudou computacao | valor=9070
linha=1643 | nome=Paulo | acao=fez um experimento | valor=8347
linha=1644 | nome=Gabriela | acao=otimizou o algoritmo | valor=3522
linha=1645 | nome=Felipe | acao=comparou as metricas | valor=5938
linha=1646 | nome=Joao | acao=estudou computacao | valor=9146
linha=1647 | nome=Paulo | acao=estudou computacao | valor=3727
linha=1648 | nome=Bruno | acao=escreveu o relatorio | valor=7279
linha=1649 | nome=Vitor | acao=comparou as metricas | valor=2369
linha=1650 | nome=Daniela | acao=executou o benchmark | valor=5476
linha=1651 | nome=Eduarda | acao=executou o benchmark | valor=2620
linha=1652 | nome=Otavio | acao=analisou os resultados | valor=1625
linha=1653 | nome=Ana | acao=fez um experimento | valor=8780
linha=1654 | nome=Igor | acao=executou o benchmark | valor=2276
linha=1655 | nome=Eduarda | acao=fez um experimento | valor=2142
linha=1656 | nome=Carlos | acao=estudou computacao | valor=3376
linha=1657 | nome=Karen | acao=participou da aula | valor=3065
linha=1658 | nome=Vitor | acao=estudou computacao | valor=3739
linha=1659 | nome=Vitor | acao=fez um experimento | valor=9335
linha=1660 | nome=Felipe | acao=escreveu o relatorio | valor=2457
linha=1661 | nome=Lucas | acao=fez um experimento | valor=7438
linha=1662 | nome=Gabriela | acao=comparou as metricas | valor=7561
linha=1663 | nome=Renata | acao=comparou as metricas | valor=5557
linha=1664 | nome=Karen | acao=escreveu o relatorio | valor=3796
linha=1665 | nome=Renata | acao=otimizou o algoritmo | valor=4709
linha=1666 | nome=Karen | acao=analisou os resultados | valor=9498
linha=1667 | nome=Lucas | acao=otimizou o algoritmo | valor=7343
linha=1668 | nome=Renata | acao=estudou computacao | valor=9156
linha=1669 | nome=Joao | acao=analisou os resultados | valor=3541
linha=1670 | nome=Bruno | acao=fez um experimento | valor=2812
linha=1671 | nome=Karen | acao=estudou computacao | valor=8231
linha=1672 | nome=Igor | acao=analisou os resultados | valor=1154
linha=1673 | nome=Sofia | acao=participou da aula | valor=6219
linha=1674 | nome=Bruno | acao=estudou computacao | valor=6990
linha=1675 | nome=Ana | acao=analisou os resultados | valor=5002
linha=1676 | nome=Carlos | acao=executou o benchmark | valor=6398
linha=1677 | nome=Felipe | acao=analisou os resultados | valor=4481
linha=1678 | nome=Bruno | acao=analisou os resultados | valor=8904
linha=1679 | nome=Eduarda | acao=analisou os resultados | valor=8403
linha=1680 | nome=Renata | acao=comparou as metricas | valor=2763
linha=1681 | nome=Helena | acao=otimizou o algoritmo | valor=1549
linha=1682 | nome=Paulo | acao=analisou os resultados | valor=7147
linha=1683 | nome=Igor | acao=escreveu o relatorio | valor=1551
linha=1684 | nome=Carlos | acao=otimizou o algoritmo | valor=7142
linha=1685 | nome=Eduarda | acao=escreveu o relatorio | valor=7395
linha=1686 | nome=Renata | acao=escreveu o relatorio | valor=7124
linha=1687 | nome=Helena | acao=otimizou o algoritmo | valor=1970
linha=1688 | nome=Mariana | acao=escreveu o relatorio | valor=4795
linha=1689 | nome=Mariana | acao=otimizou o algoritmo | valor=2517
linha=1690 | nome=Eduarda | acao=participou da aula | valor=6769
linha=1691 | nome=Daniela | acao=fez um experimento | valor=2542
linha=1692 | nome=Renata | acao=estudou computacao | valor=7022
linha=1693 | nome=Felipe | acao=otimizou o algoritmo | valor=3614
linha=1694 | nome=Lucas | acao=estudou computacao | valor=6295
linha=1695 | nome=Igor | acao=fez um experimento | valor=4191
linha=1696 | nome=Sofia | acao=comparou as metricas | valor=5864
linha=1697 | nome=Lucas | acao=comparou as metricas | valor=3325
linha=1698 | nome=Gabriela | acao=estudou computacao | valor=9785
linha=1699 | nome=Helena | acao=estudou computacao | valor=5838
linha=1700 | nome=Vitor | acao=fez um experimento | valor=6957
linha=1701 | nome=Natalia | acao=analisou os resultados | valor=3675
linha=1702 | nome=Vitor | acao=otimizou o algoritmo | valor=3373
linha=1703 | nome=Mariana | acao=estudou computacao | valor=9914
linha=1704 | nome=Ana | acao=analisou os resultados | valor=2032
linha=1705 | nome=Sofia | acao=estudou computacao | valor=9788
linha=1706 | nome=Gabriela | acao=fez um experimento | valor=4721
linha=1707 | nome=Ana | acao=executou o benchmark | valor=1556
linha=1708 | nome=Vitor | acao=participou da aula | valor=3258
linha=1709 | nome=Mariana | acao=otimizou o algoritmo | valor=5333
linha=1710 | nome=Daniela | acao=fez um experimento | valor=2736
linha=1711 | nome=Joao | acao=otimizou o algoritmo | valor=1924
linha=1712 | nome=Tiago | acao=executou o benchmark | valor=5447
linha=1713 | nome=Sofia | acao=fez um experimento | valor=3725
linha=1714 | nome=Carlos | acao=estudou computacao | valor=6593
linha=1715 | nome=Mariana | acao=escreveu o relatorio | valor=7688
linha=1716 | nome=Gabriela | acao=analisou os resultados | valor=7837
linha=1717 | nome=Joao | acao=comparou as metricas | valor=6088
linha=1718 | nome=Vitor | acao=comparou as metricas | valor=2307
linha=1719 | nome=Eduarda | acao=participou da aula | valor=3023
linha=1720 | nome=Mariana | acao=comparou as metricas | valor=3204
linha=1721 | nome=Eduarda | acao=otimizou o algoritmo | valor=6731
linha=1722 | nome=Paulo | acao=fez um experimento | valor=8398
linha=1723 | nome=Tiago | acao=fez um experimento | valor=1191
linha=1724 | nome=Mariana | acao=participou da aula | valor=6925
linha=1725 | nome=Mariana | acao=analisou os resultados | valor=8694
linha=1726 | nome=Ana | acao=analisou os resultados | valor=8567
linha=1727 | nome=Paulo | acao=analisou os resultados | valor=5113
linha=1728 | nome=Sofia | acao=escreveu o relatorio | valor=3246
linha=1729 | nome=Felipe | acao=executou o benchmark | valor=6993
linha=1730 | nome=Otavio | acao=analisou os resultados | valor=5499
linha=1731 | nome=Otavio | acao=estudou computacao | valor=3276
linha=1732 | nome=Lucas | acao=otimizou o algoritmo | valor=6102
linha=1733 | nome=Karen | acao=analisou os resultados | valor=5079
linha=1734 | nome=Vitor | acao=otimizou o algoritmo | valor=5275
linha=1735 | nome=Bruno | acao=participou da aula | valor=5891
linha=1736 | nome=Lucas | acao=analisou os resultados | valor=1793
linha=1737 | nome=Daniela | acao=escreveu o relatorio | valor=9699
linha=1738 | nome=Lucas | acao=otimizou o algoritmo | valor=1557
linha=1739 | nome=Daniela | acao=comparou as metricas | valor=3633
linha=1740 | nome=Otavio | acao=fez um experimento | valor=7438
linha=1741 | nome=Bruno | acao=analisou os resultados | valor=2584
linha=1742 | nome=Vitor | acao=estudou computacao | valor=1309
linha=1743 | nome=Sofia | acao=estudou computacao | valor=4210
linha=1744 | nome=Daniela | acao=analisou os resultados | valor=8980
linha=1745 | nome=Felipe | acao=otimizou o algoritmo | valor=6161
linha=1746 | nome=Carlos | acao=otimizou o algoritmo | valor=1577
linha=1747 | nome=Helena | acao=estudou computacao | valor=9277
linha=1748 | nome=Felipe | acao=otimizou o algoritmo | valor=1339
linha=1749 | nome=Daniela | acao=escreveu o relatorio | valor=9102
linha=1750 | nome=Felipe | acao=participou da aula | valor=7793
linha=1751 | nome=Lucas | acao=estudou computacao | valor=4130
linha=1752 | nome=Lucas | acao=participou da aula | valor=3201
linha=1753 | nome=Sofia | acao=fez um experimento | valor=4730
linha=1754 | nome=Paulo | acao=escreveu o relatorio | valor=1970
linha=1755 | nome=Eduarda | acao=executou o benchmark | valor=9835
linha=1756 | nome=Mariana | acao=otimizou o algoritmo | valor=5173
linha=1757 | nome=Sofia | acao=executou o benchmark | valor=1090
linha=1758 | nome=Mariana | acao=executou o benchmark | valor=4846
linha=1759 | nome=Mariana | acao=executou o benchmark | valor=2303
linha=1760 | nome=Mariana | acao=participou da aula | valor=4471
linha=1761 | nome=Tiago | acao=analisou os resultados | valor=9177
linha=1762 | nome=Sofia | acao=escreveu o relatorio | valor=4721
linha=1763 | nome=Mariana | acao=otimizou o algoritmo | valor=4057
linha=1764 | nome=Daniela | acao=executou o benchmark | valor=1713
linha=1765 | nome=Eduarda | acao=analisou os resultados | valor=6355
linha=1766 | nome=Helena | acao=estudou computacao | valor=3481
linha=1767 | nome=Paulo | acao=escreveu o relatorio | valor=7539
linha=1768 | nome=Daniela | acao=estudou computacao | valor=2139
linha=1769 | nome=Bruno | acao=fez um experimento | valor=4435
linha=1770 | nome=Carlos | acao=fez um experimento | valor=2429
linha=1771 | nome=Daniela | acao=comparou as metricas | valor=5044
linha=1772 | nome=Sofia | acao=estudou computacao | valor=1851
linha=1773 | nome=Mariana | acao=estudou computacao | valor=3275
linha=1774 | nome=Natalia | acao=otimizou o algoritmo | valor=7315
linha=1775 | nome=Karen | acao=participou da aula | valor=8374
linha=1776 | nome=Renata | acao=participou da aula | valor=3203
linha=1777 | nome=Tiago | acao=executou o benchmark | valor=1577
linha=1778 | nome=Ana | acao=otimizou o algoritmo | valor=1509
linha=1779 | nome=Igor | acao=fez um experimento | valor=3668
linha=1780 | nome=Carlos | acao=estudou computacao | valor=3491
linha=1781 | nome=Natalia | acao=comparou as metricas | valor=3656
linha=1782 | nome=Paulo | acao=participou da aula | valor=8604
linha=1783 | nome=Carlos | acao=escreveu o relatorio | valor=5604
linha=1784 | nome=Lucas | acao=participou da aula | valor=1628
linha=1785 | nome=Tiago | acao=executou o benchmark | valor=3930
linha=1786 | nome=Ana | acao=analisou os resultados | valor=7765
linha=1787 | nome=Otavio | acao=participou da aula | valor=3907
linha=1788 | nome=Paulo | acao=estudou computacao | valor=2597
