linha=1 | nome=Natalia | acao=otimizou o algoritmo | valor=7255
linha=815 | nome=Mariana | acao=analisou os resultados | valor=6256
linha=816 | nome=Sofia | acao=escreveu o relatorio | valor=8414
linha=817 | nome=Lucas | acao=analisou os resultados | valor=2556
linha=818 | nome=Sofia | acao=executou o benchmark | valor=1616
linha=819 | nome=Bruno | acao=comparou as metricas | valor=1918
linha=820 | nome=Daniela | acao=fez um experimento | valor=9200
linha=821 | nome=Mariana | acao=fez um experimento | valor=6649
linha=822 | nome=Joao | acao=fez um experimento | valor=1176
linha=823 | nome=Sofia | acao=comparou as metricas | valor=6676
linha=824 | nome=Karen | acao=escreveu o relatorio | valor=1997
linha=825 | nome=Ana | acao=analisou os resultados | valor=6028
linha=826 | nome=Igor | acao=comparou as metricas | valor=8287
linha=827 | nome=Paulo | acao=estudou computacao | valor=5987
linha=828 | nome=Mariana | acao=fez um experimento | valor=7864
linha=829 | nome=Paulo | acao=estudou computacao | valor=4430
linha=830 | nome=Sofia | acao=comparou as metricas | valor=3566
linha=831 | nome=Lucas | acao=analisou os resultados | valor=9959
linha=832 | nome=Daniela | acao=otimizou o algoritmo | valor=8001
linha=833 | nome=Ana | acao=estudou computacao | valor=5110
linha=834 | nome=Renata | acao=comparou as metricas | valor=9820
linha=835 | nome=Otavio | acao=fez um experimento | valor=1905
linha=836 | nome=Karen | acao=comparou as metricas | valor=7425
linha=837 | nome=Karen | acao=estudou computacao | valor=7192
linha=838 | nome=Mariana | acao=fez um experimento | valor=9551
linha=839 | nome=Mariana | acao=otimizou o algoritmo | valor=7227
linha=840 | nome=Eduarda | acao=executou o benchmark | valor=9873
linha=841 | nome=Tiago | acao=comparou as metricas | valor=8907
linha=842 | nome=Sofia | acao=escreveu o relatorio | valor=1010
linha=843 | nome=Mariana | acao=participou da aula | valor=3952
linha=844 | nome=Sofia | acao=otimizou o algoritmo | valor=6459
linha=845 | nome=Vitor | acao=executou o benchmark | valor=4030
linha=846 | nome=Tiago | acao=escreveu o relatorio | valor=7553
linha=847 | nome=Carlos | acao=comparou as metricas | valor=5805
linha=848 | nome=Eduarda | acao=escreveu o relatorio | valor=5547
linha=849 | nome=Vitor | acao=estudou computacao | valor=6504
linha=850 | nome=Mariana | acao=estudou computacao | valor=1184
linha=851 | nome=Paulo | acao=executou o benchmark | valor=1615
linha=852 | nome=Lucas | acao=fez um experimento | valor=6959
linha=853 | nome=Renata | acao=estudou computacao | valor=4066
linha=854 | nome=Gabriela | acao=otimizou o algoritmo | valor=8531
linha=855 | nome=Eduarda | acao=executou o benchmark | valor=1378
linha=856 | nome=Gabriela | acao=escreveu o relatorio | valor=6873
linha=857 | nome=Natalia | acao=fez um experimento | valor=1483
linha=858 | nome=Sofia | acao=comparou as metricas | valor=9647
linha=859 | nome=Mariana | acao=escreveu o relatorio | valor=5570
linha=860 | nome=Mariana | acao=executou o benchmark | valor=3678
linha=861 | nome=Renata | acao=escreveu o relatorio | valor=8848
linha=862 | nome=Natalia | acao=analisou os resultados | valor=7710
linha=863 | nome=Daniela | acao=otimizou o algoritmo | valor=2138
linha=864 | nome=Eduarda | acao=otimizou o algoritmo | valor=7264
linha=865 | nome=Gabriela | acao=participou da aula | valor=6301
linha=866 | nome=Daniela | acao=participou da aula | valor=3800
linha=867 | nome=Joao | acao=analisou os resultados | valor=7687
linha=868 | nome=Daniela | acao=analisou os resultados | valor=3455
linha=869 | nome=Sofia | acao=fez um experimento | valor=9708
linha=870 | nome=Gabriela | acao=fez um experimento | valor=8805
linha=871 | nome=Renata | acao=otimizou o algoritmo | valor=3096
linha=872 | nome=Helena | acao=executou o benchmark | valor=4381
linha=873 | nome=Mariana | acao=executou o benchmark | valor=9865
linha=874 | nome=Igor | acao=analisou os resultados | valor=7432
linha=875 | nome=Vitor | acao=analisou os resultados | valor=4084
linha=876 | nome=Helena | acao=analisou os resultados | valor=1640
linha=877 | nome=Igor | acao=otimizou o algoritmo | valor=4320
linha=878 | nome=Sofia | acao=analisou os resultados | valor=1431
linha=879 | nome=Ana | acao=escreveu o relatorio | valor=1335
linha=880 | nome=Paulo | acao=analisou os resultados | valor=9688
linha=881 | nome=Vitor | acao=participou da aula | valor=8643
linha=882 | nome=Otavio | acao=fez um experimento | valor=3341
linha=883 | nome=Bruno | acao=fez um experimento | valor=6290
linha=884 | nome=Natalia | acao=participou da aula | valor=8521
linha=885 | nome=Renata | acao=escreveu o relatorio | valor=5155
linha=886 | nome=Bruno | acao=analisou os resultados | valor=7321
linha=887 | nome=Daniela | acao=analisou os resultados | valor=3542
linha=888 | nome=Carlos | acao=executou o benchmark | valor=7051
linha=889 | nome=Otavio | acao=escreveu o relatorio | valor=1946
linha=890 | nome=Carlos | acao=estudou computacao | valor=9696
linha=891 | nome=Paulo | acao=analisou os resultados | valor=1365
linha=892 | nome=Karen | acao=estudou computacao | valor=8902
linha=893 | nome=Gabriela | acao=escreveu o relatorio | valor=4882
linha=894 | nome=Lucas | acao=escreveu o relatorio | valor=6822
linha=895 | nome=Bruno | acao=analisou os resultados | valor=7940
linha=896 | nome=Carlos | acao=analisou os resultados | valor=3146
linha=897 | nome=Eduarda | acao=analisou os resultados | valor=1742
linha=898 | nome=Bruno | acao=otimizou o algoritmo | valor=3387
linha=899 | nome=Helena | acao=participou da aula | valor=9961
linha=900 | nome=Mariana | acao=escreveu o relatorio | valor=1106
linha=901 | nome=Joao | acao=executou o benchmark | valor=8098
linha=902 | nome=Tiago | acao=estudou computacao | valor=1681
linha=903 | nome=Paulo | acao=executou o benchmark | valor=7861
linha=904 | nome=Felipe | acao=executou o benchmark | valor=6514
linha=905 | nome=Eduarda | acao=participou da aula | valor=7865
linha=906 | nome=Paulo | acao=executou o benchmark | valor=9306
linha=907 | nome=Gabriela | acao=comparou as metricas | valor=8541
linha=908 | nome=Paulo | acao=comparou as metricas | valor=9047
linha=909 | nome=Vitor | acao=participou da aula | valor=7891
linha=910 | nome=Gabriela | acao=otimizou o algoritmo | valor=3391
linha=911 | nome=Gabriela | acao=comparou as metricas | valor=4131
linha=912 | nome=Gabriela | acao=executou o benchmark | valor=5611
linha=913 | nome=Felipe | acao=executou o benchmark | valor=1233
linha=914 | nome=Otavio | acao=comparou as metricas | valor=4404
linha=915 | nome=Daniela | acao=fez um experimento | valor=2227
linha=916 | nome=Natalia | acao=analisou os resultados | valor=1618
linha=917 | nome=Karen | acao=fez um experimento | valor=1255
linha=918 | nome=Paulo | acao=estudou computacao | valor=5615
linha=919 | nome=Otavio | acao=comparou as metricas | valor=1981
linha=920 | nome=Paulo | acao=executou o benchmark | valor=2936
linha=921 | nome=Vitor | acao=analisou os resultados | valor=8436
linha=922 | nome=Joao | acao=participou da aula | valor=3585
linha=923 | nome=Gabriela | acao=participou da aula | valor=5534
linha=924 | nome=Joao | acao=fez um experimento | valor=5625
linha=925 | nome=Igor | acao=analisou os resultados | valor=1409
linha=926 | nome=Gabriela | acao=executou o benchmark | valor=6755
linha=927 | nome=Eduarda | acao=otimizou o algoritmo | valor=7866
linha=928 | nome=Vitor | acao=estudou computacao | valor=7187
linha=929 | nome=Paulo | acao=participou da aula | valor=3899
linha=930 | nome=Helena | acao=executou o benchmark | valor=1034
linha=931 | nome=Tiago | acao=escreveu o relatorio | valor=7018
linha=932 | nome=Felipe | acao=participou da aula | valor=6807
linha=933 | nome=Helena | acao=analisou os resultados | valor=2182
linha=934 | nome=Ana | acao=comparou as metricas | valor=6015
linha=935 | nome=Mariana | acao=otimizou o algoritmo | valor=9654
linha=936 | nome=Otavio | acao=escreveu o relatorio | valor=4427
linha=937 | nome=Karen | acao=participou da aula | valor=8111
linha=938 | nome=Vitor | acao=comparou as metricas | valor=5213
linha=939 | nome=Paulo | acao=otimizou o algoritmo | valor=1656
linha=940 | nome=Natalia | acao=comparou as metricas | valor=8404
linha=941 | nome=Mariana | acao=escreveu o relatorio | valor=2382
linha=942 | nome=Lucas | acao=comparou as metricas | valor=8086
linha=943 | nome=Paulo | acao=analisou os resultados | valor=7468
linha=944 | nome=Sofia | acao=otimizou o algoritmo | valor=8559
linha=945 | nome=Carlos | acao=escreveu o relatorio | valor=2951
linha=946 | nome=Ana | acao=escreveu o relatorio | valor=2848
linha=947 | nome=Ana | acao=escreveu o relatorio | valor=9303
linha=948 | nome=Eduarda | acao=escreveu o relatorio | valor=6536
linha=949 | nome=Renata | acao=escreveu o relatorio | valor=8451
linha=950 | nome=Otavio | acao=escreveu o relatorio | valor=5601
linha=951 | nome=Otavio | acao=executou o benchmark | valor=4218
linha=952 | nome=Natalia | acao=analisou os resultados | valor=2202
linha=953 | nome=Lucas | acao=comparou as metricas | valor=7815
linha=954 | nome=Ana | acao=comparou as metricas | valor=7755
linha=955 | nome=Otavio | acao=analisou os resultados | valor=7763
linha=956 | nome=Otavio | acao=fez um experimento | valor=7229
linha=957 | nome=Gabriela | acao=fez um experimento | valor=9416
linha=958 | nome=Gabriela | acao=escreveu o relatorio | valor=5330
linha=959 | nome=Ana | acao=participou da aula | valor=1800
linha=960 | nome=Joao | acao=estudou computacao | valor=5607
linha=961 | nome=Lucas | acao=comparou as metricas | valor=2449
linha=962 | nome=Natalia | acao=comparou as metricas | valor=2464
linha=963 | nome=Lucas | acao=fez um experimento | valor=1584
linha=964 | nome=Gabriela | acao=participou da aula | valor=6306
linha=965 | nome=Bruno | acao=estudou computacao | valor=1370
linha=966 | nome=Bruno | acao=analisou os resultados | valor=4906
linha=967 | nome=Helena | acao=executou o benchmark | valor=8961
linha=968 | nome=Carlos | acao=escreveu o relatorio | valor=6507
linha=969 | nome=Tiago | acao=participou da aula | valor=5175
linha=970 | nome=Natalia | acao=participou da aula | valor=5300
linha=971 | nome=Helena | acao=otimizou o algoritmo | valor=8119
linha=972 | nome=Daniela | acao=participou da aula | valor=2276
linha=973 | nome=Igor | acao=participou da aula | valor=2834
linha=974 | nome=Ana | acao=otimizou o algoritmo | valor=4648
linha=975 | nome=Mariana | acao=comparou as metricas | valor=2271
linha=976 | nome=Mariana | acao=analisou os resultados | valor=6632
linha=977 | nome=Mariana | acao=estudou computacao | valor=3209
linha=978 | nome=Felipe | acao=analisou os resultados | valor=7995
linha=979 | nome=Carlos | acao=fez um experimento | valor=3819
linha=980 | nome=Igor | acao=comparou as metricas | valor=5100
linha=981 | nome=Igor | acao=fez um experimento | valor=9067
linha=982 | nome=Eduarda | acao=executou o benchmark | valor=9618
linha=983 | nome=Bruno | acao=comparou as metricas | valor=6223
linha=984 | nome=Natalia | acao=fez um experimento | valor=8557
linha=985 | nome=Ana | acao=otimizou o algoritmo | valor=3961
linha=986 | nome=Bruno | acao=escreveu o relatorio | valor=7808
linha=987 | nome=Sofia | acao=escreveu o relatorio | valor=8826
linha=988 | nome=Daniela | acao=executou o benchmark | valor=9365
linha=989 | nome=Sofia | acao=escreveu o relatorio | valor=9641
linha=990 | nome=Daniela | acao=fez um experimento | valor=4690
linha=991 | nome=Eduarda | acao=comparou as metricas | valor=4839
linha=992 | nome=Sofia | acao=escreveu o relatorio | valor=5678
linha=993 | nome=Paulo | acao=comparou as metricas | valor=9611
linha=994 | nome=Otavio | acao=analisou os resultados | valor=8311
linha=995 | nome=Helena | acao=otimizou o algoritmo | valor=7231
linha=996 | nome=Felipe | acao=otimizou o algoritmo | valor=2185
linha=997 | nome=Sofia | acao=escreveu o relatorio | valor=6709
linha=998 | nome=Otavio | acao=comparou as metricas | valor=5396
linha=999 | nome=Otavio | acao=executou o benchmark | valor=2845
linha=1000 | nome=Karen | acao=executou o benchmark | valor=3874
linha=1001 | nome=Paulo | acao=estudou computacao | valor=2171
linha=1002 | nome=Ana | acao=otimizou o algoritmo | valor=8555
linha=1003 | nome=Otavio | acao=executou o benchmark | valor=3986
linha=1004 | nome=Ana | acao=participou da aula | valor=1504
linha=1005 | nome=Karen | acao=analisou os resultados | valor=8547
linha=1006 | nome=Carlos | acao=executou o benchmark | valor=4048
linha=1007 | nome=Karen | acao=escreveu o relatorio | valor=7227
linha=1008 | nome=Carlos | acao=escreveu o relatorio | valor=9088
linha=1009 | nome=Helena | acao=comparou as metricas | valor=6637
linha=1010 | nome=Lucas | acao=participou da aula | valor=2490
linha=1011 | nome=Igor | acao=fez um experimento | valor=1783
linha=1012 | nome=Natalia | acao=estudou computacao | valor=2012
linha=1013 | nome=Helena | acao=escreveu o relatorio | valor=5193
linha=1014 | nome=Natalia | acao=participou da aula | valor=4098
linha=1015 | nome=Daniela | acao=otimizou o algoritmo | valor=4790
linha=1016 | nome=Mariana | acao=otimizou o algoritmo | valor=2548
linha=1017 | nome=Natalia | acao=escreveu o relatorio | valor=9985
linha=1018 | nome=Helena | acao=participou da aula | valor=9682
linha=1019 | nome=Bruno | acao=participou da aula | valor=3259
linha=1020 | nome=Daniela | acao=executou o benchmark | valor=1865
linha=1021 | nome=Carlos | acao=estudou computacao | valor=9094
linha=1022 | nome=Daniela | acao=comparou as metricas | valor=2981
linha=1023 | nome=Vitor | acao=estudou computacao | valor=7835
linha=1024 | nome=Ana | acao=participou da aula | valor=9690
linha=1025 | nome=Otavio | acao=executou o benchmark | valor=3319
linha=1026 | nome=Mariana | acao=otimizou o algoritmo | valor=8518
linha=1027 | nome=Natalia | acao=escreveu o relatorio | valor=8647
linha=1028 | nome=Mariana | acao=fez um experimento | valor=8365
linha=1029 | nome=Joao | acao=comparou as metricas | valor=9500
linha=1030 | nome=Natalia | acao=escreveu o relatorio | valor=8632
linha=1031 | nome=Natalia | acao=escreveu o relatorio | valor=8043
linha=1032 | nome=Daniela | acao=participou da aula | valor=9827
linha=1033 | nome=Renata | acao=analisou os resultados | valor=4074
linha=1034 | nome=Tiago | acao=comparou as metricas | valor=5338
linha=1035 | nome=Mariana | acao=executou o benchmark | valor=1441
linha=1036 | nome=Sofia | acao=fez um experimento | valor=2848
linha=1037 | nome=Ana | acao=fez um experimento | valor=5362
linha=1038 | nome=Gabriela | acao=executou o benchmark | valor=7028
linha=1039 | nome=Natalia | acao=otimizou o algoritmo | valor=8531
linha=1040 | nome=Mariana | acao=comparou as metricas | valor=5472
linha=1041 | nome=Eduarda | acao=otimizou o algoritmo | valor=1389
linha=1042 | nome=Vitor | acao=escreveu o relatorio | valor=6325
linha=1043 | nome=Carlos | acao=participou da aula | valor=7885
linha=1044 | nome=Tiago | acao=participou da aula | valor=9494
linha=1045 | nome=Tiago | acao=comparou as metricas | valor=3839
linha=1046 | nome=Ana | acao=escreveu o relatorio | valor=2963
linha=1047 | nome=Eduarda | acao=estudou computacao | valor=5895
linha=1048 | nome=Carlos | acao=estudou computacao | valor=9107
linha=1049 | nome=Felipe | acao=escreveu o relatorio | valor=5422
linha=1050 | nome=Lucas | acao=comparou as metricas | valor=1001
linha=1051 | nome=Mariana | acao=executou o benchmark | valor=7885
linha=1052 | nome=Felipe | acao=comparou as metricas | valor=8106
linha=1053 | nome=Helena | acao=comparou as metricas | valor=7933
linha=1054 | nome=Mariana | acao=fez um experimento | valor=9537
linha=1055 | nome=Vitor | acao=comparou as metricas | valor=8042
linha=1056 | nome=Lucas | acao=estudou computacao | valor=3922
linha=1057 | nome=Eduarda | acao=escreveu o relatorio | valor=1398
linha=1058 | nome=Ana | acao=analisou os resultados | valor=3645
linha=1059 | nome=Lucas | acao=executou o benchmark | valor=5978
linha=1060 | nome=Eduarda | acao=analisou os resultados | valor=1192
linha=1061 | nome=Otavio | acao=comparou as metricas | valor=2624
linha=1062 | nome=Bruno | acao=escreveu o relatorio | valor=6763
linha=1063 | nome=Karen | acao=analisou os resultados | valor=2212
linha=1064 | nome=Eduarda | acao=estudou computacao | valor=4058
linha=1065 | nome=Karen | acao=estudou computacao | valor=7739
linha=1066 | nome=Bruno | acao=comparou as metricas | valor=1863
linha=1067 | nome=Renata | acao=fez um experimento | valor=4602
linha=1068 | nome=Helena | acao=executou o benchmark | valor=9926
linha=1069 | nome=Sofia | acao=estudou computacao | valor=2756
linha=1070 | nome=Gabriela | acao=estudou computacao | valor=7228
linha=1071 | nome=Mariana | acao=analisou os resultados | valor=6000
linha=1072 | nome=Otavio | acao=executou o benchmark | valor=6705
linha=1073 | nome=Sofia | acao=executou o benchmark | valor=6053
linha=1074 | nome=Eduarda | acao=estudou computacao | valor=7726
linha=1075 | nome=Joao | acao=analisou os resultados | valor=9594
linha=1076 | nome=Tiago | acao=escreveu o relatorio | valor=2348
linha=1077 | nome=Lucas | acao=analisou os resultados | valor=2941
linha=1078 | nome=Paulo | acao=otimizou o algoritmo | valor=1446
linha=1079 | nome=Vitor | acao=estudou computacao | valor=2432
linha=1080 | nome=Lucas | acao=comparou as metricas | valor=6230
linha=1081 | nome=Vitor | acao=fez um experimento | valor=6607
linha=1082 | nome=Ana | acao=comparou as metricas | valor=6205
linha=1083 | nome=Helena | acao=fez um experimento | valor=5120
linha=1084 | nome=Joao | acao=otimizou o algoritmo | valor=7635
linha=1085 | nome=Lucas | acao=executou o benchmark | valor=1715
linha=1086 | nome=Igor | acao=estudou computacao | valor=2169
linha=1087 | nome=Otavio | acao=fez um experimento | valor=9782
linha=1088 | nome=Ana | acao=escreveu o relatorio | valor=7558
linha=1089 | nome=Igor | acao=analisou os resultados | valor=5354
linha=1090 | nome=Tiago | acao=executou o benchmark | valor=6949
linha=1091 | nome=Sofia | acao=comparou as metricas | valor=8603
linha=1092 | nome=Tiago | acao=executou o benchmark | valor=5303
linha=1093 | nome=Daniela | acao=escreveu o relatorio | valor=4379
linha=1094 | nome=Daniela | acao=estudou computacao | valor=5229
linha=1095 | nome=Joao | acao=comparou as metricas | valor=2101
linha=1096 | nome=Igor | acao=escreveu o relatorio | valor=7433
linha=1097 | nome=Daniela | acao=estudou computacao | valor=9321
linha=1098 | nome=Otavio | acao=estudou computacao | valor=2883
linha=1099 | nome=Daniela | acao=executou o benchmark | valor=2497
linha=1100 | nome=Tiago | acao=estudou computacao | valor=6176
linha=1101 | nome=Sofia | acao=participou da aula | valor=3800
linha=1102 | nome=Natalia | acao=comparou as metricas | valor=3571
linha=1103 | nome=Renata | acao=comparou as metricas | valor=6651
linha=1104 | nome=Igor | acao=analisou os resultados | valor=7964
linha=1105 | nome=Karen | acao=executou o benchmark | valor=7447
linha=1106 | nome=Renata | acao=estudou computacao | valor=9119
linha=1107 | nome=Lucas | acao=fez um experimento | valor=1991
linha=1108 | nome=Igor | acao=escreveu o relatorio | valor=7076
linha=1109 | nome=Otavio | acao=comparou as metricas | valor=3928
linha=1110 | nome=Daniela | acao=otimizou o algoritmo | valor=5255
linha=1111 | nome=Mariana | acao=comparou as metricas | valor=9777
linha=1112 | nome=Bruno | acao=otimizou o algoritmo | valor=3129
linha=1113 | nome=Daniela | acao=participou da aula | valor=6644
linha=1114 | nome=Karen | acao=comparou as metricas | valor=6689
linha=1115 | nome=Joao | acao=fez um experimento | valor=1239
linha=1116 | nome=Joao | acao=participou da aula | valor=6373
linha=1117 | nome=Gabriela | acao=analisou os resultados | valor=3947
linha=1118 | nome=Joao | acao=otimizou o algoritmo | valor=7905
linha=1119 | nome=Eduarda | acao=estudou computacao | valor=2383
linha=1120 | nome=Mariana | acao=participou da aula | valor=7400
linha=1121 | nome=Lucas | acao=estudou computacao | valor=5944
linha=1122 | nome=Sofia | acao=analisou os resultados | valor=8044
linha=1123 | nome=Mariana | acao=executou o benchmark | valor=4555
linha=1124 | nome=Natalia | acao=comparou as metricas | valor=7712
linha=1125 | nome=Joao | acao=executou o benchmark | valor=6873
linha=1126 | nome=Lucas | acao=analisou os resultados | valor=4518
linha=1127 | nome=Otavio | acao=comparou as metricas | valor=2466
linha=1128 | nome=Gabriela | acao=otimizou o algoritmo | valor=1786
linha=1129 | nome=Daniela | acao=executou o benchmark | valor=2252
linha=1130 | nome=Renata | acao=escreveu o relatorio | valor=4230
linha=1131 | nome=Daniela | acao=fez um experimento | valor=4904
linha=1132 | nome=Vitor | acao=estudou computacao | valor=5824
linha=1133 | nome=Bruno | acao=estudou computacao | valor=4502
linha=1134 | nome=Otavio | acao=participou da aula | valor=7827
linha=1135 | nome=Renata | acao=estudou computacao | valor=9151
linha=1136 | nome=Mariana | acao=participou da aula | valor=5104
linha=1137 | nome=Mariana | acao=escreveu o relatorio | valor=7293
linha=1138 | nome=Karen | acao=fez um experimento | valor=4174
linha=1139 | nome=Gabriela | acao=participou da aula | valor=1718
linha=1140 | nome=Felipe | acao=participou da aula | valor=3854
linha=1141 | nome=Renata | acao=escreveu o relatorio | valor=8758
linha=1142 | nome=Paulo | acao=escreveu o relatorio | valor=2874
linha=1143 | nome=Felipe | acao=fez um experimento | valor=1070
linha=1144 | nome=Vitor | acao=estudou computacao | valor=6167
linha=1145 | nome=Carlos | acao=otimizou o algoritmo | valor=9378
linha=1146 | nome=Renata | acao=executou o benchmark | valor=1555
linha=1147 | nome=Sofia | acao=escreveu o relatorio | valor=5917
linha=1148 | nome=Mariana | acao=executou o benchmark | valor=1516
linha=1149 | nome=Felipe | acao=estudou computacao | valor=3507
linha=1150 | nome=Karen | acao=analisou os resultados | valor=6075
linha=1151 | nome=Karen | acao=comparou as metricas | valor=7690
linha=1152 | nome=Eduarda | acao=estudou computacao | valor=4183
linha=1153 | nome=Bruno | acao=comparou as metricas | valor=5123
linha=1154 | nome=Mariana | acao=fez um experimento | valor=5635
linha=1155 | nome=Sofia | acao=comparou as metricas | valor=1599
linha=1156 | nome=Renata | acao=escreveu o relatorio | valor=4204
linha=1157 | nome=Ana | acao=fez um experimento | valor=1660
linha=1158 | nome=Renata | acao=executou o benchmark | valor=2916
linha=1159 | nome=Igor | acao=otimizou o algoritmo | valor=9525
linha=1160 | nome=Igor | acao=otimizou o algoritmo | valor=2111
linha=1161 | nome=Igor | acao=fez um experimento | valor=7090
linha=1162 | nome=Lucas | acao=escreveu o relatorio | valor=9321
linha=1163 | nome=Igor | acao=comparou as metricas | valor=8362
linha=1164 | nome=Karen | acao=otimizou o algoritmo | valor=3357
linha=1165 | nome=Eduarda | acao=executou o benchmark | valor=1541
linha=1166 | nome=Natalia | acao=comparou as metricas | valor=4856
linha=1167 | nome=Carlos | acao=comparou as metricas | valor=4942
linha=1168 | nome=Joao | acao=participou da aula | valor=5130
linha=1169 | nome=Paulo | acao=executou o benchmark | valor=3516
linha=1170 | nome=Eduarda | acao=escreveu o relatorio | valor=2197
linha=1171 | nome=Paulo | acao=estudou computacao | valor=3628
linha=1172 | nome=Paulo | acao=otimizou o algoritmo | valor=5718
linha=1173 | nome=Karen | acao=escreveu o relatorio | valor=8603
linha=1174 | nome=Gabriela | acao=analisou os resultados | valor=1299
linha=1175 | nome=Felipe | acao=participou da aula | valor=5125
linha=1176 | nome=Paulo | acao=executou o benchmark | valor=7517
linha=1177 | nome=Tiago | acao=estudou computacao | valor=3502
linha=1178 | nome=Karen | acao=otimizou o algoritmo | valor=2496
linha=1179 | nome=Helena | acao=participou da aula | valor=2559
linha=1180 | nome=Paulo | acao=otimizou o algoritmo | valor=5385
linha=1181 | nome=Joao | acao=estudou computacao | valor=2430
linha=1182 | nome=Renata | acao=escreveu o relatorio | valor=2939
linha=1183 | nome=Karen | acao=fez um experimento | valor=3490
linha=1184 | nome=Daniela | acao=escreveu o relatorio | valor=7454
linha=1185 | nome=Otavio | acao=otimizou o algoritmo | valor=7961
linha=1186 | nome=Felipe | acao=participou da aula | valor=4269
linha=1187 | nome=Vitor | acao=escreveu o relatorio | valor=1972
linha=1188 | nome=Helena | acao=executou o benchmark | valor=4273
linha=1189 | nome=Bruno | acao=executou o benchmark | valor=6319
linha=1190 | nome=Helena | acao=comparou as metricas | valor=9417
linha=1191 | nome=Igor | acao=participou da aula | valor=1107
linha=1192 | nome=Daniela | acao=comparou as metricas | valor=8989
linha=1193 | nome=Bruno | acao=analisou os resultados | valor=2784
linha=1194 | nome=Renata | acao=otimizou o algoritmo | valor=3792
linha=1195 | nome=Mariana | acao=fez um experimento | valor=9599
linha=1196 | nome=Natalia | acao=comparou as metricas | valor=1745
linha=1197 | nome=Igor | acao=executou o benchmark | valor=9458
linha=1198 | nome=Bruno | acao=escreveu o relatorio | valor=4614
linha=1199 | nome=Lucas | acao=analisou os resultados | valor=8364
linha=1200 | nome=Ana | acao=otimizou o algoritmo | valor=1675
linha=1201 | nome=Mariana | acao=escreveu o relatorio | valor=9686
linha=1202 | nome=Daniela | acao=executou o benchmark | valor=4027
linha=1203 | nome=Helena | acao=fez um experimento | valor=6529
linha=1204 | nome=Natalia | acao=fez um experimento | valor=1858
linha=1205 | nome=Karen | acao=comparou as metricas | valor=4109
linha=1206 | nome=Helena | acao=fez um experimento | valor=5722
linha=1207 | nome=Gabriela | acao=otimizou o algoritmo | valor=7770
linha=1208 | nome=Helena | acao=analisou os resultados | valor=2185
linha=1209 | nome=Carlos | acao=escreveu o relatorio | valor=1300
linha=1210 | nome=Helena | acao=otimizou o algoritmo | valor=1533
linha=1211 | nome=Helena | acao=fez um experimento | valor=3258
linha=1212 | nome=Mariana | acao=analisou os resultados | valor=9833
linha=1213 | nome=Lucas | acao=participou da aula | valor=2836
linha=1214 | nome=Igor | acao=executou o benchmark | valor=3359
linha=1215 | nome=Natalia | acao=participou da aula | valor=4973
linha=1216 | nome=Felipe | acao=analisou os resultados | valor=4946
linha=1217 | nome=Gabriela | acao=fez um experimento | valor=3615
linha=1218 | nome=Bruno | acao=otimizou o algoritmo | valor=3855
linha=1219 | nome=Helena | acao=escreveu o relatorio | valor=7117
linha=1220 | nome=Felipe | acao=otimizou o algoritmo | valor=5093
linha=1221 | nome=Eduarda | acao=comparou as metricas | valor=5516
linha=1222 | nome=Joao | acao=comparou as metricas | valor=4371
linha=1223 | nome=Natalia | acao=escreveu o relatorio | valor=1078
linha=1224 | nome=Natalia | acao=escreveu o relatorio | valor=1103
linha=1225 | nome=Mariana | acao=otimizou o algoritmo | valor=5744
linha=1226 | nome=Paulo | acao=comparou as metricas | valor=2872
linha=1227 | nome=Eduarda | acao=escreveu o relatorio | valor=6359
linha=1228 | nome=Tiago | acao=estudou computacao | valor=1449
linha=1229 | nome=Tiago | acao=estudou computacao | valor=5658
linha=1230 | nome=Igor | acao=otimizou o algoritmo | valor=1205
linha=1231 | nome=Ana | acao=analisou os resultados | valor=6343
linha=1232 | nome=Bruno | acao=fez um experimento | valor=8970
linha=1233 | nome=Daniela | acao=estudou computacao | valor=2242
linha=1234 | nome=Gabriela | acao=participou da aula | valor=7448
linha=1235 | nome=Ana | acao=estudou computacao | valor=4409
linha=1236 | nome=Natalia | acao=escreveu o relatorio | valor=2543
linha=1237 | nome=Helena | acao=otimizou o algoritmo | valor=2696
linha=1238 | nome=Ana | acao=participou da aula | valor=2353
linha=1239 | nome=Lucas | acao=fez um experimento | valor=5038
linha=1240 | nome=Ana | acao=comparou as metricas | valor=1673
linha=1241 | nome=Bruno | acao=escreveu o relatorio | valor=8525
linha=1242 | nome=Joao | acao=otimizou o algoritmo | valor=2867
linha=1243 | nome=Bruno | acao=analisou os resultados | valor=7525
linha=1244 | nome=Joao | acao=comparou as metricas | valor=7829
linha=1245 | nome=Karen | acao=estudou computacao | valor=3376
linha=1246 | nome=Helena | acao=escreveu o relatorio | valor=2970
linha=1247 | nome=Eduarda | acao=executou o benchmark | valor=9185
linha=1248 | nome=Bruno | acao=escreveu o relatorio | valor=6803
linha=1249 | nome=Bruno | acao=comparou as metricas | valor=2390
linha=1250 | nome=Sofia | acao=comparou as metricas | valor=7766
linha=1251 | nome=Carlos | acao=executou o benchmark | valor=9919
linha=1252 | nome=Lucas | acao=otimizou o algoritmo | valor=8213
linha=1253 | nome=Paulo | acao=otimizou o algoritmo | valor=8678
linha=1254 | nome=Lucas | acao=participou da aula | valor=3470
linha=1255 | nome=Mariana | acao=participou da aula | valor=6843
