linha=1 | nome=Bruno | acao=comparou as metricas | valor=1604
linha=1217 | nome=Mariana | acao=fez um experimento | valor=1451
linha=1218 | nome=Natalia | acao=escreveu o relatorio | valor=7072
linha=1219 | nome=Sofia | acao=comparou as metricas | valor=3377
linha=1220 | nome=Sofia | acao=comparou as metricas | valor=2024
linha=1221 | nome=Carlos | acao=escreveu o relatorio | valor=6469
linha=1222 | nome=Mariana | acao=participou da aula | valor=7580
linha=1223 | nome=Tiago | acao=escreveu o relatorio | valor=7256
linha=1224 | nome=Karen | acao=participou da aula | valor=1778
linha=1225 | nome=Mariana | acao=estudou computacao | valor=2834
linha=1226 | nome=Helena | acao=executou o benchmark | valor=4497
linha=1227 | nome=Paulo | acao=executou o benchmark | valor=7371
linha=1228 | nome=Tiago | acao=otimizou o algoritmo | valor=1098
linha=1229 | nome=Joao | acao=participou da aula | valor=2823
linha=1230 | nome=Gabriela | acao=fez um experimento | valor=8834
linha=1231 | nome=Paulo | acao=comparou as metricas | valor=4519
linha=1232 | nome=Daniela | acao=executou o benchmark | valor=9442
linha=1233 | nome=Sofia | acao=estudou computacao | valor=8739
linha=1234 | nome=Felipe | acao=estudou computacao | valor=7617
linha=1235 | nome=Karen | acao=participou da aula | valor=3664
linha=1236 | nome=Helena | acao=estudou computacao | valor=4468
linha=1237 | nome=Felipe | acao=otimizou o algoritmo | valor=8751
linha=1238 | nome=Renata | acao=fez um experimento | valor=5580
linha=1239 | nome=Tiago | acao=executou o benchmark | valor=7284
linha=1240 | nome=Bruno | acao=fez um experimento | valor=7548
linha=1241 | nome=Paulo | acao=comparou as metricas | valor=7189
linha=1242 | nome=Ana | acao=executou o benchmark | valor=1921
linha=1243 | nome=Mariana | acao=fez um experimento | valor=6105
linha=1244 | nome=Natalia | acao=escreveu o relatorio | valor=5450
linha=1245 | nome=Natalia | acao=analisou os resultados | valor=3506
linha=1246 | nome=Otavio | acao=participou da aula | valor=9707
linha=1247 | nome=Lucas | acao=analisou os resultados | valor=5212
linha=1248 | nome=Igor | acao=analisou os resultados | valor=8381
linha=1249 | nome=Eduarda | acao=otimizou o algoritmo | valor=2201
linha=1250 | nome=Gabriela | acao=estudou computacao | valor=9519
linha=1251 | nome=Igor | acao=executou o benchmark | valor=9078
linha=1252 | nome=Tiago | acao=otimizou o algoritmo | valor=7060
linha=1253 | nome=Mariana | acao=participou da aula | valor=3012
linha=1254 | nome=Ana | acao=comparou as metricas | valor=6712
linha=1255 | nome=Renata | acao=executou o benchmark | valor=6877
linha=1256 | nome=Lucas | acao=executou o benchmark | valor=8654
linha=1257 | nome=Lucas | acao=fez um experimento | valor=5937
linha=1258 | nome=Mariana | acao=escreveu o relatorio | valor=8385
linha=1259 | nome=Sofia | acao=comparou as metricas | valor=2525
linha=1260 | nome=Helena | acao=analisou os resultados | valor=4016
linha=1261 | nome=Renata | acao=otimizou o algoritmo | valor=3154
linha=1262 | nome=Joao | acao=executou o benchmark | valor=2154
linha=1263 | nome=Felipe | acao=participou da aula | valor=2117
linha=1264 | nome=Vitor | acao=analisou os resultados | valor=4544
linha=1265 | nome=Sofia | acao=estudou computacao | valor=2017
linha=1266 | nome=Ana | acao=executou o benchmark | valor=9498
linha=1267 | nome=Felipe | acao=fez um experimento | valor=4294
linha=1268 | nome=Mariana | acao=analisou os resultados | valor=2010
linha=1269 | nome=Sofia | acao=escreveu o relatorio | valor=4544
linha=1270 | nome=Sofia | acao=estudou computacao | valor=2143
linha=1271 | nome=Natalia | acao=fez um experimento | valor=1746
linha=1272 | nome=Helena | acao=comparou as metricas | valor=3413
linha=1273 | nome=Tiago | acao=fez um experimento | valor=6335
linha=1274 | nome=Mariana | acao=executou o benchmark | valor=8531
linha=1275 | nome=Joao | acao=comparou as metricas | valor=6166
linha=1276 | nome=Otavio | acao=participou da aula | valor=3776
linha=1277 | nome=Ana | acao=executou o benchmark | valor=1994
linha=1278 | nome=Vitor | acao=escreveu o relatorio | valor=4180
linha=1279 | nome=Eduarda | acao=analisou os resultados | valor=9529
linha=1280 | nome=Tiago | acao=participou da aula | valor=1172
linha=1281 | nome=Paulo | acao=participou da aula | valor=7071
linha=1282 | nome=Paulo | acao=otimizou o algoritmo | valor=7795
linha=1283 | nome=Igor | acao=executou o benchmark | valor=8666
linha=1284 | nome=Carlos | acao=estudou computacao | valor=9477
linha=1285 | nome=Natalia | acao=escreveu o relatorio | valor=9027
linha=1286 | nome=Otavio | acao=participou da aula | valor=7873
linha=1287 | nome=Bruno | acao=otimizou o algoritmo | valor=3299
linha=1288 | nome=Lucas | acao=estudou computacao | valor=7802
linha=1289 | nome=Mariana | acao=estudou computacao | valor=5444
linha=1290 | nome=Gabriela | acao=comparou as metricas | valor=5825
linha=1291 | nome=Mariana | acao=participou da aula | valor=6243
linha=1292 | nome=Otavio | acao=escreveu o relatorio | valor=9622
linha=1293 | nome=Gabriela | acao=otimizou o algoritmo | valor=1530
linha=1294 | nome=Gabriela | acao=executou o benchmark | valor=3494
linha=1295 | nome=Helena | acao=fez um experimento | valor=4496
linha=1296 | nome=Renata | acao=otimizou o algoritmo | valor=4209
linha=1297 | nome=Joao | acao=analisou os resultados | valor=8423
linha=1298 | nome=Sofia | acao=otimizou o algoritmo | valor=8466
linha=1299 | nome=Otavio | acao=fez um experimento | valor=3977
linha=1300 | nome=Felipe | acao=fez um experimento | valor=9616
linha=1301 | nome=Daniela | acao=estudou computacao | valor=4966
linha=1302 | nome=Igor | acao=participou da aula | valor=6063
linha=1303 | nome=Bruno | acao=fez um experimento | valor=1362
linha=1304 | nome=Helena | acao=participou da aula | valor=7269
linha=1305 | nome=Gabriela | acao=executou o benchmark | valor=8688
linha=1306 | nome=Joao | acao=escreveu o relatorio | valor=2717
linha=1307 | nome=Carlos | acao=executou o benchmark | valor=7626
linha=1308 | nome=Tiago | acao=otimizou o algoritmo | valor=2717
linha=1309 | nome=Bruno | acao=otimizou o algoritmo | valor=2507
linha=1310 | nome=Sofia | acao=comparou as metricas | valor=3552
linha=1311 | nome=Daniela | acao=participou da aula | valor=5815
linha=1312 | nome=Gabriela | acao=analisou os resultados | valor=4260
linha=1313 | nome=Mariana | acao=otimizou o algoritmo | valor=7763
linha=1314 | nome=Sofia | acao=participou da aula | valor=7394
linha=1315 | nome=Paulo | acao=comparou as metricas | valor=1325
linha=1316 | nome=Ana | acao=estudou computacao | valor=4242
linha=1317 | nome=Bruno | acao=participou da aula | valor=8452
linha=1318 | nome=Lucas | acao=comparou as metricas | valor=1242
linha=1319 | nome=Natalia | acao=participou da aula | valor=8399
linha=1320 | nome=Mariana | acao=escreveu o relatorio | valor=3105
linha=1321 | nome=Igor | acao=fez um experimento | valor=1074
linha=1322 | nome=Ana | acao=fez um experimento | valor=8667
linha=1323 | nome=Tiago | acao=fez um experimento | valor=9295
linha=1324 | nome=Igor | acao=otimizou o algoritmo | valor=2926
linha=1325 | nome=Sofia | acao=analisou os resultados | valor=7524
linha=1326 | nome=Mariana | acao=escreveu o relatorio | valor=9652
linha=1327 | nome=Igor | acao=analisou os resultados | valor=3594
linha=1328 | nome=Vitor | acao=estudou computacao | valor=6364
linha=1329 | nome=Natalia | acao=executou o benchmark | valor=1680
linha=1330 | nome=Bruno | acao=escreveu o relatorio | valor=5944
linha=1331 | nome=Renata | acao=fez um experimento | valor=2344
linha=1332 | nome=Ana | acao=otimizou o algoritmo | valor=2975
linha=1333 | nome=Natalia | acao=participou da aula | valor=3392
linha=1334 | nome=Karen | acao=participou da aula | valor=7990
linha=1335 | nome=Helena | acao=estudou computacao | valor=2476
linha=1336 | nome=Tiago | acao=fez um experimento | valor=4427
linha=1337 | nome=Sofia | acao=estudou computacao | valor=8674
linha=1338 | nome=Felipe | acao=analisou os resultados | valor=2465
linha=1339 | nome=Renata | acao=executou o benchmark | valor=9487
linha=1340 | nome=Lucas | acao=fez um experimento | valor=4823
linha=1341 | nome=Joao | acao=participou da aula | valor=1715
linha=1342 | nome=Lucas | acao=participou da aula | valor=1983
linha=1343 | nome=Karen | acao=participou da aula | valor=3219
linha=1344 | nome=Natalia | acao=otimizou o algoritmo | valor=2824
linha=1345 | nome=Helena | acao=comparou as metricas | valor=1447
linha=1346 | nome=Natalia | acao=estudou computacao | valor=5942
linha=1347 | nome=Carlos | acao=participou da aula | valor=1226
linha=1348 | nome=Ana | acao=executou o benchmark | valor=4057
linha=1349 | nome=Bruno | acao=analisou os resultados | valor=1015
linha=1350 | nome=Eduarda | acao=comparou as metricas | valor=8320
linha=1351 | nome=Mariana | acao=fez um experimento | valor=9625
linha=1352 | nome=Eduarda | acao=estudou computacao | valor=4374
linha=1353 | nome=Joao | acao=estudou computacao | valor=7455
linha=1354 | nome=Karen | acao=comparou as metricas | valor=1600
linha=1355 | nome=Mariana | acao=escreveu o relatorio | valor=3083
linha=1356 | nome=Helena | acao=comparou as metricas | valor=1665
linha=1357 | nome=Ana | acao=fez um experimento | valor=2731
linha=1358 | nome=Renata | acao=escreveu o relatorio | valor=5213
linha=1359 | nome=Helena | acao=participou da aula | valor=3430
linha=1360 | nome=Vitor | acao=executou o benchmark | valor=2276
linha=1361 | nome=Mariana | acao=participou da aula | valor=2053
linha=1362 | nome=Igor | acao=participou da aula | valor=6036
linha=1363 | nome=Eduarda | acao=executou o benchmark | valor=1556
linha=1364 | nome=Gabriela | acao=executou o benchmark | valor=1758
linha=1365 | nome=Vitor | acao=otimizou o algoritmo | valor=1245
linha=1366 | nome=Ana | acao=otimizou o algoritmo | valor=6164
linha=1367 | nome=Sofia | acao=participou da aula | valor=2734
linha=1368 | nome=Lucas | acao=executou o benchmark | valor=3761
linha=1369 | nome=Otavio | acao=otimizou o algoritmo | valor=6421
linha=1370 | nome=Sofia | acao=analisou os resultados | valor=6281
linha=1371 | nome=Lucas | acao=otimizou o algoritmo | valor=8635
linha=1372 | nome=Tiago | acao=participou da aula | valor=5857
linha=1373 | nome=Otavio | acao=escreveu o relatorio | valor=8264
linha=1374 | nome=Carlos | acao=fez um experimento | valor=1995
linha=1375 | nome=Gabriela | acao=analisou os resultados | valor=8881
linha=1376 | nome=Igor | acao=executou o benchmark | valor=1271
linha=1377 | nome=Carlos | acao=analisou os resultados | valor=8198
linha=1378 | nome=Mariana | acao=executou o benchmark | valor=2791
linha=1379 | nome=Otavio | acao=otimizou o algoritmo | valor=9662
linha=1380 | nome=Ana | acao=analisou os resultados | valor=3692
linha=1381 | nome=Otavio | acao=executou o benchmark | valor=1855
linha=1382 | nome=Daniela | acao=escreveu o relatorio | valor=1179
linha=1383 | nome=Daniela | acao=participou da aula | valor=7317
linha=1384 | nome=Karen | acao=participou da aula | valor=2931
linha=1385 | nome=Lucas | acao=escreveu o relatorio | valor=4665
linha=1386 | nome=Ana | acao=escreveu o relatorio | valor=9872
linha=1387 | nome=Mariana | acao=analisou os resultados | valor=2575
linha=1388 | nome=Mariana | acao=estudou computacao | valor=6710
linha=1389 | nome=Ana | acao=escreveu o relatorio | valor=3748
linha=1390 | nome=Daniela | acao=otimizou o algoritmo | valor=1242
linha=1391 | nome=Tiago | acao=analisou os resultados | valor=3673
linha=1392 | nome=Igor | acao=executou o benchmark | valor=5338
linha=1393 | nome=Karen | acao=otimizou o algoritmo | valor=1613
linha=1394 | nome=Eduarda | acao=analisou os resultados | valor=7580
linha=1395 | nome=Paulo | acao=otimizou o algoritmo | valor=7714
linha=1396 | nome=Lucas | acao=fez um experimento | valor=9685
linha=1397 | nome=Felipe | acao=escreveu o relatorio | valor=5840
linha=1398 | nome=Otavio | acao=executou o benchmark | valor=1845
linha=1399 | nome=Bruno | acao=comparou as metricas | valor=2207
linha=1400 | nome=Lucas | acao=analisou os resultados | valor=2944
linha=1401 | nome=Eduarda | acao=otimizou o algoritmo | valor=5574
linha=1402 | nome=Natalia | acao=analisou os resultados | valor=8554
linha=1403 | nome=Carlos | acao=analisou os resultados | valor=7317
linha=1404 | nome=Mariana | acao=participou da aula | valor=5922
linha=1405 | nome=Felipe | acao=executou o benchmark | valor=2737
linha=1406 | nome=Igor | acao=comparou as metricas | valor=1212
linha=1407 | nome=Tiago | acao=fez um experimento | valor=7012
linha=1408 | nome=Natalia | acao=comparou as metricas | valor=5451
linha=1409 | nome=Mariana | acao=estudou computacao | valor=3111
linha=1410 | nome=Paulo | acao=otimizou o algoritmo | valor=1247
linha=1411 | nome=Vitor | acao=fez um experimento | valor=9311
linha=1412 | nome=Mariana | acao=fez um experimento | valor=4185
linha=1413 | nome=Mariana | acao=analisou os resultados | valor=9176
linha=1414 | nome=Karen | acao=comparou as metricas | valor=9438
linha=1415 | nome=Helena | acao=comparou as metricas | valor=8175
linha=1416 | nome=Sofia | acao=escreveu o relatorio | valor=3634
linha=1417 | nome=Carlos | acao=comparou as metricas | valor=8066
linha=1418 | nome=Gabriela | acao=comparou as metricas | valor=3852
linha=1419 | nome=Mariana | acao=analisou os resultados | valor=3413
linha=1420 | nome=Bruno | acao=otimizou o algoritmo | valor=9473
linha=1421 | nome=Daniela | acao=escreveu o relatorio | valor=6303
linha=1422 | nome=Tiago | acao=escreveu o relatorio | valor=4009
linha=1423 | nome=Joao | acao=executou o benchmark | valor=7842
linha=1424 | nome=Otavio | acao=executou o benchmark | valor=4919
linha=1425 | nome=Natalia | acao=participou da aula | valor=3623
linha=1426 | nome=Eduarda | acao=executou o benchmark | valor=7281
linha=1427 | nome=Tiago | acao=analisou os resultados | valor=7936
linha=1428 | nome=Daniela | acao=escreveu o relatorio | valor=2870
linha=1429 | nome=Tiago | acao=fez um experimento | valor=5817
linha=1430 | nome=Helena | acao=comparou as metricas | valor=5822
linha=1431 | nome=Paulo | acao=comparou as metricas | valor=4604
linha=1432 | nome=Joao | acao=fez um experimento | valor=3394
linha=1433 | nome=Eduarda | acao=executou o benchmark | valor=7573
linha=1434 | nome=Tiago | acao=escreveu o relatorio | valor=7777
linha=1435 | nome=Eduarda | acao=otimizou o algoritmo | valor=7608
linha=1436 | nome=Tiago | acao=participou da aula | valor=9433
linha=1437 | nome=Joao | acao=estudou computacao | valor=8234
linha=1438 | nome=Daniela | acao=estudou computacao | valor=4614
linha=1439 | nome=Bruno | acao=comparou as metricas | valor=3091
linha=1440 | nome=Mariana | acao=otimizou o algoritmo | valor=4330
linha=1441 | nome=Igor | acao=otimizou o algoritmo | valor=7025
linha=1442 | nome=Vitor | acao=fez um experimento | valor=4305
linha=1443 | nome=Tiago | acao=participou da aula | valor=6039
linha=1444 | nome=Igor | acao=participou da aula | valor=8288
linha=1445 | nome=Lucas | acao=estudou computacao | valor=9438
linha=1446 | nome=Vitor | acao=escreveu o relatorio | valor=5128
linha=1447 | nome=Sofia | acao=participou da aula | valor=6987
linha=1448 | nome=Igor | acao=analisou os resultados | valor=8797
linha=1449 | nome=Otavio | acao=comparou as metricas | valor=7259
linha=1450 | nome=Natalia | acao=comparou as metricas | valor=6722
linha=1451 | nome=Vitor | acao=otimizou o algoritmo | valor=6973
linha=1452 | nome=Mariana | acao=fez um experimento | valor=2250
linha=1453 | nome=Daniela | acao=otimizou o algoritmo | valor=6576
linha=1454 | nome=Natalia | acao=analisou os resultados | valor=4156
linha=1455 | nome=Renata | acao=analisou os resultados | valor=3718
linha=1456 | nome=Mariana | acao=executou o benchmark | valor=7746
linha=1457 | nome=Felipe | acao=participou da aula | valor=8267
linha=1458 | nome=Natalia | acao=otimizou o algoritmo | valor=5332
linha=1459 | nome=Daniela | acao=estudou computacao | valor=6819
linha=1460 | nome=Lucas | acao=participou da aula | valor=4004
linha=1461 | nome=Vitor | acao=analisou os resultados | valor=8781
linha=1462 | nome=Natalia | acao=participou da aula | valor=7987
linha=1463 | nome=Sofia | acao=analisou os resultados | valor=7851
linha=1464 | nome=Helena | acao=executou o benchmark | valor=9816
linha=1465 | nome=Renata | acao=estudou computacao | valor=5250
linha=1466 | nome=Vitor | acao=executou o benchmark | valor=3445
linha=1467 | nome=Lucas | acao=participou da aula | valor=6805
linha=1468 | nome=Carlos | acao=fez um experimento | valor=5347
linha=1469 | nome=Ana | acao=otimizou o algoritmo | valor=5106
linha=1470 | nome=Karen | acao=executou o benchmark | valor=1720
linha=1471 | nome=Helena | acao=analisou os resultados | valor=6208
linha=1472 | nome=Sofia | acao=executou o benchmark | valor=8849
linha=1473 | nome=Karen | acao=comparou as metricas | valor=6591
linha=1474 | nome=Paulo | acao=participou da aula | valor=6442
linha=1475 | nome=Helena | acao=fez um experimento | valor=3003
linha=1476 | nome=Vitor | acao=comparou as metricas | valor=4683
linha=1477 | nome=Joao | acao=participou da aula | valor=5908
linha=1478 | nome=Bruno | acao=analisou os resultados | valor=3681
linha=1479 | nome=Paulo | acao=executou o benchmark | valor=4563
linha=1480 | nome=Joao | acao=executou o benchmark | valor=5998
linha=1481 | nome=Tiago | acao=fez um experimento | valor=1145
linha=1482 | nome=Carlos | acao=escreveu o relatorio | valor=7877
linha=1483 | nome=Mariana | acao=fez um experimento | valor=8848
linha=1484 | nome=Karen | acao=escreveu o relatorio | valor=1481
linha=1485 | nome=Helena | acao=participou da aula | valor=7358
linha=1486 | nome=Mariana | acao=fez um experimento | valor=2985
linha=1487 | nome=Helena | acao=comparou as metricas | valor=6180
linha=1488 | nome=Gabriela | acao=participou da aula | valor=9221
linha=1489 | nome=Helena | acao=participou da aula | valor=4561
linha=1490 | nome=Carlos | acao=otimizou o algoritmo | valor=5679
linha=1491 | nome=Mariana | acao=escreveu o relatorio | valor=4679
linha=1492 | nome=Joao | acao=participou da aula | valor=6893
linha=1493 | nome=Eduarda | acao=estudou computacao | valor=3870
linha=1494 | nome=Daniela | acao=executou o benchmark | valor=6526
linha=1495 | nome=Igor | acao=analisou os resultados | valor=8830
linha=1496 | nome=Mariana | acao=participou da aula | valor=3072
linha=1497 | nome=Carlos | acao=escreveu o relatorio | valor=2289
linha=1498 | nome=Renata | acao=analisou os resultados | valor=6454
linha=1499 | nome=Joao | acao=estudou computacao | valor=5374
linha=1500 | nome=Paulo | acao=comparou as metricas | valor=6104
linha=1501 | nome=Eduarda | acao=fez um experimento | valor=5401
linha=1502 | nome=Natalia | acao=analisou os resultados | valor=1297
linha=1503 | nome=Karen | acao=participou da aula | valor=7981
linha=1504 | nome=Joao | acao=executou o benchmark | valor=9256
linha=1505 | nome=Tiago | acao=comparou as metricas | valor=2882
linha=1506 | nome=Helena | acao=executou o benchmark | valor=7843
linha=1507 | nome=Mariana | acao=estudou computacao | valor=4578
linha=1508 | nome=Helena | acao=comparou as metricas | valor=1942
linha=1509 | nome=Mariana | acao=fez um experimento | valor=2846
linha=1510 | nome=Eduarda | acao=estudou computacao | valor=5767
linha=1511 | nome=Natalia | acao=participou da aula | valor=8992
linha=1512 | nome=Mariana | acao=estudou computacao | valor=8652
linha=1513 | nome=Lucas | acao=estudou computacao | valor=7218
linha=1514 | nome=Felipe | acao=escreveu o relatorio | valor=7943
linha=1515 | nome=Lucas | acao=analisou os resultados | valor=2049
linha=1516 | nome=Paulo | acao=escreveu o relatorio | valor=5600
linha=1517 | nome=Lucas | acao=comparou as metricas | valor=5566
linha=1518 | nome=Tiago | acao=escreveu o relatorio | valor=7651
linha=1519 | nome=Lucas | acao=fez um experimento | valor=2710
linha=1520 | nome=Natalia | acao=analisou os resultados | valor=7256
linha=1521 | nome=Lucas | acao=escreveu o relatorio | valor=5931
linha=1522 | nome=Eduarda | acao=escreveu o relatorio | valor=3166
linha=1523 | nome=Natalia | acao=participou da aula | valor=5641
linha=1524 | nome=Sofia | acao=executou o benchmark | valor=4105
linha=1525 | nome=Eduarda | acao=analisou os resultados | valor=9243
linha=1526 | nome=Helena | acao=comparou as metricas | valor=3834
linha=1527 | nome=Igor | acao=participou da aula | valor=5724
linha=1528 | nome=Karen | acao=escreveu o relatorio | valor=4865
linha=1529 | nome=Gabriela | acao=otimizou o algoritmo | valor=7757
linha=1530 | nome=Carlos | acao=fez um experimento | valor=1269
linha=1531 | nome=Daniela | acao=comparou as metricas | valor=3048
linha=1532 | nome=Carlos | acao=escreveu o relatorio | valor=7119
linha=1533 | nome=Felipe | acao=otimizou o algoritmo | valor=1842
linha=1534 | nome=Renata | acao=participou da aula | valor=3068
linha=1535 | nome=Otavio | acao=otimizou o algoritmo | valor=1974
linha=1536 | nome=Vitor | acao=participou da aula | valor=4513
linha=1537 | nome=Tiago | acao=estudou computacao | valor=3804
linha=1538 | nome=Vitor | acao=comparou as metricas | valor=4897
linha=1539 | nome=Ana | acao=analisou os resultados | valor=9244
linha=1540 | nome=Lucas | acao=executou o benchmark | valor=1882
linha=1541 | nome=Tiago | acao=estudou computacao | valor=9657
linha=1542 | nome=Sofia | acao=fez um experimento | valor=3455
linha=1543 | nome=Otavio | acao=otimizou o algoritmo | valor=1868
linha=1544 | nome=Vitor | acao=analisou os resultados | valor=4533
linha=1545 | nome=Felipe | acao=fez um experimento | valor=2814
linha=1546 | nome=Joao | acao=comparou as metricas | valor=4414
linha=1547 | nome=Mariana | acao=fez um experimento | valor=2568
linha=1548 | nome=Tiago | acao=estudou computacao | valor=3378
linha=1549 | nome=Gabriela | acao=analisou os resultados | valor=7815
linha=1550 | nome=Lucas | acao=fez um experimento | valor=8031
linha=1551 | nome=Mariana | acao=executou o benchmark | valor=8943
linha=1552 | nome=Igor | acao=escreveu o relatorio | valor=9831
linha=1553 | nome=Sofia | acao=fez um experimento | valor=6585
linha=1554 | nome=Mariana | acao=executou o benchmark | valor=1813
linha=1555 | nome=Daniela | acao=escreveu o relatorio | valor=7254
linha=1556 | nome=Tiago | acao=executou o benchmark | valor=1130
linha=1557 | nome=Daniela | acao=executou o benchmark | valor=8818
linha=1558 | nome=Bruno | acao=executou o benchmark | valor=3119
linha=1559 | nome=Gabriela | acao=analisou os resultados | valor=5626
linha=1560 | nome=Paulo | acao=otimizou o algoritmo | valor=6444
linha=1561 | nome=Helena | acao=fez um experimento | valor=9717
linha=1562 | nome=Eduarda | acao=fez um experimento | valor=3881
linha=1563 | nome=Tiago | acao=executou o benchmark | valor=3906
linha=1564 | nome=Renata | acao=executou o benchmark | valor=4314
linha=1565 | nome=Paulo | acao=otimizou o algoritmo | valor=6145
linha=1566 | nome=Bruno | acao=analisou os resultados | valor=5988
linha=1567 | nome=Paulo | acao=comparou as metricas | valor=9091
linha=1568 | nome=Natalia | acao=otimizou o algoritmo | valor=2795
linha=1569 | nome=Carlos | acao=fez um experimento | valor=4318
linha=1570 | nome=Tiago | acao=escreveu o relatorio | valor=1223
linha=1571 | nome=Otavio | acao=otimizou o algoritmo | valor=4467
linha=1572 | nome=Renata | acao=fez um experimento | valor=9846
linha=1573 | nome=Karen | acao=participou da aula | valor=1472
linha=1574 | nome=Natalia | acao=analisou os resultados | valor=6277
linha=1575 | nome=Vitor | acao=comparou as metricas | valor=2995
linha=1576 | nome=Helena | acao=otimizou o algoritmo | valor=9597
linha=1577 | nome=Karen | acao=participou da aula | valor=2854
linha=1578 | nome=Daniela | acao=participou da aula | valor=8436
linha=1579 | nome=Otavio | acao=fez um experimento | valor=2440
linha=1580 | nome=Vitor | acao=escreveu o relatorio | valor=8569
linha=1581 | nome=Mariana | acao=participou da aula | valor=3553
linha=1582 | nome=Helena | acao=participou da aula | valor=9668
linha=1583 | nome=Bruno | acao=executou o benchmark | valor=5366
linha=1584 | nome=Felipe | acao=participou da aula | valor=2050
linha=1585 | nome=Carlos | acao=otimizou o algoritmo | valor=3201
linha=1586 | nome=Carlos | acao=comparou as metricas | valor=4434
linha=1587 | nome=Renata | acao=escreveu o relatorio | valor=5379
linha=1588 | nome=Mariana | acao=estudou computacao | valor=7976
linha=1589 | nome=Otavio | acao=otimizou o algoritmo | valor=5450
linha=1590 | nome=Natalia | acao=fez um experimento | valor=4807
linha=1591 | nome=Helena | acao=analisou os resultados | valor=7461
linha=1592 | nome=Joao | acao=escreveu o relatorio | valor=8363
linha=1593 | nome=Sofia | acao=comparou as metricas | valor=1708
linha=1594 | nome=Carlos | acao=executou o benchmark | valor=1810
linha=1595 | nome=Renata | acao=fez um experimento | valor=6698
linha=1596 | nome=Mariana | acao=fez um experimento | valor=1558
linha=1597 | nome=Ana | acao=executou o benchmark | valor=3988
linha=1598 | nome=Bruno | acao=analisou os resultados | valor=2667
linha=1599 | nome=Paulo | acao=executou o benchmark | valor=2118
linha=1600 | nome=Joao | acao=estudou computacao | valor=8705
linha=1601 | nome=Gabriela | acao=participou da aula | valor=4882
linha=1602 | nome=Carlos | acao=analisou os resultados | valor=7868
linha=1603 | nome=Natalia | acao=estudou computacao | valor=1466
linha=1604 | nome=Karen | acao=escreveu o relatorio | valor=8010
linha=1605 | nome=Paulo | acao=estudou computacao | valor=2453
linha=1606 | nome=Otavio | acao=participou da aula | valor=2191
linha=1607 | nome=Paulo | acao=otimizou o algoritmo | valor=6585
linha=1608 | nome=Bruno | acao=analisou os resultados | valor=7514
linha=1609 | nome=Ana | acao=escreveu o relatorio | valor=8858
linha=1610 | nome=Carlos | acao=participou da aula | valor=1771
linha=1611 | nome=Karen | acao=fez um experimento | valor=9130
linha=1612 | nome=Mariana | acao=executou o benchmark | valor=2768
linha=1613 | nome=Sofia | acao=participou da aula | valor=1222
linha=1614 | nome=Natalia | acao=comparou as metricas | valor=5960
linha=1615 | nome=Carlos | acao=analisou os resultados | valor=5669
linha=1616 | nome=Renata | acao=otimizou o algoritmo | valor=9054
linha=1617 | nome=Felipe | acao=analisou os resultados | valor=8773
linha=1618 | nome=Renata | acao=executou o benchmark | valor=7503
linha=1619 | nome=Carlos | acao=fez um experimento | valor=6291
linha=1620 | nome=Karen | acao=comparou as metricas | valor=2688
linha=1621 | nome=Tiago | acao=otimizou o algoritmo | valor=7588
linha=1622 | nome=Vitor | acao=participou da aula | valor=1048
linha=1623 | nome=Paulo | acao=fez um experimento | valor=6874
linha=1624 | nome=Ana | acao=estudou computacao | valor=1692
linha=1625 | nome=Felipe | acao=escreveu o relatorio | valor=2839
linha=1626 | nome=Gabriela | acao=participou da aula | valor=2712
linha=1627 | nome=Sofia | acao=comparou as metricas | valor=6111
linha=1628 | nome=Eduarda | acao=executou o benchmark | valor=4995
linha=1629 | nome=Karen | acao=escreveu o relatorio | valor=9311
linha=1630 | nome=Vitor | acao=analisou os resultados | valor=9705
linha=1631 | nome=Sofia | acao=executou o benchmark | valor=4184
linha=1632 | nome=Karen | acao=otimizou o algoritmo | valor=4270
linha=1633 | nome=Ana | acao=participou da aula | valor=7267
linha=1634 | nome=Mariana | acao=estudou computacao | valor=3717
linha=1635 | nome=Mariana | acao=otimizou o algoritmo | valor=9224
linha=1636 | nome=Natalia | acao=executou o benchmark | valor=9589
linha=1637 | nome=Vitor | acao=analisou os resultados | valor=6152
linha=1638 | nome=Mariana | acao=fez um experimento | valor=7161
linha=1639 | nome=Joao | acao=comparou as metricas | valor=8194
linha=1640 | nome=Eduarda | acao=fez um experimento | valor=2512
linha=1641 | nome=Igor | acao=otimizou o algoritmo | valor=9544
linha=1642 | nome=Mariana | acao=comparou as metricas | valor=7304
linha=1643 | nome=Igor | acao=escreveu o relatorio | valor=5164
linha=1644 | nome=Carlos | acao=participou da aula | valor=4649
linha=1645 | nome=Karen | acao=fez um experimento | valor=4547
linha=1646 | nome=Felipe | acao=fez um experimento | valor=9602
linha=1647 | nome=Karen | acao=otimizou o algoritmo | valor=7977
linha=1648 | nome=Ana | acao=executou o benchmark | valor=1690
linha=1649 | nome=Helena | acao=otimizou o algoritmo | valor=6284
linha=1650 | nome=Natalia | acao=estudou computacao | valor=6913
linha=1651 | nome=Ana | acao=otimizou o algoritmo | valor=7389
linha=1652 | nome=Tiago | acao=participou da aula | valor=9458
linha=1653 | nome=Vitor | acao=estudou computacao | valor=8159
linha=1654 | nome=Lucas | acao=comparou as metricas | valor=1829
