linha=1 | nome=Tiago | acao=executou o benchmark | valor=4960
linha=1020 | nome=Natalia | acao=estudou computacao | valor=4350
linha=1021 | nome=Eduarda | acao=comparou as metricas | valor=2924
linha=1022 | nome=Carlos | acao=estudou computacao | valor=3071
linha=1023 | nome=Eduarda | acao=fez um experimento | valor=3854
linha=1024 | nome=Karen | acao=executou o benchmark | valor=3729
linha=1025 | nome=Paulo | acao=analisou os resultados | valor=1224
linha=1026 | nome=Bruno | acao=executou o benchmark | valor=1303
linha=1027 | nome=Natalia | acao=escreveu o relatorio | valor=2874
linha=1028 | nome=Renata | acao=participou da aula | valor=6999
linha=1029 | nome=Lucas | acao=executou o benchmark | valor=4305
linha=1030 | nome=Vitor | acao=participou da aula | valor=3888
linha=1031 | nome=Otavio | acao=comparou as metricas | valor=6589
linha=1032 | nome=Helena | acao=comparou as metricas | valor=2247
linha=1033 | nome=Mariana | acao=otimizou o algoritmo | valor=7226
linha=1034 | nome=Helena | acao=escreveu o relatorio | valor=8644
linha=1035 | nome=Daniela | acao=fez um experimento | valor=5683
linha=1036 | nome=Vitor | acao=fez um experimento | valor=9757
linha=1037 | nome=Joao | acao=escreveu o relatorio | valor=3758
linha=1038 | nome=Tiago | acao=analisou os resultados | valor=2736
linha=1039 | nome=Natalia | acao=otimizou o algoritmo | valor=2410
linha=1040 | nome=Natalia | acao=otimizou o algoritmo | valor=5257
linha=1041 | nome=Ana | acao=comparou as metricas | valor=8054
linha=1042 | nome=Ana | acao=fez um experimento | valor=1555
linha=1043 | nome=Renata | acao=estudou computacao | valor=6623
linha=1044 | nome=Lucas | acao=fez um experimento | valor=6492
linha=1045 | nome=Vitor | acao=participou da aula | valor=7964
linha=1046 | nome=Daniela | acao=escreveu o relatorio | valor=3807
linha=1047 | nome=Karen | acao=otimizou o algoritmo | valor=6064
linha=1048 | nome=Joao | acao=comparou as metricas | valor=3872
linha=1049 | nome=Tiago | acao=fez um experimento | valor=4919
linha=1050 | nome=Natalia | acao=fez um experimento | valor=8639
linha=1051 | nome=Natalia | acao=escreveu o relatorio | valor=2967
linha=1052 | nome=Sofia | acao=participou da aula | valor=9500
linha=1053 | nome=Igor | acao=otimizou o algoritmo | valor=8105
linha=1054 | nome=Felipe | acao=comparou as metricas | valor=1670
linha=1055 | nome=Sofia | acao=analisou os resultados | valor=5895
linha=1056 | nome=Mariana | acao=estudou computacao | valor=8428
linha=1057 | nome=Sofia | acao=escreveu o relatorio | valor=3810
linha=1058 | nome=Igor | acao=executou o benchmark | valor=8641
linha=1059 | nome=Paulo | acao=analisou os resultados | valor=7152
linha=1060 | nome=Helena | acao=estudou computacao | valor=3816
linha=1061 | nome=Lucas | acao=escreveu o relatorio | valor=9589
linha=1062 | nome=Vitor | acao=analisou os resultados | valor=1847
linha=1063 | nome=Mariana | acao=comparou as metricas | valor=1739
linha=1064 | nome=Eduarda | acao=executou o benchmark | valor=3440
linha=1065 | nome=Mariana | acao=analisou os resultados | valor=8988
linha=1066 | nome=Helena | acao=comparou as metricas | valor=5218
linha=1067 | nome=Daniela | acao=fez um experimento | valor=8534
linha=1068 | nome=Joao | acao=escreveu o relatorio | valor=4585
linha=1069 | nome=Eduarda | acao=estudou computacao | valor=2063
linha=1070 | nome=Lucas | acao=otimizou o algoritmo | valor=6879
linha=1071 | nome=Eduarda | acao=participou da aula | valor=3649
linha=1072 | nome=Vitor | acao=analisou os resultados | valor=8789
linha=1073 | nome=Daniela | acao=executou o benchmark | valor=2593
linha=1074 | nome=Bruno | acao=fez um experimento | valor=5083
linha=1075 | nome=Carlos | acao=estudou computacao | valor=4584
linha=1076 | nome=Igor | acao=comparou as metricas | valor=4945
linha=1077 | nome=Sofia | acao=comparou as metricas | valor=3681
linha=1078 | nome=Igor | acao=escreveu o relatorio | valor=7053
linha=1079 | nome=Carlos | acao=fez um experimento | valor=7526
linha=1080 | nome=Otavio | acao=otimizou o algoritmo | valor=5999
linha=1081 | nome=Vitor | acao=escreveu o relatorio | valor=4923
linha=1082 | nome=Vitor | acao=fez um experimento | valor=6812
linha=1083 | nome=Otavio | acao=participou da aula | valor=2468
linha=1084 | nome=Daniela | acao=fez um experimento | valor=8198
linha=1085 | nome=Lucas | acao=participou da aula | valor=6038
linha=1086 | nome=Gabriela | acao=analisou os resultados | valor=6666
linha=1087 | nome=Lucas | acao=participou da aula | valor=3825
linha=1088 | nome=Renata | acao=estudou computacao | valor=3030
linha=1089 | nome=Felipe | acao=otimizou o algoritmo | valor=1834
linha=1090 | nome=Gabriela | acao=fez um experimento | valor=9702
linha=1091 | nome=Vitor | acao=fez um experimento | valor=5542
linha=1092 | nome=Natalia | acao=executou o benchmark | valor=7000
linha=1093 | nome=Bruno | acao=executou o benchmark | valor=7864
linha=1094 | nome=Daniela | acao=participou da aula | valor=4280
linha=1095 | nome=Karen | acao=estudou computacao | valor=6358
linha=1096 | nome=Karen | acao=fez um experimento | valor=6755
linha=1097 | nome=Felipe | acao=analisou os resultados | valor=6326
linha=1098 | nome=Helena | acao=escreveu o relatorio | valor=9037
linha=1099 | nome=Renata | acao=escreveu o relatorio | valor=6897
linha=1100 | nome=Vitor | acao=comparou as metricas | valor=4026
linha=1101 | nome=Lucas | acao=fez um experimento | valor=4485
linha=1102 | nome=Mariana | acao=comparou as metricas | valor=1091
linha=1103 | nome=Helena | acao=participou da aula | valor=3252
linha=1104 | nome=Otavio | acao=participou da aula | valor=2402
linha=1105 | nome=Eduarda | acao=participou da aula | valor=7144
linha=1106 | nome=Daniela | acao=executou o benchmark | valor=5112
linha=1107 | nome=Lucas | acao=executou o benchmark | valor=3326
linha=1108 | nome=Daniela | acao=executou o benchmark | valor=8576
linha=1109 | nome=Mariana | acao=analisou os resultados | valor=9586
linha=1110 | nome=Renata | acao=participou da aula | valor=1564
linha=1111 | nome=Eduarda | acao=fez um experimento | valor=9849
linha=1112 | nome=Karen | acao=fez um experimento | valor=8807
linha=1113 | nome=Daniela | acao=executou o benchmark | valor=3820
linha=1114 | nome=Bruno | acao=estudou computacao | valor=2005
linha=1115 | nome=Eduarda | acao=executou o benchmark | valor=3059
linha=1116 | nome=Natalia | acao=escreveu o relatorio | valor=4616
linha=1117 | nome=Felipe | acao=analisou os resultados | valor=1370
linha=1118 | nome=Bruno | acao=estudou computacao | valor=9610
linha=1119 | nome=Karen | acao=analisou os resultados | valor=5439
linha=1120 | nome=Mariana | acao=analisou os resultados | valor=7211
linha=1121 | nome=Carlos | acao=comparou as metricas | valor=2378
linha=1122 | nome=Bruno | acao=fez um experimento | valor=5718
linha=1123 | nome=Gabriela | acao=escreveu o relatorio | valor=1154
linha=1124 | nome=Felipe | acao=estudou computacao | valor=6061
linha=1125 | nome=Mariana | acao=participou da aula | valor=2231
linha=1126 | nome=Eduarda | acao=fez um experimento | valor=2583
linha=1127 | nome=Igor | acao=otimizou o algoritmo | valor=5040
linha=1128 | nome=Mariana | acao=executou o benchmark | valor=2469
linha=1129 | nome=Ana | acao=otimizou o algoritmo | valor=8501
linha=1130 | nome=Lucas | acao=otimizou o algoritmo | valor=3133
linha=1131 | nome=Tiago | acao=participou da aula | valor=1477
linha=1132 | nome=Igor | acao=comparou as metricas | valor=6030
linha=1133 | nome=Gabriela | acao=fez um experimento | valor=7912
linha=1134 | nome=Lucas | acao=escreveu o relatorio | valor=9234
linha=1135 | nome=Gabriela | acao=executou o benchmark | valor=9360
linha=1136 | nome=Carlos | acao=fez um experimento | valor=3096
linha=1137 | nome=Ana | acao=participou da aula | valor=7557
linha=1138 | nome=Lucas | acao=participou da aula | valor=9013
linha=1139 | nome=Eduarda | acao=comparou as metricas | valor=1206
linha=1140 | nome=Joao | acao=comparou as metricas | valor=7238
linha=1141 | nome=Bruno | acao=otimizou o algoritmo | valor=9430
linha=1142 | nome=Bruno | acao=executou o benchmark | valor=5233
linha=1143 | nome=Tiago | acao=comparou as metricas | valor=7064
linha=1144 | nome=Tiago | acao=fez um experimento | valor=2754
linha=1145 | nome=Daniela | acao=comparou as metricas | valor=7411
linha=1146 | nome=Bruno | acao=escreveu o relatorio | valor=1227
linha=1147 | nome=Daniela | acao=estudou computacao | valor=5293
linha=1148 | nome=Joao | acao=fez um experimento | valor=6909
linha=1149 | nome=Gabriela | acao=estudou computacao | valor=3454
linha=1150 | nome=Gabriela | acao=otimizou o algoritmo | valor=6291
linha=1151 | nome=Paulo | acao=fez um experimento | valor=7777
linha=1152 | nome=Natalia | acao=otimizou o algoritmo | valor=8221
linha=1153 | nome=Tiago | acao=estudou computacao | valor=6218
linha=1154 | nome=Igor | acao=fez um experimento | valor=1058
linha=1155 | nome=Mariana | acao=analisou os resultados | valor=8594
linha=1156 | nome=Bruno | acao=escreveu o relatorio | valor=8573
linha=1157 | nome=Eduarda | acao=otimizou o algoritmo | valor=1586
linha=1158 | nome=Mariana | acao=analisou os resultados | valor=9826
linha=1159 | nome=Sofia | acao=escreveu o relatorio | valor=5411
linha=1160 | nome=Felipe | acao=estudou computacao | valor=1414
linha=1161 | nome=Bruno | acao=executou o benchmark | valor=2217
linha=1162 | nome=Bruno | acao=otimizou o algoritmo | valor=1045
linha=1163 | nome=Paulo | acao=estudou computacao | valor=2062
linha=1164 | nome=Karen | acao=otimizou o algoritmo | valor=7148
linha=1165 | nome=Helena | acao=otimizou o algoritmo | valor=5651
linha=1166 | nome=Ana | acao=analisou os resultados | valor=7540
linha=1167 | nome=Daniela | acao=fez um experimento | valor=5306
linha=1168 | nome=Carlos | acao=analisou os resultados | valor=8101
linha=1169 | nome=Ana | acao=analisou os resultados | valor=7575
linha=1170 | nome=Otavio | acao=escreveu o relatorio | valor=6577
linha=1171 | nome=Joao | acao=fez um experimento | valor=2023
linha=1172 | nome=Paulo | acao=escreveu o relatorio | valor=8131
linha=1173 | nome=Igor | acao=participou da aula | valor=2959
linha=1174 | nome=Gabriela | acao=participou da aula | valor=7319
linha=1175 | nome=Carlos | acao=otimizou o algoritmo | valor=3834
linha=1176 | nome=Vitor | acao=executou o benchmark | valor=2809
linha=1177 | nome=Carlos | acao=executou o benchmark | valor=5397
linha=1178 | nome=Otavio | acao=executou o benchmark | valor=2741
linha=1179 | nome=Bruno | acao=escreveu o relatorio | valor=4905
linha=1180 | nome=Tiago | acao=comparou as metricas | valor=5083
linha=1181 | nome=Ana | acao=otimizou o algoritmo | valor=4491
linha=1182 | nome=Helena | acao=participou da aula | valor=7642
linha=1183 | nome=Sofia | acao=estudou computacao | valor=9148
linha=1184 | nome=Lucas | acao=executou o benchmark | valor=5382
linha=1185 | nome=Felipe | acao=otimizou o algoritmo | valor=4136
linha=1186 | nome=Eduarda | acao=executou o benchmark | valor=5299
linha=1187 | nome=Tiago | acao=estudou computacao | valor=6229
linha=1188 | nome=Joao | acao=escreveu o relatorio | valor=4655
linha=1189 | nome=Eduarda | acao=estudou computacao | valor=1058
linha=1190 | nome=Ana | acao=participou da aula | valor=3241
linha=1191 | nome=Daniela | acao=executou o benchmark | valor=9213
linha=1192 | nome=Otavio | acao=otimizou o algoritmo | valor=7057
linha=1193 | nome=Vitor | acao=escreveu o relatorio | valor=2419
linha=1194 | nome=Joao | acao=fez um experimento | valor=9206
linha=1195 | nome=Lucas | acao=fez um experimento | valor=8541
linha=1196 | nome=Paulo | acao=participou da aula | valor=9415
linha=1197 | nome=Bruno | acao=fez um experimento | valor=8780
linha=1198 | nome=Karen | acao=comparou as metricas | valor=7879
linha=1199 | nome=Igor | acao=comparou as metricas | valor=2718
linha=1200 | nome=Vitor | acao=fez um experimento | valor=5944
linha=1201 | nome=Tiago | acao=executou o benchmark | valor=4312
linha=1202 | nome=Natalia | acao=escreveu o relatorio | valor=8132
linha=1203 | nome=Joao | acao=comparou as metricas | valor=6237
linha=1204 | nome=Gabriela | acao=participou da aula | valor=9929
linha=1205 | nome=Carlos | acao=comparou as metricas | valor=4711
linha=1206 | nome=Karen | acao=participou da aula | valor=2291
linha=1207 | nome=Karen | acao=fez um experimento | valor=3854
linha=1208 | nome=Joao | acao=escreveu o relatorio | valor=7428
linha=1209 | nome=Renata | acao=fez um experimento | valor=7824
linha=1210 | nome=Lucas | acao=estudou computacao | valor=5051
linha=1211 | nome=Mariana | acao=otimizou o algoritmo | valor=4019
linha=1212 | nome=Igor | acao=executou o benchmark | valor=2023
linha=1213 | nome=Felipe | acao=fez um experimento | valor=7137
linha=1214 | nome=Vitor | acao=comparou as metricas | valor=3509
linha=1215 | nome=Ana | acao=otimizou o algoritmo | valor=8801
linha=1216 | nome=Igor | acao=participou da aula | valor=3056
linha=1217 | nome=Lucas | acao=executou o benchmark | valor=9157
linha=1218 | nome=Paulo | acao=analisou os resultados | valor=4357
linha=1219 | nome=Natalia | acao=executou o benchmark | valor=8607
linha=1220 | nome=Vitor | acao=analisou os resultados | valor=2541
linha=1221 | nome=Felipe | acao=fez um experimento | valor=8426
linha=1222 | nome=Eduarda | acao=escreveu o relatorio | valor=9703
linha=1223 | nome=Carlos | acao=estudou computacao | valor=1620
linha=1224 | nome=Mariana | acao=fez um experimento | valor=9497
linha=1225 | nome=Otavio | acao=analisou os resultados | valor=8358
linha=1226 | nome=Igor | acao=fez um experimento | valor=2961
linha=1227 | nome=Vitor | acao=escreveu o relatorio | valor=5164
linha=1228 | nome=Tiago | acao=analisou os resultados | valor=9695
linha=1229 | nome=Igor | acao=escreveu o relatorio | valor=3637
linha=1230 | nome=Helena | acao=otimizou o algoritmo | valor=5987
linha=1231 | nome=Otavio | acao=otimizou o algoritmo | valor=9007
linha=1232 | nome=Otavio | acao=fez um experimento | valor=1867
linha=1233 | nome=Eduarda | acao=participou da aula | valor=5205
linha=1234 | nome=Carlos | acao=participou da aula | valor=8207
linha=1235 | nome=Daniela | acao=comparou as metricas | valor=4604
linha=1236 | nome=Sofia | acao=analisou os resultados | valor=5364
linha=1237 | nome=Igor | acao=estudou computacao | valor=4758
linha=1238 | nome=Natalia | acao=fez um experimento | valor=5975
linha=1239 | nome=Vitor | acao=escreveu o relatorio | valor=3424
linha=1240 | nome=Felipe | acao=fez um experimento | valor=6923
linha=1241 | nome=Carlos | acao=fez um experimento | valor=8134
linha=1242 | nome=Ana | acao=escreveu o relatorio | valor=2073
linha=1243 | nome=Lucas | acao=estudou computacao | valor=5186
linha=1244 | nome=Daniela | acao=participou da aula | valor=5080
linha=1245 | nome=Helena | acao=participou da aula | valor=8872
linha=1246 | nome=Vitor | acao=participou da aula | valor=1785
linha=1247 | nome=Carlos | acao=participou da aula | valor=7581
linha=1248 | nome=Tiago | acao=executou o benchmark | valor=8774
linha=1249 | nome=Vitor | acao=otimizou o algoritmo | valor=1506
linha=1250 | nome=Lucas | acao=otimizou o algoritmo | valor=4845
linha=1251 | nome=Felipe | acao=executou o benchmark | valor=9755
linha=1252 | nome=Sofia | acao=executou o benchmark | valor=9186
linha=1253 | nome=Karen | acao=estudou computacao | valor=4826
linha=1254 | nome=Paulo | acao=otimizou o algoritmo | valor=1659
linha=1255 | nome=Lucas | acao=fez um experimento | valor=4205
linha=1256 | nome=Bruno | acao=analisou os resultados | valor=7411
linha=1257 | nome=Sofia | acao=participou da aula | valor=9553
linha=1258 | nome=Ana | acao=participou da aula | valor=2224
linha=1259 | nome=Sofia | acao=analisou os resultados | valor=4888
linha=1260 | nome=Otavio | acao=participou da aula | valor=5869
linha=1261 | nome=Gabriela | acao=comparou as metricas | valor=1001
linha=1262 | nome=Karen | acao=participou da aula | valor=6631
linha=1263 | nome=Karen | acao=executou o benchmark | valor=4882
linha=1264 | nome=Daniela | acao=escreveu o relatorio | valor=1984
linha=1265 | nome=Carlos | acao=analisou os resultados | valor=9561
linha=1266 | nome=Eduarda | acao=comparou as metricas | valor=3972
linha=1267 | nome=Igor | acao=otimizou o algoritmo | valor=7619
linha=1268 | nome=Eduarda | acao=participou da aula | valor=5031
linha=1269 | nome=Felipe | acao=comparou as metricas | valor=3928
linha=1270 | nome=Ana | acao=escreveu o relatorio | valor=2532
linha=1271 | nome=Gabriela | acao=escreveu o relatorio | valor=2055
linha=1272 | nome=Renata | acao=participou da aula | valor=7184
linha=1273 | nome=Felipe | acao=participou da aula | valor=9966
linha=1274 | nome=Joao | acao=estudou computacao | valor=1435
linha=1275 | nome=Tiago | acao=participou da aula | valor=9128
linha=1276 | nome=Natalia | acao=executou o benchmark | valor=4535
linha=1277 | nome=Renata | acao=analisou os resultados | valor=1934
linha=1278 | nome=Felipe | acao=comparou as metricas | valor=3210
linha=1279 | nome=Renata | acao=fez um experimento | valor=1666
linha=1280 | nome=Gabriela | acao=otimizou o algoritmo | valor=8839
linha=1281 | nome=Renata | acao=escreveu o relatorio | valor=7864
linha=1282 | nome=Mariana | acao=fez um experimento | valor=9808
linha=1283 | nome=Tiago | acao=escreveu o relatorio | valor=2120
linha=1284 | nome=Otavio | acao=executou o benchmark | valor=8485
linha=1285 | nome=Karen | acao=comparou as metricas | valor=8372
linha=1286 | nome=Felipe | acao=estudou computacao | valor=7969
linha=1287 | nome=Bruno | acao=comparou as metricas | valor=9272
linha=1288 | nome=Igor | acao=fez um experimento | valor=9858
linha=1289 | nome=Carlos | acao=estudou computacao | valor=6029
linha=1290 | nome=Tiago | acao=participou da aula | valor=6977
linha=1291 | nome=Daniela | acao=analisou os resultados | valor=9160
linha=1292 | nome=Bruno | acao=escreveu o relatorio | valor=4702
linha=1293 | nome=Lucas | acao=analisou os resultados | valor=1723
linha=1294 | nome=Joao | acao=fez um experimento | valor=1075
linha=1295 | nome=Mariana | acao=comparou as metricas | valor=3797
linha=1296 | nome=Carlos | acao=fez um experimento | valor=4869
linha=1297 | nome=Paulo | acao=otimizou o algoritmo | valor=2385
linha=1298 | nome=Bruno | acao=analisou os resultados | valor=9687
linha=1299 | nome=Carlos | acao=participou da aula | valor=9517
linha=1300 | nome=Gabriela | acao=participou da aula | valor=4324
linha=1301 | nome=Daniela | acao=participou da aula | valor=4551
linha=1302 | nome=Ana | acao=analisou os resultados | valor=2433
linha=1303 | nome=Mariana | acao=otimizou o algoritmo | valor=5003
linha=1304 | nome=Mariana | acao=executou o benchmark | valor=1770
linha=1305 | nome=Renata | acao=escreveu o relatorio | valor=6342
linha=1306 | nome=Igor | acao=comparou as metricas | valor=5629
linha=1307 | nome=Carlos | acao=estudou computacao | valor=8930
linha=1308 | nome=Sofia | acao=estudou computacao | valor=4625
linha=1309 | nome=Carlos | acao=fez um experimento | valor=4918
linha=1310 | nome=Mariana | acao=otimizou o algoritmo | valor=8950
linha=1311 | nome=Tiago | acao=escreveu o relatorio | valor=3458
linha=1312 | nome=Gabriela | acao=comparou as metricas | valor=2387
linha=1313 | nome=Daniela | acao=executou o benchmark | valor=4857
linha=1314 | nome=Mariana | acao=comparou as metricas | valor=1462
linha=1315 | nome=Daniela | acao=analisou os resultados | valor=5396
linha=1316 | nome=Bruno | acao=otimizou o algoritmo | valor=4744
linha=1317 | nome=Igor | acao=otimizou o algoritmo | valor=4837
linha=1318 | nome=Otavio | acao=executou o benchmark | valor=8179
linha=1319 | nome=Mariana | acao=comparou as metricas | valor=9555
linha=1320 | nome=Natalia | acao=analisou os resultados | valor=7897
linha=1321 | nome=Lucas | acao=comparou as metricas | valor=1861
linha=1322 | nome=Gabriela | acao=executou o benchmark | valor=6622
linha=1323 | nome=Natalia | acao=participou da aula | valor=4758
linha=1324 | nome=Bruno | acao=participou da aula | valor=9703
linha=1325 | nome=Bruno | acao=fez um experimento | valor=9151
linha=1326 | nome=Karen | acao=comparou as metricas | valor=1588
linha=1327 | nome=Eduarda | acao=analisou os resultados | valor=4377
linha=1328 | nome=Gabriela | acao=participou da aula | valor=3546
linha=1329 | nome=Carlos | acao=escreveu o relatorio | valor=2760
linha=1330 | nome=Mariana | acao=fez um experimento | valor=5651
linha=1331 | nome=Paulo | acao=otimizou o algoritmo | valor=3442
linha=1332 | nome=Karen | acao=otimizou o algoritmo | valor=7924
linha=1333 | nome=Felipe | acao=otimizou o algoritmo | valor=3291
linha=1334 | nome=Lucas | acao=analisou os resultados | valor=6560
linha=1335 | nome=Tiago | acao=fez um experimento | valor=5408
linha=1336 | nome=Ana | acao=participou da aula | valor=9658
linha=1337 | nome=Vitor | acao=estudou computacao | valor=7482
linha=1338 | nome=Helena | acao=escreveu o relatorio | valor=5336
linha=1339 | nome=Renata | acao=participou da aula | valor=8071
linha=1340 | nome=Paulo | acao=analisou os resultados | valor=5252
linha=1341 | nome=Daniela | acao=fez um experimento | valor=5294
linha=1342 | nome=Natalia | acao=escreveu o relatorio | valor=4457
linha=1343 | nome=Renata | acao=estudou computacao | valor=8158
linha=1344 | nome=Carlos | acao=escreveu o relatorio | valor=3579
linha=1345 | nome=Felipe | acao=estudou computacao | valor=9740
linha=1346 | nome=Eduarda | acao=escreveu o relatorio | valor=3123
linha=1347 | nome=Ana | acao=estudou computacao | valor=3393
linha=1348 | nome=Karen | acao=escreveu o relatorio | valor=5782
linha=1349 | nome=Gabriela | acao=executou o benchmark | valor=6704
linha=1350 | nome=Daniela | acao=analisou os resultados | valor=1664
linha=1351 | nome=Helena | acao=fez um experimento | valor=7048
linha=1352 | nome=Natalia | acao=participou da aula | valor=5992
linha=1353 | nome=Bruno | acao=executou o benchmark | valor=9670
linha=1354 | nome=Vitor | acao=participou da aula | valor=7901
linha=1355 | nome=Igor | acao=escreveu o relatorio | valor=3337
linha=1356 | nome=Paulo | acao=otimizou o algoritmo | valor=1673
linha=1357 | nome=Vitor | acao=executou o benchmark | valor=6075
linha=1358 | nome=Eduarda | acao=executou o benchmark | valor=9820
linha=1359 | nome=Eduarda | acao=otimizou o algoritmo | valor=6498
linha=1360 | nome=Daniela | acao=fez um experimento | valor=3647
linha=1361 | nome=Felipe | acao=analisou os resultados | valor=2915
linha=1362 | nome=Felipe | acao=participou da aula | valor=2415
linha=1363 | nome=Mariana | acao=estudou computacao | valor=3031
linha=1364 | nome=Sofia | acao=fez um experimento | valor=3634
linha=1365 | nome=Igor | acao=escreveu o relatorio | valor=9269
linha=1366 | nome=Karen | acao=estudou computacao | valor=3099
linha=1367 | nome=Eduarda | acao=escreveu o relatorio | valor=6538
linha=1368 | nome=Mariana | acao=participou da aula | valor=4657
linha=1369 | nome=Gabriela | acao=estudou computacao | valor=1234
linha=1370 | nome=Eduarda | acao=analisou os resultados | valor=2575
linha=1371 | nome=Bruno | acao=analisou os resultados | valor=7733
linha=1372 | nome=Natalia | acao=escreveu o relatorio | valor=9240
linha=1373 | nome=Felipe | acao=estudou computacao | valor=3641
linha=1374 | nome=Paulo | acao=analisou os resultados | valor=9405
linha=1375 | nome=Sofia | acao=otimizou o algoritmo | valor=3252
linha=1376 | nome=Sofia | acao=fez um experimento | valor=2902
linha=1377 | nome=Mariana | acao=otimizou o algoritmo | valor=6469
linha=1378 | nome=Daniela | acao=participou da aula | valor=8684
linha=1379 | nome=Felipe | acao=otimizou o algoritmo | valor=7774
linha=1380 | nome=Tiago | acao=comparou as metricas | valor=3379
linha=1381 | nome=Mariana | acao=otimizou o algoritmo | valor=6570
linha=1382 | nome=Natalia | acao=fez um experimento | valor=9784
linha=1383 | nome=Mariana | acao=analisou os resultados | valor=7910
linha=1384 | nome=Sofia | acao=comparou as metricas | valor=9043
linha=1385 | nome=Vitor | acao=executou o benchmark | valor=4869
linha=1386 | nome=Mariana | acao=executou o benchmark | valor=1489
linha=1387 | nome=Vitor | acao=comparou as metricas | valor=1842
linha=1388 | nome=Vitor | acao=comparou as metricas | valor=1974
linha=1389 | nome=Joao | acao=executou o benchmark | valor=3007
linha=1390 | nome=Tiago | acao=comparou as metricas | valor=3439
linha=1391 | nome=Helena | acao=fez um experimento | valor=9966
linha=1392 | nome=Helena | acao=analisou os resultados | valor=1734
linha=1393 | nome=Carlos | acao=estudou computacao | valor=6073
linha=1394 | nome=Eduarda | acao=comparou as metricas | valor=2917
linha=1395 | nome=Mariana | acao=comparou as metricas | valor=5594
linha=1396 | nome=Mariana | acao=participou da aula | valor=6837
linha=1397 | nome=Igor | acao=executou o benchmark | valor=6037
linha=1398 | nome=Gabriela | acao=estudou computacao | valor=1221
linha=1399 | nome=Karen | acao=otimizou o algoritmo | valor=6184
linha=1400 | nome=Vitor | acao=otimizou o algoritmo | valor=9334
linha=1401 | nome=Sofia | acao=comparou as metricas | valor=2106
linha=1402 | nome=Helena | acao=escreveu o relatorio | valor=2059
linha=1403 | nome=Natalia | acao=estudou computacao | valor=3607
linha=1404 | nome=Bruno | acao=escreveu o relatorio | valor=2525
linha=1405 | nome=Eduarda | acao=escreveu o relatorio | valor=3497
linha=1406 | nome=Ana | acao=executou o benchmark | valor=8863
linha=1407 | nome=Joao | acao=escreveu o relatorio | valor=9347
linha=1408 | nome=Carlos | acao=analisou os resultados | valor=1585
linha=1409 | nome=Bruno | acao=escreveu o relatorio | valor=2426
linha=1410 | nome=Helena | acao=comparou as metricas | valor=6828
linha=1411 | nome=Otavio | acao=executou o benchmark | valor=1316
linha=1412 | nome=Igor | acao=participou da aula | valor=7570
linha=1413 | nome=Bruno | acao=comparou as metricas | valor=7078
linha=1414 | nome=Igor | acao=participou da aula | valor=2790
linha=1415 | nome=Renata | acao=escreveu o relatorio | valor=7753
linha=1416 | nome=Helena | acao=executou o benchmark | valor=7629
linha=1417 | nome=Karen | acao=comparou as metricas | valor=9208
linha=1418 | nome=Mariana | acao=executou o benchmark | valor=5959
linha=1419 | nome=Helena | acao=comparou as metricas | valor=8305
linha=1420 | nome=Vitor | acao=participou da aula | valor=6596
linha=1421 | nome=Mariana | acao=analisou os resultados | valor=3981
linha=1422 | nome=Bruno | acao=analisou os resultados | valor=8732
linha=1423 | nome=Tiago | acao=executou o benchmark | valor=9315
linha=1424 | nome=Igor | acao=analisou os resultados | valor=6310
linha=1425 | nome=Joao | acao=participou da aula | valor=5434
linha=1426 | nome=Mariana | acao=estudou computacao | valor=8215
linha=1427 | nome=Lucas | acao=executou o benchmark | valor=2645
linha=1428 | nome=Carlos | acao=estudou computacao | valor=4109
linha=1429 | nome=Vitor | acao=otimizou o algoritmo | valor=4613
linha=1430 | nome=Ana | acao=escreveu o relatorio | valor=6168
linha=1431 | nome=Lucas | acao=fez um experimento | valor=1050
linha=1432 | nome=Renata | acao=analisou os resultados | valor=2363
linha=1433 | nome=Paulo | acao=escreveu o relatorio | valor=7208
linha=1434 | nome=Helena | acao=fez um experimento | valor=7244
linha=1435 | nome=Daniela | acao=analisou os resultados | valor=3027
linha=1436 | nome=Bruno | acao=escreveu o relatorio | valor=1793
linha=1437 | nome=Sofia | acao=analisou os resultados | valor=8836
linha=1438 | nome=Vitor | acao=comparou as metricas | valor=8788
linha=1439 | nome=Daniela | acao=fez um experimento | valor=2406
linha=1440 | nome=Paulo | acao=executou o benchmark | valor=4606
linha=1441 | nome=Helena | acao=escreveu o relatorio | valor=3357
linha=1442 | nome=Mariana | acao=participou da aula | valor=7131
linha=1443 | nome=Bruno | acao=estudou computacao | valor=7683
linha=1444 | nome=Daniela | acao=estudou computacao | valor=7874
linha=1445 | nome=Helena | acao=escreveu o relatorio | valor=9006
linha=1446 | nome=Sofia | acao=executou o benchmark | valor=5662
linha=1447 | nome=Bruno | acao=participou da aula | valor=3498
linha=1448 | nome=Daniela | acao=estudou computacao | valor=3554
linha=1449 | nome=Renata | acao=fez um experimento | valor=1270
linha=1450 | nome=Joao | acao=otimizou o algoritmo | valor=2822
linha=1451 | nome=Otavio | acao=estudou computacao | valor=1767
linha=1452 | nome=Bruno | acao=escreveu o relatorio | valor=9485
linha=1453 | nome=Eduarda | acao=analisou os resultados | valor=3182
linha=1454 | nome=Daniela | acao=analisou os resultados | valor=2906
linha=1455 | nome=Lucas | acao=otimizou o algoritmo | valor=3211
linha=1456 | nome=Felipe | acao=otimizou o algoritmo | valor=2187
